Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
0,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,5054
19,9432.T 8306.T 4502.T 4519.T 2914.T 6954.T 4503.T 5108.T MSFT UNH WMT JPM CVX CSCO NKE VZ IBM BA MMM ,0.12892716873531798183,16777.33868051573153934442,2163.05477499242897465592,296174
19,9432.T 8306.T 4519.T 2914.T 6954.T 4503.T 5108.T MSFT UNH WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.27444958385342560492,16872.20777191756496904418,4630.57040169130868889624,293818
17,9432.T 8306.T 4519.T 2914.T 6954.T 4503.T MSFT UNH WMT JPM CVX MRK NKE VZ IBM BA MMM ,0.29067688002828701022,17539.36112621650318033062,5098.28676985803576826584,297565
20,9432.T 8306.T 4519.T 2914.T 6954.T 4503.T 5108.T MSFT UNH WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM TRV ,0.29045501325883898991,17702.72485585288814036176,5141.84518272432887897594,293925
18,9432.T 8306.T 4519.T 2914.T 6954.T 4503.T 5108.T AAPL MSFT WMT JPM MRK NKE VZ IBM BA MMM DD ,0.32087254741496390453,17745.68672733864150359295,5694.10370582906398340128,180158
18,9432.T 8306.T 4519.T 6954.T 4503.T 5108.T MSFT UNH WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.34796406383191380574,17971.87939177386579103768,6253.56818785865743848262,294439
21,8306.T 4063.T 4519.T 8766.T 2914.T 6954.T 4503.T 6702.T AAPL MSFT UNH WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.39555206409922077926,18263.51798450561909703538,7224.17223648443814454367,12020
17,9432.T 8306.T 4519.T 6954.T 4503.T 5108.T AAPL MSFT WMT JPM MRK NKE VZ IBM BA MMM DD ,0.39638106339457324090,18832.97192506700594094582,7465.03343853820297226775,183303
21,8306.T 4063.T 4519.T 8766.T 2914.T 6954.T 4503.T 6702.T 5108.T AAPL MSFT WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.39478898406350065864,18909.68767529577235109173,7465.33638628811786475126,11924
19,8306.T 4063.T 4519.T 8766.T 2914.T 6954.T 4503.T AAPL MSFT UNH JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.40484303897937951033,18942.88022030149659258313,7668.89319540923588647274,15909
19,8306.T 4063.T 4519.T 8766.T 2914.T 4503.T AAPL MSFT UNH WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.40319195136075519637,19113.82684014343976741657,7706.54114164901147887576,51697
18,8306.T 4063.T 4519.T 2914.T 6954.T 4503.T 6702.T AAPL MSFT UNH JPM MRK CSCO NKE VZ IBM BA MMM ,0.43843072017362150206,19148.98981261177686974406,8395.50539414072227373254,92612
20,8306.T 4063.T 4519.T 8766.T 2914.T 6954.T 6702.T 5108.T MSFT UNH WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.43909190711793505413,19267.62616038741907686926,8460.25871639992874406744,11378
20,8306.T 4063.T 4519.T 8766.T 2914.T 6954.T 4503.T 6702.T AAPL MSFT WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.45348255847905960536,19405.54074914715965860523,8800.07426759290137852076,13130
21,8306.T 4063.T 4519.T 8766.T 2914.T 6954.T 4503.T 6702.T 9022.T AAPL MSFT WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.45946497208993036798,19502.40032343991697416641,8960.66982029597056680359,51437
19,8306.T 4063.T 4519.T 8766.T 2914.T 4503.T 6702.T AAPL MSFT WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.46045413578775440389,19717.28100451797581627034,9078.90358501963055459782,44301
20,8306.T 4063.T 4519.T 8766.T 2914.T 6954.T 4503.T 6702.T AAPL MSFT JPM CVX MRK CSCO NKE VZ IBM BA MMM TRV ,0.47164697326953924916,19767.51446409572236007079,9323.28836605258584313560,64362
