Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
0,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,6928
8,4503.T AAPL UNH JNJ PG MRK MCD IBM ,0.06863852389270022614,17930.23023510397251811810,1230.70453639380002641701,141948
9,4503.T 9022.T AAPL UNH JNJ PG MRK MCD IBM ,0.06151449318676421169,20105.31083934289927128702,1236.76800664453548961319,140198
9,4503.T 6702.T AAPL UNH JNJ PG MRK MCD IBM ,0.25264174284861745656,20498.76658618629880947992,5178.84411658111093856860,143598
9,4503.T 9022.T AAPL UNH PG HD MRK IBM TRV ,0.32415103291681024444,21822.83848398243208066560,7073.89563575962256436469,189870
10,4503.T 9022.T AAPL UNH PG HD MRK MCD IBM TRV ,0.35588493160191336795,23869.37714342719118576497,8494.75165206886049418245,152370
9,4503.T 6702.T AAPL UNH PG MRK MCD IBM TRV ,0.38093666564352152148,24109.82940229854284552857,9184.31802174574477248825,155347
12,4503.T 6702.T 9022.T AAPL UNH JNJ PG HD MRK MCD IBM TRV ,0.38545238021038868981,24482.10397356654357281514,9436.68524916943897551391,152007
11,4503.T 6702.T 9022.T AAPL UNH PG HD MRK MCD IBM TRV ,0.44677683995874356571,24780.02194866356512648053,11071.13990033221489284188,151704
11,4503.T 6702.T 9022.T AAPL UNH WMT PG HD MRK IBM TRV ,0.44243214538555725168,25072.41917858677697950043,11092.84420718813817074988,198083
12,4503.T 6702.T 9022.T AAPL UNH WMT PG HD MRK MCD IBM TRV ,0.46133677063048961209,25869.38681579751573735848,11934.49937179099106288049,151153
10,4503.T 6702.T AAPL UNH PG HD MRK MCD IBM TRV ,0.46141414863377239186,26105.49837259637570241466,12045.44630625188801786862,44148
8,4503.T 6702.T UNH PG HD MRK MCD IBM ,0.49529008593886320044,26349.83565258638191153295,13050.81236484443070366979,35416
9,4503.T 6702.T AAPL UNH PG MCD DIS IBM TRV ,0.47166559247293571300,28051.48665993291797349229,13230.92107520391255093273,140367
10,4503.T 6702.T 9022.T AAPL UNH PG HD MCD IBM TRV ,0.48387841547381882368,28594.49954183111913152970,13836.26112956807992304675,152747
9,4503.T 6702.T AAPL UNH PG HD MCD IBM TRV ,0.52495933173707087782,29004.46379140205317526124,15226.16392932649250724353,16523
9,4503.T 6702.T UNH WMT PG HD MCD DIS TRV ,0.50557676207237312038,30870.82910342265313374810,15607.57382059800693241414,194540
10,4503.T 6702.T AAPL UNH WMT PG HD MCD IBM TRV ,0.49912828345945287056,31772.10146660953250830062,15858.35446692838013404980,150509
10,4503.T 6702.T 9022.T UNH PG HD MCD DIS IBM TRV ,0.52622190566840243431,32261.18786448009268497117,16976.54375717305447324179,34245
9,4503.T 6702.T UNH PG HD MCD DIS IBM TRV ,0.57605773570665574912,32489.00560141878304420970,18715.54300211415829835460,33525
10,4503.T 6702.T UNH WMT PG HD MCD DIS IBM TRV ,0.55189649540121821225,34424.27566190957440994680,18998.63709453334377030842,34569
7,4503.T 6702.T UNH HD MCD IBM TRV ,0.57252345705088159011,34629.31471746883471496403,19826.09497734823162318207,51710
9,4503.T 6702.T 9022.T PG HD MCD DIS IBM TRV ,0.53338353894374745945,37303.13258342674816958606,19896.87687103597636451013,33015
8,6702.T AAPL UNH PG HD MCD IBM TRV ,0.53136091253340100860,38069.16986190210445784032,20228.46883720934783923440,16996
10,4503.T 6702.T UNH PG HD MCD DIS VZ IBM TRV ,0.53405756650429647703,39065.39407885586842894554,20863.16929628511570626870,33751
