Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
0,,-nan(ind),0.00000000000000000000,0.00000000000000000000
10,4502.T  8766.T  7267.T  MSFT  UNH  JNJ  WMT  PG  MRK  KO ,0.02131603763576580407,18323.81572844550464651547,390.59114569838175157201
12,8316.T  4502.T  4519.T  8766.T  7267.T  MSFT  UNH  JNJ  WMT  PG  MRK  KO ,0.13784741341796027947,18419.22892878412676509470,2539.04306498615915188566
11,4502.T  4519.T  8766.T  7267.T  MSFT  UNH  WMT  PG  MRK  KO  MCD ,0.17703240672789380405,19757.67101492483925540000,3497.74805111009254687815
9,4519.T  8766.T  2914.T  MSFT  UNH  JNJ  WMT  PG  MRK ,0.18146648452445660049,20266.78985985841427464038,3677.74310846441085232073
8,8316.T  4519.T  7267.T  MSFT  UNH  JNJ  WMT  MRK ,0.23384727937962515587,20388.31228275458488496952,4767.75135846435478015337
11,8316.T  4502.T  4519.T  8766.T  7267.T  MSFT  UNH  WMT  PG  MRK  KO ,0.23983568015257275552,20685.03187209015959524550,4961.00868802038894500583
8,8316.T  4519.T  8766.T  MSFT  JNJ  WMT  MRK  MCD ,0.23466807867399927523,21669.83192226607206976041,5085.21782238667583442293
12,8316.T  4502.T  4519.T  8766.T  7267.T  AAPL  MSFT  JNJ  WMT  MRK  KO  MCD ,0.28901863201189170738,21827.72888742316354182549,6308.62034296949423151091
9,8316.T  4519.T  8766.T  2914.T  MSFT  JNJ  WMT  MRK  MCD ,0.31474184311613329079,21928.56956108125814353116,6901.83840055505334021291
7,8316.T  4519.T  7267.T  MSFT  JNJ  WMT  MRK ,0.35138087047373928185,22049.89721296889911172912,7747.91207654948993877042
11,8316.T  4502.T  4519.T  8766.T  7267.T  AAPL  MSFT  WMT  PG  MRK  KO ,0.34673071954836198749,22761.82598172712823725305,7892.22430087884822569322
7,8316.T  4519.T  7267.T  MSFT  UNH  WMT  MRK ,0.37417437212453819040,23767.96102670611435314640,8893.36189384825411252677
9,9433.T  4502.T  4519.T  8766.T  AAPL  MSFT  WMT  MRK  MCD ,0.40333891331974280892,25768.94452153417660156265,10393.61808071233463124372
6,8316.T  4519.T  7267.T  MSFT  WMT  MRK ,0.49642593987660232902,26279.45204354168163263239,13045.80168015727758756839
7,8316.T  4519.T  7267.T  AAPL  MSFT  WMT  MRK ,0.46560111156812428179,28994.88682472491200314835,13500.05153538388003653381
9,7203.T  9433.T  4502.T  4519.T  8766.T  AAPL  MSFT  WMT  MRK ,0.46194805936441146743,30591.02194068316748598590,14131.46321947272190300282
8,8316.T  4519.T  7267.T  2914.T  AAPL  MSFT  WMT  MRK ,0.46211766993685404747,31317.85782734532403992489,14472.53548658648833225016
5,8316.T  4519.T  7267.T  AAPL  MRK ,0.47635211955024509001,31950.00751709875839878805,15219.45380041625685407780
7,9433.T  4519.T  8766.T  AAPL  MSFT  WMT  MRK ,0.50175309081219332530,32220.55652203078716411255,16166.76382261792059580330
4,4519.T  2914.T  MRK  CRM ,0.53717505294674627869,34112.94008770075015490875,18324.62039777983227395453
4,4519.T  7267.T  AAPL  MRK ,0.46974593292521232835,40500.36046128917951136827,19024.87960869566813926212
9,6367.T  8058.T  4519.T  8766.T  AAPL  MSFT  WMT  MRK  KO ,0.44590252312238565224,43334.96944682879257015884,19323.17221577245072694495
8,8058.T  8316.T  4519.T  7267.T  AAPL  MSFT  WMT  MRK ,0.45113272804529630511,43873.55872431384341325611,19792.79823635521461255848
6,8058.T  4519.T  7267.T  AAPL  WMT  MRK ,0.47412521590178757780,45213.92734369790559867397,21437.06306359850714216009
7,6367.T  8058.T  8316.T  4519.T  AAPL  MSFT  MRK ,0.47930736487098629661,47692.29949764638877240941,22859.27039685475392616354
6,8058.T  8316.T  4519.T  7267.T  AAPL  MRK ,0.45502351664634310691,51283.19579247971705626696,23335.06009435706801014021
8,6367.T  8058.T  4502.T  4519.T  5108.T  AAPL  MRK  CRM ,0.44984873994719093426,51945.52300326737895375118,23367.62806891765285399742
9,7203.T  6367.T  8058.T  4519.T  8766.T  AAPL  MSFT  WMT  MRK ,0.46273976281290291057,52042.27809130315290531144,24082.03142021275562001392
8,6367.T  8058.T  4519.T  8766.T  AAPL  MSFT  WMT  MRK ,0.45843724946861491576,54173.26877081944985548034,24835.04433001848155981861
7,6367.T  8058.T  4519.T  5108.T  AAPL  MSFT  MRK ,0.46387878639025459382,55624.43567511709989048541,25802.99571461610321421176
6,6367.T  8058.T  4519.T  AAPL  MSFT  MRK ,0.47829782821930783010,55907.24033245360624277964,26740.31163274745267699473
5,8058.T  4519.T  5108.T  MRK  CRM ,0.46424906522845882373,58818.44473835724784294143,27306.40798797411480336450
5,8058.T  4519.T  2914.T  MRK  CRM ,0.45931228234115889508,59750.94291243563202442601,27444.34196114710357505828
6,6367.T  8058.T  4519.T  AAPL  MRK  CRM ,0.47281931790797726567,59992.56596936419373378158,28365.64412118410837138072
4,8058.T  4519.T  MRK  CRM ,0.47011910622713126706,61621.84193712419073563069,28969.60525555038111633621
6,6367.T  8058.T  4519.T  5108.T  MRK  CRM ,0.44936374816177399039,64768.03108216648979578167,29104.40520814061164855957
5,6367.T  8058.T  4519.T  MRK  CRM ,0.47245160837042082802,65143.88705300031870137900,30777.33421369103598408401
7,6367.T  8058.T  4519.T  7267.T  AAPL  MRK  CRM ,0.44120366208639716366,70351.23321894361288286746,31039.22172849211710854433
6,8035.T  8058.T  4519.T  AAPL  WMT  MRK ,0.44109398698305674058,70790.38822152819193433970,31225.21458071229062625207
7,6367.T  8058.T  4519.T  8766.T  AAPL  MRK  CRM ,0.42936134815182669389,73185.30100120640418026596,31422.93950277521435054950
7,8035.T  6367.T  8058.T  4519.T  AAPL  WMT  MRK ,0.43442131611528389534,74111.03532250518037471920,32195.41350346899344003759
