Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,61007.807670373746077530086040496826,4513.841030797581879596691578626633,0.073987923893052254253888122548,13,9432.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX CSCO NKE VZ HON DD 
2,61307.448778194098849780857563018799,4571.171043661962357873562723398209,0.074561429887583935416373037697,14,9432.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX KO CSCO NKE VZ HON DD 
3,63140.239649857183394487947225570679,5423.568183158860847470350563526154,0.085897174499734871289113868897,12,9433.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX CSCO NKE VZ DD 
4,64199.083074552545440383255481719971,5843.389437463302783726248890161514,0.091019827038301207022819028225,13,9432.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX CSCO NKE VZ GS DD 
5,64792.560094154192483983933925628662,5950.147674387998449674341827630997,0.091833810328554088542318822874,12,4502.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX CSCO NKE VZ DD 
6,65228.115974575528525747358798980713,6429.428719089369224093388766050339,0.098568364623553103576192313540,12,2914.T 6954.T 6702.T 5108.T AAPL WMT CVX KO CSCO MCD VZ DD 
7,65319.556759569080895744264125823975,6712.115854732348452671431005001068,0.102758135353529442279629790846,12,2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX CSCO NKE VZ DD 
8,65682.500799855217337608337402343750,7876.166783957990446651820093393326,0.119912711727555770790942801796,13,2914.T 8411.T 6954.T 6702.T 5108.T AAPL WMT CVX KO CSCO NKE VZ DD 
9,66830.574023221561219543218612670898,8084.397875183079122507479041814804,0.120968553590067931513551968692,12,2914.T 8411.T 6954.T 6702.T 5108.T AAPL WMT CVX CSCO NKE VZ DD 
10,67409.533301738920272327959537506104,8639.126275828315556282177567481995,0.128158820461755917907709090287,11,2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX CSCO VZ DD 
11,68961.632504402004997245967388153076,8661.095284501316200476139783859253,0.125592956111479164826860710491,10,2914.T 6954.T 6702.T AAPL WMT CVX MRK CSCO VZ DD 
12,69144.025849384619505144655704498291,8832.721480659552980796433985233307,0.127743812602114537035902230855,15,9432.T 6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX KO CSCO NKE VZ GS DD 
13,69484.174034334093448705971240997314,9086.350999493792187422513961791992,0.130768640856318868470609118049,14,9432.T 6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX CSCO NKE VZ GS DD 
14,70005.256943050902918912470340728760,9767.943122096899969619698822498322,0.139531565894302711505758907151,11,2914.T 6954.T 6702.T 5108.T AAPL MSFT WMT CVX KO VZ DD 
15,71071.806376354870735667645931243896,9818.436975911343324696645140647888,0.138148127598145209482538575685,13,8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX CSCO NKE VZ DD 
16,71176.557996860530693084001541137695,9885.027604673292444203980267047882,0.138880382570751775839212882602,13,6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX KO CSCO MCD VZ DD 
17,71497.376687832598690874874591827393,10114.693562860669771907851099967957,0.141469436102849149827775931954,10,2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX VZ DD 
18,71630.761476118233986198902130126953,10157.345170267477442394010722637177,0.141801440623438662624877792950,13,6501.T 2914.T 8411.T 6954.T 6702.T 5108.T AAPL CVX KO CSCO NKE VZ DD 
19,72039.942704002096434123814105987549,10656.947180459095761762000620365143,0.147931089066053095271158213109,14,6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX KO CSCO NKE VZ AXP DD 
20,73162.364708885012078098952770233154,11339.607100249058930785395205020905,0.154992353587389580793498566891,13,8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX KO CSCO VZ DD 
21,73840.003700409070006571710109710693,11667.206363212995711364783346652985,0.158006578799079339114896924912,13,6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX KO CSCO VZ DD 
22,74720.393382349211606197059154510498,11848.051361714615268283523619174957,0.158565163075190862507213296340,12,8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX CSCO VZ DD 
23,75066.250115194648969918489456176758,12589.295682993506488855928182601929,0.167709132448661174530357698131,13,6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX KO CSCO VZ AXP DD 
24,77290.611161154389264993369579315186,13047.018342998495427309535443782806,0.168804698875971853633259911476,11,6501.T 2914.T 6954.T 6702.T 5108.T WMT CVX KO CSCO HON GS 
25,78584.863500415405724197626113891602,13181.378627270332799525931477546692,0.167734319818480748232047972124,12,6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX CSCO VZ AXP DD 
26,79187.244677438546204939484596252441,13189.225834288381520309485495090485,0.166557453640588160048707777605,13,6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX MRK CSCO GS DD 
27,79351.639044740528333932161331176758,13207.859190441473401733674108982086,0.166447213308278829657638198114,11,6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX MRK CSCO DD 
28,79549.481520684159477241337299346924,13307.544343774678054614923894405365,0.167286374334375764760807214770,13,6501.T 2914.T 8411.T 6954.T 6702.T 5108.T AAPL WMT PG CVX KO CSCO DD 
29,79984.250729150822735391557216644287,13474.152251894887740490958094596863,0.168460067189003970256067077571,11,8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX VZ DD 
30,80041.344866889397962950170040130615,14132.389772537979297339916229248047,0.176563622163526473540784422767,12,6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX KO VZ AXP DD 
31,80075.305327784881228581070899963379,14684.703989450665176264010369777679,0.183386175417495439488035913200,9,6501.T 2914.T 6954.T 6702.T WMT CVX KO CSCO GS 
32,83838.986772254094830714166164398193,14758.403172319298391812480986118317,0.176032699588915902966235194071,14,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX CSCO VZ GS DD 
33,84056.784463597054127603769302368164,14810.284761853656164021231234073639,0.176193805846423134919831454681,16,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX KO CSCO VZ GS AXP DD 
34,84152.359199908431037329137325286865,14861.117066279250138904899358749390,0.176597747318953612882808101858,11,6501.T 2914.T 6954.T 6702.T 5108.T MSFT WMT CVX KO HON GS 
35,84154.964005113055463880300521850586,14914.154686428957575117237865924835,0.177222518751511903811746151405,15,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX MRK KO CSCO GS DD 
36,84165.299170637212228029966354370117,14916.618198014322842936962842941284,0.177230026447981664494690789979,15,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX KO CSCO VZ GS AXP DD 
37,84228.229321827151579782366752624512,14934.185252320105064427480101585388,0.177306176000188303598648076331,11,6501.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX VZ AXP DD 
38,84334.537263677746523171663284301758,14991.514659228818345582112669944763,0.177762458248354571210825270100,13,6501.T 2914.T 8411.T 6954.T 6702.T 5108.T AAPL WMT PG CVX VZ GS DD 
39,85027.675441411396604962646961212158,15611.581352285691536962985992431641,0.183605882099445422150907347714,14,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX MRK CSCO GS DD 
40,86517.857429430412594228982925415039,15614.309430565392176504246890544891,0.180474989724536794000187001075,14,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX CSCO VZ GS AXP DD 
41,87122.008292531623737886548042297363,15713.075299464773706858977675437927,0.180357129127517473721198371095,15,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX MRK KO CSCO GS AXP DD 
42,87247.614696353863109834492206573486,15848.477850594961637398228049278259,0.181649411342099192934185225567,8,6501.T 2914.T 6954.T 6702.T WMT CVX CSCO GS 
43,87416.834434739226708188652992248535,15956.662875419306146795861423015594,0.182535354644209918406616566244,12,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX KO CSCO GS 
44,88244.361193279386498034000396728516,16011.942490830922906752675771713257,0.181450035722513447478121406675,15,6501.T 8766.T 2914.T 8411.T 6954.T 6702.T 5108.T AAPL WMT CVX MRK KO CSCO GS DD 
45,88747.588371365622151643037796020508,16246.725414893269771710038185119629,0.183066669337634296832462155180,15,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL MSFT WMT CVX KO VZ GS AXP DD 
46,89539.103808688363642431795597076416,16467.487610531785321654751896858215,0.183913920399702224273141837330,14,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX MRK CSCO GS AXP DD 
47,89921.951099631522083654999732971191,16584.806374545256403507664799690247,0.184435570755906524942346891294,12,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT PG CVX CSCO GS 
48,90581.730200538964709267020225524902,16916.738138315748074091970920562744,0.186756624110223645729433883389,11,6501.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX CSCO GS 
49,90675.530129725419101305305957794189,17274.963486450549680739641189575195,0.190514061089425479345038638712,8,6501.T 2914.T 6954.T 6702.T WMT CVX KO GS 
50,93438.907394524707342498004436492920,17290.215292107910499908030033111572,0.185042995195822207454838803642,14,6501.T 8766.T 2914.T 8411.T 6954.T 6702.T 5108.T AAPL WMT PG CVX VZ GS DD 
51,94523.597056039056042209267616271973,17447.467148014664417132735252380371,0.184583190773736610656996504076,10,6501.T 2914.T 8411.T 6954.T 6702.T 5108.T AAPL WMT CVX GS 
52,94531.592491589137353003025054931641,17604.903656049838900798931717872620,0.186233016836315545816660232958,14,6501.T 8766.T 2914.T 8411.T 6954.T 6702.T 5108.T AAPL WMT CVX MRK KO GS DD 
53,94831.704935360030503943562507629395,17620.421314407976751681417226791382,0.185807281714681332696059712362,13,6501.T 8766.T 2914.T 6954.T 6702.T AAPL WMT CVX MRK VZ GS AXP DD 
54,95374.825930217353743501007556915283,17835.763584357551735593006014823914,0.187007036819206329258946652772,14,6501.T 8001.T 8766.T 2914.T 6954.T 6702.T 5108.T AAPL WMT CVX VZ GS AXP DD 
