Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,34188.21417371068673674017,318.53315151515704428675,0.00931704563147658579,11,8306.T 8001.T 6902.T 2914.T 5108.T UNH V WMT NKE VZ CAT 
2,34616.02847022883361205459,664.38794993412864187121,0.01919307266879355725,13,6501.T 8001.T 6902.T 2914.T 5108.T UNH V WMT PG CVX NKE VZ CAT 
3,35337.56911137553834123537,881.25117575758395105368,0.02493808142207212114,10,8316.T 8001.T 6902.T 2914.T 5108.T UNH WMT NKE VZ CAT 
4,35518.35223300439247395843,884.96023451911878510145,0.02491557684640548567,12,6501.T 8001.T 6902.T 2914.T 5108.T UNH V PG CVX NKE VZ CAT 
5,35558.62950149565585888922,1563.61722266138258419232,0.04397293271934493708,10,8306.T 8001.T 6902.T 2914.T 5108.T UNH WMT NKE VZ CAT 
6,35808.73710791856137802824,1735.01103820816479128553,0.04845217056885520179,12,6501.T 8001.T 6902.T 2914.T 5108.T UNH WMT PG CVX NKE VZ CAT 
7,35989.84768029301631031558,1776.63949670616693765623,0.04936501850434345251,11,8001.T 6902.T 2914.T 8411.T 5108.T UNH WMT CVX NKE VZ CAT 
8,36794.94727702501404564828,2301.04803689063510319102,0.06253706574346482028,12,8306.T 8001.T 6902.T 2914.T 6702.T 5108.T UNH WMT CVX NKE VZ CAT 
9,37032.98255225316825089976,2351.60300131749772845069,0.06350023247518368774,11,8058.T 8001.T 6902.T 2914.T 5108.T UNH WMT CVX NKE VZ CAT 
10,37923.80110375314689008519,2420.69707246374264286715,0.06383054973421894984,11,8306.T 8001.T 6902.T 2914.T 5108.T UNH WMT CVX NKE VZ CAT 
11,38185.17046953446697443724,2690.76651910406008028076,0.07046626965436365853,11,8306.T 8001.T 6902.T 2914.T 6702.T 5108.T UNH CVX NKE VZ CAT 
12,38398.74736954644322395325,2786.18639789192729949718,0.07255930437203834960,10,8058.T 8001.T 6902.T 2914.T 5108.T UNH CVX NKE VZ CAT 
13,39647.62696434488316299394,2856.11367061920009291498,0.07203744307793512325,10,8306.T 8001.T 6902.T 2914.T 5108.T UNH CVX NKE VZ CAT 
