Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,20630.462478615259897196665406227112,8264.502643385758346994407474994659,0.400597061357806316639340593611,24,9432.T 8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 7267.T 2914.T 3382.T 4503.T 6702.T MSFT UNH WMT CVX KO CSCO MCD VZ HON AXP DD WBA 
2,20930.464609454313176684081554412842,8846.665284458851601812057197093964,0.422669321944377840427620185437,23,9432.T 8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 7267.T 2914.T 4503.T 6702.T MSFT UNH WMT CVX HD KO CSCO MCD VZ HON DD WBA 
3,20985.689922870606096694245934486389,8954.193092044351942604407668113708,0.426680901364405507081301038852,24,9432.T 8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 7267.T 2914.T 3382.T 4503.T 6702.T MSFT UNH WMT JPM CVX KO CSCO MCD VZ HON DD WBA 
4,21105.402931305910897208377718925476,9524.112967160022890311665832996368,0.451264209366635027365077803552,24,9432.T 8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 7267.T 2914.T 3382.T 4503.T 6702.T MSFT UNH WMT CVX HD KO CSCO MCD VZ HON AXP WBA 
5,21138.173473393195308744907379150391,9733.614752543964641517959535121918,0.460475677560114204922570024792,23,9432.T 8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 7267.T 2914.T 4503.T 6702.T MSFT UNH WMT JPM CVX KO CSCO MCD VZ HON DD WBA 
6,21290.001529108260001521557569503784,10224.204932932461815653368830680847,0.480235049253221302212324417269,21,9432.T 8306.T 8035.T 8001.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH CVX HD CSCO MCD VZ HON IBM CRM DD WBA 
7,21331.609461186479165917262434959412,10374.105002312668148078955709934235,0.486325470245865476570656937838,24,9432.T 8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 7267.T 2914.T 3382.T 4503.T 6702.T MSFT UNH WMT JPM CVX KO CSCO MCD VZ HON AXP WBA 
8,21378.800602947711013257503509521484,11208.812719703973925788886845111847,0.524295676257839349254652461241,20,8306.T 8035.T 8001.T 4502.T 4519.T 7267.T 2914.T 4503.T 6702.T MSFT UNH CVX HD CSCO MCD VZ IBM CRM DD WBA 
9,21416.770555250528559554368257522583,11907.877009713234656373970210552216,0.556007124369827243626218660211,21,8306.T 8035.T 4063.T 8001.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM DD WBA 
10,21455.740291536858421750366687774658,13743.023459759460820350795984268188,0.640528980730641461782681744808,20,8306.T 8035.T 8001.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM DD WBA 
11,21629.352688551251048920676112174988,13979.492213228473701747134327888489,0.646320415341326115488129744335,21,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ HON IBM CRM DD WBA 
12,21685.982426314327312866225838661194,15182.317678075842195539735257625580,0.700098219191270243477731582971,20,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM DD WBA 
13,21964.641374559570976998656988143921,16163.253411193318243022076785564423,0.735876044391706729541624554258,21,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT CVX HD KO CSCO MCD VZ IBM CRM AXP WBA 
14,22176.897544054412719560787081718445,16390.092476873265695758163928985596,0.739061559188535888154092390323,21,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ HON IBM CRM WBA 
15,22367.501532002777821617200970649719,17713.069676225688453996554017066956,0.791910962915654104143925451353,20,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM WBA 
16,22673.011703217427566414698958396912,17767.308316373713751090690493583679,0.783632476749987039177369751997,20,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM GS WBA 
17,22729.009193246365612139925360679626,17830.461602682687953347340226173401,0.784480372685175453284500690643,21,8306.T 8035.T 8316.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ HON IBM CRM WBA 
18,22874.010888351218454772606492042542,18036.772789084145188098773360252380,0.788526895310237119218754742178,20,8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT CVX HD KO CSCO MCD VZ IBM CRM AXP WBA 
19,22874.898753651890729088336229324341,18274.881641998137638438493013381958,0.798905465716241547369236286613,20,8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ HON IBM CRM WBA 
20,23155.191088739371480187401175498962,18282.335633672479161759838461875916,0.789556672782691149059530744125,20,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 6702.T MSFT UNH WMT JPM CVX HD KO CSCO MCD VZ IBM CRM WBA 
21,23159.653362791101244511082768440247,18603.574882053646433632820844650269,0.803275186836027166314977421280,21,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM AXP WBA 
22,23174.503557281699613668024539947510,18613.334893617015040945261716842651,0.803181602039905961909482812189,20,8306.T 8035.T 8316.T 4502.T 4519.T 7267.T 2914.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM WBA 
23,23180.716218214176478795707225799561,19100.775437095257075270637869834900,0.823994187983151382681512586714,19,8306.T 8035.T 4502.T 4519.T 7267.T 2914.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM WBA 
24,23328.374105771126778563484549522400,19111.335471785369009012356400489807,0.819231352563806858313455450116,20,8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM TRV WBA 
25,23366.427029951115400763228535652161,19128.815978260845440672710537910461,0.818645313369541050008137972327,19,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM WBA 
26,23423.089404399946943158283829689026,19740.558045790909091010689735412598,0.842781996216208528771574037819,19,8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM WBA 
27,23799.467701556899555725976824760437,19797.478961609598627546802163124084,0.831845451749935516083667152998,19,8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM GS WBA 
28,23825.962855796678923070430755615234,20460.572016651254671160131692886353,0.858751108632461845893146801245,19,8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM MMM WBA 
29,23943.342901633073779521510004997253,20549.949801110054977471008896827698,0.858274046591398498406988437637,20,8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ AMGN IBM CRM WBA 
30,24150.119374557049013674259185791016,20769.529336262705328408628702163696,0.860017667579071831696069239115,21,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 6702.T MSFT UNH WMT JPM CVX HD MRK CSCO MCD VZ IBM CRM MMM WBA 
31,24192.131241448554646922275424003601,21321.937314986138517269864678382874,0.881358368230704236623296310427,21,8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD MRK CSCO MCD VZ IBM CRM MMM WBA 
32,24556.249044457468698965385556221008,22002.470790934330580057576298713684,0.896002917672821697081531056028,19,9432.T 8306.T 8035.T 8316.T 4502.T 4519.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM MMM WBA 
33,24949.934995176325173815712332725525,22147.731722941738553345203399658203,0.887686950976972588556179744046,21,8306.T 8035.T 8316.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM MMM WBA 
34,24962.799352379559422843158245086670,22614.212858464390592416748404502869,0.905916541620109150301232148195,19,8306.T 8035.T 8316.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM MMM WBA 
35,25130.046322908550791908055543899536,22808.554549028656765585765242576599,0.907620871682849994499520107638,20,8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM MMM WBA 
36,25328.395242210048309061676263809204,22823.701179463434527860954403877258,0.901111221662692862821586459177,19,9432.T 8306.T 8035.T 4502.T 4519.T 7267.T 6702.T MSFT UNH WMT JPM CVX HD MCD VZ IBM CRM MMM WBA 
37,25336.838835617847507819533348083496,23075.471998149849241599440574645996,0.910747869845190405335699779243,19,9432.T 8306.T 8035.T 8316.T 4502.T 4519.T 6702.T MSFT UNH WMT JPM CVX CSCO MCD VZ IBM CRM MMM WBA 
38,25423.510004076753830304369330406189,23435.443246993512730114161968231201,0.921802034543442339042940147920,19,8306.T 8035.T 4502.T 4519.T 7267.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD MCD VZ IBM CRM MMM WBA 
39,25520.883711723796295700594782829285,23687.214065679905615979805588722229,0.928150229170883300788830183592,19,8306.T 8035.T 8316.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT JPM CVX CSCO MCD VZ IBM CRM MMM WBA 
40,25897.686581000521982787176966667175,23983.206225716916378587484359741211,0.926075236515985222851554681256,19,8306.T 8035.T 8316.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX HD MCD VZ IBM CRM AXP MMM WBA 
41,26111.391469747792143607512116432190,24733.316329787227004999294877052307,0.947223220885904160226687054092,17,9432.T 8306.T 8035.T 4502.T 4519.T 6702.T MSFT UNH WMT CVX MCD VZ IBM CRM GS MMM WBA 
42,26364.037693331916671013459563255310,25056.207432932445954065769910812378,0.950393400449042302646773805463,19,8306.T 8035.T 8316.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA 
43,26460.929393482416344340890645980835,25415.968758094357326626777648925781,0.960509299584713649444722705084,17,8306.T 8035.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX MCD VZ IBM CRM GS MMM WBA 
44,27043.448759035502007463946938514709,25909.096156336720014223828911781311,0.958054439993723749857679194974,18,8306.T 8035.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA 
45,27228.357661308400565758347511291504,25972.547194727081659948453307151794,0.953878581947458781264970184566,18,8306.T 8035.T 8316.T 4502.T 4519.T 6702.T MSFT UNH WMT CVX MCD VZ AMGN IBM CRM AXP MMM WBA 
46,27311.763941775716375559568405151367,26450.634808048078411957249045372009,0.968470394824610170125822605769,17,8306.T 8035.T 8316.T 4502.T 4519.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM MMM WBA 
47,27440.601160078676912235096096992493,26514.186611933393578510731458663940,0.966239276510710842771345596702,17,8306.T 8035.T 8316.T 4502.T 4519.T 6702.T MSFT UNH WMT CVX MCD VZ IBM CRM GS MMM WBA 
48,27669.711513528276555007323622703552,26945.529551341343903914093971252441,0.973827628747308549073125050199,18,8306.T 8035.T 8316.T 4502.T 4519.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA 
49,28277.780749848629056941717863082886,27531.167571692851197440177202224731,0.973597179186001859818588854978,16,8306.T 8035.T 4502.T 4519.T 6702.T MSFT UNH WMT CVX MCD VZ IBM CRM GS MMM WBA 
50,28516.762072816967702237889170646667,28033.638940795553935458883643150330,0.983058275312331475426219640212,18,8306.T 8035.T 4502.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA 
51,29199.726754877458006376400589942932,28121.452076780751667683944106101990,0.963072439439297323104938186589,18,8306.T 8035.T 4519.T 8411.T 4503.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA 
52,29416.306468497085006674751639366150,28429.776614246078679570928215980530,0.966463163711341000094989794889,18,8306.T 8035.T 6367.T 4502.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX HD MCD IBM CRM MMM WBA 
53,29704.264951762466807849705219268799,28923.721327474577265093103051185608,0.973722843317098241122664603608,16,8306.T 8035.T 4519.T 8411.T 6702.T MSFT UNH WMT CVX MCD VZ IBM CRM AXP MMM WBA 
54,30206.414946591568877920508384704590,29957.711262719687510980293154716492,0.991766527596485092388434168242,16,8306.T 8035.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM MMM WBA 
55,30955.541690523783472599461674690247,30023.772567067513591609895229339600,0.969899763577986240292716502154,16,8306.T 8035.T 4519.T 8411.T 6702.T MSFT UNH WMT CVX MCD VZ IBM CRM GS MMM WBA 
56,31056.186189532189018791541457176208,30403.640298334856197470799088478088,0.978988215513169501846846287663,17,8306.T 8035.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA 
57,31516.179622121842839987948536872864,30487.151577243308565812185406684875,0.967349213730326673577053497866,18,8306.T 8035.T 4502.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX HD MCD IBM CRM AXP MMM WBA 
58,31525.680600169838726287707686424255,30647.065959759478573687374591827393,0.972130192792550640312754239858,18,8306.T 8035.T 4502.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD AMGN IBM CRM AXP MMM WBA 
