Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,112448.565454762458102777600288391113,2539.437019762827731028664857149124,0.022583098410307703846067184372,7,9433.T 4519.T 9022.T UNH JNJ MRK WBA 
2,113696.401456758700078353285789489746,4079.500121212141948490170761942863,0.035880644144781204118999085040,8,9432.T 9433.T 4519.T 9022.T UNH JNJ MRK WBA 
3,114841.615307469764957204461097717285,5445.568695652175847499165683984756,0.047418078203380807644773398124,6,9433.T 4519.T 9022.T UNH JNJ MRK 
4,115790.573523490398656576871871948242,6783.373135704855485528241842985153,0.058583120622757035855787677292,7,9432.T 9433.T 4519.T 9022.T UNH JNJ MRK 
5,121478.991720082180108875036239624023,8845.127992094863657257519662380219,0.072811997093919250678695220813,9,9432.T 9433.T 6367.T 4519.T 9022.T MSFT UNH JNJ WBA 
6,122824.520252390808309428393840789795,9877.889528326746585662476718425751,0.080422781282017435922071513232,8,9432.T 9433.T 4519.T 9022.T MSFT UNH JNJ WBA 
7,122846.787607345133437775075435638428,12633.647312252975098090246319770813,0.102840681130660652198294258142,3,9433.T JNJ WBA 
8,122898.173633201906341128051280975342,15332.183715415027108974754810333252,0.124755179529152229744859425864,4,9433.T 9022.T MSFT JNJ 
9,130666.512201205245219171047210693359,16128.294624505939282244071364402771,0.123430972119857151891864077697,4,9432.T 9433.T MSFT JNJ 
10,131175.322941452031955122947692871094,16818.153090909072489012032747268677,0.128211257375105386335789603436,4,9432.T 9433.T JNJ MCD 
11,131310.889915721258148550987243652344,22536.301633728598972084000706672668,0.171625534243146027346682558345,3,9432.T 9433.T JNJ 
12,131842.866700620797928422689437866211,26425.387509881427831714972853660583,0.200430923349734779748132496024,2,9433.T JNJ 
13,151218.125075858435593545436859130859,26882.869960474308754783123731613159,0.177775448194378432598128370046,3,9433.T 9983.T JNJ 
14,173472.523967056098626926541328430176,29249.167246376819093711674213409424,0.168609798125330112572584084774,3,9432.T 9433.T 9983.T 
15,173816.633876595966285094618797302246,29974.715889328075718367472290992737,0.172450215038735171768635723311,2,9432.T 9433.T 
16,188036.256011192890582606196403503418,30674.778023715422023087739944458008,0.163132252653921699936390155017,3,9433.T 9022.T WMT 
17,191103.887458996468922123312950134277,30725.290144927534129237756133079529,0.160777944151031443320576386213,4,9432.T 9433.T 9983.T WMT 
18,195224.686343648267211392521858215332,36432.771277997366269119083881378174,0.186619694262772861659271939061,2,9433.T 9983.T 
19,222942.750073318107752129435539245605,45180.441106719365052413195371627808,0.202654901726389807814499022243,1,9433.T 
20,301102.291087845689617097377777099609,48152.460658761534432414919137954712,0.159920605335790028123099659751,4,9433.T 9983.T 4519.T WMT 
21,329357.537133768782950937747955322266,48157.956179183151107281446456909180,0.146217865843536964920446052929,3,9432.T 9433.T 4519.T 
22,335932.173413853684905916452407836914,52504.524505928857252001762390136719,0.156295016259861446750178970433,3,9433.T 9983.T 4519.T 
23,355038.503314358356874436140060424805,54990.501739130442729219794273376465,0.154886022856063954034055996090,3,9433.T 4519.T WMT 
24,441730.590404156537260860204696655273,64829.056916996050858870148658752441,0.146761529143094704430438923737,2,9433.T 4519.T 
25,839741.878304583020508289337158203125,84535.062450592886307276785373687744,0.100667913122621646704324405164,1,4519.T 

fitness_time:,115492
execution time:,0.211187867000000001338477773061 s
Exp_times:,1
gen:,10000
theta:,0.000299999999999999973718939339
market:,NIKKEI30&DJIA30
