Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,70089.242521687061525881290435791016,18378.533670805532892700284719467163,0.262216183391036583572031304357,9,9983.T 8316.T 4502.T 8411.T 6954.T 9022.T JNJ PG KO 
2,71961.208409502505674026906490325928,18554.290867837516998406499624252319,0.257837399870392058875978591459,8,9983.T 8316.T 8411.T 6954.T 9022.T JNJ PG KO 
3,72712.009643639496061950922012329102,20862.788202103241928853094577789307,0.286923553679116594139486551285,11,8306.T 9433.T 4502.T 4519.T 8411.T 6954.T 9022.T JNJ PG KO BA 
4,73976.236123821421642787754535675049,21933.297268542144593084231019020081,0.296491122254857519813242561213,13,8306.T 9433.T 9983.T 8316.T 4502.T 4519.T 8411.T 6954.T 9022.T JNJ PG KO BA 
5,74557.804448647395474836230278015137,22850.295031634021142963320016860962,0.306477574019396514781732321353,13,8306.T 9983.T 8316.T 4502.T 4519.T 8411.T 6954.T 9022.T UNH JNJ PG KO BA 
6,75146.071314568558591417968273162842,23286.262275663273612735792994499207,0.309879969349093176145260031262,12,8306.T 9433.T 4502.T 4519.T 8411.T 6954.T 9022.T JNJ PG MRK KO BA 
7,75225.254800005597644485533237457275,23836.328434207014652201905846595764,0.316866037842988335082594630876,11,8306.T 9433.T 4502.T 4519.T 8411.T 6954.T 9022.T PG MRK KO BA 
8,75241.925321033326326869428157806396,23934.735026103673590114340186119080,0.318103702476801142307039071966,14,8306.T 9433.T 9983.T 8316.T 4502.T 4519.T 8411.T 6954.T 9022.T JNJ PG MRK KO BA 
9,76364.389402578599401749670505523682,24449.559573138314590323716402053833,0.320169646669272334182920758394,13,8306.T 9433.T 9983.T 8316.T 4502.T 4519.T 8411.T 6954.T 9022.T PG MRK KO BA 
10,76567.478516365925315767526626586914,24786.210731009450682904571294784546,0.323717212729050740627201321331,14,8306.T 9983.T 8316.T 4502.T 4519.T 8411.T 6954.T 9022.T UNH JNJ PG MRK KO BA 
11,76839.125827468917123042047023773193,26130.847045726804935839027166366577,0.340072154183531705218257457091,13,8306.T 9983.T 8316.T 4502.T 4519.T 8411.T 6954.T 9022.T JNJ PG MRK KO BA 
12,77462.672592203147360123693943023682,26985.664184145633043954148888587952,0.348369908771541947345440348727,9,8306.T 9983.T 4502.T 8411.T 6954.T 9022.T PG KO BA 
13,77839.232687349824118427932262420654,29037.728469204088469268754124641418,0.373047465483600571012345881172,12,8306.T 9983.T 8316.T 4502.T 8411.T 6954.T 9022.T JNJ PG MRK KO BA 
14,79000.253684300900204107165336608887,30115.165677552995475707575678825378,0.381203404711819904271408177010,11,8306.T 9983.T 8316.T 4502.T 8411.T 6954.T 9022.T PG MRK KO BA 
15,81285.244262566426186822354793548584,30654.375446431433374527841806411743,0.377121034998825988004966802691,9,8306.T 4502.T 8411.T 6954.T 9022.T PG MRK KO BA 
16,81848.000378435666789300739765167236,30985.922422185456525767222046852112,0.378578856892260229294322471105,10,8306.T 9983.T 8316.T 4502.T 6954.T 9022.T PG MRK KO BA 
17,81848.402874805935425683856010437012,31714.403914589231135323643684387207,0.387477370366030193782336255026,8,8306.T 4502.T 8411.T 6954.T 9022.T PG MRK BA 
18,84603.310759368483559228479862213135,31865.746911631882539950311183929443,0.376648935196702727701278945460,9,8306.T 9983.T 4502.T 8411.T 6954.T JNJ PG MRK BA 
19,85220.130062860785983502864837646484,31948.368396370060509070754051208496,0.374892274545979176103571717249,9,8306.T 9983.T 8316.T 4502.T 6954.T 9022.T PG MRK BA 
20,85278.039389241617755033075809478760,32418.135537159028899623081088066101,0.380146351503113821834745067463,9,8306.T 9983.T 4502.T 8411.T 6954.T PG MRK KO BA 
21,85360.059747055915067903697490692139,33725.749110916571225970983505249023,0.395099877048525338629758607567,8,8306.T 9983.T 4502.T 8411.T 6954.T PG MRK BA 
22,88264.437073445427813567221164703369,34469.997729952512599993497133255005,0.390530987030142107130359363509,9,8306.T 9983.T 8316.T 4502.T 9022.T PG MRK KO BA 
23,91021.799418668408179655671119689941,34551.309350451076170429587364196777,0.379593784907801601313792616565,8,8306.T 4502.T 8411.T 9022.T PG MRK KO BA 
24,92242.469396637286990880966186523438,36562.654546778401709161698818206787,0.396375495863636295723608782282,8,8306.T 9983.T 4502.T 8411.T PG MRK KO BA 
25,94267.225203050737036392092704772949,38612.011025954197975806891918182373,0.409601650444088916103169140115,7,8306.T 9983.T 4502.T 8411.T PG MRK BA 
26,99000.096132502992986701428890228271,38763.066448086254240479320287704468,0.391545745533471711841144724531,6,8306.T 4502.T 9022.T PG MRK BA 
27,101757.358719260344514623284339904785,41031.098363700424670241773128509521,0.403224876118312369754903556895,7,8306.T 9983.T 8316.T 4502.T PG MRK BA 
28,110531.133479180643917061388492584229,42163.872550579195376485586166381836,0.381466028831786763131361794876,6,8306.T 9983.T 8411.T PG MRK BA 
29,114857.318170703758369199931621551514,42194.039810601600038353353738784790,0.367360482402103338817056510379,6,8306.T 4502.T 8411.T PG MRK BA 
30,115367.594667981305974535644054412842,42679.716984658087312709540128707886,0.369945452251881412575329477477,6,8306.T 9983.T 8316.T 4502.T MRK BA 
31,116774.971466926523135043680667877197,43067.234630438259046059101819992065,0.368805353488233844672095074202,5,8306.T 9022.T PG MRK BA 
32,119021.015863390435697510838508605957,44988.166020690747245680540800094604,0.377985061666144095404717972997,6,8306.T 9983.T 8316.T PG MRK BA 
33,127469.205244235883583314716815948486,46301.594786312918586190789937973022,0.363237494872563848602453617787,5,8306.T 4502.T PG MRK BA 
34,130215.988932444321108050644397735596,50107.951528639299795031547546386719,0.384806443044679868936697175741,4,8306.T 4502.T MRK BA 
35,153828.153916774987010285258293151855,51394.966952543647494167089462280273,0.334106375484097994910115403400,5,8306.T 4502.T MRK NKE BA 
36,159383.138299484737217426300048828125,53573.638407622922386508435010910034,0.336131155272879456052947944045,4,8306.T PG MRK BA 
37,175803.762037618289468809962272644043,54028.838275556525331921875476837158,0.307324699138096346651138901507,3,8411.T MRK BA 
38,178252.397603550547501072287559509277,61069.775069449642614927142858505249,0.342602825490596452073788213966,3,8306.T MRK BA 
39,257938.104092469846364110708236694336,63628.118494741902395617216825485229,0.246679794435999494295330691784,5,8306.T MRK NKE CAT BA 
40,268149.052662547677755355834960937500,66634.107628890211344696581363677979,0.248496524478667241142559873879,2,8306.T BA 
41,302595.278231037373188883066177368164,67051.838156301688286475837230682373,0.221589175311276032065421759398,4,8306.T NKE CAT BA 
42,313374.646040462888777256011962890625,70220.551312229770701378583908081055,0.224078597932147016713599896320,2,MRK BA 
43,341506.867725166375748813152313232422,70551.110707094441750086843967437744,0.206587677656519863589323904307,3,8306.T CAT BA 
44,386439.047421961266081780195236206055,73525.445712058979552239179611206055,0.190264017579400895874286447906,2,NKE BA 
45,438471.965508099412545561790466308594,75145.336095873615704476833343505859,0.171380024282272030999862977296,3,NKE CAT BA 
46,529264.062114367727190256118774414062,90500.696203811443410813808441162109,0.170993465610093348105991140073,1,BA 

fitness_time:,156937
execution time:,0.610016848000000000418197032559 s
Exp_times:,1
gen:,10000
theta:,0.000299999999999999973718939339
market:,NIKKEI30&DJIA30
