Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,80422.929585162390139885246753692627,3295.589358639841975673334673047066,0.040978230656843181445303514465,9,9433.T 8316.T 4502.T 7267.T 2914.T 8411.T 7733.T JNJ CSCO 
2,80636.816080752018024213612079620361,3485.716608626493780320743098855019,0.043227359139971464896401442957,11,9432.T 8306.T 9433.T 8316.T 4502.T 7267.T 2914.T 8411.T 7733.T JNJ CSCO 
3,80748.462496108928462490439414978027,5405.284134383176024130079895257950,0.066939777765349317562026953965,9,9432.T 9433.T 8316.T 4502.T 7267.T 2914.T 8411.T 7733.T CSCO 
4,83466.050045421376125887036323547363,5591.421468371327136992476880550385,0.066990368722714591087630253696,9,9432.T 8306.T 9433.T 8316.T 4502.T 2914.T 8411.T 7733.T CSCO 
5,83767.268163693457609042525291442871,6885.802259937011513102333992719650,0.082201585546291783268557651354,9,8306.T 9433.T 8316.T 4502.T 7267.T 2914.T 8411.T 7733.T JNJ 
6,85268.930981732963118702173233032227,8297.841361629205493954941630363464,0.097313772626126157638815072914,8,9432.T 8316.T 4502.T 7267.T 2914.T 8411.T 7733.T JNJ 
7,85587.389992692216765135526657104492,9712.046522842034391942434012889862,0.113475203808309693664924111545,7,9432.T 8316.T 4502.T 7267.T 2914.T 8411.T 7733.T 
8,87604.390215564853860996663570404053,10331.697700976870692102238535881042,0.117935844031949177423967967115,7,9433.T 8316.T 4502.T 7267.T 2914.T 8411.T 7733.T 
9,90975.558618364186258986592292785645,10904.095854887102177599444985389709,0.119857421273212361167992412447,6,9432.T 4502.T 7267.T 2914.T 8411.T 7733.T 
10,91968.246405785146635025739669799805,11215.689108599794053588993847370148,0.121951755599574912514171387556,8,9432.T 9433.T 8316.T 4502.T 7267.T 2914.T 8411.T 7733.T 
11,93728.502601994536234997212886810303,12285.438390466026248759590089321136,0.131074732332324639383358544364,6,9432.T 8316.T 4502.T 7267.T 2914.T 7733.T 
12,97829.756891462558996863663196563721,12624.444796391395357204601168632507,0.129045039030380226385830155778,9,9432.T 9433.T 9983.T 4502.T 7267.T 2914.T 8411.T 7733.T MRK 
13,98970.988995772902853786945343017578,13071.286417285005882149562239646912,0.132071898542342414106798287321,6,9432.T 8316.T 4502.T 2914.T 8411.T 7733.T 
14,98997.050001543466350995004177093506,13170.473917151539353653788566589355,0.133039054365217929154496800948,7,9432.T 8316.T 4502.T 2914.T 8411.T 5108.T 7733.T 
15,99257.112809689642745070159435272217,13699.631603907535463804379105567932,0.138021661280582352837598136830,8,9432.T 9433.T 8316.T 4502.T 8766.T 2914.T 8411.T 7733.T 
16,101340.234011096457834355533123016357,13788.339208509041782235726714134216,0.136059871412959831893374484935,8,9432.T 9433.T 9983.T 8316.T 4502.T 2914.T 8411.T 7733.T 
17,102610.907802738234749995172023773193,13857.284210751080536283552646636963,0.135046892260135442676016737096,6,9432.T 9433.T 9983.T 2914.T 8411.T MRK 
18,102770.863596065450110472738742828369,14069.124604249182084458880126476288,0.136897989488022703286063119776,9,9432.T 9433.T 9983.T 8316.T 4502.T 2914.T 8411.T 7733.T MRK 
19,104051.209721902952878735959529876709,15238.626746330010064411908388137817,0.146453143476738018025073984063,6,9432.T 9433.T 9983.T 8316.T 2914.T MRK 
