Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,7100.08043962497231404996,13797.18871080135795637034,1.94324399957504256875,18,9984.T 6367.T 8001.T 6954.T AAPL MSFT V JPM PG HD KO DIS VZ HON CRM INTC MMM DD 
2,7234.18833649765383597696,14649.30878745646805327851,2.02501070003227967575,18,9984.T 6367.T 8001.T 6954.T AAPL MSFT V PG HD KO CSCO DIS VZ HON CRM INTC MMM DD 
3,7689.52331704152129532304,15512.67275609755597542971,2.01737768604178269172,18,9984.T 6367.T 8001.T 6954.T AAPL MSFT V HD KO CSCO DIS VZ HON IBM CRM INTC MMM DD 
4,8297.76554664140167005826,16330.40409059234843880404,1.96804838589374608837,14,9984.T 9433.T 6367.T 8001.T AAPL MSFT V HD KO VZ HON CRM AXP MMM 
5,8321.27559503191878320649,16430.17609059233654988930,1.97447805963808042939,17,9984.T 6367.T 8001.T 6954.T AAPL MSFT V PG HD KO CSCO VZ AMGN HON CRM INTC MMM 
6,8422.95710849050556134898,16970.06413240417168708518,2.01473946902780909340,15,9984.T 9433.T 6367.T 8001.T AAPL MSFT PG HD KO VZ AMGN HON CRM MMM TRV 
7,8681.96831712809944292530,17609.03621254353129188530,2.02823087683973568573,18,9984.T 6501.T 6367.T 8001.T AAPL MSFT V PG HD KO CSCO VZ HON CRM GS INTC MMM DD 
8,9330.36528534268290968612,19245.24228571429193834774,2.06264617698807040114,15,9984.T 9433.T 6367.T 8001.T AAPL MSFT PG HD KO VZ AMGN HON IBM CRM MMM 
9,10432.11761922989899176173,19303.39257839721176424064,1.85038103316766400219,15,9984.T 9433.T 8001.T AAPL MSFT PG HD KO CSCO DIS VZ HON IBM CRM MMM 
10,10609.90658591546161915176,22483.88439721253962488845,2.11914065549452201864,19,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V PG HD CSCO MCD HON IBM CRM GS INTC MMM DD 
11,10919.10372359983739443123,22684.03747386756367632188,2.07746332007450096313,18,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V PG HD MCD HON IBM CRM INTC AXP MMM DD 
12,11076.20913684506376739591,23275.86660278743875096552,2.10142895599182510935,18,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V PG HD CSCO HON IBM CRM INTC AXP MMM DD 
13,11232.95523801653507689480,23408.41712195122454431839,2.08390549289543658418,17,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V HD CSCO MCD HON IBM CRM INTC TRV DD 
14,11358.83878281052056991030,23981.25404878049812396057,2.11124169532819161432,18,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V PG HD CSCO MCD HON IBM CRM GS INTC MMM 
15,11906.71605670995268155821,24501.74092682928676367737,2.05780845114060539913,17,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V PG HD CSCO MCD HON IBM CRM INTC DD 
16,12056.09373643089929828420,24780.17294076652979128994,2.05540645938130239756,17,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V PG HD CSCO HON IBM CRM INTC AXP MMM 
17,12321.03006904825815581717,25379.44422648082763771527,2.05984760074863393342,17,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V PG HD CSCO AMGN HON IBM CRM INTC DD 
18,12918.16937384935590671375,25800.15803135888927499764,1.99719923812014221731,16,9984.T 6367.T 4519.T 6702.T AAPL MSFT PG HD KO CSCO HON IBM CRM AXP MMM DD 
19,12982.56416347982667502947,26363.24790940764069091529,2.03066571267700002323,17,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V PG HD CSCO AMGN HON IBM CRM INTC MMM 
20,13168.58183245550935680512,27169.85622648082062369213,2.06323327539473799774,16,9984.T 6367.T 8001.T 4519.T 6702.T AAPL MSFT V PG HD CSCO AMGN HON IBM CRM INTC 
21,13735.78990449468437873293,27773.49681533098919317126,2.02198031627164187540,15,9984.T 6367.T 4519.T 6702.T AAPL MSFT PG HD KO CSCO HON IBM CRM AXP MMM 
22,14470.63523846423959184904,28042.51575609753854223527,1.93789113566749504614,15,9984.T 6367.T 4519.T 6702.T AAPL MSFT JNJ HD KO CSCO HON IBM CRM GS MMM 
23,14523.13149933544809755404,28950.06155749126992304809,1.99337598498064760832,14,9984.T 6367.T 4519.T 6702.T AAPL MSFT HD KO CSCO HON IBM CRM AXP MMM 
