Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,24789.35237918614802765660,699.76510671939752228354,0.02822845454030257009,7,9432.T 2914.T 3382.T 7733.T JNJ MCD BA 
2,25559.19630673870415193960,939.35554940711426752387,0.03675215519822321031,8,9432.T 4502.T 2914.T 3382.T 7733.T JNJ MCD BA 
3,26468.22680829045566497371,1121.23143873517756219371,0.04236141116880493690,8,9432.T 9433.T 2914.T 3382.T 7733.T JNJ MCD BA 
4,26557.60574201040435582399,2127.17094071146811984363,0.08009648766442008239,10,9432.T 9433.T 4502.T 2914.T 3382.T AAPL JNJ MCD NKE BA 
5,26573.87866565035437815823,4027.65079051386555875069,0.15156428014101097634,9,9432.T 9433.T 2914.T 3382.T 7733.T AAPL JNJ MRK BA 
6,26975.39707783691483200528,4028.45364163375143107260,0.14933806646144029417,8,9432.T 2914.T 3382.T 7733.T AAPL JNJ MRK BA 
7,26979.92464878963801311329,4444.99745718051326548448,0.16475203378227087914,9,9432.T 9433.T 4502.T 2914.T 3382.T AAPL JNJ MCD BA 
8,27437.22549504282505949959,4706.55728590251055720728,0.17153911158957599326,10,9432.T 9433.T 4502.T 2914.T 3382.T 7733.T AAPL JNJ MCD BA 
9,27591.54590545962128089741,4774.49627140976190275978,0.17304199945045550812,9,9432.T 4502.T 2914.T 3382.T 7733.T AAPL JNJ MCD BA 
10,27880.02843480078445281833,6770.27816600792812096188,0.24283612844372282069,9,9432.T 9433.T 4502.T 2914.T 3382.T AAPL MRK KO BA 
11,28910.04520258356205886230,7114.64329644272856967291,0.24609588973617116392,8,9432.T 4502.T 2914.T 3382.T AAPL MRK KO BA 
12,29077.37633557136723538861,8928.01139130438423308078,0.30704322454232008122,8,9432.T 9433.T 4502.T 2914.T 3382.T AAPL MRK BA 
13,30232.28963491235845140181,9225.69250856393409776501,0.30516023165873851219,8,9432.T 4502.T 2914.T 3382.T 5108.T 7733.T AAPL BA 
14,30301.05853514546834048815,9232.93684057975042378530,0.30470674250111390302,8,9432.T 9433.T 4502.T 3382.T AAPL MRK KO BA 
15,30471.85124397828622022644,11358.60621080371493007988,0.37275733987603898445,7,9432.T 4502.T 2914.T 3382.T 7733.T AAPL BA 
16,30942.03125780906339059584,12612.35919367588576278649,0.40761251543538579156,5,9432.T 4502.T 2914.T MRK BA 
17,33782.90989960577280726284,13620.74111462455766741186,0.40318436615146358015,6,9432.T 9433.T 3382.T AAPL MRK BA 
18,34488.66301101356657454744,14651.88075889331776124891,0.42483179919773650379,7,9432.T 9433.T 4502.T 2914.T AAPL MRK BA 
19,34547.55271585930313449353,15405.31928326748675317504,0.44591636953188767967,6,9432.T 4502.T 3382.T 7733.T AAPL BA 
20,35262.22743846224329899997,15997.95787615282824845053,0.45368540328518980331,5,9432.T 9433.T 4502.T MRK BA 
21,35276.18548833757813554257,16131.24832411069837689865,0.45728437190137072310,8,9432.T 9433.T 4502.T 2914.T 6954.T AAPL CSCO BA 
22,35295.02579812450130702928,18987.68717259556797216646,0.53797062739658152442,4,9432.T 4502.T MRK BA 
23,37799.54205811412975890562,19243.96917786568519659340,0.50910588144902491070,6,9432.T 9433.T 4502.T AAPL MRK BA 
24,39763.22833973013621289283,20273.75930171280560898595,0.50986200437492945614,7,9432.T 9433.T 4502.T 6954.T AAPL CSCO BA 
25,40040.12920695759385125712,21032.72804743083906942047,0.52529121319059268735,4,9432.T 4502.T MCD BA 
26,41335.49037643691553967074,22985.24715151519558276050,0.55606567001362627867,6,9432.T 4502.T 6954.T AAPL CSCO BA 
27,44135.03139473388000624254,23227.74833728594239801168,0.52628824775363003408,6,9432.T 9433.T 6954.T AAPL CSCO BA 
28,44929.12803006554895546287,23554.28420289857604075223,0.52425420291122915017,7,9432.T 4502.T 4519.T 6954.T AAPL CSCO BA 
29,45275.52157096271548653021,24748.72057180503179552034,0.54662474805541572120,7,9432.T 9433.T 4502.T 4519.T 6954.T AAPL BA 
30,46518.28028714340325677767,24974.14212121218952233903,0.53686726953477847957,6,9432.T 4519.T 6954.T AAPL BA MMM 
31,46968.60784127280930988491,25171.65812121214548824355,0.53592514826664738870,7,9432.T 4502.T 4519.T 6954.T 7733.T AAPL BA 
32,47146.62182100345671642572,28206.05670092228319845162,0.59826251832017163235,6,9432.T 4502.T 4519.T 6954.T AAPL BA 
33,47992.21963499958656029776,28439.48043214758581598289,0.59258522836496085873,5,9432.T 4502.T 6954.T AAPL BA 
34,50859.13474867897457443178,28448.55788669303365168162,0.55935984808376948418,6,9432.T 9433.T 4519.T 6954.T AAPL BA 
35,51049.79967866228253114969,28710.76528063243313226849,0.56240701161130934871,5,9432.T 4502.T 4519.T AAPL BA 
36,53568.64931320768664591014,28942.80610803690797183663,0.54029374417885267512,6,9432.T 4519.T 6954.T 7733.T AAPL BA 
37,55312.77867222689383197576,29067.78119367590625188313,0.52551656039422822708,7,7203.T 9432.T 4502.T 7733.T AAPL MSFT BA 
38,55817.80893638013367308304,33315.85961528329062275589,0.59686792172827762837,5,9432.T 4519.T 6954.T AAPL BA 
39,61315.32849241769145010039,33480.51030566535337129608,0.54603817885124084075,6,7203.T 9432.T 7733.T AAPL MSFT BA 
40,61423.38629192947701085359,33529.73428985509235644713,0.54587896099535981875,7,7203.T 9432.T 9983.T 4502.T AAPL MSFT BA 
41,61541.53111552547488827258,34880.53680632412579143420,0.56678045173829916248,6,7203.T 9432.T 9983.T 2914.T AAPL BA 
42,63082.69715859026473481208,34913.16288274047110462561,0.55345069972148741577,4,9432.T 6954.T AAPL BA 
43,63598.61060086517682066187,35007.38305138344730949029,0.55044257603494273212,6,7203.T 9432.T 6954.T AAPL WMT BA 
44,64092.27874630899896146730,35175.10782872200798010454,0.54881974111035491948,3,9432.T 4519.T BA 
45,64137.62884218320687068626,35543.89396047432819614187,0.55418160293910290193,6,7203.T 9983.T 2914.T 7733.T AAPL BA 
46,64418.87401754303573397920,37169.46895388673874549568,0.57699656382948372180,6,7203.T 9432.T 9983.T AAPL WMT BA 
47,65904.61958176339976489544,37338.57788669304136419669,0.56655478968920525151,6,7203.T 9433.T 9983.T AAPL WMT BA 
48,66407.86595697085431311280,38195.54286693019093945622,0.57516594331880943614,6,7203.T 9432.T 9983.T 7733.T AAPL BA 
49,68566.51102596768760122359,38750.32532542819535592571,0.56514944023843605159,6,7203.T 9432.T 9983.T AAPL MSFT BA 
50,69998.22318855139019433409,38765.23605797102209180593,0.55380314373910133341,5,7203.T 9432.T AAPL MSFT BA 
51,70465.65070879519043955952,39902.34550197629869217053,0.56626661501893826856,6,7203.T 6758.T 9432.T 2914.T AAPL BA 
52,71948.32036445946141611785,41123.32227667983534047380,0.57156750940628842095,5,7203.T 9983.T 2914.T AAPL BA 
53,73071.64665621492895297706,41190.27220816869521513581,0.56369705751889409573,6,7203.T 6758.T 9432.T AAPL MRK BA 
54,73784.53361921290343161672,41303.27198418974148808047,0.55978224647115881751,6,7203.T 9432.T 9983.T 6954.T AAPL BA 
55,74229.37494930170942097902,42480.60215546773542882875,0.57228829131973391053,6,7203.T 6758.T 9432.T 4502.T AAPL BA 
56,74533.37401496253733057529,44306.40981291177013190463,0.59445061220517514400,5,7203.T 9432.T 9983.T AAPL BA 
57,76543.61044002539711073041,45102.09118313570070313290,0.58923391415505244062,5,7203.T 9983.T 7733.T AAPL BA 
