Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,92330.120293130225036293268203735352,3150.895400964109740016283467411995,0.034126408489024255554777909083,9,9432.T 9433.T 4502.T 2914.T UNH KO CSCO NKE DD 
2,93828.480710328687564469873905181885,3361.697620679642568575218319892883,0.035828115250613717934768942541,9,9432.T 9433.T 2914.T 3382.T UNH PG CSCO NKE DD 
3,93954.435906346610863693058490753174,4406.326966876596088695805519819260,0.046898551668904747691257739461,8,9432.T 2914.T 5108.T UNH PG CSCO NKE DD 
4,94254.286944454637705348432064056396,4607.277328292188940395135432481766,0.048881355720268949982543205124,9,9432.T 9433.T 2914.T 5108.T UNH PG CSCO NKE DD 
5,96559.880915961650316603481769561768,5047.807654091382573824375867843628,0.052276448626574108236031435126,10,9432.T 9433.T 2914.T 5108.T UNH V PG CSCO NKE DD 
6,97263.669419381592888385057449340820,6093.633085620560450479388236999512,0.062650660025441021194758661750,10,9432.T 4502.T 2914.T 5108.T MSFT UNH CSCO NKE AMGN DD 
7,99727.623553416182403452694416046143,6865.759832619713961321394890546799,0.068845116207369272398608472940,10,9432.T 2914.T 5108.T MSFT UNH V MRK CSCO AMGN DD 
8,103078.606723714809049852192401885986,7260.871623652743437560275197029114,0.070440141309964648952401944371,10,9432.T 2914.T 3382.T 5108.T MSFT UNH V CSCO AMGN DD 
9,105412.693011725772521458566188812256,7410.528886642537145235110074281693,0.070300157171947152967561578407,10,9432.T 4502.T 2914.T 5108.T MSFT UNH V CSCO AMGN DD 
10,105523.697474196145776659250259399414,7688.922653645054197113495320081711,0.072864416597278894305311780499,10,9432.T 9433.T 2914.T 5108.T MSFT UNH V CSCO AMGN DD 
11,105608.753343821925227530300617218018,7848.331028246877394849434494972229,0.074315156459575815173224100363,9,9432.T 2914.T 5108.T MSFT UNH V CSCO AMGN DD 
12,111138.327958277135621756315231323242,8246.461179404361246270127594470978,0.074199975210174087814074539438,10,9432.T 9433.T 2914.T 8411.T UNH WMT KO CSCO AMGN CRM 
13,111698.324090457928832620382308959961,8497.571554435213329270482063293457,0.076076088192276972166361304062,9,9432.T 9433.T 2914.T 8411.T UNH KO CSCO AMGN CRM 
14,112875.256804516087868250906467437744,8776.652963543210717034526169300079,0.077755331079716855091632510266,11,9432.T 8316.T 2914.T 6702.T 5108.T UNH WMT PG CSCO AMGN CRM 
15,113263.948788851965218782424926757812,8884.482383693881274666637182235718,0.078440514203300837348109553204,10,9432.T 9433.T 2914.T 8411.T UNH V PG CSCO AMGN CRM 
16,114324.649006822946830652654170989990,8896.517770878628653008490800857544,0.077818019544916169905057756750,10,9432.T 8316.T 2914.T 5108.T UNH WMT KO CSCO AMGN CRM 
17,115317.002906947338487952947616577148,9592.522407481188565725460648536682,0.083183937890075720922311575123,9,9432.T 8316.T 2914.T 5108.T UNH PG CSCO AMGN CRM 
18,116933.477982175492797978222370147705,9644.351141843626464833505451679230,0.082477245253183548157061011352,9,9432.T 2914.T 8411.T 5108.T UNH PG CSCO AMGN CRM 
19,119188.837427044039941392838954925537,9657.498287269771026331000030040741,0.081026868755064110350083694811,13,9432.T 9433.T 4519.T 2914.T 8411.T 5108.T UNH V WMT PG CSCO AMGN CRM 
