Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,35968.47911809808283578604,8362.00798550288891419768,0.23248155581022103555,8,8411.T 6702.T MSFT V MCD HON BA WBA 
2,36592.00429755127697717398,12175.72900936274891137145,0.33274288312699895620,6,AAPL MSFT V MCD BA WBA 
3,39646.01898905054258648306,13821.16241920874199422542,0.34861413003474261973,6,MSFT V KO MCD BA WBA 
4,40529.68681463064422132447,14079.35139232863366487436,0.34738367105383571865,5,MSFT V MCD BA WBA 
5,42684.39056780139071634039,15303.39549380855351046193,0.35852439944058944743,7,7203.T MSFT V MCD CRM BA WBA 
6,42698.58238236248871544376,15329.97968287530238740146,0.35902783716790698243,7,6902.T MSFT V MCD CRM BA WBA 
7,42964.83795397225912893191,15392.53802174576594552491,0.35825895673656715790,6,MSFT V MCD AMGN BA WBA 
8,43549.26068316714372485876,16303.73515252190918545239,0.37437455646230299866,7,MSFT V KO MCD CAT BA WBA 
9,45704.70716562645975500345,16791.69290244640797027387,0.36739526284669171696,8,8411.T MSFT V KO MCD CAT BA WBA 
10,45821.74679215120704611763,17661.89313198431773344055,0.38544783576451557838,6,MSFT V JPM MCD BA WBA 
11,47682.78261562551779206842,17997.82314406523801153526,0.37744909497306478041,8,AAPL MSFT V MCD IBM CRM BA WBA 
12,47698.19583091235108440742,18026.38755360921641113237,0.37792598314434855400,7,8411.T MSFT V JPM MCD BA WBA 
13,48437.37912392440921394154,18079.15230746003362582996,0.37324794682233947141,6,6902.T MSFT V CRM BA WBA 
14,48701.93249548740277532488,18095.52577469043535529636,0.37155662717012555296,7,MSFT V MCD IBM CAT BA WBA 
15,48796.99884533079602988437,18623.84027786167280282825,0.38165954297502291404,8,8411.T MSFT V KO MCD CRM BA WBA 
16,49133.76050194729759823531,19340.39692540019314037636,0.39362745142687954880,9,8411.T MSFT V KO MCD IBM CRM BA WBA 
17,50232.46482187126093776897,19382.72634551497321808711,0.38586054684451231989,8,8411.T MSFT V KO CSCO CRM BA WBA 
18,50807.51498378636460984126,20191.64364542437033378519,0.39741450948482531791,8,8411.T MSFT V MCD IBM CRM BA WBA 
