Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
0,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,7781
6,4502.T 9022.T HD MRK KO VZ ,1.00880789535132753265,19220.43120433300282456912,19389.72275098815953242593,113445
7,4502.T 2914.T 9022.T V HD MRK VZ ,1.01860068634722611414,19427.69623007270274683833,19789.06471409747246070765,155887
7,4502.T 2914.T 9022.T HD MRK MCD VZ ,0.99615638399086636756,20325.11945915209071245044,20246.99750461133953649551,165775
7,8316.T 4502.T 2914.T 9022.T HD MRK VZ ,1.07924052075003196194,21172.92456841968305525370,22850.67813702240528073162,154944
8,8316.T 4502.T 2914.T 9022.T HD MRK VZ HON ,1.00356175795119484384,23488.80095797860121820122,23572.46238155471655772999,155249
6,4502.T 9022.T JNJ HD MRK VZ ,1.02060411678304041594,23516.28613682129798689857,24000.81844268775603268296,109709
7,8316.T 4502.T 9022.T JNJ HD MRK VZ ,1.02731380079587597542,23815.52548628849399392493,24466.01800527008526842110,108707
9,8316.T 4502.T 2914.T 9022.T AAPL JNJ HD MRK VZ ,0.99954682174785980386,24499.47984199332495336421,24488.37721054018766153604,107937
8,8316.T 4502.T 2914.T 9022.T JNJ HD MRK VZ ,0.98959585328148869099,24962.63375199404981685802,24702.91884795784062589519,108237
7,8316.T 2914.T 9022.T JNJ HD MRK VZ ,1.00629902740684129547,25183.55605594626467791386,25342.18796574439329560846,129283
11,9432.T 8058.T 2914.T 9022.T AAPL UNH V HD MRK VZ HON ,1.03205786395457943527,26363.32055455822046496905,27208.47229828721538069658,29820
10,9432.T 8058.T 2914.T 9022.T UNH V HD MRK VZ HON ,1.04579691511809014237,26439.36452831697897636332,27650.20586139655642909929,31043
12,9432.T 8058.T 8316.T 2914.T 9022.T UNH JNJ V HD MRK VZ HON ,1.03456159439184292026,27495.32026436374871991575,28445.60237101450911723077,44601
10,9432.T 8058.T 4502.T 9022.T AAPL UNH HD MRK VZ HON ,1.03296018770008934951,27819.94331325592065695673,28736.89386666668360703625,5820
11,9432.T 8058.T 8316.T 2914.T 9022.T AAPL UNH HD MRK VZ HON ,1.04140130444358525175,27996.34275536381028359756,29155.42786508559220237657,86520
10,9432.T 8058.T 8316.T 2914.T 9022.T UNH HD MRK VZ HON ,1.04346630195197187518,28552.26087435402223491110,29793.32206693016632925719,89385
10,9432.T 8058.T 9022.T AAPL UNH JNJ HD MRK VZ HON ,1.05067427690943415719,29011.25763768829347100109,30481.38214071144830086268,24280
8,9432.T 8058.T 9022.T UNH HD MRK VZ HON ,1.03971495208717423786,29376.58581289171706885099,30543.27551093547299387865,5691
