Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,8380.49766226291103521362,310.36162473868307642988,0.03703379408316413712,11,4568.T 8035.T 8316.T 4502.T 7267.T 6702.T 7733.T PG KO CRM TRV 
2,8513.85470493834873195738,2511.67064041810226626694,0.29500980783254865392,12,4568.T 8035.T 6367.T 8316.T 4502.T 7267.T 6702.T 7733.T PG KO CRM TRV 
3,8546.68758705448271939531,2640.86002891982661822112,0.30899222675693571727,11,4568.T 8035.T 6367.T 8316.T 4502.T 7267.T 6702.T 7733.T PG KO CRM 
4,8866.83579696978631545790,2699.49434773521534225438,0.30444844243735280642,12,4568.T 8035.T 6367.T 4502.T 7267.T 2914.T 6702.T 7733.T PG KO CRM TRV 
5,10060.13250936924669076689,3468.70731498260283842683,0.34479737833990864448,13,4568.T 8035.T 6367.T 4502.T 7267.T 8411.T 6702.T 5108.T 7733.T V PG KO CRM 
6,10072.16049639172160823364,4451.25811254351992829470,0.44193677355897481585,11,4568.T 8035.T 6367.T 8316.T 4502.T 7267.T 7733.T 9022.T PG KO CRM 
7,10455.36635753603513876442,4535.48549407663813326508,0.43379498517596598584,12,9432.T 4568.T 8035.T 6367.T 8316.T 4502.T 7267.T 6702.T 7733.T PG CRM TRV 
8,10627.67806985360584803857,5491.85058327530623500934,0.51674980623034205696,13,4568.T 8035.T 6367.T 4502.T 7267.T 8411.T 4503.T 6702.T 5108.T 7733.T PG KO CRM 
9,11493.27974229541541717481,6186.55957804876106820302,0.53827625506078502493,10,4568.T 8035.T 6367.T 8316.T 4502.T 7267.T 7733.T PG KO CRM 
10,11700.45876268390566110611,6827.12431637636746017961,0.58349201983002674243,13,4568.T 8035.T 6367.T 8316.T 4502.T 7267.T 4503.T 6702.T 5108.T 7733.T PG CRM TRV 
11,12374.23091985408609616570,7234.44744494773476617411,0.58463814776078559809,10,9432.T 4568.T 8035.T 6367.T 4502.T 7267.T 6702.T JPM KO CRM 
12,12417.38622933638180256821,7336.89198013931672903709,0.59085638834408871212,11,4568.T 8035.T 6367.T 4502.T 7267.T 6702.T 5108.T V JPM KO CRM 
13,12541.06844669763631827664,9425.99138571430012234487,0.75160991471953808585,8,4568.T 8035.T 6367.T 4502.T 7267.T 9022.T KO CRM 
14,13806.29225400241011811886,9727.73165261322537844535,0.70458682705294606308,11,4568.T 8035.T 6367.T 4502.T 7267.T 4503.T 6702.T 5108.T JPM KO CRM 
15,14069.40540039322149823420,10309.89587700348602083977,0.73278831504246355610,10,4568.T 8035.T 6367.T 4502.T 7267.T 6702.T 5108.T JPM KO CRM 
16,14226.73055950146226678044,10337.09903728223434882239,0.72659695030060866827,10,9432.T 4568.T 8035.T 6367.T 7267.T 6702.T 5108.T CRM AXP TRV 
17,15092.34578864992909075227,10485.63960522647721518297,0.69476539645096879738,10,4568.T 8035.T 6367.T 4502.T 7267.T 6702.T 5108.T KO CRM AXP 
18,15352.90998186298384098336,12636.17595226479716075119,0.82304761554600558426,7,4568.T 8035.T 6367.T 4502.T 7267.T KO CRM 
19,15937.82080786256665305700,13424.22637456446864234749,0.84228744546694411799,9,4568.T 8035.T 6367.T 4502.T 7267.T 6702.T 5108.T JPM CRM 
20,16775.24189816234866157174,13778.79121498257882194594,0.82137660360605491139,10,4568.T 8035.T 6367.T 4502.T 7267.T 4503.T 5108.T JPM PG CRM 
21,16782.66978535733505850658,13992.16068536585771653336,0.83372674695499515707,10,4568.T 8035.T 6367.T 4502.T 7267.T 4503.T 5108.T JPM KO CRM 
22,18509.83502811306971125305,15635.80651393729021947365,0.84472965265164956516,9,4568.T 8035.T 6367.T 4502.T 7267.T 5108.T 9022.T JPM CRM 
23,19364.66876267850238946266,15745.36019756096175115090,0.81309731607219493110,8,4568.T 8035.T 4063.T 4502.T 7267.T 5108.T JPM CRM 
24,19410.82503047692080144770,19201.84068536583799868822,0.98923361862347647389,8,4568.T 8035.T 6367.T 4502.T 7267.T 5108.T JPM CRM 
25,24832.95507630743668414652,19849.96688815330708166584,0.79933970110112728680,9,4568.T 8035.T 6367.T 8316.T 4502.T 7267.T 5108.T JPM CRM 
26,25130.20376653674247791059,19995.10999825784892891534,0.79566048027367131112,9,4568.T 8035.T 6367.T 4502.T 7267.T 8411.T 5108.T JPM CRM 
27,25373.89419761734097846784,20105.94867421603703405708,0.79238718809287167488,9,4568.T 8035.T 6367.T 4502.T 7267.T 2914.T 5108.T JPM CRM 
28,25771.52140963237980031408,20486.26360731705790385604,0.79491867327864074166,7,4568.T 8035.T 6367.T 4502.T 7267.T 5108.T CRM 
29,26831.39327966087876120582,22488.93837386756058549508,0.83815768117099420653,7,4568.T 8035.T 6367.T 7267.T 4503.T 5108.T AXP 
30,28363.95873289086011936888,22800.01585958188661606982,0.80383757691562907066,8,4568.T 8035.T 6367.T 4502.T 7267.T 4503.T 5108.T JPM 
