Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
0,,-nan(ind),0.00000000000000000000,0.00000000000000000000
28,7203.T  6758.T  9432.T  9433.T  4519.T  3382.T  8411.T  6954.T  4503.T  6702.T  9022.T  AAPL  JNJ  WMT  JPM  PG  MRK  CSCO  NKE  DIS  VZ  AMGN  HON  CAT  INTC  BA  TRV  DD ,1.77733161039325771036,7520.38985405214771162719,13366.22661008762042911258
28,6758.T  9432.T  4568.T  8316.T  6902.T  2914.T  3382.T  8411.T  6954.T  4503.T  6702.T  5108.T  9022.T  JNJ  JPM  PG  KO  CSCO  MCD  NKE  DIS  VZ  GS  CAT  INTC  BA  TRV  DD ,1.89020713214754332299,9199.32530413190579565708,17388.63030081549732130952
25,6758.T  9432.T  4568.T  8316.T  6902.T  3382.T  8411.T  6954.T  4503.T  6702.T  9022.T  JNJ  JPM  KO  CSCO  MCD  NKE  DIS  VZ  GS  CAT  INTC  BA  TRV  DD ,1.79445705138871147710,10687.40067449227171891835,19178.08150135912728728727
25,9432.T  4568.T  8316.T  6902.T  2914.T  3382.T  8411.T  6954.T  4503.T  6702.T  5108.T  9022.T  JNJ  JPM  KO  CSCO  MCD  NKE  DIS  VZ  CAT  INTC  BA  TRV  DD ,1.89182401778756204003,11112.98780389376952371094,21023.81723678648631903343
25,6758.T  8306.T  8035.T  4519.T  6902.T  3382.T  6954.T  4503.T  6702.T  9022.T  AAPL  MSFT  JNJ  WMT  JPM  PG  HD  KO  CSCO  NKE  VZ  CAT  INTC  BA  DD ,2.06140691512545171094,11854.43390378592448541895,24436.81202416190717485733
25,6758.T  9432.T  8306.T  9433.T  8035.T  4519.T  6902.T  3382.T  6954.T  6702.T  MSFT  JNJ  WMT  PG  HD  KO  CSCO  NKE  GS  CAT  INTC  AXP  BA  TRV  DD ,2.09622407933106158495,11941.37463194368501717690,25031.79704379344548215158
23,8306.T  8035.T  4519.T  2914.T  3382.T  6954.T  4503.T  6702.T  5108.T  9022.T  MSFT  WMT  JPM  PG  KO  CSCO  NKE  GS  CAT  INTC  AXP  BA  DD ,2.23559561740256240725,12015.18520649147467338480,26861.09538991244335193187
24,8035.T  4519.T  6902.T  3382.T  8411.T  6954.T  4503.T  6702.T  9022.T  AAPL  MSFT  JNJ  WMT  JPM  HD  KO  CSCO  NKE  VZ  CAT  INTC  BA  TRV  DD ,2.03609532986038921365,13469.60723398665140848607,27425.40438417393670533784
22,8306.T  8035.T  4502.T  4519.T  2914.T  3382.T  6954.T  6702.T  5108.T  9022.T  MSFT  WMT  JPM  PG  KO  CSCO  GS  CAT  INTC  AXP  BA  DD ,1.98612311598595625561,14423.64149858809469151311,28647.12779704013519221917
21,8306.T  9433.T  8035.T  4519.T  6902.T  3382.T  6954.T  6702.T  5108.T  MSFT  WMT  PG  HD  KO  CSCO  NKE  GS  CAT  INTC  AXP  DD ,2.19476598100585684747,15002.76681389551231404766,32927.56222410150076029822
20,8306.T  9433.T  8035.T  4519.T  6902.T  3382.T  6954.T  6702.T  MSFT  WMT  PG  HD  KO  CSCO  NKE  GS  CAT  INTC  AXP  DD ,2.25383323468183016658,15235.44486204257373174187,34338.15197523408278357238
18,8306.T  9433.T  8035.T  4519.T  6902.T  3382.T  6954.T  6702.T  MSFT  WMT  PG  HD  KO  CSCO  NKE  CAT  AXP  DD ,2.29747966902440792225,16508.57363742972665932029,37928.11229658711090451106
21,7203.T  9432.T  8306.T  8035.T  4519.T  6902.T  3382.T  8411.T  6954.T  4503.T  6702.T  MSFT  WMT  JPM  HD  MRK  KO  CSCO  NKE  GS  DD ,1.90676299713060148910,20091.47192115927100530826,38309.67521715497423429042
20,7203.T  9432.T  8306.T  8035.T  4519.T  6902.T  3382.T  8411.T  6954.T  4503.T  6702.T  MSFT  WMT  JPM  HD  KO  CSCO  NKE  GS  DD ,1.94502106155790666087,20542.22218403717852197587,39955.05479915437172167003
18,8306.T  9433.T  8035.T  4519.T  6902.T  3382.T  6954.T  6702.T  MSFT  WMT  HD  NKE  HON  GS  CAT  AXP  TRV  DD ,1.98990381675656746729,20743.78533960675849812105,41278.13762126241635996848
20,7203.T  8306.T  8035.T  4519.T  6902.T  3382.T  8411.T  6954.T  4503.T  6702.T  MSFT  JNJ  WMT  JPM  HD  KO  NKE  GS  CAT  DD ,1.94741519103030169546,22488.96265056570337037556,43795.34749622472736518830
16,8306.T  9433.T  8035.T  4519.T  6902.T  3382.T  6954.T  6702.T  MSFT  WMT  HD  NKE  HON  CAT  AXP  DD ,1.96882662733934576949,22527.73677499871701002121,44353.20801630927599035203
13,9432.T  8306.T  8035.T  6902.T  3382.T  6954.T  WMT  JPM  NKE  GS  CAT  AXP  DD ,1.99192294615808673797,23916.96542410584879689850,47640.75223074601672124118
13,9432.T  8306.T  8035.T  6902.T  3382.T  6954.T  WMT  JPM  HD  NKE  CAT  AXP  DD ,1.98899717742923876074,24285.94158707066526403651,48304.66926789491844829172
12,9432.T  8306.T  8035.T  6902.T  3382.T  6954.T  WMT  JPM  NKE  CAT  AXP  DD ,2.01081291774373793757,25564.68322221193739096634,51405.79526125036500161514
12,7203.T  9432.T  8306.T  8035.T  6902.T  3382.T  6954.T  WMT  JPM  NKE  GS  CAT ,1.89101415317773580149,27917.09325920560513623059,52791.61846874056209344417
12,8306.T  8035.T  6902.T  3382.T  6954.T  WMT  JPM  HD  NKE  CAT  AXP  DD ,1.94229915807086195301,27977.95226816544891335070,54341.55313500451302388683
11,7203.T  9432.T  8306.T  8035.T  3382.T  6954.T  WMT  JPM  CAT  AXP  DD ,1.85125795201685550140,29381.42496218906308058649,54392.59660283903940580785
11,8306.T  8035.T  6902.T  3382.T  6954.T  WMT  JPM  NKE  CAT  AXP  DD ,1.83625972752647759201,31325.31214927953260485083,57521.40915191789099480957
10,8306.T  8035.T  6902.T  3382.T  6954.T  WMT  HD  CAT  AXP  DD ,1.90233459839327179175,31769.21510195659357123077,60435.67705225005920510739
10,8306.T  8035.T  6902.T  3382.T  6954.T  WMT  JPM  CAT  AXP  DD ,1.81569417397396426495,33983.20110855050734244287,61703.10026578071847325191
10,7203.T  8306.T  8035.T  3382.T  6954.T  WMT  JPM  CAT  AXP  DD ,1.80773070486425457837,34398.91887946636416018009,62183.98187254604272311553
9,7203.T  8306.T  8035.T  3382.T  6954.T  WMT  JPM  CAT  DD ,1.72020375626350707776,37793.58980677327053854242,65012.67514829357241978869
8,8306.T  8035.T  6902.T  3382.T  6954.T  HD  CAT  DD ,1.68011430155975860501,40500.62961860762879950926,68045.68704439743305556476
9,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T  WMT  HD  CAT ,1.62108454202717511272,42127.21419376411358825862,68291.77572817880718503147
9,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T  WMT  JPM  CAT ,1.58833316910643307374,43882.52020068907586392015,69700.06237873755162581801
8,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T  CRM  GS ,1.50039636064119408232,47625.25919885989424074069,71456.76557656293152831495
7,8306.T  8035.T  6902.T  3382.T  6954.T  HD  DD ,1.45987528855920212223,49728.90596537673991406336,72598.00094593779067508876
8,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T  HD  CAT ,1.46322529968232561970,50510.78753640188369899988,73908.66223014192655682564
8,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T  WMT  CAT ,1.46790239717919490658,51007.26472027686395449564,74873.68615644818055443466
8,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T  JPM  CAT ,1.41476924629922584664,53360.70274409608100540936,75493.08120326184143777937
7,7203.T  8306.T  8035.T  6902.T  6954.T  HD  CAT ,1.38049693469660539336,55663.18909484412870369852,76842.86192086983646731824
7,7203.T  8306.T  8035.T  6902.T  6954.T  WMT  CAT ,1.37497198432603862095,56688.92600618505821330473,77945.68508003624447155744
7,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T  GS ,1.34542502863953039594,58034.59570646632346324623,78081.19759045602404512465
7,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T  HD ,1.32773872368641510100,59736.12237404390907613561,79313.96287888856022618711
7,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T  CRM ,1.31417930789647341427,61243.78342093882383778691,80485.31290909089148044586
6,8306.T  8035.T  6902.T  3382.T  6954.T  DD ,1.24968255016837725968,65913.90048027368902694434,82371.45124373305588960648
6,7203.T  8306.T  8035.T  6902.T  6954.T  GS ,1.20795195321034509739,68423.95203629013849422336,82652.84650860764668323100
7,7203.T  8306.T  8035.T  6902.T  6954.T  CRM  DD ,1.22395857171049238232,68454.74969652488653082401,83785.77766535786213353276
6,7203.T  8306.T  8035.T  6902.T  6954.T  HD ,1.19233610927291722170,70526.27440898490021936595,84091.02363032316497992724
6,7203.T  8306.T  8035.T  6902.T  6954.T  CAT ,1.22265095255718092560,71393.15685042459517717361,87288.91122923586226534098
6,7203.T  8306.T  8035.T  6902.T  6954.T  AXP ,1.18699159021899247612,73843.25729725731071084738,87651.32540622167289257050
8,7203.T  8035.T  8058.T  6902.T  3382.T  6954.T  CRM  CAT ,1.15168646150080267176,76110.08092649202444590628,87654.94978677133622113615
8,7203.T  8306.T  8035.T  8058.T  6902.T  3382.T  6954.T  CAT ,1.16422342811314805111,77342.35845893125224392861,90043.78570341286831535399
6,7203.T  8306.T  8035.T  6902.T  3382.T  6954.T ,1.16540648602472995954,77377.81190485341357998550,90176.60386831773212179542
8,7203.T  8035.T  4063.T  8058.T  6902.T  3382.T  6954.T  CAT ,1.08943071936238133901,83068.24868592266284395009,90497.10192207791260443628
11,7203.T  8306.T  9984.T  8035.T  8058.T  8316.T  6902.T  3382.T  6954.T  WMT  CAT ,1.07326571973967932472,84705.62399601090874057263,90911.64250407730287406594
8,7203.T  8306.T  8035.T  8058.T  6902.T  6954.T  CRM  DD ,1.04842993995092870207,87327.80725816299673169851,91557.08771972211252432317
11,7203.T  8306.T  9984.T  8035.T  4063.T  8058.T  6902.T  3382.T  6954.T  CRM  CAT ,1.04888467950135955142,87592.00482944425311870873,91873.91191241316846571863
5,7203.T  8035.T  6902.T  6954.T  HD ,1.04471650278987926441,88410.45076901403081137687,92363.85693748113408219069
5,7203.T  8035.T  6902.T  6954.T  CRM ,1.06007671106050005427,88676.76576926796406041831,94004.17420416790992021561
6,7203.T  8306.T  8035.T  6902.T  6954.T  DD ,1.05722223486773536649,88933.24445919611025601625,94022.20346118995803408325
7,7203.T  8306.T  8035.T  8058.T  6902.T  6954.T  CAT ,1.06726879365965965363,89292.25039745162939652801,95298.83236484446388203651
5,7203.T  8306.T  8035.T  6902.T  6954.T ,1.07604421064423849685,90915.85797861774335615337,97829.48263364542799536139
8,7203.T  8306.T  9984.T  8035.T  8316.T  6902.T  6954.T  CAT ,0.98021214103566434162,99945.59985690737084951252,97967.89042283296294044703
