Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,5346.95971936146997904871,10737.02810208398659597151,2.00806227569004303035,28,6758.T 9432.T 9433.T 4519.T 2914.T 3382.T 8411.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V WMT PG CVX MRK KO CSCO NKE DIS VZ HON CAT INTC BA DD 
2,5415.23790344808276131516,11358.29056055576802464202,2.09746843316403941415,28,6758.T 9432.T 9433.T 4502.T 4519.T 2914.T 3382.T 8411.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V JPM PG CVX MRK KO CSCO NKE DIS VZ CAT INTC BA DD 
3,5477.14292893574474874185,11624.33405194810984539799,2.12233534942766510767,28,6758.T 9432.T 9433.T 4519.T 2914.T 3382.T 8411.T 6954.T 4503.T 6702.T AAPL MSFT V WMT JPM PG CVX MRK KO CSCO NKE DIS VZ HON CAT INTC BA DD 
4,5629.55060863639664603397,12891.88980549685038567986,2.29003888618021589352,28,6758.T 9433.T 4502.T 4519.T 2914.T 3382.T 8411.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V WMT JPM PG CVX MRK KO CSCO NKE DIS VZ CAT INTC BA DD 
5,5657.34335561971147399163,13241.10510782240453409031,2.34051643598216063680,27,6758.T 9433.T 4502.T 4519.T 3382.T 8411.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V WMT JPM PG CVX MRK KO CSCO NKE DIS VZ CAT INTC BA DD 
6,5888.49342855791019246681,14871.03473331318309647031,2.52543964152051270133,27,6758.T 9432.T 8306.T 9433.T 4519.T 2914.T 3382.T 6954.T 4503.T 6702.T AAPL JNJ V WMT JPM PG CVX MRK KO CSCO NKE DIS CAT INTC BA TRV DD 
7,6304.03797875297004793538,15903.46393295074449270032,2.52274240519354853163,27,6758.T 9432.T 9433.T 4519.T 6902.T 3382.T 8411.T 6954.T 4503.T 6702.T AAPL JNJ V WMT JPM PG MRK KO CSCO NKE DIS VZ CAT INTC BA TRV DD 
8,6364.76453435290477500530,16131.92944186046406684909,2.53456814541852804012,25,6758.T 9432.T 8306.T 9433.T 4519.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V WMT JPM PG CVX MRK KO CSCO NKE DIS CAT INTC DD 
9,6373.28121107220886187861,17665.55484687404532451183,2.77181474688170581544,26,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V WMT JPM PG MRK KO CSCO NKE DIS VZ CAT INTC DD 
10,6684.79305845400267571677,17847.26369133191838045605,2.66983039493812990273,27,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V WMT JPM PG MRK KO CSCO NKE DIS VZ CAT INTC TRV DD 
11,6974.55895397068798047258,18264.43639021443232195452,2.61872277670207376232,26,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V WMT JPM PG KO CSCO NKE DIS VZ CAT INTC TRV DD 
12,7101.66452924897475895705,19107.50462458472247817554,2.69056705591884748330,25,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V WMT JPM PG KO CSCO NKE DIS VZ CAT TRV DD 
13,7236.87007741871912003262,19141.52746843854765756987,2.64500084479422303829,26,9432.T 9433.T 4519.T 6902.T 3382.T 8411.T 6954.T 4503.T 6702.T 5108.T 9022.T AAPL MSFT JNJ V WMT JPM PG KO CSCO NKE DIS VZ CAT INTC DD 
14,7241.37488894827220065054,19468.76729749318110407330,2.68854569692369560485,25,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT JNJ WMT JPM PG MRK CSCO NKE DIS VZ HON CAT TRV DD 
15,7404.71797174431685562013,19517.91740018117707222700,2.63587586652991401337,25,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT JNJ V WMT JPM PG CSCO NKE DIS VZ HON CAT TRV DD 
16,7570.33113904806668870151,19742.49508366049485630356,2.60787734658368197671,27,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 8411.T 6954.T 6702.T 5108.T MSFT JNJ V WMT JPM PG MRK KO CSCO NKE DIS VZ CAT INTC TRV DD 
17,7663.31866009028908592882,20266.74318876474353601225,2.64464314844581460662,26,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 8411.T 6954.T 6702.T MSFT JNJ V WMT JPM PG MRK KO CSCO NKE DIS VZ CAT INTC TRV DD 
18,7939.98143867266389861470,20372.19068619754398241639,2.56577308694605532580,25,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T MSFT JNJ V WMT JPM PG MRK KO CSCO NKE DIS VZ CAT INTC TRV DD 
19,7987.88998515942603262374,22587.29634128661564318463,2.82769246737889412557,22,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V WMT JPM PG KO CSCO NKE DIS VZ CAT TRV DD 
20,8629.48372631133497634437,22975.06733192388128372841,2.66239187193467863324,22,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V WMT JPM MRK KO CSCO NKE DIS VZ CAT TRV DD 
21,8773.55013707470970985014,23053.69050921169400680810,2.62763535273969361938,22,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V WMT JPM PG CSCO NKE DIS VZ HON CAT TRV DD 
22,8990.71676964413381938357,23185.04892056781682185829,2.57877647740487292438,23,6758.T 9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V WMT JPM PG KO CSCO NKE DIS VZ CAT AXP TRV DD 
23,9079.04836779644574562553,23440.43774569617744418792,2.58181659532069973650,23,6758.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T JNJ V WMT JPM PG KO CSCO NKE DIS VZ CAT AXP TRV DD 
24,9100.94248543660978612024,24088.93569797642339835875,2.64686165597944400574,22,6758.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T MSFT JNJ V WMT JPM PG KO NKE DIS VZ CAT TRV DD 
25,9298.19740391364030074328,24105.15262277253350475803,2.59245438396764926736,21,6758.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T MSFT JNJ V WMT JPM PG KO NKE DIS VZ CAT DD 
26,9637.01825505394299398176,25319.39721715497216791846,2.62730613837705639924,23,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T 5108.T 9022.T MSFT JNJ V WMT JPM KO CSCO NKE DIS VZ CAT TRV DD 
27,9719.60265991510277672205,25453.93346602235760656185,2.61882448867973449680,22,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T 5108.T 9022.T MSFT JNJ V WMT JPM KO CSCO NKE DIS VZ CAT DD 
28,10011.67403301137346716132,25728.97078103290550643578,2.56989697189471799632,22,8306.T 9433.T 4519.T 6902.T 2914.T 3382.T 6954.T 4503.T 6702.T MSFT JNJ V WMT JPM PG CSCO NKE DIS VZ CAT TRV DD 
29,10263.50134235298173734918,25878.01185623677156399935,2.52136293386054655130,22,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT JNJ V WMT JPM PG CSCO NKE DIS VZ CAT TRV DD 
30,10325.31768035832647001371,25995.75847296890788129531,2.51767154074302146327,21,9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T MSFT JNJ V JPM PG KO CSCO NKE DIS CAT TRV DD 
31,10563.92559285381867084652,26196.92599999998128623702,2.47984764467873786131,22,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T 9022.T MSFT JNJ V WMT JPM KO CSCO NKE DIS VZ CAT TRV DD 
32,10564.16090195591095834970,26313.86667653280892409384,2.49086197387062746600,23,9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T 5108.T 9022.T JNJ V WMT JPM KO CSCO NKE DIS VZ CAT AXP TRV DD 
33,10744.87791484113768092357,26923.98244759886802057736,2.50575042927297308992,21,8306.T 9433.T 4519.T 6902.T 3382.T 8411.T 6954.T 6702.T 5108.T MSFT JNJ V WMT JPM PG CSCO NKE DIS VZ TRV DD 
34,11059.01396917943020525854,27096.23149984898918773979,2.45014895318551673142,22,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT JNJ V WMT JPM PG KO CSCO NKE DIS CAT TRV DD 
35,11178.54164713071622827556,27145.53037028085600468330,2.42836062405765717997,22,9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T 5108.T 9022.T JNJ WMT JPM KO CSCO NKE DIS VZ CAT AXP TRV DD 
36,11185.35433235677555785514,27166.68950588944426272064,2.42877325998535198437,21,9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T MSFT JNJ V WMT JPM KO CSCO NKE DIS CAT TRV DD 
37,11287.29045304537794436328,27536.49515735424938611686,2.43960189311197694906,22,9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T 5108.T 9022.T JNJ V WMT JPM KO CSCO NKE DIS HON CAT TRV DD 
38,11353.69367772459736443125,27682.43893506493986933492,2.43818793432630265272,21,9432.T 8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T 5108.T JNJ V WMT JPM PG KO CSCO NKE DIS CAT TRV DD 
39,11445.02525208144288626499,27849.06694170943956123665,2.43329012634940955451,21,8306.T 9433.T 4519.T 6902.T 3382.T 8411.T 6954.T 6702.T 5108.T JNJ V WMT JPM KO CSCO NKE DIS VZ CAT TRV DD 
40,11497.96998463615636865143,27983.91895016609851154499,2.43381388084669136873,21,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T 5108.T 9022.T JNJ V WMT JPM KO CSCO NKE DIS VZ CAT TRV DD 
41,11639.97872280363117170054,28040.72381878583837533370,2.40900129515287364512,21,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T MSFT JNJ V WMT JPM PG KO CSCO NKE DIS CAT TRV DD 
42,11680.39445235353377938736,28365.90769556029408704489,2.42850597308764015736,20,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T 5108.T JNJ V WMT JPM KO CSCO NKE DIS VZ CAT TRV DD 
43,12141.62690081827531685121,28402.70110721837409073487,2.33928297576860932949,22,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T 5108.T JNJ V WMT JPM PG KO CSCO NKE DIS CAT AXP TRV DD 
44,12152.35940086414484540001,28684.52578193898079916835,2.36040795336412179140,19,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T 5108.T JNJ V WMT JPM KO CSCO NKE DIS VZ CAT DD 
45,12348.40535664533672388643,29541.89205194803071208298,2.39236494095571305962,19,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V WMT JPM KO CSCO NKE DIS VZ CAT TRV DD 
46,12445.18513611926209705416,29564.06940199339078390040,2.37554275638620593369,20,9432.T 8306.T 9433.T 6501.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V JPM PG KO CSCO NKE DIS CAT TRV DD 
47,12448.03946078180888434872,29614.00503594077599700540,2.37900957249060995835,21,8306.T 9433.T 4519.T 6902.T 3382.T 8411.T 6954.T 6702.T 5108.T JNJ V WMT JPM KO CSCO NKE DIS HON CAT TRV DD 
48,12920.88049199123815924395,29621.71558562366772093810,2.29254620874979275769,21,9432.T 8306.T 9433.T 6501.T 4519.T 6902.T 3382.T 6954.T 6702.T 5108.T JNJ V WMT JPM KO CSCO NKE DIS CAT TRV DD 
49,12938.30561167147425294388,29724.95142253097583306953,2.29743772598140605368,20,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T 5108.T MSFT JNJ V WMT JPM KO NKE DIS VZ CAT TRV DD 
50,12984.58376584314100909978,29907.90406644519680412486,2.30333945283021224171,18,8306.T 9433.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V WMT JPM KO CSCO NKE DIS VZ CAT DD 
51,13011.17938014662104251329,29990.66447598915328853764,2.30499200723886987774,20,9432.T 8306.T 9433.T 6501.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V JPM MRK KO CSCO NKE DIS CAT TRV DD 
52,13153.35319490197798586451,30793.64132890369000961073,2.34112479704709786077,20,9432.T 8306.T 9433.T 6501.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V WMT JPM KO CSCO NKE DIS CAT TRV DD 
53,13532.39198643610325234476,31208.79591784959120559506,2.30622907976143798336,19,9432.T 8306.T 9433.T 6501.T 4519.T 6902.T 3382.T 6954.T 6702.T JNJ V JPM KO CSCO NKE DIS CAT TRV DD 
54,13587.98595740003656828776,31222.36932527940371073782,2.29779228674251445597,23,7203.T 8306.T 9433.T 8035.T 4519.T 3382.T 8411.T 6954.T 6702.T MSFT WMT JPM PG KO CSCO NKE GS CAT INTC AXP BA TRV DD 
55,13852.93176046136250079144,31780.26863062515258206986,2.29411861547831152919,22,7203.T 8306.T 9433.T 8035.T 4519.T 3382.T 8411.T 6954.T 6702.T MSFT WMT JPM PG KO CSCO NKE GS CAT INTC AXP BA DD 
56,13974.50545268653695529792,31840.01446088797456468455,2.27843586799466102377,17,9432.T 8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT PG KO CSCO NKE CAT BA TRV DD 
57,14028.22765181604336248711,32227.73880881911827600561,2.29734928807254101812,22,7203.T 9432.T 8306.T 8035.T 4519.T 3382.T 8411.T 6954.T 6702.T MSFT WMT JPM PG KO CSCO NKE VZ GS CAT INTC AXP DD 
58,14145.27862628281218349002,32263.88924554515688214451,2.28089457252519833830,16,9432.T 8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT PG KO CSCO NKE CAT BA DD 
59,14298.55626720183136058040,32469.95870250680309254676,2.27085574905116205358,18,8306.T 9433.T 8035.T 4519.T 6902.T 3382.T 6954.T 6702.T MSFT WMT PG KO CSCO NKE CAT BA MMM DD 
60,14348.00056461601889168378,32809.25180610092502320185,2.28667762162016385830,17,8306.T 8035.T 4519.T 3382.T 8411.T 6954.T 6702.T MSFT WMT PG KO CSCO NKE HON CAT BA DD 
61,14555.30762031903032038826,33606.22842706130177248269,2.30886418231019874270,16,8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT PG KO CSCO NKE HON CAT BA DD 
62,14707.35927342578543175478,33898.05819148293085163459,2.30483648092639903382,16,9432.T 8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT PG KO CSCO NKE GS CAT DD 
63,14730.66418048735249612946,34111.05509030504617840052,2.31564949634039551896,18,8306.T 9433.T 8035.T 4519.T 6902.T 3382.T 6954.T 6702.T MSFT WMT JPM KO CSCO NKE CAT BA MMM DD 
64,14733.29769637824574601837,34209.08311990337097086012,2.32188908585704378851,17,9432.T 8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT PG KO CSCO NKE GS CAT AXP DD 
65,14817.93445295210221956950,34657.53382059802243020386,2.33889101957077283345,17,8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT JPM PG KO CSCO NKE CAT BA TRV DD 
66,14859.89413747906291973777,35257.57986469347088132054,2.37266696104975194359,16,8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT JPM PG KO CSCO NKE CAT BA DD 
67,15103.08294783975543396082,35483.74588160675193648785,2.34943726417672316131,19,9432.T 8306.T 8035.T 4519.T 6902.T 3382.T 6954.T 6702.T MSFT WMT PG HD KO CSCO NKE VZ CAT AXP DD 
68,15416.93729705865007417742,35827.33321171852003317326,2.32389433266709266590,18,9432.T 8306.T 8035.T 4519.T 6902.T 3382.T 6954.T 6702.T MSFT WMT HD KO CSCO NKE VZ GS CAT DD 
69,15512.28835532614903058857,36177.49547991543659009039,2.33218301847089382051,19,8306.T 8035.T 4519.T 6902.T 3382.T 6954.T 4503.T 6702.T MSFT WMT JPM PG HD KO CSCO NKE CAT BA DD 
70,15549.77019694784030434676,36451.02881425550003768876,2.34415225129244841895,18,8306.T 9433.T 8035.T 4519.T 6902.T 3382.T 6954.T 6702.T MSFT WMT JPM HD KO CSCO NKE CAT BA DD 
71,15559.34705710245543741621,36891.74881063123757485300,2.37103450904715629122,16,8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT JPM PG KO CSCO NKE GS CAT DD 
72,15818.27378730019154318143,37090.38760857748275157064,2.34478098604891727064,16,8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT PG HD KO CSCO NKE CAT TRV DD 
73,16155.06151125722863071132,37732.95585321651742560789,2.33567392033285070596,15,8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT PG KO CSCO NKE GS CAT DD 
74,16351.03268337532608711626,38308.22095137418364174664,2.34286247805764036301,15,8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT PG HD KO CSCO NKE CAT DD 
75,16427.13049690657135215588,38381.67829054671165067703,2.33648100000024028233,17,8306.T 9433.T 8035.T 4519.T 6902.T 3382.T 6954.T 6702.T MSFT WMT HD KO CSCO NKE GS CAT DD 
76,16643.08502955874428153038,38765.86393597102141939104,2.32924748429280947803,16,8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT JPM PG KO CSCO NKE CAT AXP DD 
77,16771.44424273266849922948,39153.19294170942885102704,2.33451528532941487981,15,8306.T 8035.T 4519.T 3382.T 6954.T 6702.T MSFT WMT JPM PG KO CSCO NKE CAT DD 
