Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,560.094427539852404152043163776398,117.370906070673598264875181484967,0.209555568310527962072598029408,1,PG{1%}Cash{99%}
2,566.642939514326599237392656505108,117.976245847184401327467639930546,0.208202092746982120319287901111,1,KO{1%}Cash{99%}
3,797.142643522893536101037170737982,509.230093627304029268998419865966,0.638819285061468677966445284255,1,DD{1%}Cash{99%}
4,1092.700046426578410319052636623383,872.442186650557118809956591576338,0.798427884673087118194700906315,2,JPM{1%}DD{1%}Cash{98%}
5,1543.939857164540171652333810925484,1107.054944125623251238721422851086,0.717032427777815062341915108846,3,WMT{1%}CAT{1%}DD{1%}Cash{97%}
6,1679.516674132067009850288741290569,1382.026650558730807460960932075977,0.822871646256759126103474955016,2,JPM{1%}DD{2%}Cash{97%}
7,2000.914096209395438563660718500614,1415.628988221062627417268231511116,0.707491136627445338369568617054,3,JPM{2%}CSCO{1%}DD{1%}Cash{96%}
8,2328.170362496404322882881388068199,1925.213452129268944190698675811291,0.826921209522201494657167586411,3,JPM{2%}CSCO{1%}DD{2%}Cash{95%}
9,3031.118324203842348651960492134094,2063.394337058282417274313047528267,0.680736980995374496572480893519,3,PG{2%}DIS{1%}DD{3%}Cash{94%}
10,3327.140864415417127020191401243210,2607.442017517374097224092110991478,0.783688495249660888042342321569,3,JPM{2%}PG{3%}DD{3%}Cash{92%}
11,3467.363508482417728373548015952110,2882.098070069475852506002411246300,0.831207360583575360912789165013,3,JPM{2%}PG{1%}DD{4%}Cash{93%}
12,3473.981350513464803952956572175026,2944.028009664761157182510942220688,0.847450723714917142359581703204,3,JPM{2%}CSCO{1%}DD{4%}Cash{93%}
13,3737.585710652359921368770301342010,3003.185080036240833578631281852722,0.803509354040221723813886001153,7,WMT{3%}CVX{1%}MCD{1%}DIS{1%}CAT{1%}TRV{1%}DD{3%}Cash{89%}
14,3877.821663809399979072622954845428,3245.984025974021278670988976955414,0.837063771206360884846731096331,3,JPM{3%}PG{1%}DD{4%}Cash{92%}
15,4041.514503690913443278986960649490,3363.541531259430939826415851712227,0.832247794282978903268599424337,3,JPM{3%}PG{2%}DD{4%}Cash{91%}
16,4044.979714237920234154444187879562,3500.993189368766252300702035427094,0.865515635849945952351447431283,6,JPM{2%}PG{1%}CSCO{1%}DIS{1%}IBM{1%}DD{4%}Cash{90%}
17,4411.224659636634896742179989814758,4123.700730897026915044989436864853,0.934819930761973005850506979186,5,WMT{3%}JPM{2%}DIS{1%}CAT{1%}DD{4%}Cash{89%}
18,4639.417584214375892770476639270782,4241.071636967684753471985459327698,0.914138802982067510960462186631,6,WMT{3%}JPM{2%}PG{1%}DIS{1%}CAT{1%}DD{4%}Cash{88%}
19,5140.402049336991694872267544269562,4303.476285110237768094521015882492,0.837186711040491360336091020145,7,WMT{3%}JPM{3%}CVX{1%}DIS{1%}AMGN{1%}IBM{1%}DD{4%}Cash{86%}
20,5208.443039532152397441677749156952,4610.863119903364349738694727420807,0.885267072118644970935008586821,6,WMT{1%}JPM{2%}PG{1%}CSCO{1%}DIS{1%}DD{6%}Cash{88%}
21,5420.303503414378610614221543073654,5173.232177589860839361790567636490,0.954417437018262648784627799614,6,WMT{3%}JPM{3%}CVX{1%}DIS{2%}IBM{1%}DD{5%}Cash{85%}
22,5621.940221026250583236105740070343,5474.526614315888764394912868738174,0.973778873322233118337010182586,5,WMT{5%}DIS{3%}IBM{1%}CAT{2%}DD{5%}Cash{84%}
23,6077.482619738260837038978934288025,5837.738707339186476019676774740219,0.960552102342433489212680797209,6,WMT{5%}JPM{1%}DIS{3%}IBM{1%}CAT{2%}DD{5%}Cash{83%}
24,6831.109491579842142527922987937927,6491.323443068556116486433893442154,0.950259024697216014843093034870,5,WMT{3%}JPM{4%}CSCO{1%}DIS{2%}DD{7%}Cash{83%}
25,6999.023406318158777139615267515182,6856.553264874674823659006506204605,0.979644282755952278129996102507,6,WMT{5%}JPM{1%}DIS{3%}IBM{1%}CAT{2%}DD{7%}Cash{81%}
26,8050.613436233239553985185921192169,7738.538846270017529604956507682800,0.961235924139808517452365776990,6,WMT{5%}JPM{1%}DIS{5%}IBM{2%}CAT{1%}DD{8%}Cash{78%}
27,8391.194805908897251356393098831177,7973.467257626094578881748020648956,0.950218346976207994813989898830,7,WMT{5%}JPM{1%}PG{2%}DIS{5%}IBM{2%}CAT{1%}DD{8%}Cash{76%}
28,8569.397764367980926181189715862274,8293.136647538500255905091762542725,0.967761898277357479614124713407,4,WMT{8%}JPM{1%}DIS{5%}DD{9%}Cash{77%}
29,8892.890557951594018959440290927887,8608.298743582019596942700445652008,0.967997827869915061782535303792,5,WMT{5%}JPM{3%}DIS{5%}IBM{2%}DD{9%}Cash{76%}
30,9177.154158554685636772774159908295,9020.908559347624759539030492305756,0.982974504240902047236261296348,4,WMT{8%}JPM{3%}DIS{5%}DD{9%}Cash{75%}
31,10482.970680617258040001615881919861,9416.489936575044339406304061412811,0.898265408104774287778582220199,5,JPM{7%}CSCO{1%}DIS{1%}IBM{2%}DD{12%}Cash{77%}
32,10569.845090279623036622069776058197,9982.506270009067520732060074806213,0.944432599034900510659440442396,7,WMT{11%}PG{1%}DIS{5%}CAT{2%}BA{1%}TRV{2%}DD{10%}Cash{68%}
33,11170.239535879092727554962038993835,10249.389320447015052195638418197632,0.917562178279679341308394668886,9,WMT{9%}JPM{3%}CVX{4%}CSCO{1%}DIS{5%}IBM{3%}CAT{1%}BA{1%}DD{9%}Cash{64%}
34,11611.455427150633113342337310314178,11212.145829054657951928675174713135,0.965610719465685218843020720669,8,WMT{11%}JPM{1%}CVX{2%}DIS{5%}IBM{1%}CAT{2%}BA{1%}DD{12%}Cash{65%}
35,11944.519858505131196579895913600922,11391.446674720613373210653662681580,0.953696490914977990094314463931,9,WMT{11%}JPM{1%}CVX{2%}CSCO{1%}DIS{5%}IBM{1%}CAT{2%}BA{1%}DD{12%}Cash{64%}
36,12054.979587764581083320081233978271,11870.655306553875561803579330444336,0.984709697775200787361882248661,4,WMT{9%}JPM{6%}DIS{5%}DD{12%}Cash{68%}
37,12829.900263445579184917733073234558,12197.943008154639755957759916782379,0.950743400781416392320011254924,4,WMT{15%}DIS{8%}CAT{2%}DD{11%}Cash{64%}
38,12850.455790314999831025488674640656,12218.795324675345909781754016876221,0.950845287050773979586892892257,6,WMT{10%}JPM{2%}PG{4%}DIS{5%}CAT{3%}DD{12%}Cash{64%}
39,13337.455109961416383157484233379364,12532.275439444287258083932101726532,0.939630187027526653231745967787,7,WMT{15%}CVX{3%}DIS{8%}IBM{2%}CAT{2%}BA{2%}DD{12%}Cash{56%}
40,14252.019670643225254025310277938843,13551.089996979773786733858287334442,0.950818923222001344264242561621,7,WMT{15%}CVX{3%}DIS{8%}IBM{2%}CAT{2%}BA{2%}DD{14%}Cash{54%}
41,14424.223850355174363357946276664734,13566.243044397466292139142751693726,0.940518060808063438571480219252,8,WMT{17%}JPM{1%}CVX{2%}DIS{6%}VZ{1%}CAT{4%}BA{1%}DD{12%}Cash{56%}
42,14719.139803916792516247369349002838,14367.529278163685376057401299476624,0.976112019422524790357442725508,5,WMT{14%}DIS{8%}IBM{2%}CAT{5%}DD{13%}Cash{58%}
43,14737.710371357914482359774410724640,14552.875342796723998617380857467651,0.987458361990855126855137768871,6,WMT{12%}JPM{2%}DIS{8%}IBM{1%}CAT{1%}DD{16%}Cash{60%}
44,15299.039871953216788824647665023804,14922.722615524005959741771221160889,0.975402557312168960734766187670,8,WMT{12%}JPM{2%}CVX{1%}DIS{8%}IBM{2%}CAT{1%}BA{1%}DD{17%}Cash{56%}
45,15350.754248546703820466063916683197,15255.621455753538612043485045433044,0.993802728435824511699081540428,6,WMT{11%}JPM{4%}DIS{7%}IBM{2%}CAT{2%}DD{16%}Cash{58%}
46,15602.312703691835849895142018795013,15351.376868015706349979154765605927,0.983916753852987935324847512675,7,WMT{11%}JPM{4%}PG{2%}DIS{7%}IBM{1%}CAT{2%}DD{16%}Cash{57%}
47,16024.119660232010573963634669780731,15828.753095741465585888363420963287,0.987807968947249093183415880048,5,WMT{14%}DIS{9%}IBM{2%}CAT{4%}DD{16%}Cash{55%}
48,16095.565592835078859934583306312561,15915.559432195712361135520040988922,0.988816412843578684821466140420,6,WMT{15%}JPM{1%}DIS{9%}IBM{1%}CAT{3%}DD{16%}Cash{55%}
49,16399.753671828981168800964951515198,16193.115354877681966172531247138977,0.987399913371488247015861361433,6,WMT{16%}JPM{3%}DIS{8%}CAT{2%}BA{1%}DD{17%}Cash{53%}
50,16515.580859657686232822015881538391,16283.155910601004507043398916721344,0.985926928575402317100895288604,6,WMT{15%}JPM{1%}DIS{9%}IBM{1%}CAT{4%}DD{16%}Cash{54%}
51,16823.474138356541516259312629699707,16597.925463606163248186931014060974,0.986593216544010886970283991104,7,WMT{10%}JPM{5%}PG{1%}DIS{8%}IBM{3%}CAT{1%}DD{18%}Cash{54%}
52,16920.447748390532069606706500053406,16785.319329507710790494456887245178,0.992013898160840623674516791652,6,WMT{15%}JPM{3%}DIS{9%}IBM{1%}CAT{2%}DD{17%}Cash{53%}
53,17272.575579813368676695972681045532,17065.557541528247384121641516685486,0.988014639893828872097003568342,6,WMT{16%}JPM{4%}DIS{8%}CAT{2%}BA{1%}DD{18%}Cash{51%}
54,17762.246851496525778202340006828308,17657.761516158236190676689147949219,0.994117560902522456878216416953,6,WMT{15%}JPM{4%}DIS{9%}IBM{1%}CAT{2%}DD{18%}Cash{51%}
55,18083.798812025524966884404420852661,17747.345789791575953131541609764099,0.981394781830341345063573044172,7,WMT{15%}JPM{5%}PG{2%}DIS{9%}IBM{1%}CAT{2%}DD{17%}Cash{49%}
56,18826.135495535050722537562251091003,18593.956562971929088234901428222656,0.987667201661318827632385364268,6,WMT{16%}JPM{4%}DIS{8%}CAT{2%}BA{1%}DD{21%}Cash{48%}
57,18998.005650828905345406383275985718,18711.327469042586017167195677757263,0.984910090719242847789871575515,7,WMT{16%}JPM{4%}PG{1%}DIS{8%}CAT{2%}BA{1%}DD{21%}Cash{47%}
58,19138.962160568797116866335272789001,19040.816399879149685148149728775024,0.994871939247998882116519325791,6,WMT{15%}JPM{5%}DIS{9%}IBM{1%}CAT{2%}DD{20%}Cash{48%}
59,19820.473992166298558004200458526611,19714.484916943521966459229588508606,0.994652545884388672448039869778,6,WMT{16%}JPM{4%}DIS{10%}IBM{2%}CAT{3%}DD{20%}Cash{45%}
60,20215.139971670458180597051978111267,20078.370872848085127770900726318359,0.993234323432138355158826925617,6,WMT{16%}JPM{5%}DIS{10%}IBM{2%}CAT{3%}DD{20%}Cash{44%}
61,20252.377700611847103573381900787354,20132.786384778002684470266103744507,0.994094949363390933960715756257,6,WMT{15%}JPM{4%}DIS{10%}IBM{3%}CAT{3%}DD{21%}Cash{44%}
62,20546.206927498016739264130592346191,20367.534491090318624628707766532898,0.991303872435521316042184025719,6,WMT{16%}JPM{3%}DIS{10%}IBM{3%}CAT{4%}DD{21%}Cash{43%}
63,20698.951238649358856491744518280029,20587.600966475380118936300277709961,0.994620487246423157223773614533,6,WMT{16%}JPM{5%}DIS{10%}IBM{2%}CAT{3%}DD{21%}Cash{43%}
64,20760.528879135774332098662853240967,20642.370848686179670039564371109009,0.994308525031443513064743910945,6,WMT{15%}JPM{4%}DIS{10%}IBM{3%}CAT{3%}DD{22%}Cash{43%}
65,20935.682904371791664743795990943909,20809.943751132559555117040872573853,0.993994026666645047463077844441,6,WMT{16%}JPM{3%}DIS{11%}IBM{3%}CAT{3%}DD{22%}Cash{42%}
66,21045.017392233137798029929399490356,20839.318048927809286396950483322144,0.990225746100773296376473808778,7,WMT{19%}JPM{3%}DIS{11%}IBM{1%}CAT{3%}BA{1%}DD{22%}Cash{40%}
67,21202.057810209636954823508858680725,21097.185430383571656420826911926270,0.995053669753906411266086706746,6,WMT{16%}JPM{5%}DIS{10%}IBM{2%}CAT{3%}DD{22%}Cash{42%}
68,21671.229720898671075701713562011719,21433.151422530962008750066161155701,0.989014084505868251717686234770,6,WMT{18%}JPM{2%}DIS{12%}IBM{3%}CAT{5%}DD{21%}Cash{39%}
69,21828.474395770441333297640085220337,21661.185406221666198689490556716919,0.992336203322519483371877413447,6,WMT{15%}JPM{4%}DIS{10%}IBM{3%}CAT{3%}DD{24%}Cash{41%}
70,22377.239206195034057600423693656921,22172.964258532167150406166911125183,0.990871306965949827372241998091,6,WMT{19%}JPM{2%}DIS{12%}IBM{3%}CAT{5%}DD{22%}Cash{37%}
71,22854.404829653933120425790548324585,22261.000661431589833227917551994324,0.974035457381397518084042985720,8,WMT{15%}JPM{6%}PG{2%}CVX{1%}DIS{10%}IBM{3%}BA{1%}DD{26%}Cash{36%}
72,23640.658204074665263760834932327271,23484.105182724255428183823823928833,0.993377806150785302996553127741,6,WMT{19%}JPM{4%}DIS{13%}IBM{3%}CAT{3%}DD{24%}Cash{34%}
73,24298.303548515814327402040362358093,23987.778973119911825051531195640564,0.987220318703489474465584407881,5,WMT{23%}JPM{4%}DIS{13%}CAT{3%}DD{24%}Cash{33%}
74,24478.648331230644544120877981185913,24204.517867713697341969236731529236,0.988801241808470177119261279586,6,WMT{24%}DIS{14%}IBM{2%}CAT{5%}BA{1%}DD{25%}Cash{29%}
75,24889.668771388129243860021233558655,24668.032026578079239698126912117004,0.991095231244506047474374099693,6,WMT{20%}JPM{3%}DIS{14%}IBM{4%}CAT{4%}DD{25%}Cash{30%}
76,25125.124523763432080158963799476624,24909.165478707323927665129303932190,0.991404657722119830864926370850,7,WMT{23%}JPM{3%}DIS{13%}IBM{1%}CAT{3%}BA{1%}DD{27%}Cash{29%}
77,25307.371671915680053643882274627686,25026.536384778024512343108654022217,0.988903024352809190133939409861,8,WMT{23%}JPM{3%}PG{1%}DIS{13%}IBM{1%}CAT{3%}BA{1%}DD{27%}Cash{28%}
78,25323.083190943842055276036262512207,25084.225617638188850833103060722351,0.990567595126367717028870174545,6,WMT{23%}JPM{2%}DIS{14%}IBM{2%}CAT{5%}DD{25%}Cash{29%}
79,25459.050057450323947705328464508057,25272.377571730576164554804563522339,0.992667735626486136268908921920,7,WMT{23%}JPM{4%}DIS{13%}IBM{1%}CAT{3%}BA{1%}DD{27%}Cash{28%}
80,25813.540211023493611719459295272827,25449.269205678047001129016280174255,0.985888374768917330470685556065,6,WMT{23%}JPM{2%}DIS{14%}IBM{3%}CAT{7%}DD{24%}Cash{27%}
81,25873.725947191000159364193677902222,25686.846584113565768348053097724915,0.992777253517376667701910264441,6,WMT{20%}JPM{3%}DIS{14%}IBM{4%}CAT{4%}DD{27%}Cash{28%}
82,26409.328357002214033855125308036804,26072.721528239217150257900357246399,0.987254245007190833760546411213,6,WMT{27%}DIS{15%}IBM{2%}CAT{6%}BA{1%}DD{26%}Cash{23%}
83,26968.544990744012466166168451309204,26657.182159468429745174944400787354,0.988454592882840099576924330904,8,WMT{22%}JPM{5%}PG{2%}DIS{13%}IBM{2%}CAT{4%}BA{1%}DD{28%}Cash{23%}
84,27321.837203915536520071327686309814,27169.113125943807972362264990806580,0.994410182710925405480395511404,6,WMT{22%}JPM{6%}DIS{13%}IBM{2%}CAT{4%}DD{28%}Cash{25%}
85,27704.911239583518181461840867996216,27400.335382059827679768204689025879,0.989006430849396656057592736033,8,WMT{21%}JPM{5%}PG{1%}DIS{14%}IBM{3%}CAT{3%}BA{1%}DD{30%}Cash{22%}
86,28003.722319486470951233059167861938,27883.451482935728563461452722549438,0.995705183933099813309297587693,6,WMT{21%}JPM{7%}DIS{14%}IBM{3%}CAT{3%}DD{29%}Cash{23%}
87,28148.548397955775726586580276489258,28029.823853820616932353004813194275,0.995782214327479153759270502633,6,WMT{21%}JPM{6%}DIS{14%}IBM{3%}CAT{3%}DD{30%}Cash{23%}
88,28507.675540438129246467724442481995,28389.325424343114718794822692871094,0.995848482422667768965141021908,6,WMT{21%}JPM{8%}DIS{14%}IBM{3%}CAT{2%}DD{30%}Cash{22%}
89,28683.686522298750787740573287010193,28536.593331319840217474848031997681,0.994871886817457751206461580296,6,WMT{21%}JPM{6%}DIS{14%}IBM{4%}CAT{4%}DD{30%}Cash{21%}
90,28739.829419941397645743563771247864,28572.340308064038254087790846824646,0.994172230132961520787659992493,6,WMT{23%}JPM{7%}DIS{14%}IBM{2%}CAT{4%}DD{29%}Cash{21%}
91,29109.877620258499518968164920806885,28940.887031108482915442436933517456,0.994194733782308603942112767982,6,WMT{19%}JPM{9%}DIS{14%}IBM{4%}CAT{2%}DD{31%}Cash{21%}
92,30313.668590589106315746903419494629,30169.288698278473020764067769050598,0.995237135621537483132215129444,6,WMT{23%}JPM{8%}DIS{15%}IBM{3%}CAT{2%}DD{32%}Cash{17%}
93,30675.502624524251586990430951118469,30533.174654183058009948581457138062,0.995360207391437934454359037773,6,WMT{23%}JPM{9%}DIS{15%}IBM{3%}CAT{2%}DD{32%}Cash{16%}
94,30819.694368704727821750566363334656,30678.873162186664558248594403266907,0.995430804574718330890448214632,6,WMT{23%}JPM{8%}DIS{15%}IBM{3%}CAT{2%}DD{33%}Cash{16%}
95,31682.421160634632542496547102928162,31555.699734219248057343065738677979,0.996000260656441427364882201800,6,WMT{23%}JPM{8%}DIS{15%}IBM{3%}CAT{3%}DD{34%}Cash{14%}
96,31994.553573202043480705469846725464,31751.508716399908735183998942375183,0.992403555303684403732233931805,7,WMT{27%}JPM{3%}DIS{17%}IBM{4%}CAT{5%}BA{1%}DD{34%}Cash{9%}
97,32147.466745904555864399299025535583,31979.102851102408749284222722053528,0.994762763233168367804637455265,6,WMT{26%}JPM{6%}DIS{17%}IBM{3%}CAT{4%}DD{33%}Cash{11%}
98,32429.525779081359360134229063987732,32167.702307460003794403746724128723,0.991926386053099684581013661955,7,WMT{30%}JPM{2%}DIS{17%}IBM{2%}CAT{6%}BA{1%}DD{34%}Cash{8%}
99,32925.641709249619452748447656631470,32771.864101479928649496287107467651,0.995329548650027096101666757022,6,WMT{26%}JPM{9%}DIS{16%}IBM{2%}CAT{3%}DD{34%}Cash{10%}
100,34731.792044546215038280934095382690,33866.395823014223424252122640609741,0.975083456090545142025405311870,9,WMT{26%}JPM{2%}KO{1%}DIS{17%}IBM{6%}CAT{8%}BA{1%}TRV{1%}DD{36%}Cash{2%}
101,35158.610320112995395902544260025024,34309.787296889175195246934890747070,0.975857321563752488913223714917,7,WMT{24%}JPM{8%}CVX{4%}DIS{18%}IBM{8%}CAT{3%}DD{35%}
102,35248.336465358792338520288467407227,34711.875786771364801097661256790161,0.984780539101053786765760378330,8,WMT{31%}JPM{9%}CVX{1%}DIS{18%}HON{1%}IBM{2%}CAT{3%}DD{34%}Cash{1%}
103,35298.226195137758622877299785614014,35158.513234672303951811045408248901,0.996041926874934535618422160042,6,WMT{25%}JPM{9%}DIS{17%}IBM{4%}CAT{3%}DD{38%}Cash{4%}
104,35508.500685954888467676937580108643,35305.850691633968381211161613464355,0.994292916050914077352729236736,6,WMT{29%}JPM{6%}DIS{19%}IBM{4%}CAT{5%}DD{36%}Cash{1%}
105,35591.080520618364971596747636795044,35417.498532165511278435587882995605,0.995122879499196533181759605213,6,WMT{27%}JPM{7%}DIS{18%}IBM{4%}CAT{5%}DD{37%}Cash{2%}
106,35662.268753736803773790597915649414,35521.725327695537998806685209274292,0.996059044167610929676470732375,6,WMT{25%}JPM{10%}DIS{17%}IBM{4%}CAT{3%}DD{38%}Cash{3%}
107,35750.180595479418116156011819839478,35609.205527031124802306294441223145,0.996056661362261230863168748328,6,WMT{26%}JPM{11%}DIS{17%}IBM{3%}CAT{2%}DD{38%}Cash{3%}
108,35883.367566198292479384690523147583,35696.423630323159159161150455474854,0.994790234346588086999929601006,6,WMT{27%}JPM{12%}DIS{17%}IBM{2%}CAT{1%}DD{38%}Cash{3%}
109,36068.369534456527617294341325759888,35923.372473572911985684186220169067,0.995979938579006240928492843523,6,WMT{27%}JPM{8%}DIS{18%}IBM{4%}CAT{4%}DD{38%}Cash{1%}
110,36526.834030463942326605319976806641,36189.743080640299012884497642517090,0.990771416171943530848409409373,6,WMT{25%}JPM{10%}DIS{18%}IBM{4%}CAT{4%}DD{38%}Cash{1%}
111,36642.491644866393471602350473403931,36320.201120507364976219832897186279,0.991204459361480605394945087028,7,WMT{23%}JPM{13%}PG{1%}DIS{15%}IBM{4%}CAT{2%}DD{40%}Cash{2%}
112,36975.936483340599806979298591613770,36337.587931138652493245899677276611,0.982736108590797852180287463852,6,WMT{30%}JPM{9%}CSCO{2%}DIS{17%}CAT{5%}DD{37%}
