period,total_fitness,total_exe_time(s),# of front
2021_12(2021 Q1),15683916,90.93750310100000433522,4148
2022_01(2022 Q1),3081914,16.21112809099999907403,2804
2022_02(2022 Q1),10532132,51.19720286300000111623,2643
2022_03(2022 Q1),8236099,50.99347885800000312884,3798
2022_04(2022 Q1),2759023,11.76479288500000031092,1522
2022_05(2022 Q1),1075602,5.35357789399999983715,1611
2022_06(2022 Q1),58746,0.23484800100000000067,100
2022_07(2022 Q1),17026446,110.27527878099999725237,5180
2022_08(2022 Q1),5642711,28.03733601900000138585,1614
2022_09(2022 Q1),0,0.00875194200000000040,0
2022_10(2022 Q1),4660532,21.43386560400000107052,2332
2022_11(2022 Q1),14349346,115.25379610599999580245,5935
2022_12(2022 Q1),1725841,8.44575314499999940665,2072
2023_01(2023 Q1),1509228,8.48326916499999938992,2493
2023_02(2023 Q1),1960826,8.83231166799999911632,2017
2023_03(2023 Q1),8646258,65.92050720100000660295,5950
2023_04(2023 Q1),9113128,52.61328179800000270916,3675
2023_05(2023 Q1),973325,4.88609437199999963042,1337
2023_06(2023 Q1),25886313,252.69290652000000818589,7147
2023_07(2023 Q1),9471021,64.64097798900000668709,5406
2023_08(2023 Q1),1998750,10.67450064900000050727,1843
2023_09(2023 Q1),4310405,22.79301089599999841084,2953
2023_10(2023 Q1),6865141,53.15511741299999926014,6187
2023_11(2023 Q1),17362503,132.61297445200000311161,6863
2023_12(2023 Q1),25827405,248.53738613199999463177,10703
2024_01(2024 Q1),20020712,122.63418733899999324422,5122
2024_02(2024 Q1),6653936,41.40790554499999842619,3867
2024_03(2024 Q1),6098066,33.97411687799999668869,3531
2024_04(2024 Q1),372461,1.54071702699999990571,384
2024_05(2024 Q1),3128390,18.35147231399999867563,2993
2024_06(2024 Q1),20010485,98.59413175900000680940,2514
2024_07(2024 Q1),12651064,108.20306057999999893582,6550
2024_08(2024 Q1),3367138,20.21862283400000137590,2178
2024_09(2024 Q1),9230356,57.83791984799999852385,5639
2024_10(2024 Q1),17190848,124.15226877099999569509,4046
2024_11(2024 Q1),7264542,44.12553735800000254130,3393
2024_12(2024 Q1),8024364,68.12769229799999948227,7095
2025_01(2025 Q1),26369748,165.27812812900000949412,4728
2025_02(2025 Q1),28859178,205.17540397299998744529,7191
2025_03(2025 Q1),11116604,55.73880235499999713511,3581
2025_04(2025 Q1),1325461,5.69086991999999991521,931
