Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1,570.788380251148282695794478058815,509.230819499365054525696905329823,0.892153444460979105912201703177,1,AMGN{1%}Cash{99%},100
2,1141.576760502000297492486424744129,1018.461638998667240230133756995201,0.892153444461155631373117103067,1,AMGN{2%}Cash{98%},100
3,1453.485889053445816898602060973644,1035.897096179165600915439426898956,0.712698419696233376186000896269,2,VZ{1%}AMGN{1%}Cash{98%},100
4,1709.356933003350377475726418197155,1359.521401844528099900344386696815,0.795340853390895330399246176967,2,MRK{1%}AMGN{2%}Cash{97%},100
5,1712.365140753048535771085880696774,1527.692458498016549128806218504906,0.892153444461139644161562500813,1,AMGN{3%}Cash{97%},100
6,1879.725271220122294835164211690426,1545.127915678530598597717471420765,0.821996671181419058527239940304,2,VZ{1%}AMGN{2%}Cash{97%},100
7,2067.960954429981484281597658991814,1886.187678524353032116778194904327,0.912100237910085209769306402450,3,MRK{1%}VZ{1%}AMGN{2%}Cash{96%},100
8,2283.153521004325284593505784869194,2036.923277997358127322513610124588,0.892153444461039057955531461630,1,AMGN{4%}Cash{96%},100
9,2367.638424867494450154481455683708,2054.358735177859216491924598813057,0.867682629915432324096968841332,2,VZ{1%}AMGN{3%}Cash{96%},100
10,2498.038188691412869957275688648224,2395.418498023708252731012180447578,0.958919887160947892468243480835,3,MRK{1%}VZ{1%}AMGN{3%}Cash{95%},100
11,2853.941901255234824930084869265556,2546.154097496710164705291390419006,0.892153444461097122619719357317,1,AMGN{5%}Cash{95%},100
12,2886.114182879179679730441421270370,2563.589554677200794685631990432739,0.888249525914380444469031772314,2,VZ{1%}AMGN{4%}Cash{95%},100
13,2975.823554133385187014937400817871,2904.649317523043919209158048033714,0.976082507811499411332079034764,3,MRK{1%}VZ{1%}AMGN{4%}Cash{94%},100
14,3274.912540144975992006948217749596,2922.084774703560015041148290038109,0.892263454026226643378549852059,3,MRK{1%}VZ{2%}AMGN{3%}Cash{94%},100
15,3421.285897492602543934481218457222,3072.820374176564655499532818794250,0.898147791866379274772214102995,2,VZ{1%}AMGN{5%}Cash{94%},100
16,3481.731696809415097959572449326515,3413.880137022403232549550011754036,0.980512122789590656601887985744,3,MRK{1%}VZ{1%}AMGN{5%}Cash{93%},100
17,3712.644733780611659312853589653969,3431.315594202904321718961000442505,0.924224061349595449321725482150,3,MRK{1%}VZ{2%}AMGN{4%}Cash{93%},100
18,3966.401146909601266088429838418961,3582.051193675895319756818935275078,0.903098567442385369297142005962,2,VZ{1%}AMGN{6%}Cash{93%},100
19,4005.119741263007654197281226515770,3923.110956521734806301537901163101,0.979524011755161239101141745778,3,MRK{1%}VZ{1%}AMGN{6%}Cash{92%},100
20,4182.583943329392241139430552721024,3940.546413702234985976247116923332,0.942132056903921433210769009747,3,MRK{1%}VZ{2%}AMGN{5%}Cash{92%},100
21,4475.107858958947872451972216367722,4264.469894598169958044309169054031,0.952931198308641702610088941583,3,MRK{2%}VZ{1%}AMGN{6%}Cash{91%},100
22,4539.946191884372638014610856771469,4432.341776021083205705508589744568,0.976298305901588947541824836662,3,MRK{1%}VZ{1%}AMGN{7%}Cash{91%},100
23,4675.027777114140917547047138214111,4449.777233201588387601077556610107,0.951818351750714497505612143868,3,MRK{1%}VZ{2%}AMGN{6%}Cash{91%},100
24,4948.536149828163615893572568893433,4773.700714097494710586033761501312,0.964669261689289680994363607169,3,MRK{2%}VZ{1%}AMGN{7%}Cash{90%},100
25,4996.510245798069263400975614786148,4791.136171277985340566374361515045,0.958896496871431858188827845879,3,MRK{2%}VZ{2%}AMGN{6%}Cash{90%},100
26,5082.601445973792579025030136108398,4941.572595520423419657163321971893,0.972252624575730584055577310210,3,MRK{1%}VZ{1%}AMGN{8%}Cash{90%},100
27,5183.566314868268818827345967292786,4959.008052700923144584521651268005,0.956678809814155428625781496521,3,MRK{1%}VZ{2%}AMGN{7%}Cash{90%},100
28,5440.682719389185876934789121150970,5282.931533596828558074776083230972,0.971005259095485739884168197023,3,MRK{2%}VZ{1%}AMGN{8%}Cash{89%},100
29,5465.334578386473367572762072086334,5300.366990777342834917362779378891,0.969815647103926425920406018122,3,MRK{2%}VZ{2%}AMGN{7%}Cash{89%},100
30,5630.822519142651799484156072139740,5450.803415019777276029344648122787,0.968029696636525494035652172897,3,MRK{1%}VZ{1%}AMGN{9%}Cash{89%},100
31,5703.896345003381611604709178209305,5468.238872200259720557369291782379,0.958684825503612447761270232149,3,MRK{1%}VZ{2%}AMGN{8%}Cash{89%},100
32,5946.902187695491193153429776430130,5792.162353096157858090009540319443,0.973979757911690668947812810075,3,MRK{2%}VZ{1%}AMGN{9%}Cash{88%},100
33,5951.995314271043753251433372497559,5809.597810276693053310737013816833,0.976075669338494655846716341330,3,MRK{2%}VZ{2%}AMGN{8%}Cash{88%},100
34,6159.440097083219370688311755657196,5827.033267457184592785779386758804,0.946032947088251585654461450758,3,MRK{2%}VZ{3%}AMGN{7%}Cash{88%},100
