Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
0,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,4408
8,4063.T 2914.T 6702.T UNH JNJ MRK KO CSCO ,0.03113087695860486045,31183.09483009277391829528,970.75708834412546366366,285039
8,4063.T 2914.T UNH JNJ MRK KO CSCO IBM ,0.05934024438625463971,32307.89248104695798247121,1917.15823543016517760407,203418
6,4063.T 6702.T JNJ MRK KO CSCO ,0.07605910207723150240,32493.32748155407534795813,2471.41331174843298867927,292676
7,4063.T 2914.T 6702.T JNJ MRK KO CSCO ,0.08900368401617281267,32692.38083402010306599550,2909.74233348750931327231,285919
7,4063.T 2914.T UNH JNJ MRK CSCO IBM ,0.12181454639343303192,33273.09978831341868499294,4053.14755781683152235928,203692
6,4063.T 2914.T JNJ MRK KO CSCO ,0.12016028449031211645,34658.37857085796713363379,4164.56062904723057727097,226825
8,4502.T 2914.T UNH JNJ MRK KO CSCO IBM ,0.12645179441411472099,34790.13704067854268942028,4399.27525670676095614908,204218
6,4063.T 2914.T 6702.T JNJ MRK CSCO ,0.15977361778552345850,34815.38612992015987401828,5562.58019657727800222347,299074
6,2914.T JNJ MRK KO CSCO IBM ,0.20868081121448547877,34926.34922923310659825802,7288.45888991678475576919,281418
9,8035.T 2914.T JNJ MRK KO CSCO AMGN HON IBM ,0.22119106982354352908,35550.49286467265483224764,7863.45154949119478260400,251398
4,8316.T JNJ MRK CSCO ,0.30994318276102017506,35775.17323845723876729608,11088.27105735430995991919,62305
9,9433.T 8316.T 2914.T UNH MRK KO CSCO AMGN IBM ,0.30588524142095080416,38210.56876897226902656257,11688.04905272892574430443,35148
10,9433.T 8316.T 2914.T JNJ V MRK KO CSCO AMGN IBM ,0.30483058976845511800,38910.00915274696308188140,11860.96103792784379038494,249714
7,8316.T 2914.T MRK KO CSCO AMGN HON ,0.34655926523186253441,38971.47523750588879920542,13505.92582331176708976272,126937
8,9433.T 2914.T V MRK KO CSCO AMGN IBM ,0.39941999919150472653,39743.70459677024336997420,15874.43045790937321726233,4165
7,9433.T 8316.T MRK KO CSCO AMGN IBM ,0.40255407907970608417,39839.87069522750971373171,16037.70245837187940196600,3323
7,9433.T 2914.T MRK KO CSCO AMGN IBM ,0.43193844258438168771,40261.83543532864132430404,17390.63449352452516905032,3186
7,8306.T 2914.T V MRK KO CSCO AMGN ,0.40292328944247718381,43206.19841972976428223774,17408.78359158187595312484,234309
7,9432.T 8316.T 2914.T MRK KO CSCO AMGN ,0.40269062942822025919,43457.97369576113851508126,17500.11878122109192190692,59264
6,8316.T 2914.T MRK KO CSCO AMGN ,0.43578475012139111788,43460.20221744012087583542,18939.29336355227133026347,37358
7,9433.T 2914.T V MRK CSCO AMGN IBM ,0.44656417266451975401,44792.60968502156902104616,20002.77468547641183249652,3987
6,9433.T 8316.T MRK CSCO AMGN IBM ,0.45206133046099328254,46192.68162784808373544365,20881.92511424608528614044,3059
6,9433.T 2914.T MRK CSCO AMGN IBM ,0.47680873203366258561,47102.86486903596960473806,22459.05727335799019783735,3569
6,2914.T MRK CSCO VZ AMGN IBM ,0.45690447541404488607,49730.41176342015387490392,22722.04769888993178028613,4047
6,9432.T 8306.T 2914.T MRK CSCO AMGN ,0.44153655903916005920,52270.76227640095748938620,23079.45251387601092574187,208980
5,8316.T MRK CSCO VZ AMGN ,0.46528762216120389539,53272.19966939759615343064,24786.89511147087978315540,29756
5,8316.T 2914.T MRK CSCO AMGN ,0.46602910110030454360,54358.65536438316485146061,25332.71529648473369888961,3217
5,8306.T MRK CSCO VZ AMGN ,0.46346198322192438956,54758.80304360261652618647,25378.62345744681806536391,181385
5,8306.T 2914.T MRK CSCO AMGN ,0.46587031293919489716,55647.33987641823478043079,25924.44364246070108492859,181785
5,9432.T 8316.T MRK CSCO AMGN ,0.43326054025625432287,60006.57737575296778231859,25998.48213274746012757532,31935
5,9432.T 8306.T MRK CSCO AMGN ,0.44007106175511301327,60422.53806163723493227735,26590.21047872342751361430,184185
5,2914.T MRK CSCO AMGN IBM ,0.41586537274658075258,64220.81341580102889565751,26707.21250925070853554644,3983
5,2914.T V MRK CSCO AMGN ,0.40468257279235037016,67146.50072052984614856541,27173.01866558742767665535,73960
5,9432.T MRK CSCO AMGN IBM ,0.40264010301263486458,67983.73818381036107894033,27372.97934551340222242288,102880
5,9432.T 2914.T MRK CSCO AMGN ,0.40272601105805527766,69259.46230460960941854864,27892.58698196117256884463,222695
4,2914.T CSCO VZ AMGN ,0.39093819975658294918,71409.88921304554969538003,27916.85353376506100175902,62688
4,8316.T MRK CSCO AMGN ,0.41508276142877165160,72955.23665086780965793878,30282.46108973173977574334,3521
4,8306.T MRK CSCO AMGN ,0.42483119618144382645,73023.81220201603719033301,31022.79348751158613595180,11514
4,MRK CSCO VZ AMGN ,0.39527659087325589526,80876.19291610675281845033,31968.46581868644716450945,49729
4,2914.T MRK CSCO AMGN ,0.37365454881607812476,87382.14607029671606142074,32650.73636447735407273285,4779
3,8316.T CSCO AMGN ,0.35064200656695837521,94485.90639552110224030912,33130.72781082332221558318,4688
4,9432.T MRK CSCO AMGN ,0.35307379549328093971,94832.91382643513497896492,33483.01682238669309299439,16254
