./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_01(2023 Q1).csv,Number of Pareto Front,95,Duration,12699
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_02(2023 Q1).csv,Number of Pareto Front,59,Duration,15165
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_03(2023 Q1).csv,Number of Pareto Front,77,Duration,15524
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_04(2023 Q1).csv,Number of Pareto Front,71,Duration,15378
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_05(2023 Q1).csv,Number of Pareto Front,107,Duration,15387
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_06(2023 Q1).csv,Number of Pareto Front,98,Duration,15342
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_07(2023 Q1).csv,Number of Pareto Front,52,Duration,15403
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_08(2023 Q1).csv,Number of Pareto Front,50,Duration,15451
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_09(2023 Q1).csv,Number of Pareto Front,50,Duration,15326
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_10(2023 Q1).csv,Number of Pareto Front,30,Duration,15380
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_11(2023 Q1).csv,Number of Pareto Front,105,Duration,15407
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2023_12(2023 Q1).csv,Number of Pareto Front,130,Duration,15291
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_01(2024 Q1).csv,Number of Pareto Front,78,Duration,15419
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_02(2024 Q1).csv,Number of Pareto Front,175,Duration,15397
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_03(2024 Q1).csv,Number of Pareto Front,65,Duration,15264
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_04(2024 Q1).csv,Number of Pareto Front,70,Duration,15250
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_05(2024 Q1).csv,Number of Pareto Front,65,Duration,15352
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_06(2024 Q1).csv,Number of Pareto Front,50,Duration,15355
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_07(2024 Q1).csv,Number of Pareto Front,45,Duration,15341
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_08(2024 Q1).csv,Number of Pareto Front,20,Duration,15285
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_09(2024 Q1).csv,Number of Pareto Front,51,Duration,15263
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_10(2024 Q1).csv,Number of Pareto Front,55,Duration,15285
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_11(2024 Q1).csv,Number of Pareto Front,100,Duration,14833
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2024_12(2024 Q1).csv,Number of Pareto Front,68,Duration,15246
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2025_01(2025 Q1).csv,Number of Pareto Front,145,Duration,15378
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2025_02(2025 Q1).csv,Number of Pareto Front,102,Duration,15215
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2025_03(2025 Q1).csv,Number of Pareto Front,35,Duration,15062
./NIKKEI30&DJIA30_2015-2024_MOEAD_2023-2025(3)_3_999_100_10_10_10M\M2M\Fund_Train\NIKKEI30&DJIA30_2015-2024_MOEAD_3_999_100_10_10_10M_M2M_Fund_Train_2025_04(2025 Q1).csv,Number of Pareto Front,25,Duration,15341
