DailyRisk,ExpectedReturn
32889.161686376741272397339344,9724.17108426461709314025938511
32891.2330035928825964219868183,9747.84480519483258831314742565
32898.1777590155543293803930283,9749.83065237088521826080977917
32906.7602318793433369137346745,9771.507463002113581751473248
32938.6130562598700635135173798,9793.66333434010630298871546984
32966.96245469155837781727314,10057.450661431632397579960525
33048.1762373283490887843072414,10440.7458350951710599474608898
33076.5175857933863881044089794,10596.3658079130527767119929194
33097.7207688617636449635028839,10950.832742373930159374140203
33125.8423070479184389114379883,10971.341298701368941692635417
33158.0519481148003251291811466,11279.7051162790921807754784822
33198.7275993125367676839232445,11421.038816067632069461978972
33203.5839252208170364610850811,11514.2190214437032409477978945
33208.5499971417666529305279255,11536.3257686499655392253771424
33212.826410885012592189013958,11540.2899637571863422635942698
33214.6444631963604479096829891,11557.3884687405789009062573314
33215.2306134042810299433767796,11562.6541800060858804499730468
33217.8965896015215548686683178,11570.3848202959834452485665679
33221.7464285163296153768897057,11578.1167955300734320189803839
33222.567859923474316019564867,11592.1731501057547575328499079
33229.4148982552869711071252823,11594.0474086379090294940397143
33229.8840939056244678795337677,11598.8334430685445113340392709
33231.3805237726046470925211906,11609.4957716702010657172650099
33232.6892712717744871042668819,11613.6225762609647063072770834
33237.5203342162567423656582832,11622.6663726970873540267348289
33242.684518846785067580640316,11630.8704922983997676055878401
33242.8361142617359291762113571,11634.605264270645420765504241
33248.1362029604060808196663857,11643.6530323165334266377612948
33254.2499908335230429656803608,11655.4425128359907830599695444
33261.5457609208679059520363808,11664.9530474177154246717691422
33264.1495624306116951629519463,11667.7339806705167575273662806
33275.3389156841803924180567265,11682.6651162790803937241435051
33277.7696768761306884698569775,11683.3208245243422425119206309
33282.5525525749108055606484413,11690.4825098157725733472034335
33285.9857066007025423459708691,11703.5023648444803257007151842
33290.8542859151784796267747879,11713.4864240411006903741508722
33292.5385476403534994460642338,11734.7033252793698920868337154
33300.2527318588545313104987144,11747.9611899728133721509948373
33302.9528185368180857039988041,11749.3872878284491889644414186
33305.5603736062912503257393837,11755.9141014799824915826320648
33313.6006598058811505325138569,11769.1829115071031992556527257
33317.0346068161015864461660385,11770.6492660827989311655983329
33320.7904333927144762128591537,11776.6647931138359126634895802
33331.598308430868200957775116,11779.0799154334381455555558205
33346.1832040421431884169578552,11811.4720386590415728278458118
33367.2823209945781854912638664,11838.1932860163105942774564028
33421.4764551332191331312060356,11857.6012624584673176286742091
33427.8718942770865396596491337,11862.0140591966373904142528772
33443.5627180019218940287828445,11916.7483026276422606315463781
33525.3395778469202923588454723,11932.1214678345404536230489612
