Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,52597.05424142338597448543,122.93325955204478816540,0.00233726510590829542,6,AAPL{6.9565217391%} WMT{27.6086956522%} CVX{22.1739130435%} NKE{21.7391304348%} CAT{13.6956521739%} MMM{7.8260869565%} 
2,52724.28907596616045339033,184.34980237148749893095,0.00349648720926085512,6,AAPL{7.0796460177%} WMT{28.0973451327%} CVX{22.5663716814%} NKE{21.2389380531%} CAT{13.9380530973%} MMM{7.0796460177%} 
3,52797.68959598649962572381,228.00948880104562022098,0.00431855049995176574,6,AAPL{7.0175438596%} WMT{27.8508771930%} CVX{22.3684210526%} NKE{21.9298245614%} CAT{13.8157894737%} MMM{7.0175438596%} 
4,52822.47640157383284531534,232.89010013172082835808,0.00440892052014399578,6,AAPL{7.0329670330%} WMT{27.6923076923%} CVX{22.4175824176%} NKE{21.9780219780%} CAT{13.8461538462%} MMM{7.0329670330%} 
5,52868.27531216735224006698,251.72022134387799496835,0.00476127166731966228,6,AAPL{7.0021881838%} WMT{27.7899343545%} CVX{22.5382932166%} NKE{21.8818380744%} CAT{13.7855579869%} MMM{7.0021881838%} 
6,52920.10990938842587638646,261.26640052697342753163,0.00493699655904574798,6,AAPL{7.0329670330%} WMT{27.4725274725%} CVX{22.6373626374%} NKE{21.9780219780%} CAT{13.8461538462%} MMM{7.0329670330%} 
7,52979.92449105350533500314,261.71582608690511051464,0.00493990560766276610,6,AAPL{7.1269487751%} WMT{26.7260579065%} CVX{22.7171492205%} NKE{22.2717149220%} CAT{14.0311804009%} MMM{7.1269487751%} 
8,53034.50666169662144966424,311.99972859021175963790,0.00588295712036007116,6,AAPL{7.0329670330%} WMT{27.9120879121%} CVX{22.6373626374%} NKE{21.9780219780%} CAT{13.4065934066%} MMM{7.0329670330%} 
9,53487.11058891610446153209,430.23835309617248867653,0.00804377631094787236,6,AAPL{7.1428571429%} WMT{26.7857142857%} CVX{22.9910714286%} NKE{22.7678571429%} CAT{13.1696428571%} MMM{7.1428571429%} 
10,53700.00255535463656997308,495.94128063239344328395,0.00923540515889493575,6,AAPL{7.1269487751%} WMT{28.2850779510%} CVX{22.9398663697%} NKE{22.2717149220%} CAT{12.2494432071%} MMM{7.1269487751%} 
11,54171.61388119076582370326,615.11658234517619803228,0.01135496135843858112,6,AAPL{6.7653276956%} WMT{26.8498942918%} CVX{25.1585623679%} NKE{21.1416490486%} CAT{13.3192389006%} MMM{6.7653276956%} 
12,54368.30232657118176575750,653.30572068512105943228,0.01201629796643169899,6,AAPL{6.8669527897%} WMT{25.7510729614%} CVX{25.5364806867%} NKE{21.4592274678%} CAT{13.5193133047%} MMM{6.8669527897%} 
13,54369.39141487133019836619,672.80108300392487308272,0.01237462964906202098,6,AAPL{6.8376068376%} WMT{25.6410256410%} CVX{25.4273504274%} NKE{21.7948717949%} CAT{13.4615384615%} MMM{6.8376068376%} 
14,55043.38653810880350647494,727.46177075097875786014,0.01321615213931880833,7,AAPL{6.6945606695%} WMT{25.1046025105%} CVX{26.5690376569%} NKE{21.3389121339%} DIS{0.2092050209%} CAT{13.1799163180%} MMM{6.9037656904%} 
15,55186.38764938608073862270,785.87332542817716785066,0.01424034728312063326,6,AAPL{7.5862068966%} WMT{27.5862068966%} CVX{23.6781609195%} NKE{22.9885057471%} CAT{10.8045977011%} MMM{7.3563218391%} 
16,55340.13012333061487879604,812.56228194994082514313,0.01468305694509699187,6,AAPL{7.3394495413%} WMT{27.5229357798%} CVX{23.6238532110%} NKE{23.3944954128%} CAT{10.7798165138%} MMM{7.3394495413%} 
17,55344.28305775701301172376,846.76554677201545473508,0.01529996415146141209,8,AAPL{7.8571428571%} WMT{28.5714285714%} CVX{23.0952380952%} MCD{0.2380952381%} NKE{24.2857142857%} DIS{0.2380952381%} CAT{14.5238095238%} MMM{1.1904761905%} 
18,55358.82694665371673181653,852.72003689061295972351,0.01540350625045456244,8,AAPL{7.6372315036%} WMT{28.6396181384%} CVX{23.1503579952%} MCD{0.2386634845%} NKE{24.3436754177%} DIS{0.2386634845%} CAT{14.5584725537%} MMM{1.1933174224%} 
19,55633.07451299842796288431,927.18043478258903178357,0.01666599307873875210,8,AAPL{7.7102803738%} WMT{28.0373831776%} CVX{22.6635514019%} MCD{0.2336448598%} NKE{25.7009345794%} DIS{0.2336448598%} CAT{14.2523364486%} MMM{1.1682242991%} 
20,55686.43749569091596640646,937.25616600786258914013,0.01683095935308105348,8,AAPL{7.6923076923%} WMT{27.9720279720%} CVX{22.6107226107%} MCD{0.2331002331%} NKE{25.8741258741%} DIS{0.2331002331%} CAT{14.2191142191%} MMM{1.1655011655%} 
21,55775.18649632286542328075,1103.20365217387848133512,0.01977947043254817822,8,AAPL{7.1583514100%} WMT{26.0303687636%} CVX{25.8134490239%} MCD{0.2169197397%} NKE{23.8611713666%} DIS{0.2169197397%} CAT{13.2321041215%} MMM{3.4707158351%} 
22,56184.09979006525099975988,1114.62618972327800292987,0.01983881905891765607,6,AAPL{7.5117370892%} WMT{29.8122065728%} CVX{24.1784037559%} MCD{0.2347417840%} NKE{23.4741784038%} CAT{14.7887323944%} 
23,56266.53178774248226545751,1160.04594729905352323840,0.02061697976472341362,8,AAPL{7.8239608802%} WMT{29.3398533007%} CVX{23.9608801956%} NKE{24.9388753056%} DIS{0.2444987775%} CAT{11.4914425428%} BA{0.2444987775%} MMM{1.9559902200%} 
24,56328.95240550114249344915,1324.99893544135670708783,0.02352252045986845050,7,AAPL{7.8431372549%} WMT{29.4117647059%} CVX{24.0196078431%} NKE{25.0000000000%} DIS{0.2450980392%} CAT{11.5196078431%} MMM{1.9607843137%} 
25,56738.49910084775910945609,1406.02625559939860977465,0.02478081510581217270,6,AAPL{7.7858880779%} WMT{30.9002433090%} CVX{25.0608272506%} NKE{24.3309002433%} IBM{0.9732360097%} CAT{10.9489051095%} 
26,56834.23724092078919056803,1406.44693807639737315185,0.02474647336454006627,8,AAPL{7.3825503356%} WMT{26.8456375839%} CVX{26.1744966443%} MCD{0.2237136465%} NKE{24.6085011186%} DIS{0.2237136465%} CAT{13.6465324385%} MMM{0.8948545861%} 
27,56856.17561839429254177958,1419.79016073777665951638,0.02497160854200052016,8,AAPL{7.3333333333%} WMT{26.6666666667%} CVX{26.4444444444%} MCD{0.2222222222%} NKE{24.4444444444%} DIS{0.2222222222%} CAT{13.5555555556%} MMM{1.1111111111%} 
28,56880.31575837782293092459,1426.78718577071981599147,0.02508402365119730137,8,AAPL{7.1269487751%} WMT{26.7260579065%} CVX{26.5033407572%} MCD{0.2227171492%} NKE{24.4988864143%} DIS{0.2227171492%} CAT{13.5857461024%} MMM{1.1135857461%} 
29,56948.98117416479362873361,1438.78670882737173997157,0.02526448549495886181,8,AAPL{7.9601990050%} WMT{30.3482587065%} CVX{23.8805970149%} MCD{0.2487562189%} NKE{25.3731343284%} DIS{0.2487562189%} CAT{11.6915422886%} MMM{0.2487562189%} 
30,56954.50978300930000841618,1506.89684057967428998381,0.02645790204008063515,7,AAPL{8.0200501253%} WMT{30.0751879699%} CVX{24.0601503759%} NKE{25.5639097744%} DIS{0.2506265664%} CAT{11.7794486216%} MMM{0.2506265664%} 
31,57056.90874977619387209415,1554.02775757573408554890,0.02723645202005146870,7,AAPL{7.9800498753%} WMT{29.9251870324%} CVX{24.4389027431%} NKE{25.4364089776%} DIS{0.2493765586%} CAT{11.7206982544%} MMM{0.2493765586%} 
32,57250.70127797962049953640,1719.29085638996934903844,0.03003091347374047676,6,AAPL{7.8431372549%} WMT{31.1274509804%} CVX{25.2450980392%} NKE{24.5098039216%} CAT{11.0294117647%} TRV{0.2450980392%} 
33,57344.68676745018456131220,1724.56417127798204091960,0.03007365230316113441,6,AAPL{7.8048780488%} WMT{30.9756097561%} CVX{25.1219512195%} NKE{24.8780487805%} IBM{0.2439024390%} CAT{10.9756097561%} 
34,57371.05898856528074247763,1785.81197101448378816713,0.03112740121060719733,5,AAPL{7.8817733990%} WMT{31.2807881773%} CVX{25.1231527094%} NKE{24.6305418719%} CAT{11.0837438424%} 
35,57433.59817826117796357721,1808.69711989456686751510,0.03149196946151225363,5,AAPL{7.8624078624%} WMT{31.2039312039%} CVX{25.3071253071%} NKE{24.5700245700%} CAT{11.0565110565%} 
36,57497.15224637912615435198,1827.15826613964895841491,0.03177823935192745225,5,AAPL{7.9012345679%} WMT{30.8641975309%} CVX{25.4320987654%} NKE{24.6913580247%} CAT{11.1111111111%} 
37,57747.38401340362179325894,1881.21707509878979180939,0.03257666312056914371,5,AAPL{8.1885856079%} WMT{29.7766749380%} CVX{25.5583126551%} NKE{25.3101736973%} CAT{11.1662531017%} 
38,57764.92618143124127527699,1890.67006060606126993662,0.03273041593903783936,5,AAPL{7.9601990050%} WMT{29.8507462687%} CVX{25.6218905473%} NKE{25.3731343284%} CAT{11.1940298507%} 
39,58063.36912535278679570183,1960.43292226610174111556,0.03376367840511856205,5,AAPL{7.9404466501%} WMT{31.5136476427%} CVX{25.5583126551%} NKE{24.8138957816%} CAT{10.1736972705%} 
40,58107.59961586463032290339,1974.38695915676908043679,0.03397811942343112457,6,AAPL{7.5117370892%} WMT{28.1690140845%} CVX{27.9342723005%} NKE{23.9436619718%} CAT{10.5633802817%} MMM{1.8779342723%} 
41,58128.91820441042364109308,1979.83036363633436849341,0.03405930171750759516,5,AAPL{7.9800498753%} WMT{31.1720698254%} CVX{25.6857855362%} NKE{24.9376558603%} CAT{10.2244389027%} 
42,58241.73336895678221480921,1998.61850856391129127587,0.03431591734921110581,5,AAPL{7.9601990050%} WMT{31.5920398010%} CVX{25.6218905473%} NKE{24.8756218905%} CAT{9.9502487562%} 
43,58364.95794780026335502043,2014.56902503291530592833,0.03451675621585611337,5,AAPL{7.9207920792%} WMT{31.4356435644%} CVX{25.4950495050%} NKE{25.2475247525%} CAT{9.9009900990%} 
