Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,23230.44148,12203.74398,0.525334,27,AAPL{0.807265%} MSFT{0.504541%} UNH{0.201816%} V{0.302725%} WMT{9.182644%} JPM{5.751766%} PG{1.311806%} CVX{0.302725%} HD{0.605449%} MRK{11.806256%} KO{3.733602%} CSCO{6.760848%} MCD{0.100908%} NKE{1.210898%} DIS{6.861756%} VZ{8.274470%} AMGN{1.614531%} HON{0.302725%} CRM{0.403633%} GS{0.100908%} CAT{6.760848%} INTC{5.449041%} AXP{9.788093%} BA{6.559031%} MMM{0.201816%} TRV{10.998991%} DD{0.100908%} ,
2,23386.4623,14767.72802,0.631465,23,AAPL{12.608158%} MSFT{0.618047%} JNJ{0.123609%} V{0.494438%} WMT{14.833127%} JPM{12.237330%} PG{4.079110%} CVX{0.494438%} MRK{2.719407%} KO{1.854141%} CSCO{3.955501%} MCD{0.123609%} NKE{0.370828%} DIS{7.911001%} VZ{6.674907%} AMGN{0.494438%} CRM{0.741656%} CAT{5.562423%} INTC{6.674907%} AXP{1.112485%} BA{0.494438%} TRV{15.574784%} DD{0.247219%} ,
3,23447.43849,15022.01124,0.640667,26,AAPL{6.929740%} MSFT{0.481232%} UNH{0.192493%} V{0.288739%} WMT{8.758422%} JPM{11.645813%} PG{1.251203%} CVX{0.288739%} HD{0.577478%} MRK{11.260828%} KO{3.561116%} CSCO{6.448508%} MCD{0.096246%} NKE{1.154957%} DIS{6.544755%} VZ{7.892204%} HON{0.288739%} CRM{0.384986%} GS{0.096246%} CAT{6.448508%} INTC{5.197305%} AXP{9.335900%} BA{0.096246%} MMM{0.192493%} TRV{10.490857%} DD{0.096246%} ,
4,23471.22139,16471.67466,0.701782,24,AAPL{0.115607%} MSFT{0.115607%} UNH{0.693642%} JNJ{1.156069%} V{0.231214%} WMT{14.682081%} JPM{6.936416%} PG{8.670520%} CVX{0.115607%} HD{0.346821%} MRK{6.127168%} KO{1.387283%} CSCO{8.786127%} MCD{0.231214%} DIS{7.398844%} VZ{6.011561%} HON{1.040462%} IBM{0.462428%} CAT{7.976879%} INTC{5.895954%} AXP{6.473988%} BA{0.462428%} MMM{0.231214%} TRV{14.450867%} ,
5,23487.95306,17497.46443,0.744955,23,AAPL{4.518430%} MSFT{0.594530%} JNJ{0.118906%} V{0.475624%} WMT{14.268728%} JPM{7.966706%} PG{3.923900%} CVX{0.475624%} MRK{10.225922%} KO{1.783591%} CSCO{3.804994%} MCD{0.118906%} NKE{0.356718%} DIS{7.609988%} VZ{6.420927%} AMGN{0.475624%} CRM{0.713436%} CAT{5.350773%} INTC{6.420927%} AXP{8.680143%} BA{0.475624%} TRV{14.982164%} DD{0.237812%} ,
6,23668.42759,19782.80049,0.835831,15,WMT{15.668790%} JPM{7.898089%} PG{9.808917%} CVX{0.127389%} HD{0.127389%} MRK{8.789809%} KO{0.509554%} CSCO{5.605096%} DIS{8.152866%} VZ{6.242038%} CAT{8.152866%} INTC{4.076433%} AXP{8.535032%} TRV{16.178344%} DD{0.127389%} ,
7,24021.92331,20013.00024,0.833114,15,AAPL{0.675676%} WMT{17.162162%} JPM{12.027027%} HD{0.270270%} MRK{15.270270%} KO{1.756757%} CSCO{8.648649%} DIS{8.918919%} VZ{4.324324%} AMGN{0.135135%} CRM{0.270270%} CAT{8.783784%} INTC{3.648649%} AXP{1.351351%} TRV{16.756757%} ,
8,24182.58113,20205.95488,0.835558,16,AAPL{0.706215%} WMT{17.937853%} JPM{12.570621%} PG{4.519774%} HD{0.282486%} MRK{6.920904%} KO{1.836158%} CSCO{9.039548%} DIS{9.322034%} VZ{4.519774%} AMGN{0.141243%} CRM{0.282486%} CAT{9.180791%} INTC{3.813559%} AXP{1.412429%} TRV{17.514124%} ,
9,24299.28482,20382.88583,0.838827,16,AAPL{0.690608%} WMT{17.541436%} JPM{14.502762%} PG{4.419890%} HD{0.276243%} MRK{6.767956%} KO{1.795580%} CSCO{8.839779%} DIS{9.116022%} VZ{4.419890%} AMGN{0.138122%} CRM{0.276243%} CAT{8.977901%} INTC{3.729282%} AXP{1.381215%} TRV{17.127072%} ,
10,24370.01321,21085.84778,0.865237,12,WMT{17.232022%} JPM{16.146540%} PG{1.085482%} HD{0.135685%} MRK{13.025780%} KO{0.949796%} CSCO{8.683853%} DIS{8.683853%} VZ{2.713704%} CAT{8.683853%} INTC{5.427408%} TRV{17.232022%} ,
