Risk,Expected Return
28725.41135819712872034870,13825.57668989542071358301
28941.95692203977887402289,14047.93051358887169044465
29311.76677605427175876684,14512.58633449481203570031
29896.23133751171189942397,14699.68309547037642914802
30246.54696568668805412017,15216.84075121952992049046
30300.41277253589578322135,15527.80822996519964362960
30528.26551737554837018251,15832.64269895471625204664
30822.82975944662757683545,16169.34745993029355304316
31107.48248401776072569191,16315.42737630663032177836
31350.85498839595675235614,16643.80241811852465616539
31833.96551617231671116315,16697.16590592340435250662
31856.76881687095738016069,17204.29293658538517775014
31947.88100130617385730147,17452.61887804882644559257
32158.50662182289670454338,17544.85538675953648635186
32515.23972043378307716921,17869.03511498258740175515
32540.94908479053628980182,17890.18072055751690641046
32863.21120878963847644627,18207.76441393732966389507
33165.59857735472178319469,18366.59560905924445251003
33222.56061990534362848848,18738.82908083623988204636
33589.12112935607729014009,19101.68347317073130398057
33633.69637293870619032532,19161.19338327528021181934
33946.45544882374088047072,19387.22349337976265815087
34485.41472178364347200841,19467.28493101043568458408
34702.15728271785337710753,19968.76294076653357478790
34910.41847362821135902777,20091.93269337982201250270
35417.49912149378360481933,20344.21489198604467674159
35625.92006358433718560264,20451.91652822302421554923
35913.36920517927501350641,20792.79995261329531786032
36428.07399296429503010586,21115.09964529619173845276
36983.05120406818605260924,21392.45630522651117644273
37458.16382033078843960539,21564.54147386761178495362
37831.93238558484881650656,21805.87203554007282946259
38080.92485792970546754077,22097.35637700352162937634
38248.47724633038160391152,22150.33007038330833893269
39038.88480392703786492348,22393.55034146341495215893
39330.13005969567166175693,22466.05669059236242901534
39745.93486686862161150202,22911.04930383276587235741
39991.71042923362256260589,23132.43726829271327005699
40866.47672993560991017148,23292.72714982580509968102
40900.96759517046302789822,23418.30229477350803790614
41718.74915734721435001120,24012.55946759584185201675
42246.51702410163852619007,24182.82830383279360830784
42577.59193664996564621106,24444.91043344950594473630
42837.38091935315605951473,24643.40235679442412219942
43826.28081169772485736758,24806.13126062719675246626
44153.62533059739507734776,25047.43774634146393509582
44699.48622680164407938719,25179.60044947739152121358
45139.39774224667780799791,25188.13122996516176499426
45189.06244255696947220713,25414.32790731716158916242
45574.92801069800771074370,25457.73474773519410518929
46028.30540454802394378930,25647.26349059236235916615
46748.09918943761294940487,25778.48194912886538077146
47113.83222491048218216747,26020.26470174218411557376
47370.66772019015479600057,26074.49150592330624931492
48059.20275215438596205786,26269.08040696867465157993
48891.66034243682224769145,26383.59030034841271117330
49588.00632186470465967432,26513.49115052268825820647
50810.89097707614564569667,26769.20909686406957916915
51559.80436625063157407567,26914.32790801396185997874
52010.13745719526195898652,27112.55384320559460320510
52556.28557957491284469143,27145.84999303133372450247
52992.01659892688621766865,27314.15680139365576906130
53033.72737086165579967201,27365.31162578401927021332
54037.48777997802972095087,27484.54336655052247806452
54633.73218830258701927960,27619.88827874567141407169
55335.45551586220244644210,27724.54058815330063225701
56424.72465345194359542802,27770.65355818818716215901
56470.12858990981476381421,28021.35658048780896933749
57636.18947780515009071678,28037.95857560976219247095
58825.82564351744804298505,28114.72035121956287184730
59656.13880604185396805406,28388.85692891990402131341
60689.63265015127399237826,28409.09895679447436123155
60784.07119925086590228602,28450.23087247391958953813
62228.71325088874436914921,28543.08758606280753156170
62768.17346855035430053249,28627.76405853664982714690
63875.28100409841863438487,28645.18354076656032702886
64907.77549159670161316171,28843.63523135890500270762
65236.36263436707668006420,28971.61677282229720731266
65940.83212651807116344571,29072.74554425089445430785
67403.35982486640568822622,29129.79746898954908829182
67862.95418203767621889710,29197.70571567947990843095
68387.92829479991632979363,29388.77836724741064244881
69763.32595754007343202829,29497.94915749126812443137
69829.37265017379831988364,29568.07084041809866903350
70275.69211891299346461892,29785.65601742164653842337
70789.16565893508959561586,29885.78036445996986003593
73988.80886167474091053009,30042.47332264803844736889
74470.58115043827274348587,30129.10559024387112003751
77911.27044145065883640200,30235.65737282234113081358
78058.73113917700538877398,30276.06262787455852958374
78477.66612000890017952770,30532.84491219517076388001
80792.56621183421520981938,30584.16583832749893190339
82237.00193129865510854870,30849.86258397214987780899
83961.49197855677630286664,30975.28276655047739041038
87685.09700633285683579743,31096.92225714280721149407
87942.87327908733277581632,31147.65656376303377328441
88399.32619846700981725007,31253.49463066201133187860
