After EL,,,Gbest ratio:,1.162788,#in front,1008
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,11997.21046,10975.73076,0.914857,14,JNJ{2.203857%} V{9.090909%} WMT{3.719008%} PG{9.917355%} CVX{17.355372%} HD{0.275482%} KO{8.953168%} MCD{11.294766%} IBM{12.258953%} CAT{0.550964%} AXP{4.407713%} BA{11.019284%} MMM{8.815427%} DD{0.137741%} ,
2,12006.21217,11039.44835,0.919478,13,JNJ{2.168022%} V{8.943089%} WMT{3.658537%} PG{9.756098%} CVX{17.073171%} HD{2.439024%} KO{8.807588%} MCD{11.111111%} IBM{12.059621%} AXP{4.336043%} BA{10.840108%} MMM{8.672087%} DD{0.135501%} ,
3,12019.97101,11464.92288,0.953823,13,JNJ{2.253521%} V{9.295775%} WMT{3.802817%} PG{10.140845%} CVX{17.746479%} HD{2.535211%} KO{9.154930%} MCD{11.549296%} IBM{12.535211%} CAT{0.563380%} BA{11.267606%} MMM{9.014085%} DD{0.140845%} ,
4,12113.65038,11544.76587,0.953038,14,JNJ{2.203857%} V{9.090909%} WMT{3.719008%} PG{9.917355%} CVX{17.355372%} HD{2.479339%} KO{8.953168%} MCD{9.090909%} IBM{12.258953%} CAT{0.550964%} AXP{4.407713%} BA{11.019284%} MMM{8.815427%} DD{0.137741%} ,
5,12211.05309,11652.61555,0.954268,14,JNJ{2.203857%} V{9.090909%} WMT{3.719008%} PG{9.917355%} CVX{17.355372%} HD{2.479339%} KO{8.953168%} MCD{11.294766%} IBM{10.055096%} CAT{0.550964%} AXP{4.407713%} BA{11.019284%} MMM{8.815427%} DD{0.137741%} ,
6,12224.16229,11737.76336,0.96021,15,JNJ{4.551724%} V{9.931034%} WMT{8.413793%} PG{7.448276%} CVX{17.103448%} HD{2.206897%} KO{9.655172%} MCD{8.137931%} HON{0.275862%} IBM{11.586207%} CRM{0.137931%} CAT{0.137931%} AXP{3.862069%} BA{10.758621%} MMM{5.793103%} ,
7,12292.90481,11901.18663,0.968135,15,JNJ{2.397743%} V{10.155148%} WMT{8.603667%} PG{7.616361%} CVX{17.489422%} HD{2.256700%} KO{9.873061%} MCD{8.321580%} HON{0.282087%} IBM{11.847673%} CRM{0.141044%} CAT{0.141044%} AXP{3.949224%} BA{11.001410%} MMM{5.923836%} ,
8,12399.86663,11925.40405,0.961736,14,MSFT{0.270270%} V{8.648649%} WMT{4.054054%} PG{8.918919%} CVX{17.162162%} HD{0.270270%} MRK{0.135135%} KO{10.000000%} MCD{9.324324%} IBM{15.135135%} CAT{1.081081%} AXP{3.378378%} BA{12.972973%} MMM{8.648649%} ,
9,12406.86303,12081.75383,0.973796,14,JNJ{2.305476%} V{9.510086%} WMT{3.890490%} PG{10.374640%} CVX{18.155620%} HD{0.288184%} KO{9.365994%} MCD{11.815562%} IBM{12.824207%} CAT{0.576369%} AXP{4.610951%} BA{11.527378%} MMM{4.610951%} DD{0.144092%} ,
10,12449.41148,12619.94569,1.013698,13,JNJ{2.359882%} V{9.734513%} WMT{3.982301%} PG{10.619469%} CVX{18.584071%} HD{2.654867%} KO{9.587021%} MCD{12.094395%} IBM{13.126844%} CAT{0.589971%} BA{11.799410%} MMM{4.719764%} DD{0.147493%} ,
11,12520.13292,12650.566,1.010418,13,V{8.625337%} WMT{8.355795%} PG{8.894879%} CVX{17.115903%} HD{0.134771%} KO{10.512129%} MCD{9.299191%} IBM{15.094340%} CAT{1.078167%} AXP{3.369272%} BA{12.938005%} MMM{4.312668%} TRV{0.269542%} ,
12,12632.87854,13118.89406,1.038472,10,V{9.667674%} WMT{9.516616%} PG{5.891239%} CVX{19.184290%} KO{9.667674%} MCD{7.854985%} IBM{9.365559%} AXP{4.531722%} BA{14.652568%} MMM{9.667674%} ,
13,12816.25463,13308.8435,1.038435,11,V{9.861325%} WMT{7.241911%} PG{6.009245%} CVX{19.568567%} HD{0.308166%} KO{9.861325%} MCD{8.012327%} IBM{9.553159%} AXP{4.776579%} BA{14.946071%} MMM{9.861325%} ,
14,12844.64539,13413.06872,1.044254,12,JNJ{0.152905%} V{9.785933%} WMT{7.186544%} PG{5.810398%} CVX{19.418960%} HD{1.223242%} KO{9.785933%} MCD{7.951070%} IBM{9.480122%} AXP{4.587156%} BA{14.831804%} MMM{9.785933%} ,
15,12951.93492,13452.88833,1.038678,18,JNJ{0.146199%} V{10.818713%} WMT{4.385965%} PG{7.602339%} CVX{18.274854%} HD{2.339181%} KO{9.941520%} MCD{8.918129%} DIS{0.292398%} HON{0.292398%} IBM{12.426901%} CRM{0.146199%} CAT{0.730994%} AXP{4.093567%} BA{13.157895%} MMM{5.116959%} TRV{0.584795%} DD{0.730994%} ,
