Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,54469.34577,100.599462,0.001847,10,AAPL{6.451613%} WMT{27.956989%} CVX{21.863799%} KO{0.358423%} NKE{26.881720%} VZ{2.867384%} IBM{0.358423%} CAT{12.544803%} MMM{0.358423%} DD{0.358423%} ,
2,54606.58241,148.971871,0.002728,10,AAPL{6.451613%} WMT{27.956989%} CVX{21.863799%} KO{0.358423%} NKE{26.881720%} IBM{0.358423%} CAT{12.544803%} MMM{0.358423%} TRV{2.867384%} DD{0.358423%} ,
3,54743.37082,202.214788,0.003694,13,AAPL{6.205251%} MSFT{0.477327%} UNH{0.238663%} WMT{26.491647%} PG{0.477327%} CVX{24.343675%} MCD{0.238663%} NKE{21.241050%} VZ{0.238663%} AMGN{0.238663%} CAT{15.274463%} AXP{0.238663%} MMM{4.295943%} ,
4,55078.02088,221.447834,0.004021,7,AAPL{10.491803%} WMT{32.131148%} CVX{20.327869%} NKE{20.000000%} CAT{15.737705%} AXP{0.327869%} MMM{0.983607%} ,
5,55153.05493,451.817866,0.008192,9,AAPL{6.271777%} WMT{27.177700%} CVX{21.254355%} KO{0.348432%} NKE{26.132404%} IBM{0.348432%} CAT{12.195122%} MMM{5.923345%} DD{0.348432%} ,
6,55506.85721,849.311802,0.015301,9,AAPL{5.940594%} WMT{36.303630%} CVX{20.132013%} KO{0.330033%} NKE{24.752475%} IBM{0.330033%} CAT{11.551155%} MMM{0.330033%} DD{0.330033%} ,
7,55974.39597,916.873347,0.01638,7,AAPL{5.460751%} V{1.365188%} WMT{36.177474%} CVX{19.453925%} KO{0.341297%} NKE{25.597270%} CAT{11.604096%} ,
8,56150.39054,1004.117879,0.017883,9,AAPL{6.271777%} WMT{32.752613%} CVX{21.254355%} KO{0.348432%} NKE{26.132404%} IBM{0.348432%} CAT{12.195122%} MMM{0.348432%} DD{0.348432%} ,
9,56687.35457,1039.506632,0.018338,10,AAPL{6.617647%} WMT{28.676471%} CVX{22.426471%} KO{0.367647%} NKE{27.573529%} VZ{0.367647%} IBM{0.367647%} CAT{12.867647%} MMM{0.367647%} DD{0.367647%} ,
10,56692.80461,1082.529739,0.019095,9,AAPL{6.593407%} WMT{28.571429%} CVX{22.344322%} KO{0.366300%} NKE{27.472527%} IBM{0.366300%} CAT{12.820513%} MMM{1.098901%} DD{0.366300%} ,
11,56738.53736,1086.83859,0.019155,9,AAPL{9.318996%} WMT{27.956989%} CVX{21.863799%} KO{0.358423%} NKE{26.881720%} IBM{0.358423%} CAT{12.544803%} MMM{0.358423%} DD{0.358423%} ,
12,56841.55487,1131.027278,0.019898,9,AAPL{8.000000%} WMT{28.363636%} CVX{22.181818%} KO{0.363636%} NKE{27.272727%} IBM{0.363636%} CAT{12.727273%} MMM{0.363636%} DD{0.363636%} ,
13,56970.45773,1166.123584,0.020469,9,AAPL{6.617647%} WMT{29.044118%} CVX{22.426471%} KO{0.367647%} NKE{27.573529%} IBM{0.367647%} CAT{12.867647%} MMM{0.367647%} DD{0.367647%} ,
14,57033.77269,1177.572572,0.020647,9,AAPL{6.642066%} WMT{28.782288%} CVX{22.509225%} KO{0.369004%} NKE{27.675277%} IBM{0.369004%} CAT{12.915129%} MMM{0.369004%} DD{0.369004%} ,
15,57107.93409,1249.851702,0.021886,9,AAPL{6.593407%} WMT{28.571429%} CVX{23.076923%} KO{0.366300%} NKE{27.472527%} IBM{0.366300%} CAT{12.820513%} MMM{0.366300%} DD{0.366300%} ,
16,57293.25341,1560.765779,0.027242,4,WMT{38.461538%} CVX{24.230769%} NKE{25.000000%} CAT{12.307692%} ,
17,57591.35463,1785.927107,0.03101,5,AAPL{6.557377%} WMT{27.868852%} CVX{25.819672%} NKE{26.639344%} CAT{13.114754%} ,
18,58195.52896,1816.672016,0.031217,5,WMT{36.090226%} PG{0.375940%} CVX{26.691729%} NKE{24.436090%} CAT{12.406015%} ,
