DailyRisk,ExpectedReturn
46780.7132861789286835119128227,40543.1205365402274765074253082
47242.2811510339088272303342819,42746.0175370027573080733418465
47701.1415224415541160851716995,43676.7828885291382903233170509
48848.617515387355524580925703,46315.1262604070434463210403919
49213.1387581548769958317279816,49268.454782608656387310475111
50962.6406976033395039848983288,50963.4267506937758298590779305
53400.5409164963639341294765472,52295.742102220137894619256258
54344.6537641884424374438822269,52977.004435707654920406639576
55823.6285987469673273153603077,53877.3049814986297860741615295
58693.1621002765969024039804935,55211.0673196114148595370352268
59989.1121209703778731636703014,55882.7883140610210830345749855
62135.5992674937297124415636063,57002.7280920444318326190114021
63883.5181555881426902487874031,57734.9814569842856144532561302
65708.865425179872545413672924,58359.6620004624783177860081196
68480.0667166232015006244182587,59484.1753399630179046653211117
70439.5199619025370338931679726,60204.3205134134914260357618332
71984.6512225922197103500366211,60810.4702867714731837622821331
74950.6227326722146244719624519,61750.8251341350405709818005562
77231.5559469206782523542642593,62657.1186563366791233420372009
78268.8282557189668295904994011,63034.8287257169358781538903713
82202.6442022314004134386777878,64102.1898496761932619847357273
84157.3267019629420246928930283,64940.3247733579846681095659733
87262.8919360138534102588891983,66081.6688829786871792748570442
89244.7762577794346725568175316,66745.9730966697679832577705383
91816.337323114741593599319458,67581.3252752081316430121660233
94882.6750125586986541748046875,68488.8736470860312692821025848
97142.8639823664998402819037437,69119.9508186863677110522985458
98639.1763495649211108684539795,69744.6770235892472555860877037
100734.756018682586727663874626,70540.956385291385231539607048
103790.537487869267351925373077,71529.9328492137428838759660721
106727.395116719970246776938438,72397.1036378353310283273458481
109933.963653022306971251964569,73148.4840772432653466239571571
111335.486144393682479858398438,73647.7287234042596537619829178
113950.03641227734624408185482,74247.552331174811115488409996
116660.095768676095758564770222,74889.5009111933468375355005264
118869.397032964567188173532486,75742.3997363552043680101633072
120751.622982716173282824456692,76190.7641905643249629065394402
122969.77335001845494844019413,76783.5522271045483648777008057
124854.000664149280055426061153,77415.7687002775346627458930016
126268.409619182668393477797508,78014.6872895467240596190094948
129092.394844196693156845867634,78690.3479093431815272197127342
131909.853250735555775463581085,79205.4684111933165695518255234
134143.872063948889262974262238,79979.319928307115333154797554
136451.777399862708989530801773,80638.3833186863776063546538353
141111.887401491665514186024666,81630.5163945421081734821200371
143534.13808789988979697227478,82047.9347340425156289711594582
147078.312992683757329359650612,82617.4803168362705036997795105
151132.179876909445738419890404,83490.7289199815277243033051491
154152.237348200811538845300674,84249.717254856572253629565239
157189.550443971529603004455566,84736.0398704903345787897706032
159199.177994917175965383648872,85137.8367345050937728956341743
162891.789376569213345646858215,85796.331836262688739225268364
168857.066733087180182337760925,86631.6557978723285486921668053
171712.688344773079734295606613,87393.9327960222144611179828644
175223.131508952734293416142464,88119.7160337650275323539972305
178128.361460453161271288990974,88588.0803839037544094026088715
179947.37940558572881855070591,88951.0386447733326349407434464
185142.754318122984841465950012,89614.987407493041246198117733
186790.23330692382296547293663,90130.1377474560140399262309074
189004.670049741456750780344009,90505.8132955596665851771831512
193371.670061361917760223150253,91335.8589616095705423504114151
196012.060253643430769443511963,91769.3332863089453894644975662
198124.982297490962082520127296,92132.0622525439393939450383186
200751.475741887436015531420708,92559.5344935244938824325799942
206119.208694238768657669425011,93258.4242599445278756320476532
208238.907221059547737240791321,93864.3190864939970197156071663
214362.463451810588594526052475,94543.8643038852751487866044044
216951.481191168801160529255867,94986.7950138760206755250692368
220593.676603481493657454848289,95679.5299306197703117504715919
225760.312414129584794864058495,96356.5490656799229327589273453
227905.359816072741523385047913,96694.0501248843502253293991089
230457.004646581975976005196571,97120.5564893616538029164075851
237132.367977713554864749312401,97797.6614338574727298691868782
239927.199315964069683104753494,98262.1725370027852477505803108
244647.989583665184909477829933,99131.3137858464324381202459335
252031.446527882828377187252045,100183.469849676184821873903275
255186.122315296815941110253334,100832.925698427337920293211937
260167.707057444087695330381393,101246.737136910291155800223351
262343.955303063441533595323563,101571.30210684551275335252285
266278.20032159890979528427124,102233.468725716957123950123787
270746.871696028800215572118759,103162.483418131349026225507259
276566.442172837676480412483215,103703.578341813146835193037987
278390.650593637721613049507141,104162.482710453245090320706367
280815.579842075298074632883072,104442.466702127596363425254822
285569.127462868113070726394653,105232.85358001849090214818716
292297.831720275571569800376892,105787.360580481021315790712833
297326.909602924075443297624588,106737.509414893604116514325142
301034.619762585149146616458893,107320.972319611391867510974407
305299.861504180938936769962311,108002.921188714084564708173275
308678.545497908256947994232178,108508.067587881538202054798603
311199.915392546274233609437943,108866.692953283985843881964684
314915.862478597438894212245941,109440.715612858461099676787853
326769.512552979052998125553131,110627.877883903740439563989639
331294.009192867029923945665359,111296.663071230344939976930618
335248.575273431080859154462814,111909.650446346015087328851223
337130.799694661749526858329773,112384.279414893608191050589085
341647.165020368585828691720963,112871.948184551351005211472511
343768.445791089267004281282425,113402.312761332039372064173222
346249.776881984667852520942688,113778.657759019348304718732834
351302.463001665833871811628342,114479.435381591145414859056473
Runtime,1212
