Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,796.679266500472181,192.248103607773345,0.241311794710374,2,MRK{0.884955752212389%} CASH{99.115044247787608%} 
2,857.378639186070131,206.895578168366171,0.241311794710418,2,MRK{0.952380952380952%} CASH{99.047619047619051%} 
3,891.522036321617406,215.134782608698401,0.241311794710466,2,MRK{0.990099009900990%} CASH{99.009900990099013%} 
4,909.542162587814119,219.483251618860663,0.241311794710418,2,MRK{1.010101010101010%} CASH{98.989898989898990%} 
5,919.026439570289313,221.771919518971941,0.241311794710353,2,MRK{1.020408163265306%} CASH{98.979591836734699%} 
6,928.510716552147642,224.060587419059971,0.241311794710423,2,MRK{1.030927835051546%} CASH{98.969072164948457%} 
7,957.082969106684573,256.225247456045167,0.267714770533634,2,CSCO{0.826446280991736%} CASH{99.173553719008268%} 
8,1024.792471700897977,274.352081406098193,0.267714770533728,2,CSCO{0.884955752212389%} CASH{99.115044247787608%} 
9,1062.612193871173758,284.476979648480722,0.267714770533651,2,CSCO{0.917431192660551%} CASH{99.082568807339456%} 
10,1082.132050474951029,289.702733580018730,0.267714770533658,2,CSCO{0.934579439252336%} CASH{99.065420560747668%} 
11,1092.501974295265654,292.478915356159916,0.267714770533781,2,CSCO{0.943396226415094%} CASH{99.056603773584911%} 
12,1102.871898116338116,295.255097132277797,0.267714770533697,2,CSCO{0.952380952380952%} CASH{99.047619047619051%} 
13,1146.791575474959245,307.013043478253621,0.267714770533695,2,CSCO{0.990099009900990%} CASH{99.009900990099013%} 
14,1169.971405191891108,313.218626271960034,0.267714770533719,2,CSCO{1.010101010101010%} CASH{98.989898989898990%} 
15,1181.561320050528366,316.321417668841207,0.267714770533716,2,CSCO{1.020408163265306%} CASH{98.979591836734699%} 
16,1193.761230428002364,319.587513876051048,0.267714770533692,2,CSCO{1.030927835051546%} CASH{98.969072164948457%} 
17,1301.120441748847952,348.329160499530360,0.267714770533724,2,CSCO{1.123595505617978%} CASH{98.876404494382015%} 
18,1349.071066871765652,497.543559204419978,0.368804558501226,3,MRK{0.943396226415094%} CSCO{0.943396226415094%} CASH{98.113207547169807%} 
19,1459.022856188634250,538.093337187781344,0.368803912087730,3,MRK{1.020408163265306%} CSCO{1.020408163265306%} CASH{97.959183673469383%} 
20,1674.918553321773970,581.435124884378524,0.347142327447057,3,JNJ{1.010101010101010%} CSCO{2.020202020202020%} CASH{96.969696969696969%} 
21,1743.692559704114728,643.078378815907740,0.368802616743992,3,MRK{1.219512195121951%} CSCO{1.219512195121951%} CASH{97.560975609756099%} 
22,1932.440424193363242,712.676234967630080,0.368795967029677,3,MRK{1.351351351351351%} CSCO{1.351351351351351%} CASH{97.297297297297305%} 
23,2098.435960875343881,728.640682238669342,0.347230363863343,3,JNJ{1.265822784810127%} CSCO{2.531645569620253%} CASH{96.202531645569621%} 
24,2111.512945616432717,752.185129509696822,0.356230413396828,3,MRK{2.020202020202020%} CSCO{1.010101010101010%} CASH{96.969696969696969%} 
25,2134.269743633667986,787.110074005542856,0.368795967029669,3,MRK{1.492537313432836%} CSCO{1.492537313432836%} CASH{97.014925373134332%} 
26,2166.931646706853371,799.167250231257299,0.368801319342848,3,MRK{1.515151515151515%} CSCO{1.515151515151515%} CASH{96.969696969696969%} 
27,2334.490179835799154,810.830520351537984,0.347326592913134,3,JNJ{1.408450704225352%} CSCO{2.816901408450704%} CASH{95.774647887323937%} 
28,2394.002851896563698,826.577587881604472,0.345270093236012,4,JNJ{1.315789473684210%} V{1.315789473684210%} CSCO{2.631578947368421%} CASH{94.736842105263150%} 
29,2403.186874778522451,834.261406105470087,0.347147953769661,3,JNJ{1.449275362318841%} CSCO{2.898550724637681%} CASH{95.652173913043484%} 
30,2437.789988660364543,846.586043015736664,0.347276035652669,3,JNJ{1.470588235294118%} CSCO{2.941176470588235%} CASH{95.588235294117652%} 
31,2474.104609542641811,859.162035152654653,0.347261806084860,3,JNJ{1.492537313432836%} CSCO{2.985074626865671%} CASH{95.522388059701484%} 
32,2518.532538995889354,897.125316836257753,0.356209539859243,3,MRK{2.409638554216868%} CSCO{1.204819277108434%} CASH{96.385542168674704%} 
33,2526.611752146533490,1435.750918131364642,0.568251500022350,4,CSCO{3.174603174603174%} MCD{0.793650793650794%} AMGN{0.793650793650794%} CASH{95.238095238095227%} 
34,2599.335550888110902,1569.734403330246778,0.603898331938683,3,CSCO{3.200000000000000%} AMGN{0.800000000000000%} CASH{96.000000000000000%} 
35,2687.564910331134342,1622.703822849203789,0.603782188333926,3,CSCO{3.305785123966942%} AMGN{0.826446280991736%} CASH{95.867768595041326%} 
36,2732.907215726954291,1650.086709065683408,0.603784387398882,3,CSCO{3.361344537815126%} AMGN{0.840336134453782%} CASH{95.798319327731093%} 
37,2755.801037620074567,1663.941456984272008,0.603795932387507,3,CSCO{3.389830508474576%} AMGN{0.847457627118644%} CASH{95.762711864406782%} 
38,2778.917910083302104,1677.959509713217813,0.603817587998819,3,CSCO{3.418803418803419%} AMGN{0.854700854700855%} CASH{95.726495726495727%} 
