Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,59818.24858702835626900196,614.63085170642864341062,0.01027497237422815395,8,MSFT{9.1778202677%} JNJ{24.2829827916%} PG{6.1185468451%} MRK{5.7361376673%} KO{22.9445506692%} HON{9.1778202677%} IBM{4.2065009560%} TRV{18.3556405354%} 
2,59904.00450832808564882725,1021.19884929023692166083,0.01704725514883176016,8,MSFT{7.2463768116%} JNJ{25.4658385093%} PG{1.4492753623%} MRK{6.2111801242%} KO{25.2587991718%} HON{9.9378881988%} IBM{4.5548654244%} TRV{19.8757763975%} 
3,60130.86275426155771128833,1238.94304439749612356536,0.02060411222537615258,8,MSFT{6.7085953878%} JNJ{25.7861635220%} PG{0.6289308176%} MRK{6.2893081761%} KO{25.5765199161%} HON{10.0628930818%} IBM{4.8218029350%} TRV{20.1257861635%} 
4,61830.01578616324695758522,1895.60201751735098696372,0.03065828131231954426,8,MSFT{8.6330935252%} JNJ{22.1223021583%} PG{0.5395683453%} MRK{16.9064748201%} KO{21.9424460432%} HON{8.6330935252%} IBM{3.9568345324%} TRV{17.2661870504%} 
5,62040.59834023721487028524,2279.31395046814031957183,0.03673907105099375597,11,MSFT{10.4868913858%} JNJ{23.0337078652%} PG{0.5617977528%} MRK{16.1048689139%} KO{23.7827715356%} DIS{0.1872659176%} HON{5.9925093633%} IBM{5.8052434457%} CRM{0.7490636704%} AXP{1.4981273408%} TRV{11.7977528090%} 
6,64173.16860704780265223235,2524.39716097854943654966,0.03933726845305419301,12,MSFT{4.6181172291%} UNH{0.1776198934%} JNJ{22.2024866785%} PG{0.5328596803%} MRK{15.2753108348%} KO{22.5577264654%} DIS{0.1776198934%} HON{5.6838365897%} IBM{5.5062166963%} CRM{0.7104795737%} AXP{1.4209591474%} TRV{21.1367673179%} 
7,64346.33754837627930101007,6010.16390214438888506265,0.09340335644784572566,12,MSFT{5.1282051282%} UNH{0.1972386588%} JNJ{24.6548323471%} PG{0.5917159763%} MRK{16.9625246548%} KO{25.0493096647%} DIS{0.1972386588%} HON{6.3116370809%} IBM{6.1143984221%} CRM{0.7889546351%} AXP{1.5779092702%} TRV{12.4260355030%} 
8,66017.43148439042852260172,7571.13929628517507808283,0.11468394219601443784,12,MSFT{1.1952191235%} UNH{0.1992031873%} JNJ{24.5019920319%} V{1.7928286853%} PG{0.5976095618%} MRK{17.1314741036%} KO{25.2988047809%} DIS{0.1992031873%} HON{9.5617529880%} IBM{6.1752988048%} CRM{0.7968127490%} TRV{12.5498007968%} 
9,66558.36987570651399437338,8270.42244035037947469391,0.12425818805050158067,12,MSFT{1.2345679012%} UNH{0.2057613169%} JNJ{25.3086419753%} V{1.8518518519%} PG{0.6172839506%} MRK{17.6954732510%} KO{26.1316872428%} DIS{0.2057613169%} HON{6.5843621399%} IBM{6.3786008230%} CRM{0.8230452675%} TRV{12.9629629630%} 
10,67565.26065984735032543540,8518.99393415891063341405,0.12608541506332965332,13,MSFT{1.2145748988%} UNH{0.2024291498%} JNJ{24.8987854251%} V{1.8218623482%} WMT{1.6194331984%} PG{0.6072874494%} MRK{17.4089068826%} KO{25.7085020243%} DIS{0.2024291498%} HON{6.4777327935%} IBM{6.2753036437%} CRM{0.8097165992%} TRV{12.7530364372%} 
11,67831.15287979027198161930,8816.78973421923910791520,0.12998142239811655285,11,MSFT{1.3422818792%} UNH{0.2237136465%} JNJ{21.2527964206%} V{0.2237136465%} PG{0.2237136465%} MRK{19.2393736018%} KO{28.4116331096%} HON{7.1588366890%} IBM{6.9351230425%} CRM{0.8948545861%} TRV{14.0939597315%} 
12,68987.38912265779799781740,9136.20778616733696253505,0.13243301279199587439,12,MSFT{1.1583011583%} UNH{0.1930501931%} JNJ{23.7451737452%} V{1.7374517375%} PG{0.5791505792%} MRK{22.7799227799%} KO{24.5173745174%} DIS{0.1930501931%} HON{6.1776061776%} IBM{5.9845559846%} CRM{0.7722007722%} TRV{12.1621621622%} 
13,69112.08704125415533781052,9435.70192389005751465447,0.13652752113038824078,12,MSFT{1.3888888889%} UNH{0.2314814815%} JNJ{21.9907407407%} V{0.2314814815%} PG{0.2314814815%} MRK{19.9074074074%} KO{29.3981481481%} HON{1.8518518519%} IBM{7.1759259259%} CRM{0.9259259259%} AXP{2.0833333333%} TRV{14.5833333333%} 
