DailyRisk,ExpectedReturn
69542.3181258322729263454675674,11413.7602890842154010897502303
69557.9308350002829683944582939,11662.2944449584210815373808146
69567.1880333957233233377337456,11679.4413089731933723669499159
69627.3290014700614847242832184,11717.3441477798187406733632088
69651.0474252888816408812999725,12016.1478075855629867874085903
69671.5163890288094989955425262,12070.0438876040698232827708125
69675.5434312714496627449989319,12222.6955296021897083846852183
69765.2607159663166385143995285,12366.75585106388462008908391
69879.3043092608859296888113022,12538.7629671600352594396099448
70061.5622084969363640993833542,12741.5614801110059488564729691
70270.9453004097304074093699455,13455.6908556891576154157519341
70321.6899369994353037327528,13593.9782793709691759431734681
70334.4375239982618950307369232,14132.0058857539224845822900534
70347.9536653757531894370913506,14595.6073982423331472091376781
70375.4473183677328051999211311,14785.9655920443965442245826125
70388.3474598105967743322253227,14833.8620212765763426432386041
70394.5430175137444166466593742,14881.8216049953389301663264632
70415.4138982266013044863939285,15028.8148103608073142822831869
70431.3186242123483680188655853,15078.8664754856690706219524145
70446.0570600936043774709105492,15177.8349468085943954065442085
70538.202065071905963122844696,15276.5158626272605033591389656
70541.7426752810279140248894691,15482.1235430157375958515331149
70645.3388277075864607468247414,15508.1424930619414226384833455
70752.6759024987550219520926476,15544.566452358951210044324398
70825.3917632453376427292823792,15706.8595721554374904371798038
70852.7193920199497370049357414,15806.7739847363736771512776613
70856.6395090992155019193887711,15903.0748496762753347866237164
70990.0274721104942727833986282,16149.0144981498669949360191822
71169.6564455688203452154994011,16329.6782863089938473422080278
71333.5681248617911478504538536,16506.7587025902212189976125956
71388.6060063699696911498904228,16544.5098566142187337391078472
71514.7162792726594489067792892,16805.3487234043423086404800415
71554.5079261704231612384319305,17153.7399653098655107896775007
72078.2318598358106100931763649,17735.5953214616347395349293947
72211.9178594520344631746411324,19010.2307654949581774417310953
73695.9878807596978731453418732,19087.3592460684594698250293732
74198.6059895627113291993737221,19178.8085499537810392212122679
74246.4772345747333019971847534,19381.2022525439715536776930094
74739.6102271488343831151723862,19422.0070166513141884934157133
75565.4385057375766336917877197,20856.2026757632229418959468603
75692.8568731648119864985346794,21473.7625161887444846797734499
77564.7155338347656652331352234,22469.8361655874141433741897345
77733.4386002456303685903549194,22528.4803029602080641780048609
77755.1920238061866257339715958,26263.4844773357945086900144815
77776.6588564973208121955394745,26286.419768732645025011152029
77934.5629935214383294805884361,26980.747543940778996329754591
78529.8738803444866789504885674,28319.7171322849426360335201025
78615.9627949268324300646781921,29081.098112858471722574904561
78849.5205251992010744288563728,30036.1123797410036786459386349
79120.6232888306403765454888344,30150.100677613347215810790658
79155.2085505393188213929533958,30152.2223982423711277078837156
79191.4360104312654584646224976,30322.1308649398997658863663673
79237.5416083931195316836237907,30629.4384967622572730761021376
79496.5022121207439340651035309,31655.3640703052406024653464556
