Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,36013.34267,13168.54361,0.365657,11,V{0.710900%} JPM{0.236967%} PG{0.473934%} MRK{15.402844%} KO{22.748815%} CSCO{28.909953%} MCD{15.165877%} VZ{0.947867%} AMGN{8.530806%} IBM{6.398104%} TRV{0.473934%} ,
2,36163.65823,13729.38276,0.379646,10,UNH{0.262467%} PG{0.262467%} MRK{16.797900%} KO{25.196850%} CSCO{27.821522%} MCD{5.774278%} VZ{3.149606%} AMGN{9.448819%} IBM{7.086614%} TRV{4.199475%} ,
3,36348.17991,14083.82659,0.38747,10,UNH{0.257069%} PG{0.257069%} MRK{16.452442%} KO{24.678663%} CSCO{29.305913%} MCD{5.655527%} VZ{3.084833%} AMGN{9.254499%} IBM{6.940874%} TRV{4.113111%} ,
4,36409.54643,14663.88178,0.402748,10,UNH{0.257069%} PG{0.257069%} MRK{16.452442%} KO{24.678663%} CSCO{31.362468%} MCD{5.655527%} VZ{1.028278%} AMGN{9.254499%} IBM{6.940874%} TRV{4.113111%} ,
5,36555.04327,15050.38508,0.411718,7,MRK{16.753927%} KO{25.130890%} CSCO{29.057592%} MCD{9.424084%} VZ{3.141361%} AMGN{9.424084%} IBM{7.068063%} ,
6,36735.26228,15376.557,0.418578,7,MRK{16.410256%} KO{24.615385%} CSCO{30.512821%} MCD{9.230769%} VZ{3.076923%} AMGN{9.230769%} IBM{6.923077%} ,
7,36865.04079,15955.12907,0.432798,7,MRK{16.410256%} KO{24.615385%} CSCO{32.564103%} MCD{9.230769%} VZ{1.025641%} AMGN{9.230769%} IBM{6.923077%} ,
8,37143.93105,15982.57916,0.430288,8,V{0.771208%} MRK{16.709512%} KO{16.452442%} CSCO{32.390746%} MCD{16.452442%} VZ{1.028278%} AMGN{9.254499%} IBM{6.940874%} ,
9,37179.61086,16005.80983,0.4305,7,MRK{16.243655%} KO{24.365482%} CSCO{32.233503%} MCD{8.121827%} VZ{3.045685%} AMGN{9.137056%} IBM{6.852792%} ,
10,37316.44834,16760.59862,0.449148,8,V{0.277778%} MRK{17.777778%} KO{26.666667%} CSCO{30.833333%} MCD{4.722222%} VZ{2.222222%} AMGN{10.000000%} IBM{7.500000%} ,
11,37383.97865,16843.00428,0.450541,7,MRK{17.827298%} KO{26.740947%} CSCO{30.919220%} MCD{4.456825%} VZ{2.506964%} AMGN{10.027855%} IBM{7.520891%} ,
12,37484.24204,17069.8273,0.455387,8,V{0.271739%} MRK{17.391304%} KO{26.086957%} CSCO{32.336957%} MCD{4.619565%} VZ{2.173913%} AMGN{9.782609%} IBM{7.336957%} ,
13,37564.34845,17150.81938,0.456572,7,MRK{17.438692%} KO{26.158038%} CSCO{32.425068%} MCD{4.359673%} VZ{2.452316%} AMGN{9.809264%} IBM{7.356948%} ,
14,37618.19846,17220.06097,0.457759,8,V{0.268817%} MRK{17.204301%} KO{25.806452%} CSCO{33.064516%} MCD{4.569892%} VZ{2.150538%} AMGN{9.677419%} IBM{7.258065%} ,
15,37679.88983,17373.55265,0.461083,10,UNH{0.270270%} V{0.810811%} MRK{17.567568%} KO{17.297297%} CSCO{34.054054%} MCD{8.648649%} VZ{2.162162%} AMGN{9.729730%} IBM{7.297297%} TRV{2.162162%} ,
16,37696.44828,17532.74016,0.465103,10,UNH{0.273224%} V{0.819672%} MRK{17.759563%} KO{17.486339%} CSCO{34.426230%} MCD{8.743169%} VZ{1.092896%} AMGN{9.836066%} IBM{7.377049%} TRV{2.185792%} ,
17,37771.02627,17602.6046,0.466035,9,V{0.284091%} HD{0.568182%} MRK{18.181818%} KO{18.181818%} CSCO{31.250000%} MCD{9.090909%} VZ{3.409091%} AMGN{10.227273%} IBM{8.806818%} ,
18,37864.05149,17900.97608,0.47277,9,V{0.277778%} HD{0.555556%} MRK{17.777778%} KO{17.777778%} CSCO{32.777778%} MCD{8.888889%} VZ{3.333333%} AMGN{10.000000%} IBM{8.611111%} ,
19,37964.32794,18043.51847,0.475276,9,V{0.274725%} HD{0.549451%} MRK{17.582418%} KO{17.582418%} CSCO{33.516484%} MCD{8.791209%} VZ{3.296703%} AMGN{9.890110%} IBM{8.516484%} ,
20,38006.89636,18155.63482,0.477693,8,V{0.840336%} MRK{18.207283%} KO{17.927171%} CSCO{33.053221%} MCD{8.963585%} VZ{3.361345%} AMGN{10.084034%} IBM{7.563025%} ,
21,38033.5731,18335.31508,0.482082,7,MRK{18.130312%} KO{18.130312%} CSCO{33.711048%} MCD{9.065156%} VZ{2.549575%} AMGN{10.198300%} IBM{8.215297%} ,
22,38043.94615,18353.53329,0.48243,9,V{0.274725%} HD{0.549451%} MRK{17.582418%} KO{17.582418%} CSCO{34.615385%} MCD{8.791209%} VZ{2.197802%} AMGN{9.890110%} IBM{8.516484%} ,
23,38093.46496,18527.82429,0.486378,9,V{0.277778%} HD{0.555556%} MRK{17.777778%} KO{17.777778%} CSCO{35.000000%} MCD{8.888889%} VZ{1.111111%} AMGN{10.000000%} IBM{8.611111%} ,
24,38134.65212,18582.02588,0.487274,7,V{0.692841%} MRK{22.401848%} KO{22.170901%} CSCO{28.175520%} VZ{2.771363%} AMGN{10.161663%} IBM{13.625866%} ,
25,38184.60832,18582.75464,0.486656,7,MRK{17.777778%} KO{17.777778%} CSCO{35.000000%} MCD{8.888889%} VZ{2.500000%} AMGN{10.000000%} IBM{8.055556%} ,
26,38193.05766,18610.62846,0.487278,8,V{0.831025%} MRK{18.005540%} KO{17.728532%} CSCO{34.903047%} MCD{8.864266%} VZ{2.216066%} AMGN{9.972299%} IBM{7.479224%} ,
27,38214.58512,18616.83025,0.487166,7,MRK{17.728532%} KO{17.728532%} CSCO{35.180055%} MCD{8.864266%} VZ{2.493075%} AMGN{9.972299%} IBM{8.033241%} ,
28,38217.80868,18661.02901,0.488281,7,MRK{17.777778%} KO{17.777778%} CSCO{35.277778%} MCD{8.888889%} VZ{2.222222%} AMGN{10.000000%} IBM{8.055556%} ,
29,38272.33516,18787.68329,0.490895,8,V{0.840336%} MRK{18.207283%} KO{17.927171%} CSCO{35.294118%} MCD{8.963585%} VZ{1.120448%} AMGN{10.084034%} IBM{7.563025%} ,
30,38334.65927,18979.79066,0.495108,7,MRK{18.658892%} KO{18.658892%} CSCO{32.361516%} MCD{4.664723%} VZ{2.623907%} AMGN{10.495627%} IBM{12.536443%} ,
31,38495.39908,19078.48767,0.495604,9,V{0.270270%} HD{2.162162%} MRK{21.621622%} KO{17.567568%} CSCO{30.000000%} MCD{0.270270%} VZ{2.432432%} AMGN{9.729730%} IBM{15.945946%} ,
32,38518.1137,19168.4785,0.497648,9,V{0.297619%} HD{0.595238%} MRK{19.047619%} KO{19.047619%} CSCO{32.738095%} MCD{4.761905%} VZ{3.571429%} AMGN{10.714286%} IBM{9.226190%} ,
33,38520.32476,19253.98501,0.49984,7,MRK{18.233618%} KO{18.233618%} CSCO{33.903134%} MCD{4.558405%} VZ{2.564103%} AMGN{10.256410%} IBM{12.250712%} ,
34,38652.96704,19444.36939,0.50305,9,V{0.290698%} HD{0.581395%} MRK{18.604651%} KO{18.604651%} CSCO{34.302326%} MCD{4.651163%} VZ{3.488372%} AMGN{10.465116%} IBM{9.011628%} ,
35,38746.75186,19622.58365,0.506432,8,V{0.884956%} HD{0.589971%} MRK{19.174041%} KO{18.879056%} CSCO{31.268437%} VZ{3.539823%} AMGN{10.619469%} IBM{15.044248%} ,
36,38850.94702,19642.87982,0.505596,9,V{0.285714%} HD{0.571429%} MRK{18.285714%} KO{18.285714%} CSCO{35.428571%} MCD{4.571429%} VZ{3.428571%} AMGN{10.285714%} IBM{8.857143%} ,
37,38878.87221,19725.14853,0.507349,8,V{0.879765%} MRK{19.061584%} KO{18.768328%} CSCO{34.604106%} MCD{4.692082%} VZ{3.519062%} AMGN{10.557185%} IBM{7.917889%} ,
38,38911.02195,19823.83459,0.509466,7,MRK{18.497110%} KO{13.872832%} CSCO{36.705202%} MCD{10.404624%} VZ{2.312139%} AMGN{10.404624%} IBM{7.803468%} ,
39,38911.78332,19909.54185,0.511658,8,V{4.776119%} MRK{19.104478%} KO{19.104478%} CSCO{33.134328%} MCD{2.388060%} VZ{2.686567%} AMGN{10.746269%} IBM{8.059701%} ,
40,38921.39112,19986.34451,0.513505,7,V{9.221902%} MRK{19.596542%} KO{18.443804%} CSCO{31.700288%} VZ{2.305476%} AMGN{10.374640%} IBM{8.357349%} ,
41,39029.49814,20009.96244,0.512688,9,V{0.304878%} HD{0.609756%} MRK{19.512195%} KO{19.512195%} CSCO{33.536585%} MCD{2.439024%} VZ{3.658537%} AMGN{10.975610%} IBM{9.451220%} ,
