Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,31803.39391,18864.63388,0.593164,13,AAPL{7.398844%} MSFT{13.294798%} WMT{0.115607%} JPM{5.664740%} CVX{0.115607%} MRK{14.566474%} MCD{5.549133%} VZ{10.635838%} IBM{9.132948%} BA{7.398844%} MMM{11.213873%} TRV{14.682081%} WBA{0.231214%} ,
2,32200.31444,19171.80232,0.595392,13,MSFT{14.075887%} WMT{0.122399%} JPM{5.997552%} CVX{0.122399%} MRK{15.422277%} MCD{5.875153%} NKE{1.958384%} VZ{11.260710%} IBM{9.669523%} BA{7.833537%} MMM{11.872705%} TRV{15.544676%} WBA{0.244798%} ,
3,32432.28711,19303.06969,0.595181,13,MSFT{14.215080%} WMT{0.123609%} JPM{6.056860%} CVX{0.123609%} MRK{15.574784%} MCD{5.933251%} NKE{0.988875%} VZ{11.372064%} IBM{9.765142%} BA{7.911001%} MMM{11.990111%} TRV{15.698393%} WBA{0.247219%} ,
4,32701.86619,21441.96298,0.65568,12,MSFT{13.805522%} WMT{0.120048%} JPM{5.882353%} CVX{0.120048%} MRK{15.126050%} MCD{5.762305%} VZ{11.044418%} IBM{9.483794%} BA{11.524610%} MMM{11.644658%} TRV{15.246098%} WBA{0.240096%} ,
5,32951.42885,22101.42409,0.670727,12,MSFT{14.075887%} WMT{0.122399%} JPM{5.997552%} CVX{0.122399%} MRK{15.422277%} MCD{5.875153%} VZ{11.260710%} IBM{9.669523%} BA{7.833537%} MMM{11.872705%} TRV{15.544676%} WBA{2.203182%} ,
6,33708.67738,24665.10496,0.731714,12,MSFT{13.805522%} WMT{0.120048%} JPM{5.882353%} CVX{0.120048%} MRK{15.126050%} MCD{5.762305%} VZ{11.044418%} IBM{9.483794%} BA{7.683073%} MMM{11.644658%} TRV{15.246098%} WBA{4.081633%} ,
7,34486.98899,24982.71755,0.72441,10,MSFT{14.177215%} JPM{4.430380%} MRK{16.075949%} MCD{11.898734%} VZ{11.772152%} IBM{1.012658%} BA{8.101266%} MMM{12.405063%} TRV{16.075949%} WBA{4.050633%} ,
8,34651.34068,25850.84061,0.746027,10,MSFT{9.158050%} UNH{0.590842%} V{0.147710%} JPM{6.646972%} MRK{18.759232%} VZ{16.395864%} IBM{15.361891%} BA{4.726736%} TRV{18.759232%} WBA{9.453471%} ,
9,35027.66005,25950.18039,0.740848,9,MSFT{9.467456%} JPM{9.467456%} MRK{17.751479%} VZ{14.201183%} IBM{18.343195%} BA{2.071006%} MMM{0.591716%} TRV{18.639053%} WBA{9.467456%} ,
10,35110.9645,26116.02195,0.743814,14,AAPL{0.149477%} MSFT{7.922272%} UNH{0.149477%} JPM{8.071749%} MRK{18.535127%} MCD{0.149477%} VZ{15.097160%} IBM{18.236173%} GS{0.149477%} INTC{0.149477%} BA{2.690583%} MMM{0.448430%} TRV{18.684604%} WBA{9.566517%} ,
11,35214.77053,26435.24578,0.750686,11,MSFT{12.105263%} WMT{0.842105%} JPM{5.157895%} MRK{13.263158%} MCD{11.789474%} VZ{13.052632%} IBM{8.210526%} BA{6.736842%} MMM{8.526316%} TRV{13.368421%} WBA{6.947368%} ,
12,35521.82598,26758.22227,0.75329,11,MSFT{11.904762%} WMT{0.828157%} JPM{5.072464%} MRK{13.043478%} MCD{11.594203%} VZ{12.836439%} IBM{8.074534%} BA{6.625259%} MMM{10.041408%} TRV{13.146998%} WBA{6.832298%} ,
13,35657.4114,26808.65434,0.75184,11,MSFT{11.734694%} WMT{0.816327%} JPM{5.000000%} MRK{12.857143%} MCD{11.428571%} VZ{12.653061%} IBM{7.959184%} BA{6.530612%} MMM{11.530612%} TRV{12.959184%} WBA{6.530612%} ,
14,35708.7902,27126.63739,0.759663,12,MSFT{13.294798%} WMT{0.115607%} JPM{5.664740%} CVX{0.115607%} MRK{14.566474%} MCD{5.549133%} VZ{14.335260%} IBM{9.132948%} BA{7.398844%} MMM{7.514451%} TRV{14.682081%} WBA{7.630058%} ,
15,35977.42114,27285.87772,0.758417,12,MSFT{13.294798%} WMT{0.115607%} JPM{1.965318%} CVX{0.115607%} MRK{14.566474%} MCD{5.549133%} VZ{14.335260%} IBM{9.132948%} BA{7.398844%} MMM{11.213873%} TRV{14.682081%} WBA{7.630058%} ,
