Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,45594.268248,167.133874,0.003666,17.000000,UNH{2.657807%} JNJ{0.664452%} WMT{10.631229%} PG{10.631229%} MRK{10.631229%} KO{13.621262%} CSCO{5.315615%} MCD{15.946844%} NKE{10.631229%} DIS{0.332226%} VZ{0.498339%} AMGN{0.996678%} GS{0.332226%} AXP{0.166113%} BA{15.946844%} TRV{0.664452%} DD{0.332226%} 
2,45693.389443,235.147428,0.005146,17.000000,UNH{2.657807%} JNJ{0.664452%} WMT{10.631229%} PG{10.631229%} MRK{10.631229%} KO{13.621262%} CSCO{5.315615%} MCD{15.946844%} NKE{10.631229%} DIS{0.332226%} VZ{0.498339%} AMGN{0.996678%} IBM{0.332226%} AXP{0.166113%} BA{15.946844%} TRV{0.664452%} DD{0.332226%} 
3,45772.812835,248.833594,0.005436,18.000000,UNH{2.657807%} JNJ{0.664452%} WMT{10.631229%} PG{10.631229%} MRK{10.631229%} KO{13.621262%} CSCO{5.315615%} MCD{15.946844%} NKE{10.631229%} DIS{0.332226%} VZ{0.498339%} AMGN{0.664452%} IBM{0.332226%} GS{0.332226%} AXP{0.166113%} BA{15.946844%} TRV{0.664452%} DD{0.332226%} 
4,45782.266531,289.204472,0.006317,17.000000,UNH{2.657807%} JNJ{0.664452%} WMT{10.631229%} PG{10.631229%} MRK{10.631229%} KO{13.621262%} CSCO{5.315615%} MCD{15.946844%} NKE{10.631229%} DIS{0.332226%} VZ{0.498339%} AMGN{0.996678%} IBM{0.332226%} GS{0.332226%} AXP{0.166113%} BA{15.946844%} TRV{0.664452%} 
5,45821.990156,351.087505,0.007662,18.000000,UNH{2.666667%} JNJ{0.666667%} WMT{10.666667%} PG{10.666667%} MRK{10.666667%} KO{13.666667%} CSCO{5.333333%} MCD{16.000000%} NKE{10.666667%} DIS{0.333333%} VZ{0.500000%} AMGN{0.333333%} IBM{0.333333%} GS{0.333333%} AXP{0.166667%} BA{16.000000%} TRV{0.666667%} DD{0.333333%} 
6,45995.726064,481.673560,0.010472,17.000000,UNH{2.666667%} JNJ{0.666667%} WMT{10.666667%} PG{10.666667%} MRK{10.666667%} KO{13.666667%} CSCO{5.333333%} MCD{16.000000%} NKE{10.666667%} DIS{0.333333%} VZ{0.500000%} AMGN{1.000000%} IBM{0.333333%} GS{0.333333%} AXP{0.166667%} BA{16.000000%} DD{0.333333%} 
7,46793.842034,533.377378,0.011398,17.000000,UNH{2.807018%} JNJ{0.701754%} WMT{11.228070%} PG{11.228070%} MRK{5.614035%} KO{14.385965%} CSCO{5.614035%} MCD{16.842105%} NKE{11.228070%} DIS{0.350877%} VZ{0.526316%} AMGN{1.052632%} IBM{0.350877%} AXP{0.175439%} BA{16.842105%} TRV{0.701754%} DD{0.350877%} 
8,46877.346957,547.340762,0.011676,18.000000,UNH{2.807018%} JNJ{0.701754%} WMT{11.228070%} PG{11.228070%} MRK{5.614035%} KO{14.385965%} CSCO{5.614035%} MCD{16.842105%} NKE{11.228070%} DIS{0.350877%} VZ{0.526316%} AMGN{0.701754%} IBM{0.350877%} GS{0.350877%} AXP{0.175439%} BA{16.842105%} TRV{0.701754%} DD{0.350877%} 
9,46893.173756,590.890725,0.012601,17.000000,UNH{2.807018%} JNJ{0.701754%} WMT{11.228070%} PG{11.228070%} MRK{5.614035%} KO{14.385965%} CSCO{5.614035%} MCD{16.842105%} NKE{11.228070%} DIS{0.350877%} VZ{0.526316%} AMGN{1.052632%} IBM{0.350877%} GS{0.350877%} AXP{0.175439%} BA{16.842105%} TRV{0.701754%} 
10,46963.388876,663.438203,0.014127,18.000000,UNH{2.816901%} JNJ{0.704225%} WMT{11.267606%} PG{11.267606%} MRK{5.633803%} KO{14.436620%} CSCO{5.633803%} MCD{16.901408%} NKE{11.267606%} DIS{0.352113%} VZ{0.528169%} AMGN{0.352113%} IBM{0.352113%} GS{0.352113%} AXP{0.176056%} BA{16.901408%} TRV{0.704225%} DD{0.352113%} 
11,46968.671168,3051.685215,0.064973,10.000000,UNH{1.342282%} JNJ{0.335570%} PG{2.684564%} HD{2.684564%} MRK{21.476510%} KO{21.476510%} CSCO{3.020134%} DIS{21.476510%} CAT{2.684564%} BA{22.818792%} 
12,47503.681369,3366.215874,0.070862,13.000000,AAPL{1.188455%} MSFT{0.169779%} WMT{2.886248%} JPM{0.339559%} PG{0.169779%} MRK{16.977929%} KO{13.582343%} CSCO{18.336163%} MCD{5.432937%} DIS{10.865874%} VZ{10.865874%} CRM{0.339559%} BA{18.845501%} 
13,47803.720102,4672.008551,0.097733,10.000000,UNH{1.503759%} JNJ{0.375940%} PG{3.007519%} HD{3.007519%} MRK{24.060150%} KO{12.030075%} CSCO{3.383459%} DIS{24.060150%} CAT{3.007519%} BA{25.563910%} 
14,48189.100987,4805.889107,0.099730,13.000000,AAPL{1.164725%} MSFT{0.166389%} WMT{2.828619%} JPM{0.332779%} PG{0.166389%} MRK{16.638935%} KO{13.311148%} CSCO{17.970050%} MCD{5.324459%} DIS{10.648918%} VZ{10.648918%} CRM{0.332779%} BA{20.465890%} 
15,48330.507404,5073.047352,0.104966,13.000000,AAPL{0.499168%} MSFT{0.166389%} WMT{2.828619%} JPM{0.332779%} PG{0.166389%} MRK{16.638935%} KO{13.311148%} CSCO{17.970050%} MCD{5.324459%} DIS{10.648918%} VZ{10.648918%} CRM{0.332779%} BA{21.131448%} 
16,48410.671402,5174.101953,0.106879,13.000000,AAPL{0.829187%} MSFT{0.165837%} WMT{2.819237%} JPM{0.331675%} PG{0.165837%} MRK{16.583748%} KO{13.266998%} CSCO{17.910448%} MCD{5.306799%} DIS{10.613599%} VZ{10.613599%} CRM{0.331675%} BA{21.061360%} 
17,48419.358688,5401.905797,0.111565,13.000000,AAPL{1.172529%} MSFT{0.167504%} WMT{2.847571%} JPM{0.335008%} PG{0.167504%} MRK{16.750419%} KO{13.400335%} CSCO{16.750419%} MCD{5.360134%} DIS{10.720268%} VZ{10.720268%} CRM{0.335008%} BA{21.273032%} 
