Risk,Expected Return
40966.01524683093884959817,12657.13253469009941909462
41000.62720650735718663782,13018.43861702128924662247
41688.48838034296204568818,13943.14792784455312357750
41883.56938844337855698541,14649.47703977796845720150
41933.83216010055912192911,16713.79419287696146056987
42203.64618232535576680675,17021.50131359851366141811
42315.42657560756924794987,18122.10516651250509312376
42481.92560695538122672588,18523.84240286771819228306
42912.88472504890523850918,18927.60991674370234250091
43320.97320591251627774909,19253.47467160037194844335
43760.58816197773558087647,19791.46928075858158990741
44387.57321363779192324728,20589.38555272900339332409
44435.84600798694737022743,21146.10810360773393767886
44701.64681078073772368953,22043.87675531914646853693
45891.00920605443388922140,22442.64037465314686414786
46254.31584488380758557469,22716.52095744683538214304
46783.31288039260107325390,23313.73537927844517980702
47301.56368919371016090736,23812.90592738203122280538
47626.22985088294808520004,24118.05615402406692737713
47787.52399567039537942037,24599.17472941720552626066
48564.27190617531596217304,25008.60040009250587900169
48630.58966795075684785843,25208.94472710453919717111
49184.82879819881782168522,25846.61666281222278485075
49634.23557649010035675019,26020.28250462530922959559
50481.51109902343159774318,26498.18767807585754781030
51567.04025653711869381368,26812.96758788156148511916
52293.25104926695348694921,27365.31821230343120987527
53717.87380504728935193270,27785.67581174839506275021
53789.24356700019416166469,27853.05734967626267462038
56114.47623983248195145279,28171.62898473635868867859
56992.91359447655850090086,29183.66880666048382408917
57979.88653087631246307865,29514.06613552269118372351
58943.37116378473001532257,30633.38914662347451667301
59993.07788604477536864579,30950.27044403325999155641
60509.04672455356194404885,31302.85351757629905478097
61737.93999794278352055699,31605.49007400554546620697
63204.88938989755843067542,32022.40210684549310826696
64641.68972637946717441082,32101.69061748380045173690
65243.60486797180783469230,32681.55700046256970381364
67323.61104062241793144494,33299.39860777056310325861
67707.40896593515935819596,33345.79627659576362930238
69668.77054908616992179304,33847.56061979650257853791
70037.22407459802343510091,33962.62895467158523388207
70909.62516593009058851749,34580.55011100831325165927
71261.77460016046825330704,34858.63939407950238091871
72629.63648761494550853968,35000.88290471786604030058
72896.43681593184010125697,35476.64678307119902456179
73795.05094375320186372846,35711.21320999074669089168
75525.30019359188736416399,36023.38457909344288054854
76447.73281232203589752316,36450.61938945420843083411
77200.59364955387718509883,37004.78046253465436166152
79743.34455558960326015949,37342.51151480113912839442
81557.64387476467527449131,37861.28384366325917653739
83590.04344043170567601919,37905.72974791855085641146
84068.45452268158260267228,38329.13538390382746001706
84601.30971614659938495606,38490.44366558743058703840
86229.23007108767342288047,38695.33132978725188877434
86308.96278564656677190214,39659.07193570764502510428
87884.43889499609940685332,39843.73795790933945681900
90391.60889948486874345690,40151.38364246066339546815
92358.19987827604927588254,40408.14218547639029566199
93866.08038451938773505390,40481.22577474561694543809
94289.75983326025016140193,40626.70877890838892199099
95267.13566121086478233337,40960.08080481035722186789
98922.47729241676279343665,41747.15221091575222089887
99022.16442643001209944487,41780.80234736351121682674
100029.29271227150456979871,42231.56076549497083760798
101171.44200671535509172827,42485.73526827013847650960
102748.34909809086821042001,42607.06653561520943185315
104211.73726380609150510281,43055.22924144311400596052
105416.48895533182076178491,43531.79191258092760108411
106600.04456323770864401013,43779.59442414431396173313
106748.20303833071375265718,43960.41844357080117333680
109230.21820841907174326479,44009.85618871413316810504
109235.82236332268803380430,44068.28342275672184769064
111987.67246770586643833667,44084.98880897320486837998
112876.72879399996600113809,44101.24516188712732400745
114932.73941509652649983764,44590.50347826094366610050
115649.27014381522894836962,45031.71388760408444795758
118947.42614941434294451028,46031.14604070308269001544
121118.77319831664499361068,46040.48123034230229677632
121695.71267970156623050570,46266.35765263645589584485
123155.83942867716541513801,46297.01363321003736928105
123825.63255520400707609951,46601.75354764111398253590
125480.15879048622446134686,47112.09130434782855445519
126487.58356861505308188498,47309.21488667905214242637
127670.52589782599534373730,47704.53901480112835997716
130519.00707944127498194575,47896.92961378351901657879
131655.58409327117260545492,48114.81114246066863415763
134669.05766850389773026109,48373.37463228492561029270
136254.62372413414414040744,48496.09105920446017989889
137770.20147712665493600070,48869.56296947272494435310
137991.05115172406658530235,49191.68838112860248656943
141025.65560989003279246390,49289.23963922294205985963
141879.99050535340211354196,49346.31755087880446808413
146535.47581997324596159160,49543.91272895471774972975
147820.61126066124415956438,49831.04393385757430223748
149246.95702350474311970174,50113.54105920447909738868
