DailyRisk,ExpectedReturn
43011.8649404927637078799307346,4056.44611498259064319427125156
43301.7357795427742530591785908,4925.3491080139510813751257956
43557.6359266618819674476981163,5156.59354355399227642919868231
44106.6155656043774797581136227,5677.04681184667606430593878031
44670.4166569164372049272060394,6276.28533101046832598512992263
45103.3596624755737138912081718,6805.46731707312937942333519459
45306.7922488119729678146541119,7332.67558188155362586257979274
45922.4184480104522663168609142,8036.7690139372489284141920507
46158.9565162522922037169337273,8147.3405609755991463316604495
46944.738974273204803466796875,8748.31318466895027086138725281
47511.1478124647910590283572674,9044.98536236934887710958719254
47881.6141529026135685853660107,9409.67841114984184969216585159
48558.9302360351939569227397442,9700.0352543553963187150657177
49008.472426169733807910233736,9828.49100348430147278122603893
49423.8488152984427870251238346,9942.75271777001944428775459528
50167.5665893813347793184220791,10229.9230348431865422753617167
50985.4334720998158445581793785,10412.855066202066154801286757
51940.3539421260647941380739212,10649.1191114982411818346008658
52613.201317576051224023103714,10778.3459860627426678547635674
53093.2355309977210708893835545,11044.4287560975517408223822713
53787.7024534626616514287889004,11191.5540313588571734726428986
54341.0218840402812929823994637,11327.46810801389619882684201
55156.4715048994185053743422031,11550.3419965156481339363381267
55780.6252767750411294400691986,11688.6440000000220607034862041
56221.3727052362664835527539253,11764.2784668989352212520316243
56914.3628201912506483495235443,11918.7083832752159651136025786
57407.3721343882571090944111347,12058.3348188153340743156149983
57889.6934697405158658511936665,12154.4456341463301214389503002
58597.4495532414512126706540585,12317.0080034843358589569106698
59056.9970828546865959651768208,12437.6027491289296449394896626
59741.4948381615322432480752468,12546.026376306592283071950078
60211.8410500201352988369762897,12652.6347386759643995901569724
61084.2782478678345796652138233,12790.5063310104615084128454328
61713.3113797485275426879525185,12987.2803275261067028623074293
62854.2122258253148174844682217,13205.8669303136048256419599056
63601.2318692442495375871658325,13346.1316271776468056486919522
64513.4126219899553689174354076,13494.2951045295740186702460051
65148.8216526197793427854776382,13623.8062961672494566300883889
65911.3010476778581505641341209,13780.7565818814819067483767867
66350.1623820023087318986654282,13868.1732020906147226924076676
67070.595969369329395703971386,13992.8930557490930368658155203
67786.8672144817392108961939812,14152.1301777003191091353073716
69087.6515071108442498371005058,14333.0322891986143076792359352
69725.1698599550727522000670433,14469.3902508710325491847470403
70282.445100193261168897151947,14547.6755574913131567882373929
70949.8210483338625635951757431,14680.8093344947737932670861483
71744.9583241398941027000546455,14782.4837003484371962258592248
72363.3089004554785788059234619,14894.5514041811820789007470012
73385.358289947223966009914875,15125.0878571428875147830694914
74423.4747985895810415968298912,15286.015038327514048432931304
75650.4611780576524324715137482,15510.1360731707391096279025078
76434.4832150337897473946213722,15602.128752613280084915459156
77033.9467746669251937419176102,15761.096202090600854717195034
78337.9846891674242215231060982,15944.5371184669402282452210784
79034.2939735851250588893890381,16038.3136411149735067738220096
79815.7159276577876880764961243,16173.1872508711094269528985023
80234.8506057011836674064397812,16293.2245644599242950789630413
81031.3964372717309743165969849,16399.1953240418370114639401436
81887.9919603633316000923514366,16541.1252752613836491946130991
82303.5107661250367527827620506,16613.718188153310620691627264
83381.1764763857208890840411186,16774.7046202090459701139479876
83864.1479443652060581371188164,16878.9242996515677077695727348
84639.0908915521140443161129951,17004.0435191637552634347230196
85624.0460963117220671847462654,17128.58115331013323157094419
86119.5865036982431774958968163,17233.3414355400964268483221531
86577.3922018958837725222110748,17324.3757944251119624823331833
87718.3500452865118859335780144,17532.5150383275249623693525791
89089.3041604709287639707326889,17748.5756794425251428037881851
89949.438831414576270617544651,17888.3624355400861531961709261
90448.7637548172497190535068512,17987.9892229965444130357354879
91359.4667617310333298519253731,18138.8060487804505100939422846
92431.7204454468010226264595985,18262.6151358884853834751993418
93018.9014518765034154057502747,18378.4705958188314980361610651
93734.7702134403516538441181183,18519.4696794425217376556247473
95043.7216150624008150771260262,18646.0820766550568805541843176
95456.9174671786458930000662804,18761.4537108014046680182218552
96179.4101359732594573870301247,18906.2376689895827439613640308
97836.2662314067274564877152443,19129.96244250876407022587955
98429.8414191283809486776590347,19249.9460418118142115417867899
99056.1552894952619681134819984,19351.4015191637881798669695854
99629.1550265148689504712820053,19408.8293240417551714926958084
100889.559131786532816477119923,19516.9084947735500463750213385
102215.558438222942641004920006,19665.5146445992613735143095255
102878.631065019289962947368622,19784.6678780488437041640281677
104734.373170619641314260661602,19913.5240522648127807769924402
106098.780628316802904009819031,20156.1609128919371869415044785
106487.400807213402003981173038,20226.5483763066404208075255156
112287.752829765595379285514355,20597.3568432055762968957424164
112473.154273157415445894002914,20751.4509268292422348167747259
112919.782122515010996721684933,20795.5034703832716331817209721
115107.599446288484614342451096,21148.877278745669173076748848
117233.637337389416643418371677,21492.5029268292637425474822521
118005.570512550606508739292622,21583.4208606271859025582671165
119160.599573194878757931292057,21715.1223449477547546848654747
120361.369314580850186757743359,21889.331662020947987912222743
122458.904758493546978570520878,22155.3433693380211479961872101
128647.133445004088571295142174,22552.5673658536907169036567211
128819.524093557367450557649136,22698.0124216028016235213726759
130649.151216809477773495018482,22803.5695679442505934275686741
131617.341400109027745202183723,22904.3529721254417381715029478
Runtime,1263
