Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,22079.64156430989532964304,3519.81614893616870176629,0.15941455112322525101,14,9432.T 8306.T 8035.T 8316.T 6902.T 8766.T 3382.T 6954.T 4503.T JNJ JPM KO CSCO DD 
2,22092.53283785550229367800,4975.00808094358671951341,0.22518957502323691533,15,9432.T 8306.T 9433.T 8035.T 8316.T 6902.T 8766.T 2914.T 3382.T 4503.T JNJ JPM KO CSCO DD 
3,22185.84875855617065099068,6006.24607493061830609804,0.27072419632421118596,14,9432.T 8306.T 8035.T 8316.T 6902.T 8766.T 2914.T 3382.T 4503.T JNJ JPM KO CSCO DD 
4,22521.22874155219687963836,6319.77710638299595302669,0.28061422309178268852,16,9432.T 8306.T 8035.T 8316.T 4502.T 8766.T 2914.T 3382.T 6954.T 4503.T JNJ JPM KO CSCO NKE DD 
5,22529.05340311836698674597,6824.25074514339121378725,0.30290889825840661143,15,9432.T 8306.T 9433.T 8035.T 8316.T 6902.T 8766.T 3382.T 4503.T MSFT JNJ JPM CSCO VZ DD 
6,22951.15782935112292761914,7987.95373681775163277052,0.34804142763561779494,14,9432.T 8306.T 8035.T 8316.T 6902.T 8766.T 3382.T 4503.T MSFT JNJ JPM CSCO VZ DD 
7,23066.10802744634565897286,10166.08697548571399238426,0.44073698793871485258,15,9432.T 8306.T 8035.T 8316.T 4502.T 8766.T 2914.T 3382.T 4503.T MSFT JNJ JPM CSCO NKE DD 
8,23246.95617080518059083261,13791.51911470861705311108,0.59326128605295747054,15,9432.T 8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T MSFT JNJ CSCO NKE HON DD 
9,23327.95562122950650518760,16187.88825740058746305294,0.69392657120235901047,18,9432.T 8306.T 9984.T 8035.T 8316.T 8766.T 7267.T 2914.T 3382.T 4503.T MSFT WMT JPM CSCO NKE VZ HON DD 
10,23613.99386901536854566075,17238.10166188714356394485,0.72999517817719838941,17,9432.T 8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T MSFT WMT JPM KO CSCO NKE VZ DD 
11,23666.00625480069356854074,17622.78976133208198007196,0.74464569862763663188,16,9432.T 8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T MSFT WMT CSCO NKE VZ HON DD 
12,23854.65387541397649329156,18036.70760314522340195253,0.75610854373933822359,17,9432.T 8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T MSFT WMT JPM CSCO NKE VZ HON DD 
13,23929.60005032787739764899,19251.44718963920240639709,0.80450350817189797414,14,8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T MSFT KO CSCO NKE VZ DD 
14,24394.46820331534036085941,20386.65580666052483138628,0.83570814648420443937,14,8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T MSFT KO NKE VZ HON DD 
15,24612.93169076233243686147,22840.68129000924454885535,0.92799515218180028686,14,8306.T 9984.T 8316.T 8766.T 2914.T 3382.T 4503.T MSFT V WMT KO CSCO NKE DD 
16,25103.10535722076383535750,23758.52977289544287486933,0.94643787829466441419,14,8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T AAPL JPM NKE VZ IBM DD 
17,25598.42493503023433731869,23778.87885892690974287689,0.92891960811177243240,13,8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T AAPL JPM KO NKE DD 
18,25698.16974168511296738870,23912.52871091579800122418,0.93051485577695369766,13,8306.T 9984.T 8316.T 8766.T 3382.T 4503.T MSFT V WMT CSCO NKE HON DD 
19,25819.71652863716371939518,23980.24829463454807410017,0.92875722582149866646,13,8306.T 9984.T 8316.T 8766.T 3382.T 4503.T MSFT V WMT CSCO NKE AXP DD 
20,25934.45377045804343651980,24225.61705966695808456279,0.93410940033995926157,13,8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T AAPL JPM NKE VZ DD 
21,25942.51561883815156761557,24823.43367391303399926983,0.95686301354243008532,13,8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T AAPL JPM NKE HON DD 
22,26011.43250272041404969059,25650.97201156335358973593,0.98614222837902676400,14,8306.T 9984.T 8035.T 8316.T 8766.T 2914.T 3382.T 4503.T AAPL MSFT JPM NKE VZ DD 
23,26534.76438375429279403761,25758.47825578166884952225,0.97074456299118683233,14,8306.T 9984.T 8035.T 8316.T 8766.T 3382.T 8411.T 4503.T AAPL MSFT JPM NKE VZ DD 
24,26650.85098327458763378672,25911.43959204437487642281,0.97225561796528570113,13,8306.T 9984.T 8035.T 8316.T 8766.T 3382.T 4503.T AAPL MSFT JPM NKE VZ DD 
25,26704.98623913290430209599,25930.08277289541729260236,0.97098281724249835278,10,8306.T 9984.T 8766.T 3382.T AAPL WMT MRK VZ IBM DD 
26,26861.91311164124272181652,27169.51382932466731290333,1.01145118429968117191,14,8306.T 9984.T 8316.T 8766.T 3382.T 4503.T AAPL MSFT WMT JPM MRK NKE VZ DD 
