Non-Dominant Set,Risk,Profit
1,112448.56545476245810277760,2539.43701976282773102866
2,113696.40145675870007835329,4079.50012121214194849017
3,114841.61530746976495720446,5445.56869565217584749917
4,115790.57352349039865657687,6783.37313570485548552824
5,121478.99172008218010887504,8845.12799209486365725752
6,122824.52025239080830942839,9877.88952832674658566248
7,122846.78760734513343777508,12633.64731225297509809025 
8,122898.17363320190634112805,15332.18371541502710897475
9,130666.51220120524521917105,16128.29462450593928224407
10,131175.32294145203195512295,16818.15309090907248901203
11,131310.88991572125814855099,22536.30163372859897208400
12,131842.86670062079792842269,26425.38750988142783171497
13,151218.12507585843559354544,26882.86996047430875478312
14,173472.52396705609862692654,29249.16724637681909371167
15,173816.63387659596628509462,29974.71588932807571836747 
16,188036.25601119289058260620,30674.77802371542202308774
17,191103.88745899646892212331,30725.29014492753412923776
18,195224.68634364826721139252,36432.77127799736626911908 
19,222942.75007331810775212944,45180.44110671936505241320
20,301102.29108784568961709738,48152.46065876153443241492
21,329357.53713376878295093775,48157.95617918315110728145
22,335932.17341385368490591645,52504.52450592885725200176
23,355038.50331435835687443614,54990.50173913044272921979
24,441730.59040415653726086020,64829.05691699605085887015 
25,839741.87830458302050828934,84535.06245059288630727679
