Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,17930.23023510397251811810,1230.70453639380002641701,0.06863852389270022614,8,4503.T AAPL UNH JNJ PG MRK MCD IBM 
2,20105.31083934289927128702,1236.76800664453548961319,0.06151449318676421169,9,4503.T 9022.T AAPL UNH JNJ PG MRK MCD IBM 
3,20498.76658618629880947992,5178.84411658111093856860,0.25264174284861745656,9,4503.T 6702.T AAPL UNH JNJ PG MRK MCD IBM 
4,21822.83848398243208066560,7073.89563575962256436469,0.32415103291681024444,9,4503.T 9022.T AAPL UNH PG HD MRK IBM TRV 
5,22941.48345897225590306334,7394.87766837812341691460,0.32233650808165320578,10,4503.T 6702.T AAPL UNH PG MRK KO MCD IBM TRV 
6,23562.47261537240410689265,7453.55554213227242144058,0.31633163733713987043,10,4503.T 6702.T AAPL UNH WMT PG MRK MCD DIS TRV 
7,23869.37714342719118576497,8494.75165206886049418245,0.35588493160191336795,10,4503.T 9022.T AAPL UNH PG HD MRK MCD IBM TRV 
8,24109.82940229854284552857,9184.31802174574477248825,0.38093666564352152148,9,4503.T 6702.T AAPL UNH PG MRK MCD IBM TRV 
9,24252.59092412656536907889,9248.52432497732297633775,0.38134170299210617960,10,4503.T 6702.T AAPL UNH WMT PG HD MRK MCD TRV 
10,24482.10397356654357281514,9436.68524916943897551391,0.38545238021038868981,12,4503.T 6702.T 9022.T AAPL UNH JNJ PG HD MRK MCD IBM TRV 
11,24741.27939576058997772634,9460.13595590454679040704,0.38236243989571283564,11,4503.T 6702.T 9022.T AAPL UNH WMT PG MRK DIS IBM TRV 
12,24780.02194866356512648053,11071.13990033221489284188,0.44677683995874356571,11,4503.T 6702.T 9022.T AAPL UNH PG HD MRK MCD IBM TRV 
13,25072.41917858677697950043,11092.84420718813817074988,0.44243214538555725168,11,4503.T 6702.T 9022.T AAPL UNH WMT PG HD MRK IBM TRV 
14,25869.38681579751573735848,11934.49937179099106288049,0.46133677063048961209,12,4503.T 6702.T 9022.T AAPL UNH WMT PG HD MRK MCD IBM TRV 
15,26105.49837259637570241466,12045.44630625188801786862,0.46141414863377239186,10,4503.T 6702.T AAPL UNH PG HD MRK MCD IBM TRV 
16,26484.16457068917225115001,13257.34893385683426458854,0.50057644440592041768,9,4503.T 6702.T AAPL UNH WMT PG DIS IBM TRV 
17,27684.21335637495576520450,14466.93262458475328458007,0.52256975621282708566,8,4503.T 6702.T AAPL UNH PG HD IBM TRV 
18,29004.46379140205317526124,15226.16392932649250724353,0.52495933173707087782,9,4503.T 6702.T AAPL UNH PG HD MCD IBM TRV 
19,30200.15456146886208443902,15252.59178797946151462384,0.50505012340034904916,9,4503.T 6702.T AAPL UNH WMT PG HD IBM TRV 
20,30870.82910342265313374810,15607.57382059800693241414,0.50557676207237312038,9,4503.T 6702.T UNH WMT PG HD MCD DIS TRV 
21,31772.10146660953250830062,15858.35446692838013404980,0.49912828345945287056,10,4503.T 6702.T AAPL UNH WMT PG HD MCD IBM TRV 
22,32261.18786448009268497117,16976.54375717305447324179,0.52622190566840243431,10,4503.T 6702.T 9022.T UNH PG HD MCD DIS IBM TRV 
23,32275.95102227493043756112,17723.51969495622324757278,0.54912463098994390709,7,6702.T AAPL UNH PG MCD IBM TRV 
24,32489.00560141878304420970,18715.54300211415829835460,0.57605773570665574912,9,4503.T 6702.T UNH PG HD MCD DIS IBM TRV 
25,34424.27566190957440994680,18998.63709453334377030842,0.55189649540121821225,10,4503.T 6702.T UNH WMT PG HD MCD DIS IBM TRV 
26,34629.31471746883471496403,19826.09497734823162318207,0.57252345705088159011,7,4503.T 6702.T UNH HD MCD IBM TRV 
27,35932.10933569323970004916,20078.34542736336516099982,0.55878560425670575906,7,6702.T AAPL UNH PG HD IBM TRV 
28,38069.16986190210445784032,20228.46883720934783923440,0.53136091253340100860,8,6702.T AAPL UNH PG HD MCD IBM TRV 
29,38791.15161542121495585889,22239.47099667774455156177,0.57331298686777221185,6,6702.T AAPL PG MCD IBM TRV 
30,39673.92046598925662692636,22562.01849894291444798000,0.56868638727761633422,7,4503.T 6702.T PG HD MCD IBM TRV 
31,42466.39972235155437374488,23594.01929628511788905598,0.55559264384418161065,7,6702.T UNH PG MCD IBM CRM TRV 
32,43490.12409826143993996084,23986.32237088492183829658,0.55153492587628183408,6,6702.T UNH PG IBM CRM TRV 
33,43760.87125271534750936553,24310.36368468742148252204,0.55552741498900048978,6,6702.T UNH PG HD MCD IBM 
34,44545.45095570018747821450,24774.50403201452718349174,0.55616238023165187609,7,6702.T UNH PG HD MCD IBM TRV 
35,45821.94874555614660494030,24915.64373905165120959282,0.54374910760354755457,5,6702.T UNH PG HD IBM 
36,46271.20495177759585203603,26293.64278163696144474670,0.56825066062228923869,7,6702.T 9022.T PG HD MCD IBM TRV 
37,47422.24561713253206107765,27273.95254907884009298868,0.57512992466188506135,6,6702.T UNH HD MCD IBM TRV 
38,51067.99752524770883610472,28472.15964059198086033575,0.55753428801502380452,5,6702.T UNH HD IBM TRV 
39,51894.10852264626009855419,30465.70783751130147720687,0.58707450045540832129,6,6702.T PG HD MCD IBM TRV 
40,56033.17258612150180852041,30649.73796134099757182412,0.54699272853474723011,5,6702.T PG IBM CRM TRV 
41,57008.42629748938634293154,31039.29085472664155531675,0.54446847370865925075,5,6702.T PG HD MCD IBM 
42,59210.89619290806149365380,32302.65478405314934207126,0.54555253949900817112,5,6702.T PG HD IBM TRV 
43,60642.52040225474775070325,33472.48730292965774424374,0.55196398633993970506,4,6702.T PG HD IBM 
44,63105.01098605689185205847,33796.37860767139500239864,0.53555776442442482033,4,6702.T MCD IBM TRV 
45,65208.80281226253282511607,34595.80675626696756808087,0.53053890371011713789,5,6702.T HD MCD IBM TRV 
46,70135.28859024278062861413,34643.40006342494598357007,0.49395105887173229586,5,6702.T WMT HD IBM TRV 
47,71530.46117019222583621740,34816.11641196018172195181,0.48673132875688152055,5,6702.T PG HD VZ IBM 
48,71801.06791743179201148450,35524.19084566592937335372,0.49475853042349249300,6,6702.T HD MCD VZ IBM TRV 
49,72707.79271764018631074578,37918.10115675025008386001,0.52151357838635981068,4,6702.T HD IBM TRV 
50,80685.53745497822819743305,38372.63231350044952705503,0.47558253342381240358,5,6702.T HD VZ IBM TRV 
51,91455.92071959465101826936,38517.53643914226267952472,0.42115957213134030956,4,6702.T VZ IBM TRV 
52,92715.17172633374866563827,38763.33473572936782147735,0.41809052406381380651,4,HD VZ IBM TRV 
53,93346.45410518236167263240,43155.69355481727689038962,0.46231743849840978289,2,6702.T IBM 
54,126066.79452942867646925151,44836.01936575051513500512,0.35565288649648435504,2,VZ IBM 
55,132025.42191634225309826434,49499.29794019929977366701,0.37492247494247332718,1,IBM 

fitness_time:,173303
execution time:,1.02538799999999996615 s
Exp_times:,1
gen:,7000
theta:,0.00029999999999999997
market:,NIKKEI30&DJIA30
