Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,38037.64491483775054803118,11818.85756244217191124335,0.31071475610289067681,24,NVDA{5.9139784946%} SHW{5.7347670251%} CSCO{0.3584229391%} DIS{0.5376344086%} MCD{1.2544802867%} AMZN{6.8100358423%} AMGN{0.1792114695%} VZ{0.3584229391%} MSFT{3.7634408602%} AAPL{0.5376344086%} AXP{1.0752688172%} UNH{0.3584229391%} MMM{1.0752688172%} WMT{22.5806451613%} GS{0.3584229391%} PG{0.3584229391%} CAT{0.1792114695%} KO{18.2795698925%} HON{0.3584229391%} HD{0.3584229391%} JNJ{13.6200716846%} BA{0.3584229391%} CRM{4.1218637993%} NKE{11.4695340502%} 
2,38562.46257324490579776466,14378.74783048103017790709,0.37286902523847570423,24,NVDA{6.2737642586%} SHW{6.0836501901%} CSCO{0.3802281369%} DIS{0.5703422053%} MCD{1.3307984791%} AMZN{7.2243346008%} AMGN{0.1901140684%} VZ{0.3802281369%} MSFT{3.9923954373%} AAPL{0.5703422053%} AXP{1.1406844106%} UNH{0.3802281369%} MMM{1.1406844106%} WMT{23.9543726236%} GS{0.3802281369%} PG{0.3802281369%} CAT{0.1901140684%} KO{19.3916349810%} HON{0.3802281369%} HD{0.3802281369%} JNJ{14.4486692015%} BA{0.3802281369%} CRM{4.3726235741%} NKE{6.0836501901%} 
3,39016.47468703387858113274,16016.68803191488223092165,0.41051089726560091586,27,NVDA{6.4846416382%} V{3.0716723549%} SHW{7.1672354949%} CSCO{0.3412969283%} DIS{0.1706484642%} TRV{0.1706484642%} JPM{1.0238907850%} MCD{1.0238907850%} AMZN{3.5836177474%} AMGN{2.5597269625%} MSFT{0.1706484642%} AAPL{1.3651877133%} AXP{0.1706484642%} UNH{0.1706484642%} MMM{0.1706484642%} IBM{0.5119453925%} WMT{21.6723549488%} GS{1.1945392491%} CVX{0.1706484642%} PG{0.5119453925%} CAT{0.1706484642%} KO{19.1126279863%} HD{0.5119453925%} JNJ{13.6518771331%} BA{0.3412969283%} CRM{3.4129692833%} NKE{11.0921501706%} 
4,39027.78970329319417942315,19666.39805758555667125620,0.50390755426065270139,22,NVDA{7.3412698413%} V{0.1984126984%} SHW{7.1428571429%} MCD{1.3888888889%} AMZN{1.5873015873%} MRK{0.1984126984%} AMGN{0.9920634921%} MSFT{0.7936507937%} AAPL{1.9841269841%} AXP{2.1825396825%} UNH{0.7936507937%} MMM{1.1904761905%} WMT{24.4047619048%} GS{0.5952380952%} CVX{0.1984126984%} PG{1.3888888889%} KO{21.0317460317%} HON{0.3968253968%} JNJ{15.0793650794%} BA{0.3968253968%} CRM{4.3650793651%} NKE{6.3492063492%} 
5,40326.82221904348261887208,20371.89952682700459263287,0.50516996891480347998,23,NVDA{6.2365591398%} V{0.6451612903%} SHW{4.5161290323%} CSCO{0.2150537634%} DIS{0.2150537634%} JPM{0.6451612903%} MCD{0.4301075269%} AMZN{1.0752688172%} AMGN{3.4408602151%} VZ{0.2150537634%} MSFT{0.6451612903%} AAPL{0.6451612903%} MMM{1.9354838710%} IBM{2.5806451613%} WMT{25.5913978495%} CVX{1.5053763441%} PG{0.6451612903%} KO{19.3548387097%} HON{0.4301075269%} HD{0.6451612903%} JNJ{14.4086021505%} BA{0.2150537634%} CRM{13.7634408602%} 
6,40350.32654224032739875838,21304.25234597596863750368,0.52798215458489117236,22,NVDA{7.5819672131%} V{0.2049180328%} SHW{7.3770491803%} MCD{1.4344262295%} AMZN{1.6393442623%} MRK{0.2049180328%} AMGN{1.0245901639%} MSFT{0.8196721311%} AAPL{2.0491803279%} AXP{2.2540983607%} UNH{0.8196721311%} MMM{1.2295081967%} WMT{25.2049180328%} GS{0.6147540984%} CVX{0.2049180328%} PG{1.4344262295%} KO{21.7213114754%} HON{0.4098360656%} JNJ{15.5737704918%} BA{0.4098360656%} CRM{4.5081967213%} NKE{3.2786885246%} 
7,40570.25008969130431069061,21430.44131614244906813838,0.52823044641738148286,21,NVDA{7.3412698413%} V{0.1984126984%} SHW{7.1428571429%} MCD{1.3888888889%} AMZN{1.5873015873%} MRK{0.1984126984%} AMGN{0.9920634921%} MSFT{0.7936507937%} AAPL{1.9841269841%} AXP{2.1825396825%} UNH{0.7936507937%} MMM{1.1904761905%} WMT{24.4047619048%} GS{0.5952380952%} CVX{0.1984126984%} PG{1.3888888889%} KO{21.0317460317%} HON{0.3968253968%} JNJ{15.0793650794%} BA{0.3968253968%} CRM{10.7142857143%} 
8,40880.79839491618622560054,21463.29859782611310947686,0.52502151231212801363,22,NVDA{8.1967213115%} V{0.1821493625%} SHW{12.5683060109%} DIS{0.5464480874%} MCD{1.2750455373%} AMZN{0.9107468124%} AMGN{0.5464480874%} MSFT{1.0928961749%} AAPL{2.0036429872%} AXP{1.8214936248%} UNH{0.3642987250%} MMM{1.0928961749%} WMT{22.4043715847%} GS{0.5464480874%} CVX{0.1821493625%} PG{1.0928961749%} KO{17.8506375228%} HON{0.3642987250%} JNJ{13.8433515483%} BA{0.3642987250%} CRM{6.9216757741%} NKE{5.8287795993%} 
9,41027.76020116054860409349,21505.28755249770983937196,0.52416430843547223706,23,NVDA{8.1967213115%} V{0.1821493625%} SHW{12.5683060109%} DIS{0.5464480874%} MCD{1.2750455373%} AMZN{0.9107468124%} AMGN{0.5464480874%} MSFT{1.0928961749%} AAPL{2.0036429872%} AXP{1.4571948998%} UNH{0.3642987250%} MMM{1.0928961749%} WMT{22.4043715847%} GS{0.5464480874%} CVX{0.1821493625%} PG{1.0928961749%} KO{17.8506375228%} HON{0.3642987250%} HD{0.3642987250%} JNJ{13.8433515483%} BA{0.3642987250%} CRM{6.9216757741%} NKE{5.8287795993%} 
10,41091.16302305106364656240,22128.66996762252892949618,0.53852625089265360181,23,NVDA{8.5388994307%} V{0.1897533207%} SHW{13.0929791271%} DIS{0.5692599620%} MCD{1.3282732448%} AMZN{0.9487666034%} AMGN{0.5692599620%} MSFT{1.1385199241%} AAPL{2.0872865275%} AXP{0.3795066414%} UNH{0.3795066414%} MMM{1.1385199241%} WMT{23.3396584440%} GS{0.5692599620%} CVX{0.1897533207%} PG{1.1385199241%} KO{18.5958254269%} HON{0.3795066414%} HD{0.3795066414%} JNJ{14.4212523719%} BA{0.3795066414%} CRM{4.1745730550%} NKE{6.0721062619%} 
