Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
1,41790.307587855306337587535381317139,6994.486700045752513688057661056519,0.167371027010062539686074956080,38.812224512129461118092876859009,5778.370331999028167047072201967239,18,AAPL{7.0484581498%} MSFT{7.0484581498%} UNH{0.4405286344%} JNJ{0.8810572687%} WMT{14.0969162996%} CVX{1.9823788546%} MRK{8.8105726872%} KO{21.1453744493%} CSCO{3.5242290749%} MCD{2.2026431718%} NKE{10.5726872247%} HON{0.8810572687%} IBM{7.0484581498%} CRM{7.0484581498%} BA{4.4052863436%} MMM{0.8810572687%} TRV{0.2202643172%} DD{1.7621145374%} 
2,42491.186713832197710871696472167969,8089.555012782669109583366662263870,0.190381950668119803715683246992,-108.506620510448442473716568201780,11489.429122110053867800161242485046,21,AAPL{0.8810572687%} MSFT{7.0484581498%} UNH{0.8810572687%} JNJ{1.7621145374%} V{3.5242290749%} WMT{14.3171806167%} JPM{0.4405286344%} HD{0.4405286344%} MRK{7.9295154185%} KO{14.3171806167%} CSCO{1.7621145374%} MCD{3.9647577093%} NKE{2.6431718062%} VZ{0.4405286344%} AMGN{14.0969162996%} IBM{0.8810572687%} CRM{15.1982378855%} BA{8.8105726872%} MMM{0.2202643172%} TRV{0.2202643172%} DD{0.2202643172%} 
3,43015.117607052074163220822811126709,8829.267746753575920592993497848511,0.205259644467555041336126464557,106.085613399168749992895754985511,5505.251860246287833433598279953003,18,AAPL{7.3059360731%} MSFT{7.3059360731%} UNH{0.4566210046%} JNJ{0.9132420091%} WMT{14.6118721461%} CVX{2.0547945205%} MRK{5.4794520548%} KO{21.9178082192%} CSCO{3.6529680365%} MCD{2.2831050228%} NKE{10.9589041096%} HON{0.9132420091%} IBM{7.3059360731%} CRM{7.3059360731%} BA{4.5662100457%} MMM{0.9132420091%} TRV{0.2283105023%} DD{1.8264840183%} 
4,43205.333306660344533156603574752808,9387.187663772587256971746683120728,0.217269187513142031376034424284,0.701168868634795217076316475868,9365.217705888695491012185811996460,18,AAPL{7.0484581498%} MSFT{7.0484581498%} UNH{0.4405286344%} JNJ{0.8810572687%} WMT{21.1453744493%} CVX{1.9823788546%} MRK{1.7621145374%} KO{21.1453744493%} CSCO{3.5242290749%} MCD{2.2026431718%} NKE{10.5726872247%} HON{0.8810572687%} IBM{7.0484581498%} CRM{7.0484581498%} BA{4.4052863436%} MMM{0.8810572687%} TRV{0.2202643172%} DD{1.7621145374%} 
5,43728.609401782094209920614957809448,10244.262964993376954225823283195496,0.234269122781111976960843890083,-59.747951126893667606054805219173,12116.365433636045054299756884574890,20,AAPL{0.8298755187%} MSFT{6.6390041494%} JNJ{1.6597510373%} V{3.3195020747%} WMT{13.4854771784%} JPM{0.4149377593%} HD{0.4149377593%} MRK{7.4688796680%} KO{13.4854771784%} CSCO{1.6597510373%} MCD{3.7344398340%} NKE{2.4896265560%} VZ{0.4149377593%} AMGN{13.2780082988%} IBM{7.4688796680%} CRM{14.3153526971%} BA{8.2987551867%} MMM{0.2074688797%} TRV{0.2074688797%} DD{0.2074688797%} 
6,44098.688566277603968046605587005615,10819.499349595764215337112545967102,0.245347417380331500602608230110,-69.802819719461695058271288871765,13006.654367472230660496279597282410,20,AAPL{0.8368200837%} MSFT{6.6945606695%} UNH{0.8368200837%} JNJ{1.6736401674%} V{3.3472803347%} WMT{13.5983263598%} JPM{0.4184100418%} HD{0.4184100418%} MRK{7.5313807531%} KO{13.5983263598%} MCD{3.7656903766%} NKE{2.5104602510%} VZ{0.4184100418%} AMGN{13.3891213389%} IBM{7.5313807531%} CRM{14.4351464435%} BA{8.3682008368%} MMM{0.2092050209%} TRV{0.2092050209%} DD{0.2092050209%} 
7,44156.938265987591876182705163955688,10893.576571779674850404262542724609,0.246701356560551698926531116740,77.412927752379317780651035718620,8467.971502205120486905798316001892,20,AAPL{0.9132420091%} MSFT{7.3059360731%} UNH{0.9132420091%} JNJ{1.8264840183%} WMT{14.8401826484%} JPM{0.4566210046%} HD{0.4566210046%} MRK{8.2191780822%} KO{14.8401826484%} CSCO{1.8264840183%} MCD{4.1095890411%} NKE{2.7397260274%} VZ{0.4566210046%} AMGN{7.3059360731%} IBM{8.2191780822%} CRM{15.7534246575%} BA{9.1324200913%} MMM{0.2283105023%} TRV{0.2283105023%} DD{0.2283105023%} 
8,44198.353469750363728962838649749756,10910.958628899454197380691766738892,0.246863463734389665393820223471,-38.064150981951627272792393341660,12103.635359667274315143004059791565,20,AAPL{0.8264462810%} MSFT{6.6115702479%} UNH{0.8264462810%} JNJ{1.6528925620%} V{3.3057851240%} WMT{13.4297520661%} JPM{0.4132231405%} MRK{7.4380165289%} KO{13.4297520661%} CSCO{1.6528925620%} MCD{3.7190082645%} NKE{2.4793388430%} VZ{0.4132231405%} AMGN{13.2231404959%} IBM{7.4380165289%} CRM{14.2561983471%} BA{8.2644628099%} MMM{0.2066115702%} TRV{0.2066115702%} DD{0.2066115702%} 
9,44350.882588571512314956635236740112,10951.491692882847928558476269245148,0.246928382338548219054885635160,-41.694457027132841631100745871663,12257.918013066344428807497024536133,20,AAPL{0.8247422680%} MSFT{6.5979381443%} UNH{0.8247422680%} JNJ{1.6494845361%} V{3.2989690722%} WMT{13.4020618557%} JPM{0.4123711340%} HD{0.4123711340%} MRK{7.4226804124%} KO{13.4020618557%} CSCO{1.6494845361%} MCD{3.7113402062%} NKE{2.4742268041%} VZ{0.4123711340%} AMGN{13.1958762887%} IBM{7.4226804124%} CRM{14.2268041237%} BA{8.2474226804%} MMM{0.2061855670%} DD{0.2061855670%} 
10,44352.816157143672171514481306076050,12016.586543850988164194859564304352,0.270931760032458279763289965558,103.924729704347043934831162914634,8760.278346448114461963996291160583,19,AAPL{7.0484581498%} MSFT{7.0484581498%} UNH{0.4405286344%} JNJ{0.8810572687%} WMT{14.0969162996%} CVX{1.9823788546%} MRK{1.7621145374%} KO{21.1453744493%} CSCO{3.5242290749%} MCD{2.2026431718%} NKE{10.5726872247%} AMGN{7.0484581498%} HON{0.8810572687%} IBM{7.0484581498%} CRM{7.0484581498%} BA{4.4052863436%} MMM{0.8810572687%} TRV{0.2202643172%} DD{1.7621145374%} 
11,44510.842243191873421892523765563965,12063.067489911154552828520536422729,0.271014136825421525500701136480,12.403830814303546503651887178421,11674.414124396309489384293556213379,20,AAPL{0.8510638298%} MSFT{6.8085106383%} UNH{0.8510638298%} JNJ{1.7021276596%} WMT{13.8297872340%} JPM{0.4255319149%} HD{0.4255319149%} MRK{7.6595744681%} KO{13.8297872340%} CSCO{1.7021276596%} MCD{3.8297872340%} NKE{2.5531914894%} VZ{0.4255319149%} AMGN{13.6170212766%} IBM{7.6595744681%} CRM{14.6808510638%} BA{8.5106382979%} MMM{0.2127659574%} TRV{0.2127659574%} DD{0.2127659574%} 
12,45085.578620870524900965392589569092,14651.365972311312361853197216987610,0.324967903717422013087912091578,139.603629292874757084064185619354,10277.118921134569973219186067581177,22,AAPL{1.7035775128%} MSFT{11.5843270869%} UNH{0.3407155026%} JNJ{10.2214650767%} V{0.1703577513%} WMT{13.6286201022%} JPM{0.1703577513%} PG{2.5553662692%} CVX{0.6814310051%} MRK{0.6814310051%} KO{19.0800681431%} CSCO{2.8960817717%} NKE{0.3407155026%} AMGN{5.7921635434%} IBM{0.6814310051%} CRM{11.2436115843%} GS{3.2367972743%} CAT{0.1703577513%} AXP{2.7257240204%} BA{10.9028960818%} MMM{1.0221465077%} TRV{0.1703577513%} 
13,45241.213021345713059417903423309326,15561.507031777955489815212786197662,0.343967502030410265945192804793,127.642878109255832441704114899039,11562.030184354600351070985198020935,22,AAPL{1.6260162602%} MSFT{11.0569105691%} UNH{0.3252032520%} JNJ{9.7560975610%} V{0.1626016260%} WMT{13.0081300813%} JPM{0.1626016260%} PG{2.4390243902%} CVX{0.6504065041%} MRK{0.6504065041%} KO{18.2113821138%} CSCO{2.7642276423%} NKE{0.3252032520%} AMGN{5.5284552846%} IBM{5.8536585366%} CRM{10.7317073171%} GS{3.0894308943%} CAT{0.1626016260%} AXP{2.6016260163%} BA{10.4065040650%} MMM{0.3252032520%} TRV{0.1626016260%} 
14,45562.890586649402393959462642669678,16071.210443391732042073272168636322,0.352725874861434585127994978393,186.939172539888261326268548145890,10213.783037141896784305572509765625,22,AAPL{1.6583747927%} MSFT{11.2769485904%} UNH{0.3316749585%} JNJ{9.9502487562%} V{0.1658374793%} WMT{13.2669983416%} JPM{0.1658374793%} PG{2.4875621891%} CVX{0.6633499171%} MRK{0.6633499171%} KO{18.5737976783%} CSCO{2.8192371476%} NKE{0.3316749585%} AMGN{5.6384742952%} IBM{5.9701492537%} CRM{10.9452736318%} GS{0.4975124378%} CAT{0.1658374793%} AXP{2.6533996683%} BA{10.6135986733%} MMM{0.9950248756%} TRV{0.1658374793%} 
15,45600.966750501283968333154916763306,16247.033582713900614180602133274078,0.356287042588528002351466739128,185.969247195296588870405685156584,10419.997170594604540383443236351013,21,AAPL{1.6583747927%} MSFT{11.2769485904%} UNH{0.3316749585%} JNJ{9.9502487562%} V{0.1658374793%} WMT{13.2669983416%} JPM{0.1658374793%} PG{2.4875621891%} CVX{0.6633499171%} MRK{0.6633499171%} KO{18.5737976783%} CSCO{2.8192371476%} NKE{0.3316749585%} AMGN{5.6384742952%} IBM{5.9701492537%} CRM{10.9452736318%} GS{3.1509121061%} CAT{0.1658374793%} BA{10.6135986733%} MMM{0.9950248756%} TRV{0.1658374793%} 
16,45641.750915850650926586240530014038,16326.960268286842620000243186950684,0.357719849494572084136478906657,-29.916414166310119071567896753550,17264.341245497893396532163023948669,21,AAPL{1.8018018018%} MSFT{12.2522522523%} UNH{0.3603603604%} JNJ{10.8108108108%} V{0.1801801802%} WMT{14.4144144144%} JPM{0.1801801802%} PG{2.7027027027%} CVX{0.7207207207%} MRK{0.7207207207%} KO{20.1801801802%} CSCO{3.0630630631%} NKE{0.3603603604%} AMGN{6.1261261261%} IBM{6.4864864865%} CRM{11.8918918919%} GS{3.4234234234%} CAT{0.1801801802%} AXP{2.8828828829%} MMM{1.0810810811%} TRV{0.1801801802%} 
17,45873.069288784412492532283067703247,16474.880291840028803562745451927185,0.359140570867971131718832111801,140.906606974443263879948062822223,12059.806606640810059616342186927795,22,AAPL{1.6583747927%} MSFT{11.2769485904%} UNH{0.3316749585%} JNJ{9.9502487562%} V{0.1658374793%} WMT{13.2669983416%} JPM{0.1658374793%} PG{2.4875621891%} CVX{0.6633499171%} MRK{0.6633499171%} KO{18.5737976783%} CSCO{0.1658374793%} NKE{0.3316749585%} AMGN{5.6384742952%} IBM{5.9701492537%} CRM{10.9452736318%} GS{3.1509121061%} CAT{0.1658374793%} AXP{2.6533996683%} BA{10.6135986733%} MMM{0.9950248756%} TRV{0.1658374793%} 
