Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,43146.78388640413322718814,76.38868619752268784850,0.00177043754636816222,14,JNJ{14.8148148148%} HD{7.4074074074%} MRK{14.1612200436%} KO{8.0610021786%} NKE{0.2178649237%} DIS{0.2178649237%} VZ{0.2178649237%} AMGN{1.9607843137%} HON{3.4858387800%} CRM{7.1895424837%} GS{0.4357298475%} BA{6.9716775599%} TRV{13.9433551198%} WBA{20.9150326797%} 
2,44383.33337077328178565949,1230.85829054669989091053,0.02773244362392186108,14,JNJ{8.4309133489%} HD{7.9625292740%} MRK{15.2224824356%} KO{8.6651053864%} NKE{0.2341920375%} DIS{0.2341920375%} VZ{0.2341920375%} AMGN{2.1077283372%} HON{3.7470725995%} CRM{7.7283372365%} GS{0.4683840749%} BA{7.4941451991%} TRV{14.9882903981%} WBA{22.4824355972%} 
3,45174.39121290689217858016,1597.42765931739768348052,0.03536135444058828570,14,JNJ{0.9732360097%} HD{8.2725060827%} MRK{15.8150851582%} KO{12.8953771290%} NKE{0.2433090024%} DIS{0.2433090024%} VZ{0.2433090024%} AMGN{2.1897810219%} HON{3.8929440389%} CRM{8.0291970803%} GS{0.4866180049%} BA{7.7858880779%} TRV{15.5717761557%} WBA{23.3576642336%} 
4,45452.63673187702806899324,1878.23662941712268548144,0.04132294107593256771,14,JNJ{4.8661800487%} HD{8.2725060827%} MRK{15.8150851582%} KO{9.0024330900%} NKE{0.2433090024%} DIS{0.2433090024%} VZ{0.2433090024%} AMGN{2.1897810219%} HON{3.8929440389%} CRM{8.0291970803%} GS{0.4866180049%} BA{7.7858880779%} TRV{15.5717761557%} WBA{23.3576642336%} 
5,45900.72483826008101459593,2079.29349743282318740967,0.04529979656660344106,14,JNJ{0.9925558313%} HD{8.4367245658%} MRK{16.1290322581%} KO{11.1662531017%} NKE{0.2481389578%} DIS{0.2481389578%} VZ{0.2481389578%} AMGN{2.2332506203%} HON{3.9702233251%} CRM{8.1885856079%} GS{0.4962779156%} BA{7.9404466501%} TRV{15.8808933002%} WBA{23.8213399504%} 
6,45991.33923318378947442397,2564.98494412563559308182,0.05577104269829440131,14,JNJ{0.9925558313%} HD{8.4367245658%} MRK{16.1290322581%} KO{9.1811414392%} NKE{0.2481389578%} DIS{0.2481389578%} VZ{0.2481389578%} AMGN{2.2332506203%} HON{3.9702233251%} CRM{8.1885856079%} GS{0.4962779156%} BA{9.9255583127%} TRV{15.8808933002%} WBA{23.8213399504%} 
7,45994.48325501455838093534,7349.84697372393748082686,0.15979844654353450584,15,UNH{12.4271844660%} JNJ{13.2038834951%} HD{6.6019417476%} MRK{12.6213592233%} KO{7.1844660194%} NKE{0.1941747573%} DIS{0.1941747573%} VZ{0.1941747573%} AMGN{0.1941747573%} HON{3.1067961165%} CRM{6.4077669903%} GS{0.3883495146%} BA{6.2135922330%} TRV{12.4271844660%} WBA{18.6407766990%} 
8,46710.90554477809928357601,7648.75830866806427366100,0.16374673578819398667,14,UNH{12.6232741617%} JNJ{13.4122287968%} HD{6.7061143984%} MRK{12.8205128205%} KO{7.2978303748%} NKE{0.1972386588%} DIS{0.1972386588%} VZ{0.1972386588%} AMGN{1.7751479290%} CRM{6.5088757396%} GS{0.3944773176%} BA{6.3116370809%} TRV{12.6232741617%} WBA{18.9349112426%} 
9,47337.99501053669519023970,8858.39510419814723718446,0.18713076255609067955,15,UNH{13.2505175983%} JNJ{7.4534161491%} HD{7.0393374741%} MRK{13.4575569358%} KO{7.6604554865%} NKE{0.2070393375%} DIS{0.2070393375%} VZ{0.2070393375%} AMGN{0.2070393375%} HON{3.3126293996%} CRM{6.8322981366%} GS{0.4140786749%} BA{6.6252587992%} TRV{13.2505175983%} WBA{19.8757763975%} 
10,47867.25465209179674275219,9441.46826940506616665516,0.19724273593769753310,15,UNH{13.7044967880%} JNJ{0.8565310493%} HD{7.2805139186%} MRK{13.9186295503%} KO{11.3490364026%} NKE{0.2141327623%} DIS{0.2141327623%} VZ{0.2141327623%} AMGN{0.2141327623%} HON{3.4261241970%} CRM{7.0663811563%} GS{0.4282655246%} BA{6.8522483940%} TRV{13.7044967880%} WBA{20.5567451820%} 
11,48353.93400235568697098643,9688.88196617341054661665,0.20037422323696332804,15,UNH{13.7044967880%} JNJ{4.2826552463%} HD{7.2805139186%} MRK{13.9186295503%} KO{7.9229122056%} NKE{0.2141327623%} DIS{0.2141327623%} VZ{0.2141327623%} AMGN{0.2141327623%} HON{3.4261241970%} CRM{7.0663811563%} GS{0.4282655246%} BA{6.8522483940%} TRV{13.7044967880%} WBA{20.5567451820%} 
12,48612.80469818397978087887,9754.85109936576736799907,0.20066423157292501145,15,UNH{13.2505175983%} JNJ{0.8281573499%} HD{7.0393374741%} MRK{13.4575569358%} KO{7.6604554865%} NKE{0.2070393375%} DIS{0.2070393375%} VZ{0.2070393375%} AMGN{0.2070393375%} HON{3.3126293996%} CRM{6.8322981366%} GS{0.4140786749%} BA{6.6252587992%} TRV{19.8757763975%} WBA{19.8757763975%} 
13,48659.77460151319974102080,10001.36513138023474311922,0.20553661033746786768,15,UNH{13.9433551198%} JNJ{0.8714596950%} HD{7.4074074074%} MRK{14.1612200436%} KO{9.8039215686%} NKE{0.2178649237%} DIS{0.2178649237%} VZ{0.2178649237%} AMGN{0.2178649237%} HON{3.4858387800%} CRM{7.1895424837%} GS{0.4357298475%} BA{6.9716775599%} TRV{13.9433551198%} WBA{20.9150326797%} 
14,48688.25664512190269306302,10253.51077620054820727091,0.21059515133055911607,15,UNH{13.0346232179%} JNJ{0.8146639511%} HD{0.4073319756%} MRK{13.2382892057%} KO{20.5702647658%} NKE{0.2036659878%} DIS{0.2036659878%} VZ{0.2036659878%} AMGN{1.8329938900%} HON{3.2586558045%} CRM{6.7209775967%} GS{0.4073319756%} BA{6.5173116090%} TRV{13.0346232179%} WBA{19.5519348269%} 
15,48950.54540616121812490746,11922.10638175779604353011,0.24355410716745978794,22,MSFT{0.2061855670%} UNH{10.1030927835%} JNJ{13.4020618557%} V{0.6185567010%} JPM{0.2061855670%} PG{4.5360824742%} CVX{2.6804123711%} HD{0.6185567010%} KO{7.6288659794%} CSCO{0.6185567010%} DIS{0.2061855670%} VZ{2.2680412371%} AMGN{0.6185567010%} HON{1.0309278351%} CRM{13.1958762887%} CAT{0.4123711340%} INTC{1.4432989691%} AXP{0.2061855670%} BA{6.1855670103%} MMM{0.6185567010%} TRV{8.2474226804%} WBA{24.9484536082%} 
16,49537.05963908613193780184,14875.79897916035042726435,0.30029636574196111320,21,AAPL{0.3703703704%} MSFT{0.3703703704%} UNH{9.6296296296%} JNJ{20.3703703704%} WMT{0.9259259259%} CVX{4.0740740741%} MRK{4.0740740741%} KO{5.9259259259%} MCD{0.1851851852%} VZ{0.7407407407%} AMGN{0.7407407407%} HON{0.5555555556%} IBM{0.3703703704%} CRM{0.5555555556%} CAT{3.5185185185%} INTC{0.1851851852%} AXP{0.5555555556%} BA{10.1851851852%} MMM{0.9259259259%} TRV{13.5185185185%} WBA{22.2222222222%} 
