Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
1,21906.953999366058269515633583068848,17663.745322698185191256925463676453,0.806307683085897619612580911053,1390.661538711256071110256016254425,-22201.885453691153088584542274475098,20,AAPL{17.4242424242%} MSFT{0.3030303030%} UNH{18.9393939394%} JNJ{0.1515151515%} V{0.1515151515%} WMT{0.4545454545%} PG{16.9696969697%} HD{0.3030303030%} MRK{6.9696969697%} KO{10.9090909091%} CSCO{0.6060606061%} MCD{10.7575757576%} NKE{2.7272727273%} DIS{4.5454545455%} CRM{1.6666666667%} GS{0.1515151515%} INTC{0.3030303030%} MMM{0.3030303030%} TRV{0.1515151515%} DD{6.2121212121%} 
2,22220.269239453449699794873595237732,18550.656040108304296154528856277466,0.834852892203955754268918099115,1428.030411480515795119572430849075,-22386.215755666482436936348676681519,20,AAPL{17.8571428571%} MSFT{0.3105590062%} UNH{19.4099378882%} JNJ{0.1552795031%} V{0.1552795031%} WMT{0.4658385093%} PG{17.3913043478%} HD{0.3105590062%} MRK{4.6583850932%} KO{11.1801242236%} CSCO{0.6211180124%} MCD{11.0248447205%} NKE{2.7950310559%} DIS{4.6583850932%} CRM{1.7080745342%} GS{0.1552795031%} INTC{0.3105590062%} MMM{0.3105590062%} TRV{0.1552795031%} DD{6.3664596273%} 
3,22274.412258262083923909813165664673,19776.407648872205754742026329040527,0.887853175184754372928352950112,1647.741794969222382860607467591763,-27458.857140245501796016469597816467,20,AAPL{22.0077220077%} UNH{22.7799227799%} JNJ{0.9652509653%} V{0.3861003861%} WMT{0.3861003861%} JPM{0.7722007722%} PG{15.6370656371%} HD{0.5791505792%} MRK{6.5637065637%} KO{3.0888030888%} CSCO{2.1235521236%} MCD{8.1081081081%} NKE{3.0888030888%} DIS{5.0193050193%} VZ{0.3861003861%} HON{0.1930501931%} CRM{0.3861003861%} CAT{0.1930501931%} INTC{0.9652509653%} DD{6.3706563707%} 
4,22298.315496961720782564952969551086,19859.457604714269109535962343215942,0.890625913308125904954692941828,1549.838381537641680552042089402676,-24569.242666031459521036595106124878,20,AAPL{17.0118343195%} MSFT{0.2958579882%} UNH{18.4911242604%} JNJ{0.1479289941%} V{0.1479289941%} WMT{0.4437869822%} PG{16.5680473373%} HD{0.2958579882%} MRK{6.8047337278%} KO{10.6508875740%} CSCO{0.5917159763%} MCD{10.5029585799%} NKE{5.0295857988%} DIS{4.4378698225%} CRM{1.6272189349%} GS{0.1479289941%} INTC{0.2958579882%} MMM{0.2958579882%} TRV{0.1479289941%} DD{6.0650887574%} 
5,22459.225640305583510780707001686096,20806.071046614448277978226542472839,0.926393072487576518803109593136,1697.137563238662551157176494598389,-27845.205766227212734520435333251953,21,AAPL{17.4242424242%} MSFT{0.3030303030%} UNH{18.9393939394%} JNJ{0.1515151515%} V{0.1515151515%} WMT{0.4545454545%} PG{16.9696969697%} HD{0.3030303030%} MRK{2.1212121212%} KO{10.9090909091%} CSCO{0.6060606061%} MCD{10.7575757576%} NKE{5.1515151515%} DIS{4.5454545455%} CRM{1.6666666667%} GS{0.1515151515%} INTC{0.3030303030%} BA{2.4242424242%} MMM{0.3030303030%} TRV{0.1515151515%} DD{6.2121212121%} 
6,22517.199254110455513000488281250000,21587.549264335106272483244538307190,0.958713782327718089248946853331,1642.288908999787508946610614657402,-25491.399460325472318800166249275208,20,AAPL{18.0817610063%} MSFT{0.3144654088%} UNH{19.6540880503%} JNJ{0.1572327044%} V{0.1572327044%} WMT{0.4716981132%} PG{17.6100628931%} HD{0.3144654088%} MRK{2.2012578616%} KO{11.3207547170%} CSCO{0.6289308176%} MCD{11.1635220126%} NKE{2.8301886792%} DIS{4.7169811321%} CRM{1.7295597484%} GS{0.1572327044%} INTC{1.5723270440%} MMM{0.3144654088%} TRV{0.1572327044%} DD{6.4465408805%} 
7,22843.240769751137122511863708496094,21737.139471062335360329598188400269,0.951578617507131796493524689140,1677.155359457595977801247499883175,-26341.314166722084337379783391952515,21,AAPL{17.0118343195%} MSFT{0.2958579882%} UNH{18.4911242604%} JNJ{0.1479289941%} V{0.1479289941%} WMT{0.4437869822%} PG{16.5680473373%} HD{0.2958579882%} MRK{2.0710059172%} KO{10.6508875740%} CSCO{0.5917159763%} MCD{10.5029585799%} NKE{5.0295857988%} DIS{4.4378698225%} HON{4.7337278107%} CRM{1.6272189349%} GS{0.1479289941%} INTC{0.2958579882%} MMM{0.2958579882%} TRV{0.1479289941%} DD{6.0650887574%} 
8,22874.291151433037157403305172920227,21743.957427109009586274623870849609,0.950584972585993615012966984068,1655.656284731427831502514891326427,-25718.189401858584460569545626640320,21,AAPL{17.4242424242%} MSFT{0.3030303030%} UNH{18.9393939394%} JNJ{0.1515151515%} V{0.1515151515%} WMT{0.4545454545%} PG{16.9696969697%} HD{0.3030303030%} MRK{2.1212121212%} KO{10.9090909091%} CSCO{0.6060606061%} MCD{10.7575757576%} NKE{5.1515151515%} DIS{4.5454545455%} HON{2.4242424242%} CRM{1.6666666667%} GS{0.1515151515%} INTC{0.3030303030%} MMM{0.3030303030%} TRV{0.1515151515%} DD{6.2121212121%} 
9,22881.820100862591061741113662719727,22062.504799930702574783936142921448,0.964193613212569466952572838636,1789.912025923581722963717766106129,-29248.306609878643939737230539321899,22,AAPL{19.0635451505%} UNH{20.2341137124%} JNJ{2.6755852843%} V{0.1672240803%} WMT{0.5016722408%} JPM{2.6755852843%} PG{13.3779264214%} HD{0.3344481605%} MRK{1.6722408027%} KO{6.6889632107%} CSCO{0.8361204013%} MCD{11.8729096990%} NKE{3.0100334448%} DIS{5.1839464883%} HON{1.6722408027%} CRM{0.8361204013%} GS{0.1672240803%} CAT{0.8361204013%} INTC{0.1672240803%} AXP{0.3344481605%} TRV{0.1672240803%} DD{7.5250836120%} 
10,22957.909223836853925604373216629028,22765.695924167259363457560539245605,0.991627578199933745750627167581,1717.782417836516742681851610541344,-26477.400053812885744264349341392517,20,AAPL{17.7469135802%} MSFT{0.3086419753%} UNH{19.2901234568%} JNJ{0.1543209877%} V{0.1543209877%} WMT{0.4629629630%} PG{17.2839506173%} HD{0.3086419753%} MRK{2.1604938272%} KO{11.1111111111%} CSCO{0.6172839506%} MCD{10.9567901235%} NKE{5.2469135802%} DIS{4.6296296296%} CRM{1.6975308642%} GS{0.1543209877%} INTC{0.9259259259%} MMM{0.3086419753%} TRV{0.1543209877%} DD{6.3271604938%} 
11,23018.398131926696805749088525772095,23643.237694345622003311291337013245,1.027145223522407890826002585527,1812.988742272647414210950955748558,-28329.106250803604780230671167373657,20,AAPL{17.8571428571%} MSFT{0.3105590062%} UNH{19.4099378882%} JNJ{0.1552795031%} V{0.1552795031%} WMT{0.4658385093%} PG{17.3913043478%} HD{0.3105590062%} MRK{2.1739130435%} KO{11.1801242236%} CSCO{0.6211180124%} MCD{11.0248447205%} NKE{2.7950310559%} DIS{4.6583850932%} CRM{1.7080745342%} GS{0.1552795031%} INTC{2.7950310559%} MMM{0.3105590062%} TRV{0.1552795031%} DD{6.3664596273%} 
12,23043.600479177581291878595948219299,23774.201134729468321893364191055298,1.031705143309183059230349499558,1801.615009836656554398359730839729,-27872.095813921354420017451047897339,20,AAPL{17.6380368098%} MSFT{0.3067484663%} UNH{19.1717791411%} JNJ{0.1533742331%} V{0.1533742331%} WMT{0.4601226994%} PG{17.1779141104%} HD{0.3067484663%} MRK{2.1472392638%} KO{11.0429447853%} CSCO{0.6134969325%} MCD{10.8895705521%} NKE{5.2147239264%} DIS{4.6012269939%} CRM{1.6871165644%} GS{0.1533742331%} INTC{1.5337423313%} MMM{0.3067484663%} TRV{0.1533742331%} DD{6.2883435583%} 
13,23107.634828313777688890695571899414,24930.723044712445698678493499755859,1.078895491898843594924528588308,1984.172085968802093702834099531174,-31948.876753059877955820411443710327,20,AAPL{23.0769230769%} UNH{23.8866396761%} JNJ{1.0121457490%} V{0.4048582996%} WMT{0.4048582996%} JPM{0.8097165992%} PG{16.3967611336%} HD{0.6072874494%} MRK{0.4048582996%} KO{3.2388663968%} CSCO{2.2267206478%} MCD{8.5020242915%} NKE{3.2388663968%} DIS{5.2631578947%} VZ{0.4048582996%} HON{0.2024291498%} CRM{0.4048582996%} CAT{0.2024291498%} INTC{2.6315789474%} DD{6.6801619433%} 
14,23310.481937329197535291314125061035,25289.622168307356332661584019660950,1.084903445424214130099471731228,2031.218657322512399332481436431408,-32938.646008271331083960831165313721,20,AAPL{21.3483146067%} UNH{22.0973782772%} JNJ{0.9363295880%} V{0.3745318352%} WMT{0.3745318352%} JPM{0.7490636704%} PG{15.1685393258%} HD{0.5617977528%} MRK{3.3707865169%} KO{2.9962546816%} CSCO{2.0599250936%} MCD{7.8651685393%} NKE{2.9962546816%} DIS{4.8689138577%} VZ{0.3745318352%} HON{0.1872659176%} CRM{0.3745318352%} CAT{0.1872659176%} INTC{0.9363295880%} DD{12.1722846442%} 
15,23522.186509009308792883530259132385,25949.545558941183116985484957695007,1.103194447888684370795431277656,2063.886470700710106029873713850975,-33215.199934479176590684801340103149,20,AAPL{21.6730038023%} UNH{22.4334600760%} JNJ{0.9505703422%} V{0.3802281369%} WMT{0.3802281369%} JPM{0.7604562738%} PG{15.3992395437%} HD{0.5703422053%} MRK{1.9011406844%} KO{3.0418250951%} CSCO{2.0912547529%} MCD{7.9847908745%} NKE{3.0418250951%} DIS{4.9429657795%} VZ{0.3802281369%} HON{0.1901140684%} CRM{0.3802281369%} CAT{0.1901140684%} INTC{0.9505703422%} DD{12.3574144487%} 
16,23630.506969202495383797213435173035,26136.560575851010071346536278724670,1.106051622587473026726456737379,2167.388839671175446710549294948578,-35995.252828056021826341748237609863,20,AAPL{21.3483146067%} UNH{22.0973782772%} JNJ{0.9363295880%} V{0.3745318352%} WMT{0.3745318352%} JPM{3.7453183521%} PG{15.1685393258%} HD{0.5617977528%} MRK{0.3745318352%} KO{2.9962546816%} CSCO{2.0599250936%} MCD{7.8651685393%} NKE{2.9962546816%} DIS{4.8689138577%} VZ{0.3745318352%} HON{0.1872659176%} CRM{0.3745318352%} CAT{0.1872659176%} INTC{0.9363295880%} DD{12.1722846442%} 
17,23685.511703666026733117178082466125,26282.024122171173075912520289421082,1.109624501720317901742873800686,2080.269688725017658725846558809280,-33352.373621279330109246075153350830,20,AAPL{21.8390804598%} UNH{22.6053639847%} JNJ{0.9578544061%} V{0.3831417625%} WMT{0.3831417625%} JPM{0.7662835249%} PG{15.5172413793%} HD{0.5747126437%} MRK{1.1494252874%} KO{3.0651340996%} CSCO{2.1072796935%} MCD{8.0459770115%} NKE{3.0651340996%} DIS{4.9808429119%} VZ{0.3831417625%} HON{0.1915708812%} CRM{0.3831417625%} CAT{0.1915708812%} INTC{0.9578544061%} DD{12.4521072797%} 
