period,exp_fitness,exp_time(s),total_fitness,total_time(s),max_TR,#_in_front
2024_01,5000030,13.62985497000000023604,6093174,14.74955623900000034610,1.05773539295876051192,527
2024_02,5000030,12.75324030700000044192,5699132,13.40284718999999924449,1.08257806113618437749,262
2024_03,5000030,12.64890218200000049364,5531585,13.19359239299999941863,1.53648604803651078754,417
2024_04,5000030,12.88397975900000069771,5711109,13.65680565699999959861,0.76694531590626013884,437
2024_05,5000030,12.20506888599999939515,5539360,12.74442481300000018507,0.51331692444498278061,213
2024_06,5000030,12.93194548299999979690,5410271,13.29504201499999993530,1.98254614626231195906,205
2024_07,5000030,12.26167576599999975429,6149007,13.56831627500000081454,0.68739275460263593587,526
2024_08,5000030,12.29089474699999939844,5344694,12.63195688599999932933,1.23440626514386586621,100
2024_09,5000030,12.20036444399999986388,6246514,13.55026831200000003719,1.29649013333502138856,621
2024_10,5000030,12.77305281399999969949,5379676,13.15439777599999970903,0.32704176370856730127,182
2024_11,5000030,12.28568786599999995701,5462795,12.79268204699999955665,1.84162922405875328913,272
2024_12,5000030,12.33101600200000014240,5622312,13.02825347899999997026,0.38985946387205111519,304
2025_01,5000030,12.48890687599999971269,5762168,13.25701836500000041497,1.66913941075242888701,379
2025_02,5000030,12.64195863800000019239,5926568,13.68563498800000033384,1.09446814332965858263,497
2025_03,5000030,12.86702708600000022443,5572015,13.41233095900000016343,0.55131689953643214785,414
2025_04,5000030,12.38385558999999958019,5438313,12.79538030099999978972,0.42712426823475990734,217
2025_05,5000030,12.17841645700000086094,5163021,12.34725465200000016353,0.53731174952172611192,92
