Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
0,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,8419
18,6758.T 9433.T 4502.T 7267.T 3382.T 4503.T 6702.T 5108.T 7733.T 9022.T JNJ WMT CVX HD MRK KO DIS HON ,0.91919391296936325819,16444.01231568399816751480,15115.23602536997532297391,28520
21,6758.T 9432.T 9433.T 4502.T 7267.T 3382.T 4503.T 6702.T 5108.T 7733.T 9022.T AAPL JNJ WMT CVX HD MRK KO MCD DIS HON ,0.92675656230981451333,16660.23878503393279970624,15439.98562367868908040691,10401
20,6758.T 9432.T 9433.T 4502.T 7267.T 3382.T 4503.T 6702.T 5108.T 7733.T 9022.T AAPL JNJ WMT CVX HD MRK KO DIS HON ,0.97605460021977674678,16686.83323414411643170752,16287.26034128661922295578,10663
20,6758.T 9433.T 4502.T 7267.T 3382.T 4503.T 6702.T 5108.T 7733.T 9022.T JNJ V WMT PG CVX HD MRK KO DIS HON ,1.05385736410715402656,16865.23296516015761881135,17773.54995771676476579159,23811
22,6758.T 9432.T 9433.T 4502.T 7267.T 3382.T 4503.T 6702.T 5108.T 7733.T 9022.T AAPL JNJ V WMT PG CVX HD MRK KO DIS HON ,1.08900558747643771973,17076.04181096818865626119,18595.90494412562475190498,22001
20,6758.T 9433.T 4502.T 7267.T 3382.T 4503.T 6702.T 5108.T 7733.T 9022.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.14403648323171269752,17585.72261126816374599002,20118.70825128364231204614,25849
18,6758.T 9433.T 4502.T 7267.T 3382.T 4503.T 6702.T 5108.T 7733.T AAPL V WMT PG CVX MRK KO DIS HON ,1.15553542104557371850,17706.36544477169445599429,20460.33244941105658654124,40686
19,6758.T 9433.T 4502.T 7267.T 3382.T 4503.T 6702.T 5108.T 7733.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.19586109755052349968,18016.97057822231727186590,21545.79421020843074074946,31311
20,6758.T 9432.T 9433.T 4502.T 7267.T 3382.T 4503.T 6702.T 5108.T 7733.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.21000562836906988551,18176.57297860855396720581,21993.75560857749951537699,87420
19,6758.T 9433.T 4568.T 8001.T 4502.T 7267.T 3382.T 5108.T 7733.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.22207334169784020972,18235.61690551196079468355,22285.26128964062809245661,87862
20,6758.T 9433.T 4502.T 7267.T 3382.T 6702.T 5108.T 7733.T 9022.T AAPL JNJ V WMT PG CVX HD MRK KO DIS HON ,1.21905032988281747386,18312.86398441869096131995,22324.30288130477129016072,24052
20,6758.T 9432.T 9433.T 4568.T 4502.T 7267.T 3382.T 6702.T 5108.T 7733.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.27699465180162596845,18549.20732113305712118745,23687.23854424648015992716,41891
18,6758.T 9433.T 4502.T 7267.T 3382.T 6702.T 5108.T 7733.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.41116448049246301366,18787.15460228890515281819,26511.76526427060889545828,29509
18,6758.T 9433.T 7267.T 3382.T 6702.T 5108.T 7733.T 9022.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.38757030595913555260,19535.72660160476152668707,27107.19413772274128859863,24280
15,6758.T 9433.T 4502.T 7267.T 3382.T 6702.T 7733.T AAPL V WMT HD MRK KO DIS HON ,1.37518548558656394931,19887.99108073394745588303,27349.67667170036656898446,70398
19,6758.T 9433.T 4502.T 7267.T 3382.T 6702.T 5108.T 7733.T AAPL V WMT PG CVX HD MRK KO DIS HON TRV ,1.36679599811459340231,20055.40349246036566910334,27411.64523406826629070565,30263
17,6758.T 9433.T 7267.T 3382.T 6702.T 5108.T 7733.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.44007547899596310970,20224.92322940956364618614,29125.41600724855743465014,28586
16,6758.T 9433.T 7267.T 3382.T 6702.T 5108.T 7733.T V WMT PG CVX HD MRK KO DIS HON ,1.42415179062615626648,20692.29808970487647457048,29468.97337662339123198763,51491
16,6758.T 8001.T 4502.T 3382.T 5108.T 9022.T AAPL V WMT PG CVX MRK KO DIS HON BA ,1.44399299714015527663,20786.67610517195134889334,30015.81472968889647745527,216245
17,6758.T 9432.T 8001.T 4502.T 3382.T 5108.T 9022.T AAPL V WMT PG CVX MRK KO DIS HON BA ,1.40369258635026405990,21394.85655857561869197525,30031.80153729991798172705,207945
