Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
0,,-nan(ind),0.00000000000000000000,0.00000000000000000000
12,6758.T  6902.T  2914.T  6954.T  9022.T  MSFT  JPM  PG  CVX  MCD  DIS  VZ ,0.59054081951675618800,19082.09736264366438263096,11268.75741463412123266608
13,6758.T  6902.T  2914.T  6954.T  9022.T  MSFT  JNJ  JPM  PG  CVX  MCD  DIS  VZ ,0.68536448554876749917,19643.50129624680630513467,13462.95816027874025166966
14,6758.T  4519.T  6902.T  2914.T  6954.T  9022.T  MSFT  JPM  PG  CVX  MCD  DIS  VZ  MMM ,0.74962377752952824572,20230.50252118901335052215,15165.26572125435268389992
12,6758.T  2914.T  6954.T  9022.T  MSFT  JNJ  JPM  PG  CVX  MCD  DIS  VZ ,0.76006208759118953910,20475.78514187212203978561,15562.86799999998584098648
18,6758.T  4502.T  6902.T  2914.T  6954.T  5108.T  9022.T  MSFT  JNJ  PG  CVX  KO  MCD  VZ  GS  CAT  MMM  TRV ,0.83809932764800443294,20814.67720667603134643286,17444.76697212542421766557
15,6758.T  4519.T  6902.T  6954.T  9022.T  MSFT  JNJ  PG  CVX  KO  MCD  CAT  AXP  MMM  TRV ,0.89747848164315169317,20865.31185283903323579580,18726.16840069683166802861
13,6758.T  4519.T  6902.T  6954.T  9022.T  MSFT  PG  CVX  KO  MCD  AXP  MMM  TRV ,0.94656740476102108062,21736.83814842771607800387,20575.38247386758303036913
15,6758.T  4502.T  6902.T  6954.T  9022.T  MSFT  JNJ  PG  CVX  KO  MCD  VZ  GS  MMM  TRV ,0.97022131179843273951,21955.29999817428324604407,21301.49996515678139985539
15,6758.T  4519.T  6902.T  6954.T  9022.T  MSFT  JNJ  V  PG  CVX  KO  MCD  AXP  MMM  TRV ,0.97305925451764652134,22137.09011826147980173118,21540.70040766547390376218
16,6758.T  4519.T  6902.T  6954.T  9022.T  MSFT  JNJ  V  PG  CVX  KO  CSCO  MCD  AXP  MMM  TRV ,0.99015334075369032529,22547.61776117509725736454,22325.59905226476621464826
14,6758.T  6902.T  6954.T  9022.T  JNJ  PG  CVX  KO  CSCO  MCD  VZ  GS  MMM  TRV ,1.05633151799793956194,23370.67668875846720766276,24687.18238327529252273962
12,6758.T  4502.T  6954.T  9022.T  JNJ  PG  CVX  KO  MCD  GS  MMM  TRV ,1.03186427239604960882,24316.25182641014907858334,25091.07149825782107654959
15,6758.T  4519.T  6902.T  6954.T  9022.T  MSFT  JNJ  V  PG  CVX  KO  CSCO  MCD  MMM  TRV ,1.03994011969888666691,24881.33786141425662208349,25875.10147386758035281673
14,6758.T  4502.T  6954.T  9022.T  JNJ  PG  CVX  KO  CSCO  MCD  VZ  GS  MMM  TRV ,1.06987745615112794795,25040.36883614266116637737,26790.12611149828808265738
13,6758.T  6954.T  9022.T  JNJ  PG  CVX  KO  CSCO  MCD  VZ  GS  MMM  TRV ,1.06647279830572783155,25762.70076979980149189942,27475.21958188152348157018
12,6758.T  4519.T  6902.T  MSFT  JNJ  V  PG  CVX  KO  MCD  MMM  TRV ,1.06611871735442953479,26371.69218299389103776775,28115.35464459928334690630
13,6758.T  4502.T  4519.T  6902.T  MSFT  JNJ  PG  CVX  KO  CSCO  MCD  MMM  TRV ,1.04312184975212707272,27544.91769593884600908495,28732.70549825783018604852
11,6758.T  6954.T  9022.T  JNJ  CVX  KO  MCD  VZ  GS  MMM  TRV ,1.04509668667728039537,27849.09976561193980160169,29105.00189198606676654890
12,6758.T  4519.T  6902.T  MSFT  JNJ  PG  CVX  KO  CSCO  MCD  MMM  TRV ,1.05454398094652312956,28142.56994999044036376290,29677.57774912891545682214
11,6758.T  4519.T  MSFT  JNJ  V  PG  CVX  KO  MCD  MMM  TRV ,1.11700931033281691818,28386.27752599711311631836,31707.73628222997285774909
12,6758.T  4502.T  4519.T  MSFT  JNJ  PG  CVX  KO  CSCO  MCD  MMM  TRV ,1.07420026745885133224,29912.34532823948029545136,32131.84935191637123352848
12,6758.T  4502.T  4519.T  JNJ  PG  CVX  KO  MCD  VZ  GS  MMM  TRV ,1.07860366011948416443,31377.82993641864231904037,33844.24221602786565199494
11,6758.T  4519.T  JNJ  V  PG  CVX  KO  CSCO  MCD  MMM  TRV ,1.12438161235041955699,31743.59734737802500603721,35691.91716724740399513394
10,6758.T  4519.T  JNJ  V  PG  CVX  KO  MCD  MMM  TRV ,1.07224748348438447820,33452.26958377949631540105,35869.11187804878136375919
10,6758.T  4519.T  JNJ  PG  CVX  KO  CSCO  MCD  MMM  TRV ,1.12497352092537084012,33550.64635524495679419488,37743.58875958187854848802
8,6758.T  4519.T  PG  CVX  KO  MCD  MMM  TRV ,1.11368965541586995016,34039.62994028162938775495,37909.58373867598129436374
9,6758.T  4519.T  JNJ  V  CVX  KO  MCD  MMM  TRV ,1.08974245275810677214,36274.20774688838719157502,39529.54412195126496953890
9,6758.T  4502.T  4519.T  JNJ  CVX  KO  MCD  MMM  TRV ,1.00693022380860797149,39506.54940140448888996616,39780.33863066204503411427
10,6758.T  4502.T  4519.T  JNJ  V  CVX  KO  MCD  AMGN  MMM ,1.00797781620822735071,39768.16367625555722042918,40085.42677700342755997553
8,6758.T  4519.T  JNJ  CVX  KO  MCD  MMM  TRV ,1.06690822125051876235,39885.21267903590342029929,42553.86131358883721986786
7,6758.T  4519.T  CVX  KO  MCD  MMM  TRV ,0.99739893055102890607,43082.46927510549721773714,42970.40878048778540687636
6,6758.T  JNJ  CVX  KO  MCD  TRV ,0.94102456041363768957,46639.44971078017260879278,43888.86766202087164856493
8,6758.T  4519.T  V  CVX  KO  MCD  AMGN  TRV ,0.91820753072260730132,48009.14212933773524127901,44082.35584668989758938551
8,6758.T  4519.T  JNJ  V  CVX  KO  MCD  TRV ,0.92787596966104890495,48584.10308067916048457846,45080.02175609752885065973
