Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
0,,-nan(ind),0.00000000000000000000,0.00000000000000000000
13,7203.T  4502.T  3382.T  6954.T  4503.T  7733.T  9022.T  JNJ  V  PG  MRK  KO  VZ ,0.21947975154308438372,30592.22065812417349661700,6714.37298919630666205194
12,7203.T  9432.T  4063.T  4502.T  3382.T  4503.T  9022.T  JNJ  V  MRK  VZ  AMGN ,0.33241828322771044268,30941.07937789020797936246,10285.38048801057811942883
13,7203.T  9432.T  4063.T  4502.T  3382.T  4503.T  7733.T  9022.T  JNJ  V  MRK  VZ  AMGN ,0.33261528223990377562,31283.36351903629838488996,10405.32478629776778689120
14,7203.T  9432.T  4063.T  4502.T  3382.T  8411.T  4503.T  7733.T  9022.T  JNJ  V  MRK  VZ  AMGN ,0.42503055057846739206,31595.57730592502775834873,13429.08561818184352887329
11,7203.T  9432.T  4502.T  3382.T  6954.T  7733.T  9022.T  JNJ  V  MRK  VZ ,0.50822145849869893031,31956.22645873361761914566,16240.84001897231246402953
10,7203.T  9432.T  3382.T  6954.T  7733.T  9022.T  JNJ  V  MRK  VZ ,0.53229476815742049478,32733.16549423616379499435,17423.69273781291485647671
14,7203.T  9432.T  4502.T  3382.T  6954.T  4503.T  7733.T  9022.T  JNJ  V  MRK  VZ  AMGN  CRM ,0.56384299703687568162,33386.32396071805123938248,18824.64496205532122985460
9,7203.T  4502.T  3382.T  6954.T  7733.T  9022.T  JNJ  V  VZ ,0.59237054594832116994,33659.87154967187234433368,19939.11648642949148779735
12,7203.T  4502.T  3382.T  6954.T  4503.T  7733.T  9022.T  JNJ  V  MRK  VZ  CRM ,0.63018037890405209644,33878.58057519843714544550,21349.61674361001132638194
9,7203.T  4502.T  3382.T  6954.T  7733.T  9022.T  V  MRK  VZ ,0.62504710206588176558,34588.76803911440219962969,21619.60922687744823633693
12,7203.T  4502.T  2914.T  3382.T  6954.T  7733.T  9022.T  JNJ  V  MRK  VZ  CRM ,0.64803047596800100738,34916.28493214151967549697,22626.81674361001205397770
12,7203.T  8001.T  4502.T  3382.T  6954.T  7733.T  9022.T  JNJ  V  MRK  VZ  CRM ,0.65371066758128459906,35054.01358149550651432946,22915.18261976284338743426
12,7203.T  9432.T  4502.T  3382.T  6954.T  7733.T  9022.T  JNJ  V  MRK  VZ  CRM ,0.68688217058447187391,35162.31162730862706666812,24152.36493333336329669692
12,7203.T  4502.T  6902.T  3382.T  6954.T  7733.T  9022.T  JNJ  V  MRK  VZ  CRM ,0.71221914557881305097,35673.98641569176834309474,25407.69612437417526962236
13,7203.T  6758.T  4502.T  3382.T  6954.T  4503.T  7733.T  9022.T  JNJ  V  MRK  VZ  CRM ,0.73411185369625220343,35798.00706685738259693608,26279.74132648220984265208
13,7203.T  6758.T  8001.T  4502.T  3382.T  6954.T  7733.T  9022.T  JNJ  V  MRK  VZ  CRM ,0.77096890048025057407,35959.69742895742092514411,27723.80838840579599491321
13,7203.T  6758.T  9432.T  4502.T  3382.T  6954.T  7733.T  9022.T  JNJ  V  MRK  VZ  CRM ,0.78600950453736029289,36725.41170037900155875832,28866.52265454547523404472
10,7203.T  4502.T  3382.T  6954.T  7733.T  9022.T  V  MRK  VZ  CRM ,0.82544898183133286196,37044.07583054601127514616,30577.99467720689062844031
12,7203.T  6758.T  9432.T  4502.T  3382.T  6954.T  7733.T  9022.T  V  MRK  VZ  CRM ,0.88643260599210593753,37772.04310286359395831823,33482.37060131752514280379
10,7203.T  6758.T  4502.T  3382.T  6954.T  7733.T  9022.T  MRK  VZ  CRM ,0.87684738692966990303,38633.63228923978022066876,33875.79952042162040015683
11,7203.T  6758.T  9432.T  4502.T  3382.T  6954.T  9022.T  V  MRK  VZ  CRM ,0.89266269981797041755,39716.73735497915185987949,35453.64999525692837778479
11,7203.T  6758.T  4502.T  3382.T  6954.T  7733.T  9022.T  V  MRK  VZ  CRM ,0.88354802143476662835,40255.09893312091298867017,35567.31301501976849976927
11,7203.T  6758.T  9432.T  3382.T  6954.T  7733.T  9022.T  V  MRK  VZ  CRM ,0.88311926598886381079,40880.34882170835771830752,36102.22364479579846374691
9,7203.T  6758.T  3382.T  6954.T  7733.T  9022.T  MRK  VZ  CRM ,0.89453353589270045987,41506.47115798212325898930,37128.93040737813862506300
10,7203.T  6758.T  4519.T  3382.T  6954.T  9022.T  V  MRK  VZ  CRM ,0.89634409128802117195,41790.48771182932250667363,37458.65673254286957671866
10,7203.T  6758.T  4502.T  3382.T  6954.T  9022.T  V  MRK  VZ  CRM ,0.87986051735336856527,43168.42583832157833967358,37982.19349143614817876369
10,7203.T  6758.T  9432.T  3382.T  6954.T  9022.T  V  MRK  VZ  CRM ,0.88702574456537275349,43483.25372015600441955030,38570.76550724639673717320
13,7203.T  6758.T  8001.T  4502.T  3382.T  6954.T  7733.T  9022.T  V  MRK  DIS  VZ  CRM ,0.90370501199734765141,43696.10335112090251641348,39488.38760316206025891006
10,7203.T  6758.T  4502.T  3382.T  6954.T  7733.T  9022.T  V  VZ  CRM ,0.91680352345330529129,43915.04529409144015517086,40261.46825823452672921121
13,7203.T  6758.T  9432.T  4502.T  3382.T  6954.T  7733.T  9022.T  V  MRK  DIS  VZ  CRM ,0.91920718263385114977,44202.33287655494495993480,40631.10186930172494612634
11,7203.T  6758.T  4502.T  3382.T  6954.T  7733.T  9022.T  MRK  DIS  VZ  CRM ,0.93439552018577343162,45261.03210392360051628202,42291.70563689068512758240
