Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1,863.383703411363399027322884649038,9.945169960475761072871137002949,0.011518829833341591439843654143,1,MCD{1%}Cash{99%},100
2,983.587018309561017304076813161373,192.910144927536236991727491840720,0.196129210061231490369593188916,1,VZ{1%}Cash{99%},100
3,1185.087994315221294527873396873474,336.696916996039760761050274595618,0.284111322206578531535114962026,1,JPM{1%}Cash{99%},100
4,1185.403748069332323211710900068283,417.773470355739164006081409752369,0.352431372885539662132003968509,1,HON{1%}Cash{99%},100
5,1300.783274020533099246677011251450,435.007027667974853102350607514381,0.334419296708383273486475673053,1,PG{1%}Cash{99%},100
6,1459.228959517458633854403160512447,962.475973649546745036786887794733,0.659578448859609145493720916420,2,MRK{1%}GS{1%}Cash{98%},100
7,1872.364591523774606685037724673748,972.421143610002900459221564233303,0.519354589385085274599873628176,3,MRK{1%}MCD{1%}GS{1%}Cash{97%},100
8,2110.519955928770286845974624156952,982.998973386046600353438407182693,0.465761515604083020658521263613,3,WMT{1%}MCD{1%}GS{1%}Cash{97%},100
9,2209.662150345308418764034286141396,1064.314545454562903614714741706848,0.481663925540943116399006385109,3,MRK{1%}GS{1%}TRV{1%}Cash{97%},100
10,2249.209794139958830783143639564514,1074.892375230553625442553311586380,0.477897783493142491728633558523,3,WMT{1%}GS{1%}TRV{1%}Cash{97%},100
11,2295.413577200316922244383022189140,1380.249444005277155156363733112812,0.601307519357251352154491996771,3,MRK{1%}HON{1%}GS{1%}Cash{97%},100
12,2652.960882240905903017846867442131,1397.483001317535354246501810848713,0.526763515690102379629422557628,3,PG{1%}MRK{1%}GS{1%}Cash{97%},100
13,2739.454721700036316178739070892334,1482.088015810290244189673103392124,0.541015700705045343710253291647,4,MRK{1%}HON{1%}GS{1%}TRV{1%}Cash{96%},100
14,2872.679370939067666768096387386322,1581.197304347807403246406465768814,0.550425961332023039318528390140,2,MRK{1%}GS{2%}Cash{97%},100
15,2876.950287543307240412104874849319,1683.035876152836181063321419060230,0.585006937186258624272738870786,3,MRK{1%}GS{2%}TRV{1%}Cash{96%},100
16,2920.642680700530490867095068097115,1927.107770751018051669234409928322,0.659823190109921853263585944660,2,MRK{2%}GS{2%}Cash{96%},100
17,3099.381962846039641590323299169540,1937.685600527023552785976789891720,0.625184512188269869703560743801,3,WMT{1%}MRK{1%}GS{2%}Cash{96%},100
18,3176.307477905652831395855173468590,1947.630770487465952101047150790691,0.613174506572539468329807732516,4,WMT{1%}MRK{1%}MCD{1%}GS{2%}Cash{95%},100
19,3393.601140465849312022328376770020,2039.524172332011175967636518180370,0.600991126509357487250895246689,4,WMT{1%}MRK{1%}GS{2%}TRV{1%}Cash{95%},100
20,3429.352773690126923611387610435486,2042.535977338598968344740569591522,0.595603926492737301146007666830,4,WMT{1%}MRK{1%}TRV{1%}DD{1%}Cash{96%},100
21,3485.543477292119860067032277584076,2453.044314624506569089135155081749,0.703776708167831999141128562769,3,WMT{1%}MRK{2%}BA{1%}Cash{96%},100
22,3625.706666774005952902371063828468,2463.622144400528668484184890985489,0.679487440883503990285419149586,3,WMT{2%}MRK{1%}BA{1%}Cash{96%},100
23,3669.911914643731051910435780882835,2687.198517523067039292072877287865,0.732224254974777943871799834596,4,WMT{1%}MRK{2%}KO{1%}BA{1%}Cash{95%},100
24,3778.876733618888465571217238903046,2697.776347299078224750701338052750,0.713909592048407204423199345911,4,WMT{2%}MRK{1%}KO{1%}BA{1%}Cash{95%},100
25,3801.820018473656091373413801193237,2820.246393675863600947195664048195,0.741814809741605851733936560777,4,WMT{1%}MRK{2%}IBM{1%}BA{1%}Cash{95%},100
26,3892.583344652225605386774986982346,2888.051342292489152896450832486153,0.741936931487979678401245564601,4,WMT{1%}PG{1%}MRK{2%}BA{1%}Cash{95%},100
27,4013.298968971008434891700744628906,2898.629172068492607650114223361015,0.722255978056797531827726288611,4,WMT{2%}PG{1%}MRK{1%}BA{1%}Cash{95%},100
28,4222.158004045681082061491906642914,3200.857085638993794418638572096825,0.758109261323694050282995249290,3,MRK{3%}NKE{1%}BA{1%}Cash{95%},100
