Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1,689.251878208958146387885790318251,296.389810360777687492372933775187,0.430016688719014550379426964355,1,MRK{1%}Cash{99%},100
2,1138.575227937650424792082048952579,317.395309898217476529680425301194,0.278765339443691417820048172871,1,AMGN{1%}Cash{99%},100
3,1214.530189212841150947497226297855,434.361785383924313919123960658908,0.357637701591791645761020390637,1,JNJ{1%}Cash{99%},100
4,1284.488025262294513595406897366047,730.751595744683072553016245365143,0.568904949966709483355487009248,2,JNJ{1%}MRK{1%}Cash{98%},100
5,1612.199718258399570913752540946007,806.135832562445557414321228861809,0.500022313261091921887668831914,2,MRK{1%}TRV{1%}Cash{98%},100
6,1666.161548097510603838600218296051,1027.367830712305931228911504149437,0.616607574388807200271855890605,2,JNJ{1%}MRK{2%}Cash{97%},100
7,1940.730600706877112315851263701916,1821.325864939879693338298238813877,0.938474337590438190126462814078,3,MRK{2%}MCD{1%}CAT{1%}Cash{96%},100
8,2159.156672757590513356262817978859,2117.942099907488682219991460442543,0.980911726615251056138333751733,3,MRK{3%}MCD{1%}CAT{1%}Cash{95%},100
9,2385.895068260057087172754108905792,2260.550076318204446579329669475555,0.947464164032468580955992365489,3,MSFT{1%}MRK{3%}CAT{1%}Cash{95%},100
10,2551.287589862664844986284151673317,2414.558334875121090590255334973335,0.946407745041826564680320643674,3,MRK{4%}MCD{1%}CAT{1%}Cash{94%},100
11,2638.785550572354168252786621451378,2552.303885291406459145946428179741,0.967226717130465596383714910189,4,JNJ{1%}MRK{3%}MCD{1%}CAT{1%}Cash{94%},100
12,2718.153873245725208107614889740944,2557.166311285842766665155068039894,0.940773197741138766936330739554,3,MSFT{1%}MRK{4%}CAT{1%}Cash{94%},100
13,2804.807328194141064159339293837547,2694.911861702123587747337296605110,0.960818889273662546379739524127,4,MSFT{1%}JNJ{1%}MRK{3%}CAT{1%}Cash{94%},100
14,2908.600718854424485471099615097046,2755.334754856591189309256151318550,0.947305945775122282270785945002,3,MRK{4%}HON{1%}CAT{1%}Cash{94%},100
15,2917.161016786505115305772051215172,2848.920120259013856411911547183990,0.976607086089932630024179616157,4,JNJ{1%}MRK{4%}MCD{1%}CAT{1%}Cash{93%},100
16,3040.938627894271121476776897907257,3051.950989824231328384485095739365,1.003621369345946368056843311933,3,MRK{5%}HON{1%}CAT{1%}Cash{93%},100
17,3098.688174591077313380083069205284,3054.062294172050769702764227986336,0.985598460411423737959069057979,4,JNJ{1%}V{1%}MRK{4%}CAT{1%}Cash{93%},100
18,3314.550631865331070002866908907890,3348.567224791856915544485673308372,1.010262806849139050058283828548,3,MRK{6%}HON{1%}CAT{1%}Cash{92%},100
19,3380.127345769513340201228857040405,3350.678529139667716663097962737083,0.991287660606425702347621609078,4,JNJ{1%}V{1%}MRK{5%}CAT{1%}Cash{92%},100
20,3555.724918248158246569801121950150,3550.930848751155281206592917442322,0.998651732176356055070698403142,4,MRK{4%}KO{1%}MCD{1%}CAT{2%}Cash{92%},100
21,3638.245929292028449708595871925354,3593.043776595748113322770223021507,0.987575839133811306247423544846,4,PG{1%}MRK{4%}MCD{1%}CAT{2%}Cash{92%},100
22,3698.212081459995715704280883073807,3645.183459759490688156802207231522,0.985661011177171308972333463316,3,MRK{7%}HON{1%}CAT{1%}Cash{91%},100
23,3730.001206124836244271136820316315,3847.547083718778139882488176226616,1.031513629915434382411376645905,4,MRK{5%}KO{1%}MCD{1%}CAT{2%}Cash{91%},100
24,3747.675341086370735865784808993340,3889.660011563368243514560163021088,1.037886064708006150780761345231,4,PG{1%}MRK{5%}MCD{1%}CAT{2%}Cash{91%},100
25,3836.099677160747432935750111937523,3986.068954671603933093138039112091,1.039094207693230353939384258410,5,AAPL{1%}WMT{1%}MRK{3%}MCD{1%}CAT{2%}Cash{92%},100
26,3891.092755650258823152398690581322,4052.689257631823693373007699847221,1.041529850900344333908265070932,4,V{1%}MRK{5%}KO{1%}CAT{2%}Cash{91%},100
27,3935.137758398788719205185770988464,4094.802185476415615994483232498169,1.040574037525586970076574289124,4,V{1%}PG{1%}MRK{5%}CAT{2%}Cash{91%},100
28,3975.537201189713414350990206003189,4186.276246530993375927209854125977,1.053008948143716150269710851717,4,PG{1%}MRK{6%}MCD{1%}CAT{2%}Cash{90%},100
29,4005.253657255850612273206934332848,4770.552462997223301499616354703903,1.191073742446990824106478612521,3,V{1%}MRK{7%}CAT{2%}Cash{90%},100
30,4111.893933301187644246965646743774,5067.168697964858438353985548019409,1.232319894471776811073482349457,3,V{1%}MRK{8%}CAT{2%}Cash{89%},100
31,4327.224876772476818587165325880051,5363.784932932478113798424601554871,1.239543838297845645968209282728,3,V{1%}MRK{9%}CAT{2%}Cash{88%},100
32,4587.521391602347648586146533489227,5384.564007863077677029650658369064,1.173741449515581569684741225501,4,V{1%}MRK{8%}AMGN{1%}CAT{2%}Cash{88%},100
33,4636.126303853146055189426988363266,5660.401167900079599348828196525574,1.220933338937648215960507513955,3,V{1%}MRK{10%}CAT{2%}Cash{87%},100
34,4849.727002451217231282498687505722,5681.180242830704628431703895330429,1.171443308037595221193782890623,4,V{1%}MRK{9%}AMGN{1%}CAT{2%}Cash{87%},100
35,4873.745549912986462004482746124268,5798.146718316366786893922835588455,1.189669558850868558153024423518,4,JNJ{1%}V{1%}MRK{9%}CAT{2%}Cash{87%},100
36,5021.359141913388157263398170471191,5957.017402867710188729688525199890,1.186335658237301471373825734190,3,V{1%}MRK{11%}CAT{2%}Cash{86%},100
37,5120.714407550121904932893812656403,6094.762953283982824359554797410965,1.190217315048403667887555457128,4,JNJ{1%}V{1%}MRK{10%}CAT{2%}Cash{86%},100
38,5387.645790222721188911236822605133,6168.203802035171065654139965772629,1.144879237092567336731008253992,4,V{2%}CVX{1%}MRK{9%}CAT{2%}Cash{86%},100
39,5413.583090032061591045930981636047,6170.147190101753949420526623725891,1.139752930265860442204939317890,4,V{1%}MRK{10%}CAT{2%}TRV{1%}Cash{86%},100
40,5444.412269268530508270487189292908,6391.379188251612504245713353157043,1.173933727305759067149892871385,4,JNJ{1%}V{1%}MRK{11%}CAT{2%}Cash{85%},100
41,5617.748242124595890345517545938492,6397.057798334883955249097198247910,1.138722762683925138205154325988,6,JNJ{1%}V{1%}CVX{1%}MRK{9%}MCD{1%}CAT{2%}Cash{85%},100
42,5621.611394615022618381772190332413,6594.410060129514022264629602432251,1.173046231272111938892521720845,4,V{1%}MRK{9%}MCD{1%}CAT{3%}Cash{86%},100
43,5643.321714935151248937472701072693,6602.565587419057919760234653949738,1.169978590790819339417794253677,5,JNJ{1%}V{2%}CVX{1%}MRK{9%}CAT{2%}Cash{85%},100
44,5734.201313838192618277389556169510,6891.026295097125512256752699613571,1.201741257054787848090882107499,4,V{1%}MRK{10%}MCD{1%}CAT{3%}Cash{85%},100
45,5856.014644210679762181825935840607,6899.181822386676685709971934556961,1.178136026214907650100371938606,5,JNJ{1%}V{2%}CVX{1%}MRK{10%}CAT{2%}Cash{84%},100
46,5925.470723820955754490569233894348,7187.642530064744278206489980220795,1.213007854577651922767245196155,4,V{1%}MRK{11%}MCD{1%}CAT{3%}Cash{84%},100
47,6139.244546671556236105971038341522,7195.798057354291813680902123451233,1.172098293633791588064241295797,5,JNJ{1%}V{2%}CVX{1%}MRK{11%}CAT{2%}Cash{83%},100
48,6164.145182897549602785147726535797,7208.421604995360212342347949743271,1.169411393001443366657099431904,5,V{1%}MRK{10%}MCD{1%}AMGN{1%}CAT{3%}Cash{84%},100
49,6188.128185952531566726975142955780,7484.258765032380324555560946464539,1.209454384287344419490750624391,4,V{1%}MRK{12%}MCD{1%}CAT{3%}Cash{83%},100
50,6394.069165370003247517161071300507,7505.037839962985344754997640848160,1.173749868176268584818444651319,5,V{1%}MRK{11%}MCD{1%}AMGN{1%}CAT{3%}Cash{83%},100
51,6424.661354330122776445932686328888,7622.004315448646593722514808177948,1.186366704030483054665978670528,5,JNJ{1%}V{1%}MRK{11%}MCD{1%}CAT{3%}Cash{83%},100
52,6450.799370049349818145856261253357,7689.766554116549741593189537525177,1.192064132364687223386567893613,3,V{2%}MRK{12%}CAT{3%}Cash{83%},100
53,6513.543286750642437255010008811951,7780.874999999996362021192908287048,1.194568709756986590875271758705,4,V{1%}MRK{13%}MCD{1%}CAT{3%}Cash{82%},100
54,6616.641966267828138370532542467117,7804.456570305261266184970736503601,1.179519250111008998871398034680,4,V{2%}WMT{1%}MRK{11%}CAT{3%}Cash{83%},100
55,6645.113170745205934508703649044037,7918.620550416289006534498184919357,1.191645702179706889367594158102,5,JNJ{1%}V{1%}MRK{12%}MCD{1%}CAT{3%}Cash{82%},100
56,6713.819188602181384339928627014160,7986.382789084143041691277176141739,1.189543919002517879945912682160,3,V{2%}MRK{13%}CAT{3%}Cash{82%},100
57,6795.328135408234629721846431493759,8101.072805272896403039339929819107,1.192153291768333067679463965760,4,V{2%}WMT{1%}MRK{12%}CAT{3%}Cash{82%},100
58,6814.706216128290179767645895481110,8124.128339500462061550933867692947,1.192146525740636731072186194069,4,JNJ{1%}V{2%}MRK{12%}CAT{3%}Cash{82%},100
59,6927.508436796209025487769395112991,8215.236785383904134505428373813629,1.185886218737430386482856192742,5,JNJ{1%}V{1%}MRK{13%}MCD{1%}CAT{3%}Cash{81%},100
60,7034.878267428485742129851132631302,8282.999024051800006418488919734955,1.177418955833552605128033974324,3,V{2%}MRK{14%}CAT{3%}Cash{81%},100
61,7037.372136078352014010306447744370,8397.689040240513349999673664569855,1.193298986874411937719742127229,4,V{2%}WMT{1%}MRK{13%}CAT{3%}Cash{81%},100
62,7042.890371433352811436634510755539,8420.744574468068094574846327304840,1.195637604785589891420727326476,4,JNJ{1%}V{2%}MRK{13%}CAT{3%}Cash{81%},100
63,7264.627023284568167582619935274124,8511.853020351547456812113523483276,1.171684794425009501495082986366,5,JNJ{1%}V{1%}MRK{14%}MCD{1%}CAT{3%}Cash{80%},100
64,7329.118453920194042439106851816177,8717.360809435711416881531476974487,1.189414643008392724610189361556,4,JNJ{1%}V{2%}MRK{14%}CAT{3%}Cash{80%},100
65,7535.550426195251020544674247503281,8738.139884366333717480301856994629,1.159588801103448751916857872857,5,JNJ{1%}V{2%}MRK{13%}AMGN{1%}CAT{3%}Cash{80%},100
66,7539.524094217627862235531210899353,8832.050825624421122483909130096436,1.171433463870496183290015324019,5,JNJ{1%}V{2%}WMT{1%}MRK{13%}CAT{3%}Cash{80%},100
67,7556.064612231987666746135801076889,8855.819597594811057206243276596069,1.172014805598504239014800987206,4,JNJ{2%}V{2%}MRK{13%}CAT{3%}Cash{80%},100
68,7594.170052312179905129596590995789,8917.247513876014636480249464511871,1.174222785696114490505692629085,5,V{1%}MRK{13%}KO{1%}MCD{1%}CAT{4%}Cash{80%},100
69,7627.241256177350805955938994884491,8941.079368640152097214013338088989,1.172256005590319505316188042343,5,AAPL{1%}V{1%}MRK{12%}MCD{1%}CAT{4%}Cash{81%},100
70,7657.391631844021503638941794633865,8959.360441720640665153041481971741,1.170027716025683339751140010776,5,V{1%}PG{1%}MRK{13%}MCD{1%}CAT{4%}Cash{80%},100
71,7666.616519615547076682560145854950,9013.750619796463070088066160678864,1.175714292834940222221007388725,4,JNJ{1%}V{2%}MRK{15%}CAT{3%}Cash{79%},100
72,7720.190117286865643109194934368134,9055.769384828839974943548440933228,1.172998235438707181899076203990,6,AAPL{1%}V{1%}WMT{1%}MRK{11%}MCD{1%}CAT{4%}Cash{81%},100
