Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1,990.040411475510722993931267410517,219.684717853852532698510913178325,0.221894697739099894251424416325,2,PG{1%}DD{1%}Cash{98%},100
2,1322.384556632034446010948158800602,322.330518038845184491947293281555,0.243749457313525319523961343293,2,IBM{1%}DD{1%}Cash{98%},100
3,1408.401094576514424261404201388359,349.075531914886198592284927144647,0.247852357726154770567461582687,2,AXP{1%}DD{1%}Cash{98%},100
4,1563.324600080427444481756538152695,587.109151248851162563369143754244,0.375551661643811207635934579230,2,MSFT{1%}DD{1%}Cash{98%},100
5,1684.374476302750736067537218332291,723.851274283075554194510914385319,0.429744860461166222620477128658,3,WMT{1%}CSCO{1%}DD{1%}Cash{97%},100
6,1893.337367815300467555061914026737,746.965585106369530876690987497568,0.394523235955715756428929807953,3,WMT{1%}KO{1%}DD{1%}Cash{97%},100
7,1904.839133951863459515152499079704,867.779569842744081142882350832224,0.455565803104018673952424478557,3,WMT{1%}CSCO{1%}DD{2%}Cash{96%},100
8,2186.665196720423864462645724415779,934.454253006458543495682533830404,0.427342171269730619620474953990,3,WMT{1%}JPM{1%}DD{1%}Cash{97%},100
9,2271.574265936584652081364765763283,979.163094357073077844688668847084,0.431050443315951992140355741867,3,MSFT{1%}JPM{1%}DD{2%}Cash{96%},100
10,2312.832226581081158656161278486252,1248.358122109178793834871612489223,0.539752995380279099180143020931,4,MSFT{1%}WMT{1%}VZ{1%}DD{1%}Cash{96%},100
11,2463.381709400511226704111322760582,1392.286417668835156291606836020947,0.565193129572948760319661687390,4,MSFT{1%}WMT{1%}VZ{1%}DD{2%}Cash{95%},100
12,2733.908303222150607325602322816849,1452.923397317290891805896535515785,0.531445548340042428492324688705,5,MSFT{1%}WMT{1%}KO{1%}VZ{1%}DD{2%}Cash{94%},100
13,2783.687319537987150397384539246559,1511.022370490281673482968471944332,0.542813253444380472423347328004,4,MSFT{1%}WMT{1%}VZ{2%}DD{2%}Cash{94%},100
14,2818.951678011248077382333576679230,1542.169368640161337680183351039886,0.547071941910033610056984798575,5,MSFT{1%}WMT{1%}NKE{1%}VZ{1%}DD{2%}Cash{94%},100
15,2867.770883162581412761937826871872,1575.391151711384281952632591128349,0.549343450329630500483801824885,3,AAPL{1%}WMT{1%}DD{2%}Cash{96%},100
16,3023.333697829620177799370139837265,1640.412065217377403314458206295967,0.542583859133707435695725962432,5,MSFT{1%}WMT{1%}JPM{1%}VZ{1%}DD{2%}Cash{94%},100
17,3055.484195567426922934828326106071,1671.559063367243197717471048235893,0.547068469800028434057992399175,5,MSFT{1%}WMT{1%}JPM{1%}NKE{1%}DD{2%}Cash{94%},100
18,3070.435836355958599597215652465820,1694.127104532845578432898037135601,0.551754602546413175367945314065,4,AAPL{1%}WMT{1%}VZ{1%}DD{2%}Cash{95%},100
19,3276.325539719191056065028533339500,1823.516799259951540079782716929913,0.556573752257915832508672338008,4,AAPL{1%}WMT{1%}JPM{1%}DD{2%}Cash{95%},100
20,3350.798190050134962802985683083534,1838.055400092509671594598330557346,0.548542554890483757823460564396,4,AAPL{1%}WMT{1%}VZ{1%}DD{3%}Cash{94%},100
21,3457.660138273578468215418979525566,1967.445094819605401426088064908981,0.569010549371679275054702884518,4,AAPL{1%}WMT{1%}JPM{1%}DD{3%}Cash{94%},100
22,3647.192699668720251793274655938148,1979.508277058273961301892995834351,0.542748475351487624784851959703,4,MSFT{2%}WMT{1%}VZ{1%}DD{3%}Cash{93%},100
23,3729.523018459037302818614989519119,2098.244229879740487376693636178970,0.562603909265236845627100592537,4,MSFT{2%}WMT{1%}VZ{2%}DD{3%}Cash{92%},100
24,3867.252203712730533879948779940605,2116.250400092517338634934276342392,0.547223270843526732321038252849,5,MSFT{1%}WMT{2%}CSCO{1%}VZ{1%}DD{3%}Cash{92%},100
25,3922.934036611846750020049512386322,2129.391228029591275117127224802971,0.542805769395169446234206134250,5,MSFT{2%}WMT{1%}NKE{1%}VZ{1%}DD{3%}Cash{92%},100
26,4006.413200840548597625456750392914,2162.613011100846506451489403843880,0.539787810864622907836007925653,4,AAPL{1%}MSFT{1%}WMT{1%}DD{3%}Cash{94%},100
27,4014.681362520987022435292601585388,2236.640122571668143791612237691879,0.557115227985911176666888877662,4,AAPL{1%}WMT{2%}VZ{1%}DD{2%}Cash{94%},100
28,4022.620393808432254445506259799004,2281.348963922273014759412035346031,0.567130064629935537467986250704,5,AAPL{1%}MSFT{1%}WMT{1%}VZ{1%}DD{3%}Cash{93%},100
29,4225.518684471425331139471381902695,2299.355134135048501775600016117096,0.544159263236739687563670031523,4,AAPL{1%}WMT{2%}CSCO{1%}DD{3%}Cash{93%},100
30,4231.517503944655800296459347009659,2380.568418131367707246681675314903,0.562580307398511725303080766025,4,AAPL{1%}WMT{2%}VZ{1%}DD{3%}Cash{93%},100
31,4253.812131263774062972515821456909,2425.277259481952569331042468547821,0.570142071309910347665095287084,5,AAPL{1%}MSFT{1%}WMT{1%}VZ{1%}DD{4%}Cash{92%},100
32,4445.412436696354234300088137388229,2509.958112858458207483636215329170,0.564617602663602280443910785834,4,AAPL{1%}WMT{2%}JPM{1%}DD{3%}Cash{93%},100
33,4475.464208321645855903625488281250,2554.666954209053528757067397236824,0.570816084163721870758934073820,5,AAPL{1%}MSFT{1%}WMT{1%}JPM{1%}DD{4%}Cash{92%},100
34,4574.304114916108119359705597162247,2628.694065679939740221016108989716,0.574665347917767244112496882735,5,AAPL{1%}WMT{2%}JPM{1%}VZ{1%}DD{3%}Cash{92%},100
35,4620.184817329487486858852207660675,2640.757247918600114644505083560944,0.571569612975998619930351196672,4,MSFT{2%}WMT{2%}VZ{2%}DD{3%}Cash{91%},100
36,4717.545875418740251916460692882538,2673.402907030540518462657928466797,0.566693568569323846695340307633,6,AAPL{1%}MSFT{1%}WMT{1%}JPM{1%}VZ{1%}DD{4%}Cash{91%},100
37,4857.220053490178543142974376678467,2790.640198889908788260072469711304,0.574534439073782765561304586299,5,MSFT{2%}WMT{2%}NKE{1%}VZ{2%}DD{3%}Cash{90%},100
38,4871.690880300638127664569765329361,2823.861981961154924647416919469833,0.579647200806568951847452808579,5,AAPL{1%}MSFT{1%}WMT{2%}VZ{1%}DD{3%}Cash{92%},100
39,5056.345449130198176135309040546417,2942.597934782618722238112241029739,0.581961411534650974175519877463,5,AAPL{1%}MSFT{1%}WMT{2%}VZ{2%}DD{3%}Cash{91%},100
40,5063.063944585485842253547161817551,2967.790277520831295987591147422791,0.586164881582155294914571186382,5,AAPL{1%}MSFT{1%}WMT{2%}VZ{1%}DD{4%}Cash{91%},100
41,5157.362458319717916310764849185944,3086.526230342268263484584167599678,0.598469906912043270175161069346,5,AAPL{1%}MSFT{1%}WMT{2%}VZ{2%}DD{4%}Cash{90%},100
42,5357.038824166193990095052868127823,3097.179972247914065519580617547035,0.578151488892742926317680485226,5,AAPL{1%}MSFT{1%}WMT{2%}JPM{1%}DD{4%}Cash{91%},100
43,5365.360479686029066215269267559052,3215.915925069368313415907323360443,0.599384875861604271563010115642,6,AAPL{1%}MSFT{1%}WMT{2%}JPM{1%}VZ{1%}DD{4%}Cash{90%},100
44,5532.626305418973061023280024528503,3230.454525901935994625091552734375,0.583891690414341302250988974265,5,AAPL{1%}MSFT{1%}WMT{2%}VZ{2%}DD{5%}Cash{89%},100
45,5676.221603340837646101135760545731,3359.844220629052415461046621203423,0.591915618419752709300496462674,6,AAPL{1%}MSFT{1%}WMT{2%}JPM{1%}VZ{1%}DD{5%}Cash{89%},100
46,5860.361301311982060724403709173203,3365.798876040688355715246871113777,0.574332998084465140564702778647,7,AAPL{1%}MSFT{1%}WMT{2%}JPM{1%}NKE{1%}VZ{1%}DD{4%}Cash{89%},100
47,5939.578589399793600023258477449417,3478.580173450482561747776344418526,0.585661107281013393333068961510,6,AAPL{1%}MSFT{1%}WMT{2%}JPM{1%}VZ{2%}DD{5%}Cash{88%},100
48,6049.506254724335121863987296819687,3489.233915356139277719194069504738,0.576779950038275868173798244243,5,AAPL{1%}MSFT{1%}WMT{2%}JPM{2%}DD{5%}Cash{89%},100
49,6055.380887297388653678353875875473,3490.643355689175223233178257942200,0.576453144840423759021064142871,4,MSFT{3%}WMT{2%}VZ{3%}DD{5%}Cash{87%},100
50,6082.527404709779148106463253498077,3529.819794172059118864126503467560,0.580321231506310097891798704950,5,AAPL{1%}MSFT{2%}WMT{2%}VZ{2%}DD{4%}Cash{89%},100
51,6175.926520346891265944577753543854,3673.748089731736399699002504348755,0.594849708400576715483509815385,5,AAPL{1%}MSFT{2%}WMT{2%}VZ{2%}DD{5%}Cash{88%},100
52,6429.149038273960286460351198911667,3747.775201202598509553354233503342,0.582934876589634498600389633793,5,AAPL{1%}MSFT{1%}WMT{3%}VZ{3%}DD{4%}Cash{88%},100
53,6445.003572204983356641605496406555,3803.137784458836449630325660109520,0.590090873007490968049637558579,6,AAPL{1%}MSFT{2%}WMT{2%}JPM{1%}VZ{1%}DD{5%}Cash{88%},100
54,6501.292581002129736589267849922180,3817.676385291387759934877976775169,0.587218055136801586613159997796,5,AAPL{1%}MSFT{2%}WMT{2%}VZ{2%}DD{6%}Cash{87%},100
55,6616.381656573571490298490971326828,3877.164895929708109179046005010605,0.585994747155740292043901717989,6,AAPL{1%}MSFT{1%}WMT{3%}JPM{1%}VZ{2%}DD{4%}Cash{88%},100
56,6662.831315088230439869221299886703,3921.873737280276145611423999071121,0.588619695113554275422984574107,6,AAPL{1%}MSFT{2%}WMT{2%}JPM{1%}VZ{2%}DD{5%}Cash{87%},100
57,6714.435209988361748401075601577759,3947.066080018499633297324180603027,0.587847816916434506850919206045,6,AAPL{1%}MSFT{2%}WMT{2%}JPM{1%}VZ{1%}DD{6%}Cash{87%},100
58,6806.410232188273766951169818639755,4021.093191489365381130483001470566,0.590780316542362737841642683634,6,AAPL{1%}MSFT{1%}WMT{3%}JPM{1%}VZ{2%}DD{5%}Cash{87%},100
59,6860.714542123319006350357085466385,4065.802032839977073308546096086502,0.592620784304145442611400085298,6,AAPL{1%}MSFT{2%}WMT{2%}JPM{1%}VZ{2%}DD{6%}Cash{86%},100
60,7066.810779496867326088249683380127,4072.332812210911015426972880959511,0.576261759268563156233255995176,5,AAPL{1%}MSFT{2%}WMT{3%}VZ{2%}DD{4%}Cash{88%},100
61,7077.899584951773249485995620489120,4096.949030989831953775137662887573,0.578836840197662572116144019674,7,AAPL{1%}MSFT{2%}WMT{2%}JPM{1%}NKE{1%}VZ{1%}DD{6%}Cash{86%},100
62,7138.494085111111417063511908054352,4150.482886216459519346244633197784,0.581422753417026427769087604247,6,AAPL{1%}MSFT{1%}WMT{3%}JPM{2%}VZ{1%}DD{5%}Cash{87%},100
63,7146.505790052207885310053825378418,4216.261107770591479493305087089539,0.589975189503035513105544396240,5,AAPL{1%}MSFT{2%}WMT{3%}VZ{2%}DD{5%}Cash{87%},100
64,7257.141786381886049639433622360229,4334.997060592057096073403954505920,0.597342202783846865088435151847,5,AAPL{1%}MSFT{2%}WMT{3%}VZ{3%}DD{5%}Cash{86%},100
65,7428.666334186218591639772057533264,4360.189403330243294476531445980072,0.586941074909361204525737321092,5,AAPL{1%}MSFT{2%}WMT{3%}VZ{2%}DD{6%}Cash{86%},100
66,7477.242750965206141700036823749542,4478.925356151703454088419675827026,0.599007616219700445014950673794,5,AAPL{1%}MSFT{2%}WMT{3%}VZ{3%}DD{6%}Cash{85%},100
67,7679.833164907228820084128528833389,4608.315050878817601187620311975479,0.600054057415775332628982141614,6,AAPL{1%}MSFT{2%}WMT{3%}JPM{1%}VZ{2%}DD{6%}Cash{85%},100
68,7869.882703664743530680425465106964,4663.293029602206843264866620302200,0.592549241862355358101410729432,5,AAPL{2%}MSFT{1%}WMT{3%}VZ{2%}DD{6%}Cash{86%},100
69,7916.358408454466371040325611829758,4727.051003700302317156456410884857,0.597124430173845310854119361466,6,AAPL{1%}MSFT{2%}WMT{3%}JPM{1%}VZ{3%}DD{6%}Cash{84%},100
70,8009.490734185184010129887610673904,4758.198001850134460255503654479980,0.594069980197585167935869776557,7,AAPL{1%}MSFT{2%}WMT{3%}JPM{1%}NKE{1%}VZ{2%}DD{6%}Cash{84%},100
71,8057.433527440465695690363645553589,4792.682724329316442890558391809464,0.594815049731073131056291458663,6,AAPL{2%}MSFT{1%}WMT{3%}JPM{1%}VZ{1%}DD{6%}Cash{86%},100
72,8192.724293749373828177340328693390,4807.221325161893219046760350465775,0.586767130541614223560031859961,5,AAPL{2%}MSFT{1%}WMT{3%}VZ{2%}DD{7%}Cash{85%},100
73,8212.364874980430613504722714424133,4870.979299259955041634384542703629,0.593127481963173552870216553856,6,AAPL{1%}MSFT{2%}WMT{3%}JPM{1%}VZ{3%}DD{7%}Cash{83%},100
74,8254.652134740257679368369281291962,4911.418677150788425933569669723511,0.594987965208219171664438817970,6,AAPL{2%}MSFT{1%}WMT{3%}JPM{1%}VZ{2%}DD{6%}Cash{85%},100
75,8299.783098761046858271583914756775,4922.218919981504768657032400369644,0.593053922182167680965392264625,5,AAPL{1%}MSFT{3%}WMT{3%}VZ{3%}DD{6%}Cash{84%},100
76,8338.389828821955234161578118801117,4936.611019889013732608873397111893,0.592034088263112101557794630935,6,AAPL{2%}MSFT{1%}WMT{3%}JPM{1%}VZ{1%}DD{7%}Cash{85%},100
77,8475.104772379731002729386091232300,5000.368993987039175408426672220230,0.590006746616653532377938518039,6,AAPL{1%}MSFT{2%}WMT{3%}JPM{2%}VZ{2%}DD{7%}Cash{83%},100
78,8477.989473079156596213579177856445,5055.346972710438421927392482757568,0.596290782002394492700148020958,6,AAPL{2%}MSFT{1%}WMT{3%}JPM{1%}VZ{2%}DD{7%}Cash{84%},100
79,8499.566004557569613098166882991791,5066.147215541168407071381807327271,0.596047752652857698585364687460,5,AAPL{1%}MSFT{3%}WMT{3%}VZ{3%}DD{7%}Cash{83%},100
80,8702.454819891243460006080567836761,5184.883168362620381230954080820084,0.595795471010261090683002294099,5,AAPL{1%}MSFT{3%}WMT{3%}VZ{4%}DD{7%}Cash{82%},100
81,8747.605252884535730117931962013245,5195.536910268262545287143439054489,0.593938199092263197087504522642,6,AAPL{1%}MSFT{3%}WMT{3%}JPM{1%}VZ{2%}DD{7%}Cash{83%},100
82,8860.054387620632041944190859794617,5216.030166512483447149861603975296,0.588713109233322540170263437176,6,AAPL{1%}MSFT{3%}WMT{3%}NKE{1%}VZ{3%}DD{7%}Cash{82%},100
83,8880.837149406021126196719706058502,5250.514888991677253216039389371872,0.591218462928672083833703254641,5,AAPL{2%}MSFT{2%}WMT{3%}VZ{2%}DD{7%}Cash{84%},100
84,8894.275386108707607490941882133484,5269.564021739137388067319989204407,0.592466928780872814641611512343,6,AAPL{1%}MSFT{2%}WMT{4%}JPM{1%}VZ{3%}DD{6%}Cash{83%},100
85,8895.850289912688822369091212749481,5314.272863089719976414926350116730,0.597387848255018116816472684150,6,AAPL{1%}MSFT{3%}WMT{3%}JPM{1%}VZ{3%}DD{7%}Cash{82%},100
86,9011.063450379400819656439125537872,5328.811463922294024087022989988327,0.591363216258113277845609445649,5,AAPL{1%}MSFT{3%}WMT{3%}VZ{4%}DD{8%}Cash{81%},100
87,9049.172332696629382553510367870331,5369.250841813134684343822300434113,0.593341649867011877717004608712,5,AAPL{2%}MSFT{2%}WMT{3%}VZ{3%}DD{7%}Cash{83%},100
88,9113.931471350655556307174265384674,5379.904583718776848400011658668518,0.590294605640862002360336191487,6,AAPL{2%}MSFT{2%}WMT{3%}JPM{1%}VZ{1%}DD{7%}Cash{84%},100
