DailyRisk,ExpectedReturn
47055.0271008762210840359330177,16762.089646903816174017265439
47060.5635316444531781598925591,16824.5888695652174646966159344
47063.5048022976552601903676987,17009.3636521739172167144715786
47065.5807363229396287351846695,17071.9388563900101871695369482
47084.0791584840626455843448639,17157.369164690397155936807394
47088.8245539349736645817756653,17220.8685612648259848356246948
47099.0855240684686577878892422,17264.9216969697190506849437952
47108.9820243452268186956644058,17324.4214624506057589314877987
47111.7024550279020331799983978,17350.8810724637805833481252193
47128.5261449814133811742067337,17415.6125217391672777011990547
47142.5592257817916106432676315,17437.9533728590213286224752665
47151.3892736535344738513231277,17501.6342292490080581046640873
47170.0200599075469654053449631,17519.6770961791989975608885288
47217.0793581839388934895396233,17604.3203425560022878926247358
47228.3924225165828829631209373,17669.5808590250380802899599075
47261.16447742325544822961092,17841.6297048748310771770775318
47436.7613175887163379229605198,18087.7474650856784137431532145
47494.9943431369101745076477528,18231.3236021081065700855106115
47576.6107609970713383518159389,18325.2916021080091013573110104
48553.3694993115495890378952026,18360.1983504611489479430019855
48557.1072579893516376614570618,18981.3282661396733601577579975
48591.6358838936357642523944378,19031.742948616651119664311409
48616.9868803301651496440172195,19533.8647430830533266998827457
49106.2011736580898286774754524,21856.0847325428294425364583731
49128.6669629415337112732231617,21902.8446613965861615724861622
49156.6735646654851734638214111,21949.9988142292750126216560602
49196.5463410320007824338972569,21977.5768458498314430471509695
49236.959068407144513912498951,22004.6120658761974482331424952
49259.2228554201210499741137028,22062.9759578392477123998105526
49317.9230814932743669487535954,22142.6694071146484930068254471
49389.0060547901448444463312626,22173.2625586298272537533193827
49463.1887509681982919573783875,22345.1605955204286146908998489
49503.7050646006100578233599663,22366.5255862977828655857592821
49640.8221005325758596882224083,22450.7462661396675684954971075
49715.5885240658753900788724422,22471.617897233278199564665556
49812.2359989595861406996846199,22584.3006877470579638611525297
49864.3635047397037851624190807,22599.4775125165397184900939465
49881.4991146135653252713382244,22734.000326745768688851967454
49999.7333369486950687132775784,23081.7953043478373729158192873
50086.2064968482809490524232388,23255.0460158102723653428256512
50545.1043401444039773195981979,23992.8645401845351443625986576
50612.0151927276383503340184689,24064.8406930171986459754407406
50726.1786812959617236629128456,24089.967154150195710826665163
50734.2956719107241951860487461,24174.1297602108861610759049654
50749.3056288508378202095627785,24200.2678129117703065276145935
50899.4751760707222274504601955,24314.0261949935011216439306736
50956.1200137639971217140555382,24376.6686903821137093473225832
50986.9546421626437222585082054,24397.5922608696128008887171745
50995.3130909058672841638326645,24404.0170830040224245749413967
51040.3821423530753236263990402,24441.2073043478267209138721228
51051.1559297571438946761190891,24450.7528880105892312712967396
51089.9388174299747333861887455,24479.4933939394322806037962437
51217.9814733666717074811458588,24563.9641633728715532924979925
51253.8318582808351493440568447,24593.553333333380578551441431
51287.6288778266607550904154778,24603.2284163373406045138835907
51380.691223972025909461081028,24671.3832332016536383889615536
51450.3895251566718798130750656,24711.1178418972813233267515898
