Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,43728.83507468524476280436,38290.28490980570495594293,0.87563011556125502910,11,AAPL{2.2727272727%} JNJ{13.6363636364%} V{8.5227272727%} WMT{13.6363636364%} PG{0.8522727273%} CVX{15.9090909091%} MRK{18.0397727273%} KO{4.5454545455%} MCD{8.9488636364%} CAT{9.0909090909%} BA{4.5454545455%} 
2,43745.97136109868733910844,38430.76145120259025134146,0.87849829951146829465,11,AAPL{2.2759601707%} JNJ{13.6557610242%} V{8.8193456615%} WMT{13.6557610242%} PG{0.4267425320%} CVX{15.9317211949%} MRK{18.0654338549%} KO{4.5519203414%} MCD{8.9615931721%} CAT{9.1038406828%} BA{4.5519203414%} 
3,43751.37212950790126342326,38497.28805041631858330220,0.87991041598560537640,11,AAPL{2.2792022792%} JNJ{13.6752136752%} V{8.8319088319%} WMT{13.6752136752%} PG{0.2849002849%} CVX{15.9544159544%} MRK{18.0911680912%} KO{4.5584045584%} MCD{8.9743589744%} CAT{9.1168091168%} BA{4.5584045584%} 
4,43756.70943740246730158105,38532.16052613321517128497,0.88060005017645592851,11,AAPL{2.2759601707%} JNJ{13.6557610242%} V{8.8193456615%} WMT{13.6557610242%} PG{0.2844950213%} CVX{16.0739687055%} MRK{18.0654338549%} KO{4.5519203414%} MCD{8.9615931721%} CAT{9.1038406828%} BA{4.5519203414%} 
5,43763.62500559524778509513,38555.95002312677388545126,0.88100448758980398622,11,AAPL{2.2857142857%} JNJ{13.7142857143%} V{8.5714285714%} WMT{13.7142857143%} PG{0.2857142857%} CVX{16.0000000000%} MRK{18.1428571429%} KO{4.5714285714%} MCD{9.0000000000%} CAT{9.1428571429%} BA{4.5714285714%} 
6,43769.84038244500698056072,38629.57965772434545215219,0.88256158396268014066,10,AAPL{2.2857142857%} JNJ{13.7142857143%} V{8.8571428571%} WMT{13.7142857143%} CVX{16.0000000000%} MRK{18.1428571429%} KO{4.5714285714%} MCD{9.0000000000%} CAT{9.1428571429%} BA{4.5714285714%} 
7,43788.10814888722234172747,38657.74345513411390129477,0.88283657571345686144,10,AAPL{2.2727272727%} JNJ{14.2045454545%} V{8.8068181818%} WMT{13.6363636364%} CVX{15.9090909091%} MRK{18.0397727273%} KO{4.5454545455%} MCD{8.9488636364%} CAT{9.0909090909%} BA{4.5454545455%} 
8,43813.33646331972704501823,38685.22328168366220779717,0.88295542874418408985,10,AAPL{2.2598870056%} JNJ{14.6892655367%} V{8.7570621469%} WMT{13.5593220339%} CVX{15.8192090395%} MRK{17.9378531073%} KO{4.5197740113%} MCD{8.8983050847%} CAT{9.0395480226%} BA{4.5197740113%} 
9,43837.87559946980763925239,38754.56437904721678933129,0.88404293887626095305,10,AAPL{2.2824536377%} JNJ{13.6947218260%} V{8.8445078459%} WMT{13.6947218260%} CVX{15.9771754636%} MRK{18.1169757489%} KO{4.5649072753%} MCD{8.9871611983%} CAT{9.2724679030%} BA{4.5649072753%} 
10,43873.86807099269935861230,38768.76554579090588958934,0.88364138495969446474,10,AAPL{2.2727272727%} JNJ{13.6363636364%} V{8.8068181818%} WMT{13.6363636364%} CVX{16.4772727273%} MRK{18.0397727273%} KO{4.5454545455%} MCD{8.9488636364%} CAT{9.0909090909%} BA{4.5454545455%} 
11,43885.38550060839042998850,38825.01720975949137937278,0.88469126491372063192,10,AAPL{2.2759601707%} JNJ{13.6557610242%} V{8.8193456615%} WMT{13.6557610242%} CVX{16.2162162162%} MRK{18.0654338549%} KO{4.5519203414%} MCD{8.9615931721%} CAT{9.2460881935%} BA{4.5519203414%} 
12,43981.83688148413057206199,38869.74780874191492330283,0.88376817715645816786,10,AAPL{2.2695035461%} JNJ{13.7588652482%} V{8.7943262411%} WMT{13.6170212766%} CVX{16.5957446809%} MRK{18.0141843972%} KO{4.5390070922%} MCD{8.7943262411%} CAT{9.0780141844%} BA{4.5390070922%} 
13,44034.01018543101235991344,38993.62553307123016566038,0.88553428063593830899,11,AAPL{2.2662889518%} JNJ{13.5977337110%} V{8.7818696884%} WMT{13.5977337110%} PG{0.2832861190%} CVX{15.8640226629%} MRK{17.9886685552%} KO{4.5325779037%} MCD{8.9235127479%} CAT{9.6317280453%} BA{4.5325779037%} 
14,44325.88279640031396411359,39043.90338922294904477894,0.88083758125159528074,11,AAPL{2.2130013831%} JNJ{13.4163208852%} V{8.5753803596%} WMT{13.2780082988%} PG{0.2766251729%} CVX{16.0442600277%} MRK{17.5656984786%} KO{5.5325034578%} MCD{8.7136929461%} CAT{9.9585062241%} BA{4.4260027663%} 
15,44353.54848005370149621740,39140.72834759482793742791,0.88247118187616624407,10,AAPL{2.3578363384%} JNJ{13.3148404993%} V{8.5991678225%} WMT{13.3148404993%} CVX{16.0887656033%} MRK{17.6144244105%} KO{5.5478502080%} MCD{8.7378640777%} CAT{9.9861303745%} BA{4.4382801664%} 
16,44384.16065550553321372718,39169.13372687326045706868,0.88250252225992276145,10,AAPL{2.2222222222%} JNJ{13.3333333333%} V{8.6111111111%} WMT{13.3333333333%} CVX{16.1111111111%} MRK{17.6388888889%} KO{5.5555555556%} MCD{8.7500000000%} CAT{10.0000000000%} BA{4.4444444444%} 
17,44518.49657140030467417091,39536.46166281221667304635,0.88809067483674508647,12,AAPL{2.2535211268%} JNJ{13.5211267606%} V{8.7323943662%} WMT{13.5211267606%} PG{0.1408450704%} CVX{15.7746478873%} MRK{17.8873239437%} KO{4.5070422535%} MCD{8.8732394366%} CAT{10.1408450704%} INTC{0.1408450704%} BA{4.5070422535%} 
18,44910.55195697810268029571,40084.21685707677534082904,0.89253449602390333428,10,AAPL{2.4729520866%} JNJ{14.9922720247%} V{9.5826893354%} WMT{14.8377125193%} PG{0.3091190108%} CVX{13.1375579598%} MRK{19.0108191654%} KO{6.1823802164%} MCD{9.5826893354%} CAT{9.8918083462%} 
19,45344.62685195888479938731,40365.48697039776016026735,0.89019338723820540249,11,AAPL{2.3391812865%} JNJ{14.0350877193%} V{9.0643274854%} WMT{14.0350877193%} CVX{16.9590643275%} MRK{18.5672514620%} KO{1.1695906433%} MCD{9.2105263158%} CRM{0.5847953216%} CAT{9.3567251462%} BA{4.6783625731%} 
20,45451.72602048730186652392,40438.77795675298693822697,0.88970830147407964361,11,AAPL{2.3426061493%} JNJ{14.2020497804%} V{9.0775988287%} WMT{14.0556368960%} PG{0.2928257687%} CVX{16.9838945827%} MRK{18.5944363104%} KO{1.1713030747%} MCD{9.2240117130%} CAT{9.3704245974%} BA{4.6852122987%} 
21,45539.65378720837179571390,40506.36027520816423930228,0.88947448885933322327,11,AAPL{2.3494860499%} JNJ{14.0969162996%} V{9.1042584435%} WMT{14.0969162996%} PG{0.1468428781%} CVX{17.0337738620%} MRK{18.6490455213%} KO{1.1747430250%} MCD{9.2511013216%} CAT{9.3979441997%} BA{4.6989720999%} 
22,45636.61852309069945476949,40576.23833487511728890240,0.88911579446546440408,10,AAPL{2.3529411765%} JNJ{14.1176470588%} V{9.1176470588%} WMT{14.1176470588%} CVX{17.0588235294%} MRK{18.6764705882%} KO{1.1764705882%} MCD{9.2647058824%} CAT{9.4117647059%} BA{4.7058823529%} 
23,45654.35831434738065581769,40582.57497224793041823432,0.88890910902353903467,10,AAPL{2.3494860499%} JNJ{14.2437591777%} V{9.1042584435%} WMT{14.0969162996%} CVX{17.0337738620%} MRK{18.6490455213%} KO{1.1747430250%} MCD{9.2511013216%} CAT{9.3979441997%} BA{4.6989720999%} 
24,45726.86332618932647164911,40585.14156105458823731169,0.88755577375914385119,10,AAPL{2.2346368715%} JNJ{13.4078212291%} V{8.6592178771%} WMT{13.4078212291%} CVX{15.6424581006%} MRK{17.7374301676%} KO{4.4692737430%} MCD{8.7988826816%} CAT{11.1731843575%} BA{4.4692737430%} 
25,46183.34246746162534691393,41128.46843316373997367918,0.89054767879004670394,9,AAPL{2.4539877301%} JNJ{14.7239263804%} V{9.5092024540%} WMT{14.7239263804%} CVX{14.7239263804%} MRK{19.4785276074%} KO{4.9079754601%} MCD{9.6625766871%} CAT{9.8159509202%} 
26,46497.51654816660447977483,45198.40260407031746581197,0.97206057354158814654,9,AAPL{7.8559738134%} JNJ{10.4746317512%} V{10.1472995090%} WMT{12.7659574468%} CVX{10.4746317512%} MRK{20.7855973813%} KO{1.4729950900%} MCD{10.3109656301%} CAT{15.7119476268%} 
27,46568.99736599236348411068,45209.10305966696614632383,0.97079829106824455653,9,AAPL{8.1699346405%} JNJ{10.4575163399%} V{10.1307189542%} WMT{12.7450980392%} CVX{10.4575163399%} MRK{20.7516339869%} KO{1.3071895425%} MCD{10.2941176471%} CAT{15.6862745098%} 
28,46613.12676708483195398003,45579.84690448655601358041,0.97783285665942687448,9,AAPL{7.9077429984%} JNJ{10.5436573311%} V{10.2141680395%} WMT{12.8500823723%} CVX{10.5436573311%} MRK{20.9225700165%} KO{0.8237232290%} MCD{10.3789126853%} CAT{15.8154859967%} 
