DailyRisk,ExpectedReturn
32650.081291711067024152725935,-17166.6340104529408563394099474
32653.1808252118426025845110416,-16787.8926271776981593575328588
32658.4299116633519588503986597,-16770.7777212543551286216825247
32664.637935052938701119273901,-16664.5398710801200650166720152
32667.3505569376611674670130014,-16631.5266411149823397863656282
32673.0572742933836707379668951,-16629.3267351916147163137793541
32673.9918644381250487640500069,-16612.2383484320198476780205965
32675.7454857225311570800840855,-16602.4544808362479670904576778
32679.0486651224491652101278305,-16581.5687386759491346310824156
32680.2589082524355035275220871,-16579.1702961672308447305113077
32683.4087645719009742606431246,-16579.1003031358341104350984097
32687.1726886478791129775345325,-16528.7575017421331722289323807
32701.6394959852805186528712511,-16481.3371114982764993328601122
32705.9216591137555951718240976,-16417.6442195121744589414447546
32711.622586676992796128615737,-16384.2170766550589178223162889
32719.0808227299967256840318441,-16374.6273832752594898920506239
32722.0976778394106077030301094,-16359.685655052246147533878684
32726.432925823570258216932416,-16328.5466306619782699272036552
32731.6618149371242907363921404,-16328.075564459932138561271131
32738.2584818606410408392548561,-16323.9244599302837741561233997
32740.7658835887559689581394196,-16180.4945993030942190671339631
32744.9976993445561674889177084,-16152.0594773518751026131212711
32749.24020927646415657363832,-16118.1791010452943737618625164
32753.734723223147739190608263,-16086.4075470383540960028767586
32756.7842606109006737824529409,-16072.0376620209281099960207939
32758.6239199583178560715168715,-16055.0980348431821767007932067
32766.3956298561424773652106524,-16049.1577735191694955574348569
32769.2897857793068396858870983,-16014.4971881533383566420525312
32777.1539364459677017293870449,-16008.695731707273807842284441
32787.8980211081143352203071117,-15982.7246480836001865100115538
32794.0381223069271072745323181,-15942.8325540069508861051872373
32797.0989701243015588261187077,-15935.2182543553935829550027847
32806.9125891793592018075287342,-15893.6728571428502618800848722
32817.66928677925898227840662,-15890.9380139372824487509205937
32828.5555366130283800885081291,-15881.4602752613045595353469253
32837.6217417126099462620913982,-15876.5824390243578818626701832
32860.6394725257705431431531906,-15806.1031289198308513732627034
32878.313189452870574314147234,-15785.1715818814900558209046721
32914.6093133058166131377220154,-15746.6303344947682489873841405
32978.4846465609152801334857941,-15502.6479756097578501794487238
32986.636328594002407044172287,-15389.232073170731382560916245
32989.6179216639138758182525635,-15378.3334494773516780696809292
32991.7781939604901708662509918,-15353.5240034842991008190438151
32992.3098457793676061555743217,-15349.4637526131828053621575236
32999.4999897194502409547567368,-15346.7480348432218306697905064
33000.3372671719043864868581295,-15302.6520313588607677957043052
33000.8753449445066507905721664,-15299.424400696836528368294239
33002.3477989287202944979071617,-15292.2043449477041576756164432
33004.4335249584182747639715672,-15280.9121602786854055011644959
33030.9767363968639983795583248,-15276.5216062717991007957607508
33035.3603129158436786383390427,-15220.5623205574811436235904694
33057.5907047025830252096056938,-15198.6361358885151275899261236
33085.8927962133529945276677608,-15126.6107142856890277471393347
33120.8497627611868665553629398,-15116.0264703832544910255819559
33145.7585399421222973614931107,-15102.5395888501861918484792113
33291.9242796194230322726070881,-14785.2350313588976860046386719
33411.4068874473086907528340816,-14494.1896724738198827253654599
33459.9059649449263815768063068,-14438.6038954703544732183218002
33475.6189627111816662363708019,-14432.4664703832422674167901278
33486.5544629466749029234051704,-14411.3572787456196238053962588
33502.0264601393573684617877007,-14185.507794425066094845533371
33512.8283045700081856921315193,-14161.6200662020837626187130809
33633.5135815977046149782836437,-14011.5345052264583500800654292
33777.9807081492181168869137764,-13991.4957839721228083362802863
34005.9098720984620740637183189,-13922.3735470383162464713677764
34162.2477067896616063080728054,-13586.9649616724709630943834782
34201.5261669312239973805844784,-12777.7526759581705846358090639
34304.5676231028628535568714142,-12356.0728222996021941071376204
34318.8368507621344178915023804,-12327.8423797908708365866914392
34366.8402181102646864019334316,-12327.2503135888418910326436162
34392.9911821352288825437426567,-12307.9641742160256399074569345
34440.6188795221314649097621441,-12284.4433310104323027189821005
34443.4735535754371085204184055,-12077.1084041811554925516247749
34457.7744213411206146702170372,-12024.6402578397555771516636014
34482.4399883160367608070373535,-11993.2553484320378629490733147
34502.0625043702457332983613014,-11958.5106027874026040080934763
34503.2086382409615907818078995,-11950.7029790940505336038768291
34513.5440109276241855695843697,-11934.94846689891164714936167
34525.8203458051939378492534161,-11910.7938675957720988662913442
34536.9933836797499679960310459,-11895.9198083623305137734860182
34548.576950380353082437068224,-11887.6398501741896325256675482
34574.9855086139723425731062889,-11876.7758641114287456730380654
34582.5283507036001537926495075,-11841.2538501741946674883365631
34587.3451974763520411215722561,-11829.7519198605932615464553237
34609.1016691409022314473986626,-11828.4332404180731828091666102
34630.7015936082825646735727787,-11818.4562717770186281995847821
34639.6887896771950181573629379,-11786.0612822299117397051304579
34648.7273093320472980849444866,-11771.314881533086008857935667
34649.7001191919480334036052227,-11770.6664181185042252764105797
34651.9778482486799475736916065,-11734.6860836236755858408287168
34663.1831734897496062330901623,-11731.4399895469978218898177147
34666.515451965067768469452858,-11720.270637630643250304274261
34671.3872998859151266515254974,-11715.640407665445309248752892
34684.9460311981965787708759308,-11691.1602160278598603326827288
34710.5747695083919097669422626,-11659.7195087107738800114020705
34746.7287460280494997277855873,-11621.6201986062114883679896593
34764.3292069844974321313202381,-11580.922808362351133837364614
34791.8132911333741503767669201,-11550.2510801393473229836672544
34840.0360964696155861020088196,-11539.2797247386661183554679155
34917.5056721564469626173377037,-11497.9193554006742488127201796
35002.6633270386955700814723969,-11423.9865679442482360173016787
35046.5792026155104395002126694,-11267.3804181184696062700822949
35215.0121323365456191822886467,-11054.3593797909070417517796159
35399.4755287773077725432813168,-10981.5636376306392776314169168
35400.4085236308528692461550236,-10845.2772787456451624166220427
35411.0314102394549991004168987,-10764.4386794424917752621695399
35526.819322875096986535936594,-10733.97074216027613147161901
35822.5388544154557166621088982,-10661.1569477351640671258792281
35931.7489825508673675358295441,-10493.3981114982289000181481242
35997.4947780851725838147103786,-10454.0131289198197919176891446
36682.9715036930720089003443718,-10430.9774181184457120252773166
36916.9018556960581918247044086,-10157.0960696863785415189340711
37029.0330973967720638029277325,-10074.6330662020845920778810978
38092.0381678301419015042483807,-9349.21687804877001326531171799
38145.3474479476935812272131443,-8833.63849825781653635203838348
38849.059712790629419032484293,-8701.89011149819270940497517586
41115.4142654383831541053950787,-8198.29053310104245611000806093
42709.9209705089742783457040787,-5934.25601045298481039935722947
42783.3683147305273450911045074,-5789.64241811844567564548924565
42788.94839738542214035987854,-5762.00845993035818537464365363
42843.1868480010307393968105316,-4255.171337979108102445024997
44647.2249837955532711930572987,-4196.27180487806072051171213388
44944.093765461657312698662281,-3271.75405574912656447850167751
45517.510783744066429790109396,-2697.06736236932829342549666762
45693.2670609265405801124870777,-2260.90013937278672528918832541
45830.189291494047211017459631,-1892.32578048779123491840437055
45892.416915759466064628213644,-1852.60252613240936625516042113
46175.5469923914861283265054226,-1646.07079790936654717370402068
46896.5750283807356026954948902,-1560.90642160275092464871704578
46906.627617168218421284109354,-1280.59607665509975049644708633
46925.0392717044815071858465672,-1264.85852613241036124236416072
47032.1311605699374922551214695,-1038.47347386760907284042332321
47077.1475363530189497396349907,-1024.09789547038099044584669173
47097.978760201905970461666584,-1008.28292682929429702198831365
47171.5436728437052806839346886,-893.509459930266302762902341783
47198.7026662722564651630818844,-829.548257839690108994545880705
47221.2487333025055704638361931,-827.35185714288377312186639756
47246.6711181609134655445814133,-794.864355400701811049657408148
47259.6851496842136839404702187,-779.552418118485547893214970827
47269.8890840880558243952691555,-778.576668989579161461733747274
47272.0528035634342813864350319,-761.965153310122104812762700021
47295.8712530360717209987342358,-746.089167247389354997721966356
47326.3475488948679412715137005,-743.435355400684784399345517159
47334.4568445788900135084986687,-724.637480836243526027828920633
47340.0473280367514234967529774,-720.01377003482230065856128931
47361.4365041055425535887479782,-702.661592334478996235702652484
47373.9878847328800475224852562,-698.51085714284033656440442428
47403.5143152934251702390611172,-683.002898954690977006976027042
47455.2479171345839858986437321,-643.774139372783793078269809484
47478.5050225080849486403167248,-628.104710801375404116697609425
47522.2939825378780369646847248,-612.435574912878223585721570998
47548.1341764845710713416337967,-596.909993031352314574178308249
47588.6245255644171265885233879,-595.258463414644211297854781151
47630.6105708267714362591505051,-576.712930313621086497732903808
47653.3101273491120082326233387,-523.965292682940003032854292542
47689.4200065757904667407274246,-523.928285714279127205372788012
47725.8016899328504223376512527,-490.810076655052910155063727871
47772.9724288790966966189444065,-463.334578397224959189770743251
47790.4430421717479475773870945,-460.996752613248077068419661373
47797.3885401797306258231401443,-455.328522648091222890798235312
47813.6744902663122047670185566,-444.727567944244754016835941002
47836.3981344255662406794726849,-426.0230383275407461951544974
47877.8702662850191700272262096,-423.581832752613024695165222511
47913.4993562725212541408836842,-369.531233449474939334322698414
47960.2110501458155340515077114,-342.76378397216910798306344077
48045.951405783751397393643856,-340.744867595826463002595119178
48074.5277277313871309161186218,-334.951027874570684161881217733
48084.861313537818205077201128,-323.221648083615548330271849409
48086.9195600548046058975160122,-296.55197212542520901479292661
48088.3715292743436293676495552,-281.007933797913153739500558004
48187.2437465679322485812008381,-265.010703832788522049668245018
48316.6501693765967502258718014,-264.390285714326296329090837389
48317.5010080198844661936163902,-202.042163763060273140581557527
48338.2075480758940102532505989,-109.653738675931080592818034347
48512.1544577097520232200622559,-104.459804878007446404808433726
48622.6234774062177166342735291,-72.3298257839492748644261155277
48836.3295448227581800892949104,76.873707317087138335409690626
48912.5388311815331690013408661,109.003686411176460069327731617
49082.052773163632082287222147,174.013578397205634473721147515
49134.2857656621345086023211479,224.357379790891343418479664251
49371.2866366753369220532476902,347.398167247392677836614893749
49522.7348607363164774142205715,405.81477003482132204226218164
49579.5610866674105636775493622,460.701526132381729894404998049
49693.5668285346837365068495274,550.850411149816636680043302476
49937.2396893019540584646165371,643.655811846657343266997486353
50209.451412408459873404353857,657.353815330993370480427984148
50451.417592873629473615437746,730.917728222966275097860489041
50522.6917582278765621595084667,790.636212543620104042929597199
51047.5419302953159785829484463,1058.67333449479656337643973529
51273.2110227021694299764931202,1078.44554355398258849163539708
51290.321792613729485310614109,1233.05165853658081687171943486
51379.6201387298060581088066101,1259.13429268292748020030558109
51686.4797550844596116803586483,1482.36949128923151874914765358
51843.2662102809626958332955837,1619.27332055747297090420033783
52107.7524183084387914277613163,1678.42881184670341099263168871
52273.4650994822877692058682442,1717.47205226481332829280290753
52377.4107996201346395537257195,1762.61772473866585642099380493
52544.3072295922320336103439331,1884.72051219513923570048063993
52871.4309444143073051236569881,2006.00201742165450013999361545
52876.0167392467774334363639355,2034.68596864110486421850509942
53121.9943291699819383211433887,2133.56598954707078519277274609
53326.2116417675497359596192837,2251.26004529617057414725422859
53379.1679795659874798730015755,2266.30327526129349280381575227
53501.7014911895312252454459667,2497.80834494774535414762794971
