Risk,Expected Return
54256.87616509905637940392,22171.95566798422078136355
54565.46288201581046450883,22432.52218708838336169720
54903.47731235550600104034,23400.23208695653738686815
55977.75488638944807462394,24224.30005270093533908948
56641.81390029971953481436,24665.56437154157174518332
57698.99274341129785170779,26589.43858234519939287566
60677.44462776846194174141,27959.38729907770903082564
61260.75597144838684471324,28157.17293544137646676973
63209.41171663257409818470,28656.01115151520571089350
65977.24990094845998100936,29331.26166534915319061838
68221.99072433958644978702,29712.22737022403453011066
69072.63436458270007278770,30110.97095652178177260794
71410.36895624987664632499,30629.78020289855339797214
71602.53299699080525897443,30990.17827667994788498618
74465.84422696770343463868,31826.97348880106073920615
74640.04071724957611877471,31965.03835309617352322675
78305.54547292123606894165,32324.10837154154796735384
82394.28582839592127129436,33278.99710408441751496866
82563.17617433247505687177,33378.57705928858922561631
86565.78019626073364634067,34259.93194729912647744641
87712.89845364086795598269,34674.78153623193793464452
91708.94761545542860403657,35367.95403689070371910930
92217.41554345545591786504,35411.98432674576906720176
95795.57226636206905823201,35768.97191304351872531697
95848.78021866001654416323,35834.88555994732450926676
99511.30187987665703985840,36744.85735968384688021615
103348.20462597826553974301,37656.82567852440115530044
105896.49528845283202826977,37924.63966007908311439678
107250.04532565061526838690,38144.91347826091077877209
110293.82884563169500324875,38654.98014492759830318391
112020.35384704456373583525,38947.22142292490752879530
114274.44904820973169989884,39205.89878524380037561059
117827.08325013879220932722,40029.37683267461397917941
121035.11122705638990737498,40271.11217918317561270669
123973.72961271209351252764,40613.44758893283142242581
124728.81058410603145603091,40958.59154677209153305739
126823.85796362199471332133,41658.99165744405763689429
130586.02744820335647091269,42174.50182872206642059609
135243.69696031938656233251,42512.24465349142701597884
136207.93949522072216495872,43106.73197891966265160590
142251.09577002425794489682,43468.43083530967123806477
146203.94509128906065598130,44439.56822397902578813955
150944.98571396572515368462,45071.94347035577084170654
154839.86452866904437541962,45628.25665612652665004134
155896.52436178585048764944,45949.38695652180467732251
157379.17653149852412752807,46405.55490118584566516802
161353.89511508142459206283,46730.56079578398203011602
162199.78332843616954050958,46824.83269565225054975599
164168.68350056407507508993,47493.89126482211577240378
167020.48257787007605656981,47979.80296179184369975701
169490.82220751620479859412,48316.60870092229015426710
172309.72375741790165193379,48825.98125428202183684334
174841.62147045065648853779,49211.43827140976645750925
178498.49176378455013036728,49659.60286956528580049053
183323.92782556143356487155,50342.48605006592697463930
187607.98784094353322871029,51162.74905665354162920266
191090.99506141155143268406,51522.96227667989296605811
195344.29787943212431855500,51630.89652437424228992313
195822.86624935240251943469,52525.88505665353295626119
203670.46612454488058574498,53269.86378129119111690670
205130.66766014031600207090,54009.37745718048245180398
209349.25072356319287791848,54206.94867193685058737174
210818.80466647117282263935,54659.18357312260923208669
212397.99501388720818795264,55042.69150461140088737011
214289.09411918223486281931,55241.16045059294992825016
217618.11949257444939576089,55788.90005533606017706916
219337.10920107885613106191,56342.44571805009763920680
223116.82735113668604753911,56557.16943083009391557425
223988.47888336592586711049,56756.31033728594775311649
226290.09934757373412139714,57253.01731225299590732902
229650.63199137678020633757,57392.95744664032099535689
230684.34661384794162586331,57769.52793675894645275548
232894.38102064255508594215,58413.47793412387545686215
233696.33407725702272728086,58553.55546508567931596190
237252.12479702493874356151,58728.32499604750046273693
241864.70813604755676351488,59470.95506982874940149486
244269.01589836089988239110,59761.98954150206554913893
248219.39332477358402684331,60273.26699868252762826160
249425.69107202306622639298,60526.38797891967988107353
252239.94041983821080066264,61002.93563899873697664589
255542.97630826928070746362,61574.96020289858279284090
256855.33584116643760353327,61837.86726745725900400430
262687.40089920524042099714,62582.58034255607344675809
267078.02466345421271398664,63241.51479314894822891802
270441.27121733082458376884,63983.04409749672777252272
275929.51690343039808794856,64225.64183926226542098448
280644.01191331155132502317,65304.85431884066929342225
284652.24060191260650753975,65461.63735968380933627486
287315.93490574252791702747,66084.02437681164883542806
289769.58774711418664082885,66578.47627404486411251128
294037.63780054618837311864,67510.63245849813392851502
299146.15186803269898518920,67702.51585770760721061379
300390.07350692863110452890,68184.49867720685142558068
303151.21321658883243799210,68601.12266666674986481667
306388.11001692054560407996,69119.19124110671691596508
