Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1,914.122421960343103819468524307013,234.555264270630118517146911472082,0.256590647637353008736482706809,1,AAPL{1%}Cash{99%},100
2,987.627817863537302400800399482250,342.678070069440593670151429250836,0.346970856704634844636103707671,1,CVX{1%}Cash{99%},100
3,1056.452416871746891047223471105099,577.233334340062810952076688408852,0.546388389218043557526982567651,2,AAPL{1%}CVX{1%}Cash{98%},100
4,1099.711605273912482516607269644737,834.487233464222754264483228325844,0.758823703834944462975897749857,2,V{1%}PG{1%}Cash{98%},100
5,1289.815676457749304972821846604347,858.179803684673402131011243909597,0.665350731386295857205936954415,2,WMT{1%}CVX{1%}Cash{98%},100
6,1369.136834600779138781945221126080,1177.165303533652149781119078397751,0.859786453613963885800330899656,3,V{1%}PG{1%}CVX{1%}Cash{97%},100
7,1576.631060088163621912826783955097,1411.720567804286702084937132894993,0.895403245274988268675997460377,4,AAPL{1%}V{1%}PG{1%}CVX{1%}Cash{96%},100
8,1698.601109116909583462984301149845,1421.787372395042893913341686129570,0.837034289430212297133948595729,3,KO{1%}CSCO{1%}DIS{1%}Cash{97%},100
9,1712.543254694704955909401178359985,2084.451226215660881280200555920601,1.217167052862122345047168892052,3,WMT{1%}CSCO{1%}DIS{1%}Cash{97%},100
10,1821.634547135003685980336740612984,2184.159456357590443076333031058311,1.199010778420266598587318185309,4,V{1%}WMT{1%}MCD{1%}DIS{1%}Cash{96%},100
11,1842.612360159136414949898608028889,2224.477215342776162287918850779533,1.207241014681275759201639630191,5,MSFT{1%}V{1%}WMT{1%}KO{1%}DIS{1%}Cash{95%},100
12,1921.215784927981530927354469895363,2420.649761401385603676317259669304,1.259957252273005812170936223993,5,V{1%}WMT{1%}KO{1%}CSCO{1%}DIS{1%}Cash{95%},100
13,1966.379515146930316404905170202255,2540.802802778624027268961071968079,1.292122290334565493097329635930,4,V{2%}WMT{1%}KO{1%}DIS{1%}Cash{95%},100
14,2056.306449524050094623817130923271,2700.085122319557740411255508661270,1.313075258283859181318575792830,4,V{1%}WMT{2%}MCD{1%}DIS{1%}Cash{95%},100
15,2088.471688135626664006849750876427,2775.358067049221517663681879639626,1.328894273652699853371927929402,5,AAPL{1%}V{2%}WMT{1%}KO{1%}DIS{1%}Cash{94%},100
16,2174.059581289980087603908032178879,2887.565001510114143457030877470970,1.328190370843827183833241178945,4,MSFT{1%}V{1%}WMT{2%}DIS{1%}Cash{95%},100
17,2186.858445447722260723821818828583,2929.719383871947229636134579777718,1.339693197779034505856543546543,6,AAPL{1%}V{1%}WMT{1%}KO{1%}DIS{1%}HON{1%}Cash{94%},100
18,2268.576496339598634222056716680527,3042.763192389020787231856957077980,1.341265413486647073426638598903,5,V{1%}WMT{2%}CVX{1%}MCD{1%}DIS{1%}Cash{94%},100
19,2321.227073167216985893901437520981,3083.737547568725858582183718681335,1.328494563593511479382414108841,4,V{1%}WMT{2%}CSCO{1%}DIS{1%}Cash{95%},100
20,2360.299698277571678772801533341408,3203.890588945938361575827002525330,1.357408379657878638724355369050,3,V{2%}WMT{2%}DIS{1%}Cash{95%},100
21,2390.864479842496166384080424904823,3211.089785563258374168071895837784,1.343066414945775832734398136381,5,V{1%}WMT{2%}KO{1%}DIS{1%}HON{1%}Cash{94%},100
22,2411.139609069185553380521014332771,3438.445853216556315601337701082230,1.426066678297388090612685118685,4,AAPL{1%}V{2%}WMT{2%}DIS{1%}Cash{94%},100
23,2598.812505801194674859289079904556,3553.767855632721875736024230718613,1.367458347879975777416916571383,6,V{1%}WMT{2%}CVX{1%}KO{1%}DIS{1%}HON{1%}Cash{93%},100
24,2614.193286066968084924155846238136,3592.807170039266111416509374976158,1.374346414700121199459204035520,5,AAPL{1%}V{1%}WMT{2%}DIS{1%}HON{1%}Cash{94%},100
25,2649.280171559390055335825309157372,3616.970075505874319787835702300072,1.365265219713207356377893120225,4,V{2%}WMT{2%}HD{1%}DIS{1%}Cash{94%},100
26,2711.615694256951883289730176329613,3788.323119903348469961201772093773,1.397072279794958404863791656680,7,AAPL{1%}V{1%}WMT{2%}CVX{1%}KO{1%}DIS{1%}HON{1%}Cash{92%},100
27,2781.107203568757540779188275337219,3827.885995167631335789337754249573,1.376389227375209411974310569349,5,AAPL{2%}V{1%}WMT{2%}DIS{1%}HON{1%}Cash{93%},100
28,2845.926480240477303595980629324913,3897.695237088506473810411989688873,1.369569897237526756583747555851,5,V{2%}WMT{2%}PG{1%}CVX{1%}DIS{1%}Cash{93%},100
29,2962.963647597534418309805914759636,3959.648145575339640345191583037376,1.336380940341927114900499873329,5,V{2%}WMT{2%}CVX{1%}HD{1%}DIS{1%}Cash{93%},100
30,2996.711294615975020860787481069565,4062.494324977337328164139762520790,1.355650887116218283878765760164,4,V{2%}WMT{3%}CVX{1%}DIS{1%}Cash{93%},100
31,3034.600763635844032251043245196342,4108.732836001214309362694621086121,1.353961577165894158980563588557,5,AAPL{1%}V{1%}WMT{3%}DIS{1%}HON{1%}Cash{93%},100
32,3092.834017687609957647509872913361,4194.203409845957139623351395130157,1.356103620776196061470386666770,6,AAPL{1%}V{2%}WMT{2%}CVX{1%}HD{1%}DIS{1%}Cash{92%},100
33,3104.884743001996866951230913400650,4216.855641800069861346855759620667,1.358135966658443383181520403014,5,V{1%}WMT{3%}CVX{1%}DIS{1%}HON{1%}Cash{93%},100
34,3160.198799844680706883082166314125,4451.410906070666896994225680828094,1.408585721344317809311519340554,6,AAPL{1%}V{1%}WMT{3%}CVX{1%}DIS{1%}HON{1%}Cash{92%},100
35,3334.548728534820384084014222025871,4624.219568106336737400852143764496,1.386760231912457230762925064482,8,AAPL{1%}V{2%}WMT{2%}PG{1%}CVX{1%}KO{1%}DIS{1%}HON{1%}Cash{90%},100
36,3430.483372716755184228532016277313,4690.269187556614269851706922054291,1.367232741851821753442663975875,7,AAPL{1%}V{2%}WMT{1%}KO{3%}CSCO{1%}DIS{2%}HON{1%}Cash{89%},100
37,3480.543532045306619693292304873466,4735.149284204157993372064083814621,1.360462594594125107505533378571,6,V{2%}WMT{2%}KO{2%}MCD{1%}DIS{2%}HON{1%}Cash{90%},100
38,3503.253010836405337613541632890701,4754.184880700679968867916613817215,1.357077226793166557783365533396,5,V{2%}WMT{2%}KO{2%}DIS{2%}HON{1%}Cash{91%},100
39,3511.797571526370120409410446882248,4819.719269102991347608622163534164,1.372436528853838488828387198737,6,V{2%}WMT{2%}KO{2%}DIS{2%}HON{1%}DD{1%}Cash{90%},100
40,3568.257350857624714990379288792610,5091.792630625188394333235919475555,1.426969001941909898079074991983,5,V{3%}WMT{2%}KO{3%}DIS{2%}HON{1%}Cash{89%},100
41,3695.039297678285493020666763186455,5118.801709453344301437027752399445,1.385317258376563165356287754548,6,V{2%}WMT{2%}KO{2%}CSCO{1%}DIS{2%}HON{1%}Cash{90%},100
42,3710.427430542253205203451216220856,5157.184427665364637505263090133667,1.389916532314897645861151431745,7,AAPL{1%}MSFT{1%}V{2%}WMT{2%}KO{2%}DIS{2%}HON{1%}Cash{89%},100
43,3724.598730054791303700767457485199,5353.356973723950432031415402889252,1.437297642434947286815827283135,7,AAPL{1%}V{2%}WMT{2%}KO{2%}CSCO{1%}DIS{2%}HON{1%}Cash{89%},100
44,3772.164719350353607296710833907127,5417.272666868026135489344596862793,1.436117738729340231884634704329,5,V{2%}WMT{3%}KO{1%}DIS{2%}HON{1%}Cash{91%},100
