DailyRisk,ExpectedReturn
30854.3291296681891253683716059,-8873.93428769656566146295517683
30937.7532104602651088498532772,-4965.64575393156337668187916279
31286.3264210247943992726504803,-4303.62787234045845252694562078
31612.5647039178074919618666172,-3831.61655642923506093211472034
31932.4842787683301139622926712,-3266.95255087882514999364502728
32375.4418460645865707192569971,-2424.75199583721587259788066149
33098.8335422145173652097582817,-1992.20690333028483109956141561
33652.4495336264226352795958519,-1621.57000231265828915638849139
33939.9764227081905119121074677,-776.258656336740727965661790222
34726.2922827552392845973372459,-2.81969241441764228994770746795
35032.3714680642369785346090794,429.841833950028103572549298406
35730.5892079271870898082852364,971.071903330257555353455245495
36020.4804018641807488165795803,1159.91665818687147293530870229
36539.5108842887639184482395649,1699.62580481034024160180706531
37009.231767150966334156692028,2110.42046253461649030214175582
37484.733821821813762653619051,2411.05401480109412659658119082
37824.30778775817452697083354,2649.835333024938336166087538
38606.708635716546268668025732,3174.69106151709092955570667982
39779.5592320061405189335346222,3758.91713922291273775044828653
40286.3004678997021983377635479,4668.663494449611789605114609
40757.4929089148427010513842106,4812.0620952821236642193980515
41507.9218112285161623731255531,5286.96668362625405279686674476
42127.99651554835872957482934,5915.99719472707965906010940671
42559.8750726854050299152731895,6302.92311285842424695147201419
43101.5498074104616534896194935,6797.31615171134308184264227748
43710.1185488721748697571456432,7338.89392229416262125596404076
45469.8348060131756938062608242,8209.87671137831421219743788242
45731.9649325833743205294013023,8423.62538159114228619728237391
46232.3629510104292421601712704,8669.6068177613215084420517087
46855.2118277866757125593721867,8831.92727335797644627746194601
47604.7450878834497416391968727,9152.40940795559617981780320406
48355.5582531002874020487070084,9438.89496993522698176093399525
48892.6112976200529374182224274,9910.66435013875525328330695629
50348.8481669574102852493524551,10209.2575231267073831986635923
51144.5942342395428568124771118,10462.2664107307755330111831427
52007.731447083504463080316782,10788.2851873265262838685885072
52606.7826350603718310594558716,11298.3248149861137790139764547
53904.2586892119652475230395794,12190.374292321923348936252296
54840.7556289490821654908359051,12976.1054555966220505069941282
55777.5521176867332542315125465,13351.3006290471275860909372568
57192.9624240294797345995903015,13669.6867437557793891755864024
57536.8284286458074348047375679,13918.5668524514148884918540716
58222.3065178511387784965336323,14176.8287835337778233224526048
58797.8007622546501806937158108,14452.4627960222114779753610492
59866.4656048684046254493296146,14653.7090101757457887288182974
60398.0533315635038889013230801,15057.432430619765000301413238
61525.7242044712911592796444893,15482.8322756706529617076739669
62365.9636642580735497176647186,15770.562671137824509060010314
64313.5708332669164519757032394,16159.3110407030490023316815495
66393.4978080780565505847334862,16366.6650925069825461832806468
67490.2418000879260944202542305,17045.7540425531697110272943974
69011.1922829633404035121202469,17396.9235175763242295943200588
69623.3976695381570607423782349,17567.8013667900086147710680962
70920.5013375717826420441269875,17774.988036540235043503344059
71698.5481812495127087458968163,18018.5236887141509214416146278
72766.9058099066751310601830482,18348.4896484736200363840907812
73725.9737937034515198320150375,18599.5621507862888392992317677
75201.7005057555361418053507805,18893.5709019426649319939315319
76592.4339873210265068337321281,19183.5171322849164425861090422
77544.5631687863351544365286827,19420.4309181313328735996037722
79276.6633805156161542981863022,19682.5932030527328606694936752
79943.4580079298611963167786598,19866.4611517113844456616789103
81683.7173786334751639515161514,20176.5074907493108185008168221
82266.4677084575232584029436111,20266.3560869565335451625287533
83530.7997850519896019250154495,20380.1229394078945915680378675
84459.8012951150885783135890961,20631.9842830712004797533154488
84942.2388788302050670608878136,20760.6722756706840300466865301
85577.5564435581327416002750397,20898.5328746530867647379636765
86664.5394697240844834595918655,21284.169861239599413238465786
88420.3718315151345450431108475,21585.0957238667469937354326248
89521.052085155810345895588398,21799.4339384828963375184684992
90387.853902157483389601111412,21991.2646207215475442353636026
91634.2783365353097906336188316,22150.6296438482822850346565247
94695.7095000067201908677816391,22516.3359597594680963084101677
95299.1174480577465146780014038,22933.6891327474622812587767839
96760.5746578036487335339188576,23205.9290656799348653294146061
97730.1980650527548277750611305,23424.3159898242447525262832642
99299.6311088819493306800723076,23645.3198288621570100076496601
99764.6638843014807207509875298,23778.8776919519077637232840061
100591.675547860577353276312351,23875.4306128584503312595188618
104719.058189443399896845221519,24115.1988922294112853705883026
105444.231129216204863041639328,24291.6968432007815863471478224
106810.575610106432577595114708,24634.9156729879578051622956991
107542.746733106469037011265755,25004.5305781683528039138764143
109094.978644602902932092547417,25474.4222409806025098077952862
111944.1596713249600725248456,25836.1633996299497084692120552
113297.606721898366231471300125,26018.7108996300084982067346573
114419.827485756453825160861015,26423.3004093432500667404383421
115305.475820251667755655944347,26639.2370467159817053470760584
115674.739831517756101675331593,26723.1095536540087778121232986
118748.928302033324143849313259,27137.3550971322729310486465693
119722.412675587620469741523266,27459.4077266419808438513427973
121836.052026878067408688366413,27625.7701665124732244294136763
122564.03506023646332323551178,27785.8840980573113483842462301
124820.839924868516391143202782,28025.3379648472910048440098763
125282.366943551009171642363071,28195.3474167437743744812905788
126909.422797275517950765788555,28491.3262442182895028963685036
128258.870943888410693034529686,28732.1793038852993049658834934
128699.315710627051885239779949,28809.8614431082241935655474663
139281.355592724547022953629494,30647.2033325624288409017026424
Runtime,1300
