DailyRisk,ExpectedReturn
0.000000000000000000000000000000,0.000000000000000000000000000000
94345.772636495545157231390476226807,194.904916743731519090943038463593
109046.856783814117079600691795349121,1045.024738667899782740278169512749
110016.097001384739996865391731262207,1367.787430619783890506369061768055
110356.337358675009454600512981414795,3529.261477798329451616154983639717
113485.687523392116418108344078063965,4416.168119796514474728610366582870
114493.991209670246462337672710418701,9342.830733117505587870255112648010
116818.528354838737868703901767730713,9713.831850138794834492728114128113
121821.786024056651513092219829559326,14136.609727104500052519142627716064
150770.280035064846742898225784301758,14673.302331174823848414234817028046
153922.059225097531452775001525878906,15071.914412580978023470379412174225
155691.396884276327909901738166809082,16136.598015726205630926415324211121
166309.946917059744009748101234436035,17500.900171137825964251533150672913
172838.071148726507090032100677490234,21197.143746531037322711199522018433
200653.344892115273978561162948608398,21955.021163274715945590287446975708
204122.211819775809999555349349975586,22044.514960684555262560024857521057
217124.129944978980347514152526855469,23217.397474560588307213038206100464
225702.708286922454135492444038391113,24698.603147548550623469054698944092
226235.093769193510524928569793701172,26063.100127197045367211103439331055
231586.725791115808533504605293273926,29103.048411193369247484952211380005
251810.555170637322589755058288574219,30656.881995837207796284928917884827
280080.214614630094729363918304443359,33422.103852913962327875196933746338
317909.398221219598781317472457885742,35319.385041628163889981806278228760
318749.552983580448199063539505004883,35834.645719241467304527759552001953
344086.988174314727075397968292236328,37527.213364939874736592173576354980
354048.472186125174630433320999145508,41959.875053191528422757983207702637
379011.627994685433804988861083984375,45280.994130434795806650072336196899
420287.090868701809085905551910400391,47177.714791859383694827556610107422
532112.696769628906622529029846191406,59036.605069380217173602432012557983
Runtime,4196.000000000000000000000000000000
