DailyRisk,ExpectedReturn
55940.7515901822262094356119633,-9991.06025672000941995065659285
55942.9213068814351572655141354,-9826.5489217758913582656532526
55956.2927004372832016088068485,-9497.30467834494993439875543118
55971.7434573886348516680300236,-9331.9481667169820866547524929
55977.5062305781684699468314648,-9310.16594382364019111264497042
55982.6260057456165668554604053,-9264.14560857740434585139155388
55984.7610478604547097347676754,-9260.652044699467296595685184
55987.263796466337225865572691,-9215.81286922380058967974036932
55987.2920676510257180780172348,-9212.34287224400577542837709188
55988.2270404023875016719102859,-9165.20146481425399542786180973
56003.2533261653079534880816936,-9067.11229235881910426542162895
56012.6773395701238769106566906,-8997.47333131982668419368565083
56017.0664447313392884097993374,-8966.51807913015181839000433683
56027.6896089165093144401907921,-8916.12885533071676036342978477
56049.2176126471313182264566422,-8900.37511325878949719481170177
56060.1718484001030446961522102,-8766.09004530356833129189908504
56068.8726896530642989091575146,-8661.65626094834260584320873022
56112.4565942018598434515297413,-8640.9830745998060592683032155
56129.0902145860163727775216103,-8542.36482633647210604976862669
56132.6291800508915912359952927,-8340.81495922680733201559633017
56159.6077279363453271798789501,-8214.69400483235403953585773706
56206.5829097332680248655378819,-8112.30598308669141260907053947
56211.040040765015874058008194,-8032.31833887039374531013891101
56224.8866861803326173685491085,-7993.3736424041344434954226017
56237.7258177807016181759536266,-7953.48895197827368974685668945
56242.709728081594221293926239,-7906.14808517066012427676469088
56246.058201868116157129406929,-7897.89074297795468737604096532
56247.891063677219790406525135,-7850.73437028091757383663207293
56266.8228043886920204386115074,-7696.40131380250659276498481631
56287.0483840945162228308618069,-7646.5983177287880607764236629
56295.4134520011284621432423592,-7613.18877982485355460084974766
56299.9659009495444479398429394,-7562.94543642408189043635502458
56304.034542929053714033216238,-7528.13104198127621202729642391
56309.0170350218977546319365501,-7483.83216248864664521533995867
56320.5501317619928158819675446,-7460.32848384173939848551526666
56333.7743264238597475923597813,-7452.19672304436880949651822448
56333.876666926422331016510725,-7437.47007550589751190273091197
56336.7965224535291781648993492,-7430.90639685894075228134170175
56338.1434466832724865525960922,-7390.68952280278062971774488688
56341.5235568450079881586134434,-7356.478930836608014942612499
56354.120118191349320113658905,-7329.17629417095486132893711329
