Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,19639.93937134906445862725,13.04288009665985192953,0.00066409981467086064,14,MSFT{3.3185840708%} UNH{23.0088495575%} V{7.5221238938%} WMT{4.6460176991%} CVX{26.5486725664%} KO{13.9380530973%} NKE{6.8584070796%} DIS{0.4424778761%} VZ{3.0973451327%} AMGN{7.0796460177%} INTC{0.2212389381%} BA{0.8849557522%} MMM{1.5486725664%} TRV{0.8849557522%} 
2,19672.25025045992879313417,128.96029175473452710321,0.00655544180827607580,14,MSFT{3.3557046980%} UNH{23.2662192394%} V{8.0536912752%} WMT{3.5794183445%} CVX{26.8456375839%} KO{14.0939597315%} NKE{6.9351230425%} DIS{0.4474272931%} VZ{3.1319910515%} AMGN{7.1588366890%} INTC{0.2237136465%} BA{0.4474272931%} MMM{1.5659955257%} TRV{0.8948545861%} 
3,19682.87482960472334525548,180.68559981873121955687,0.00917983787342714110,13,MSFT{3.3936651584%} UNH{21.7194570136%} V{7.6923076923%} WMT{4.7511312217%} CVX{27.6018099548%} KO{14.2533936652%} NKE{7.0135746606%} DIS{0.4524886878%} VZ{3.1674208145%} AMGN{7.2398190045%} INTC{0.2262443439%} MMM{1.5837104072%} TRV{0.9049773756%} 
4,19716.55218900296313222498,359.79169888250987696665,0.01824820564130812117,14,MSFT{3.3482142857%} UNH{23.2142857143%} V{8.2589285714%} WMT{3.7946428571%} CVX{26.7857142857%} KO{14.0625000000%} NKE{6.9196428571%} DIS{0.4464285714%} VZ{3.3482142857%} AMGN{7.1428571429%} CRM{0.2232142857%} INTC{0.2232142857%} MMM{1.3392857143%} TRV{0.8928571429%} 
5,19750.22047243606357369572,469.44964482030394492540,0.02376933692843988602,14,MSFT{3.3333333333%} UNH{23.1111111111%} V{7.5555555556%} WMT{4.6666666667%} CVX{26.6666666667%} KO{14.0000000000%} NKE{6.8888888889%} DIS{0.4444444444%} VZ{3.1111111111%} AMGN{7.1111111111%} CRM{0.4444444444%} INTC{0.2222222222%} MMM{1.5555555556%} TRV{0.8888888889%} 
6,19755.74381365735462168232,476.62839504680590607677,0.02412606680581207141,14,MSFT{3.3185840708%} UNH{23.0088495575%} V{7.5221238938%} WMT{4.6460176991%} PG{0.8849557522%} CVX{26.5486725664%} KO{13.9380530973%} NKE{6.8584070796%} DIS{0.4424778761%} VZ{3.0973451327%} AMGN{7.0796460177%} INTC{0.2212389381%} MMM{1.5486725664%} TRV{0.8849557522%} 
7,19758.43141073910373961553,546.76044820291724590788,0.02767225984881279549,14,MSFT{3.3407572383%} UNH{23.1625835189%} V{7.5723830735%} WMT{4.6770601336%} CVX{26.7260579065%} KO{14.0311804009%} NKE{6.9042316258%} DIS{0.4454342984%} VZ{3.1180400891%} AMGN{7.1269487751%} CRM{0.2227171492%} INTC{0.2227171492%} MMM{1.5590200445%} TRV{0.8908685969%} 
8,19766.10615873802089481615,547.05699003318602535728,0.02767651785535655759,14,MSFT{3.3407572383%} UNH{23.1625835189%} V{7.5723830735%} WMT{4.6770601336%} CVX{26.7260579065%} KO{14.0311804009%} NKE{6.9042316258%} DIS{0.4454342984%} VZ{3.1180400891%} AMGN{7.1269487751%} INTC{0.2227171492%} MMM{1.5590200445%} TRV{0.8908685969%} DD{0.2227171492%} 
9,19775.57579823015839792788,625.07349229841179294453,0.03160835864786063626,13,MSFT{3.3482142857%} UNH{23.2142857143%} V{7.5892857143%} WMT{4.6875000000%} CVX{26.7857142857%} KO{14.0625000000%} NKE{6.9196428571%} DIS{0.4464285714%} VZ{3.1250000000%} AMGN{7.1428571429%} INTC{0.2232142857%} MMM{1.5625000000%} TRV{0.8928571429%} 
10,19788.58069537793562631123,654.06308788882256521902,0.03305255177000104849,13,MSFT{3.3407572383%} UNH{23.1625835189%} V{7.5723830735%} WMT{4.6770601336%} CVX{26.9487750557%} KO{14.0311804009%} NKE{6.9042316258%} DIS{0.4454342984%} VZ{3.1180400891%} AMGN{7.1269487751%} INTC{0.2227171492%} MMM{1.5590200445%} TRV{0.8908685969%} 
11,19801.27845397263445192948,674.23389096948733367753,0.03405001816103540857,14,MSFT{3.3482142857%} UNH{23.2142857143%} V{7.5892857143%} WMT{4.6875000000%} CVX{26.7857142857%} KO{14.0625000000%} NKE{6.9196428571%} DIS{0.4464285714%} VZ{3.1250000000%} AMGN{7.1428571429%} CRM{0.2232142857%} INTC{0.2232142857%} MMM{1.3392857143%} TRV{0.8928571429%} 
12,19809.02587724814293324016,692.76756961641444831912,0.03497231887672475753,14,MSFT{3.3557046980%} UNH{23.2662192394%} V{7.6062639821%} WMT{4.6979865772%} CVX{26.8456375839%} KO{14.0939597315%} NKE{6.9351230425%} DIS{0.4474272931%} VZ{2.6845637584%} AMGN{7.1588366890%} CRM{0.2237136465%} INTC{0.2237136465%} MMM{1.5659955257%} TRV{0.8948545861%} 
13,19809.17126036538320477121,694.01273331320635406883,0.03503492014841640828,14,MSFT{3.3333333333%} UNH{23.1111111111%} V{7.5555555556%} WMT{5.1111111111%} CVX{26.6666666667%} KO{14.0000000000%} NKE{6.8888888889%} DIS{0.4444444444%} VZ{3.1111111111%} AMGN{7.1111111111%} CRM{0.2222222222%} INTC{0.2222222222%} MMM{1.3333333333%} TRV{0.8888888889%} 
14,19824.22985805807184078731,770.55092781633516096917,0.03886914817541448075,13,MSFT{3.3632286996%} UNH{23.3183856502%} V{7.6233183857%} WMT{4.7085201794%} CVX{26.9058295964%} KO{14.1255605381%} NKE{6.9506726457%} DIS{0.4484304933%} VZ{2.6905829596%} AMGN{7.1748878924%} INTC{0.2242152466%} MMM{1.5695067265%} TRV{0.8968609865%} 
