DailyRisk,ExpectedReturn
67029.8313051718141650781035423,-12665.1653145235777628840878606
67057.5625139211042551323771477,-12623.9716026826645247638225555
67078.9277368743496481329202652,-12612.959845050836520385928452
67088.596144502007518894970417,-12583.7583788158644892973825336
67108.9506782010139431804418564,-12519.8157516188166482606902719
67141.7613635911402525380253792,-12479.6025277520639065187424421
67158.8762103177141398191452026,-12467.6595952820971433538943529
67194.996260825748322531580925,-12463.1468663274536083918064833
67201.8041446171555435284972191,-12375.4526873265313042793422937
67253.207801211116020567715168,-12360.3168131359616381814703345
67301.4590092410653596743941307,-12231.9101503237561701098456979
67412.9924278701946604996919632,-12089.792037465294924913905561
67536.6714287755457917228341103,-11947.6768131359658582368865609
67870.0003407954063732177019119,-11856.319946808496752055361867
67944.8966133257054025307297707,-11780.0652705827560566831380129
67966.8259987136989366263151169,-11528.7281036077565659070387483
68027.9586599213216686621308327,-11492.2333348750617005862295628
68129.2829302915488369762897491,-11390.2851433857067604549229145
68254.6533665021852357313036919,-11365.5370189639197633368894458
68318.8101602030510548502206802,-11238.2254370952668978134170175
68558.6013165544864023104310036,-11080.6662580943338980432599783
68587.2878855160379316657781601,-10790.1381359851457091281190515
68627.7860041473613819107413292,-10757.3622895466942281927913427
68645.4970898960600607097148895,-10735.8669357076560118002817035
68787.4435823037056252360343933,-10693.7965425531710934592410922
68808.9410262334276922047138214,-10666.088714153505861759185791
68824.8680572521407157182693481,-10607.2146530989539314759895205
68899.2828619939537020400166512,-10514.1589685476192244095727801
68929.4686104398278985172510147,-10474.8608857538620213745161891
69034.7086458179837791249155998,-10459.6489801109764812281355262
69513.4136722160619683563709259,-10448.9306128584212274290621281
69597.604320967511739581823349,-10416.6908510637913423124700785
69629.2036317840975243598222733,-10358.7634944495493982685729861
69742.0079787103895796462893486,-10317.3942553190845501376315951
70297.6358212156337685883045197,-10170.927749768701687571592629
70447.6860385325126117095351219,-9968.77261100829309725668281317
70591.0156348091259133070707321,-9917.14759944494107912760227919
70812.697320749182836152613163,-9688.41287927840312477201223373
71300.5632634424255229532718658,-9317.79430851059260021429508924
72890.2005044490069849416613579,-7619.44240055495538399554789066
73155.94951499608578160405159,-7572.88245374654616171028465033
