Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,751.246175976523545614327304065228,195.845146341479107832128647714853,0.260693701484610629304228268666,1,WMT{1%}Cash{99%}
2,838.048727278724754796712659299374,330.074742160287087244796566665173,0.393861038644007455111761828448,2,WMT{1%}MMM{1%}Cash{98%}
3,1099.160457458026030508335679769516,820.034195121952734552905894815922,0.746055036421529593759771614714,3,MSFT{1%}CSCO{1%}IBM{1%}Cash{97%}
4,1545.076232477724488489911891520023,852.006648083642517121916171163321,0.551433405144898580729773129860,4,MSFT{1%}WMT{1%}MMM{1%}DD{1%}Cash{96%}
5,1573.446792330751122790388762950897,929.762261324061796585738193243742,0.590907977222923652682595729857,4,MSFT{1%}WMT{1%}KO{1%}MMM{1%}Cash{96%}
6,1794.462890441468516655731946229935,963.178763066194505881867371499538,0.536750449505944415840019701136,4,MSFT{1%}AMGN{1%}IBM{1%}INTC{1%}Cash{96%}
7,2232.332511565356526261894032359123,1345.954083623733140484546311199665,0.602936200879824579779153737036,5,MSFT{1%}WMT{2%}CSCO{1%}IBM{1%}MMM{1%}Cash{94%}
8,3053.207548434991167596308514475822,1358.049066202084304677555337548256,0.444794218754696601969556013501,2,MSFT{1%}IBM{3%}Cash{96%}
9,3226.752099041712426696904003620148,1367.990745644582830209401436150074,0.423952849074105075910523510174,2,HON{3%}MMM{2%}Cash{95%}
10,3247.088580282266320864437147974968,1642.846055749152128555579110980034,0.505944329860672059595572136459,8,MSFT{1%}WMT{1%}HD{1%}MCD{1%}HON{1%}CRM{1%}GS{1%}MMM{1%}Cash{92%}
11,3294.935565554443655855720862746239,2587.195560975603711995063349604607,0.785203688965083745898709821631,5,MSFT{5%}CVX{1%}CSCO{2%}VZ{1%}DD{1%}Cash{90%}
12,3365.207183888624967948999255895615,2673.073993031339341541752219200134,0.794326722535550033832407734735,9,AAPL{1%}MSFT{2%}WMT{2%}CSCO{2%}VZ{1%}HON{1%}IBM{1%}CAT{1%}INTC{1%}Cash{88%}
13,3898.248515058877273986581712961197,4273.515226480814817477948963642120,1.096265466394019671980686325696,5,MSFT{10%}JPM{5%}VZ{1%}CAT{3%}BA{1%}Cash{80%}
14,5106.306205494485766394063830375671,4360.007491289180507010314613580704,0.853847637769495015902521117823,9,MSFT{7%}UNH{3%}CSCO{1%}DIS{2%}VZ{1%}HON{2%}INTC{1%}AXP{2%}MMM{5%}Cash{76%}
15,5533.384391247267558355815708637238,5134.660045296199314179830253124237,0.927942048164632771189985760429,10,AAPL{1%}MSFT{7%}WMT{2%}CSCO{1%}VZ{4%}HON{1%}CAT{1%}INTC{1%}AXP{1%}MMM{3%}Cash{78%}
16,6175.299435183303103258367627859116,6112.245306620180599566083401441574,0.989789300223422929825289884320,9,MSFT{10%}UNH{3%}CSCO{4%}VZ{1%}HON{1%}IBM{1%}INTC{1%}AXP{2%}MMM{5%}Cash{72%}
17,6448.758419248176323890220373868942,6178.317463414610756444744765758514,0.958063097072088032390979606134,9,MSFT{10%}UNH{3%}CSCO{4%}VZ{1%}HON{2%}INTC{1%}AXP{2%}MMM{5%}DD{1%}Cash{71%}
18,6659.530190444960680906660854816437,6446.033125435537840530741959810257,0.967941122135650533486739277578,10,MSFT{10%}UNH{3%}CSCO{4%}VZ{1%}HON{2%}IBM{1%}INTC{1%}AXP{2%}MMM{5%}DD{1%}Cash{70%}
19,6896.077342947639408521354198455811,7578.496818815384358458686619997025,1.098957630828434561820472481486,19,AAPL{8%}MSFT{8%}UNH{6%}WMT{1%}JPM{8%}PG{1%}MRK{2%}CSCO{2%}DIS{2%}VZ{2%}AMGN{1%}HON{1%}CRM{3%}INTC{4%}AXP{2%}BA{2%}MMM{1%}TRV{1%}WBA{1%}Cash{44%}
20,7254.689630894687070394866168498993,11472.348749128899726201780140399933,1.581370028605078692507390769606,18,AAPL{7%}MSFT{14%}UNH{6%}JNJ{1%}V{1%}JPM{10%}PG{4%}CVX{1%}KO{2%}CSCO{1%}DIS{2%}AMGN{1%}HON{2%}CRM{6%}INTC{1%}AXP{1%}MMM{2%}WBA{1%}Cash{37%}
21,8969.148737963972962461411952972412,13337.566878048810394830070436000824,1.487049358607970050982771681447,20,AAPL{7%}MSFT{19%}UNH{9%}JNJ{1%}V{1%}WMT{1%}JPM{10%}PG{4%}MRK{1%}KO{1%}CSCO{3%}MCD{1%}DIS{2%}IBM{2%}CRM{6%}INTC{1%}AXP{3%}MMM{2%}DD{3%}WBA{1%}Cash{22%}
