Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,869.855766945370078246924094855785,9.754585365856305756437905074563,0.011214026205874343816715210664,1,TRV{1%}Cash{99%}
2,1244.838167860340035986155271530151,102.210871080115751396988343913108,0.082107758035567329768511513066,1,JPM{1%}Cash{99%}
3,1723.465020179430212010629475116730,111.965456445986333733344508800656,0.064965319942687088650146165492,2,JPM{1%}TRV{1%}Cash{98%}
4,1794.562645352981689939042553305626,197.618808362364291042467812076211,0.110120874784782801780735894681,2,JPM{1%}MRK{1%}Cash{98%}
5,2403.558071811876743595348671078682,215.236006968634569602727424353361,0.089548910630806180521723547372,2,MRK{1%}AXP{1%}Cash{98%}
6,2529.603675672031386056914925575256,299.829679442508620468288427218795,0.118528322173968164721102880321,2,JPM{2%}MRK{1%}Cash{97%}
7,2713.888528982522529986454173922539,350.052745644622291365521959960461,0.128985675685015066527228100313,2,AAPL{1%}MRK{1%}Cash{98%}
8,3088.641327604711023013805970549583,359.807331010451378006109734997153,0.116493724212868549061639100728,3,AAPL{1%}MRK{1%}TRV{1%}Cash{97%}
9,3260.183547107367758144391700625420,360.482118466898839415080146864057,0.110571111490560217149869970399,4,JPM{2%}MRK{1%}CSCO{1%}TRV{1%}Cash{95%}
10,3428.338589231895639386493712663651,445.562832752604833785881055518985,0.129964652310620015773778845869,2,AAPL{1%}MRK{2%}Cash{97%}
11,3665.984643179777322075096890330315,453.081156794414027899620123207569,0.123590576855614850404485594026,3,JPM{3%}MRK{1%}CSCO{1%}Cash{95%}
12,3947.666440496549967065220698714256,547.773703832738760866050142794847,0.138758862251755515915263572424,3,AAPL{1%}JPM{1%}MRK{2%}Cash{96%}
13,4379.725445456841043778695166110992,598.671557491286989716172683984041,0.136691572324995513909584587964,4,AAPL{1%}JPM{1%}MRK{2%}CSCO{1%}Cash{95%}
14,4906.881243503117730142548680305481,700.882428571428704344725701957941,0.142836639769797074661639157966,4,AAPL{1%}JPM{2%}MRK{2%}CSCO{1%}Cash{94%}
15,5500.379200366833174484781920909882,745.494662020908435806632041931152,0.135535139462964610013173683001,3,AAPL{1%}JPM{2%}MRK{3%}Cash{94%}
16,5664.410768435162026435136795043945,803.236052264828686020337045192719,0.141803990759435866175763862884,4,AAPL{1%}JPM{3%}MRK{2%}CSCO{1%}Cash{93%}
17,6230.998481787718446867074817419052,847.848285714285111680510453879833,0.136069409773155874932015763079,3,AAPL{1%}JPM{3%}MRK{3%}Cash{93%}
18,6282.372538831908059364650398492813,898.746139372811285284115001559258,0.143058396142155014318930739137,4,AAPL{1%}JPM{3%}MRK{3%}CSCO{1%}Cash{92%}
19,6714.856529908826814789790660142899,949.197114982575385511154308915138,0.141357765538955376660723572968,4,AAPL{2%}JPM{1%}MRK{3%}CSCO{1%}Cash{93%}
20,6978.869936728533502900972962379456,958.951700348427834796893876045942,0.137407876782692006667474515780,5,AAPL{2%}JPM{1%}MRK{3%}CSCO{1%}TRV{1%}Cash{92%}
21,7006.747407303262662026099860668182,1000.957010452950385115400422364473,0.142856157396174188178861186316,4,AAPL{1%}JPM{4%}MRK{3%}CSCO{1%}Cash{91%}
22,7331.013520644208256271667778491974,1051.407986062719601250137202441692,0.143419185232975504584729264934,4,AAPL{2%}JPM{2%}MRK{3%}CSCO{1%}Cash{92%}
23,7617.292640611221031576860696077347,1061.162571428569435738609172403812,0.139309676218953876203343611451,5,AAPL{2%}JPM{2%}MRK{3%}CSCO{1%}TRV{1%}Cash{91%}
24,7990.005049104644058388657867908478,1146.918073170752904843538999557495,0.143544098673539122223985486926,4,AAPL{2%}JPM{2%}MRK{4%}CSCO{1%}Cash{91%}
25,8517.904128990321623859927058219910,1198.677968641103234403999522328377,0.140724519845375373172657873511,4,AAPL{1%}JPM{5%}MRK{4%}CSCO{1%}Cash{89%}
26,8610.366554341939263395033776760101,1249.271696864111390823381952941418,0.145089258277180166434305874645,4,AAPL{2%}JPM{3%}MRK{4%}CSCO{1%}Cash{90%}
27,8956.894499404188536573201417922974,1259.026282229952130364836193621159,0.140565045431058993630202280656,5,AAPL{2%}JPM{3%}MRK{4%}CSCO{1%}TRV{1%}Cash{89%}
28,9355.409620938706211745738983154297,1351.482567944256970804417505860329,0.144460010058720611514360143701,4,AAPL{2%}JPM{4%}MRK{4%}CSCO{1%}Cash{89%}
29,9709.546673517868839553557336330414,1361.237153310096346103819087147713,0.140195747451606428368720003164,5,AAPL{2%}JPM{4%}MRK{4%}CSCO{1%}TRV{1%}Cash{88%}
30,9925.298591315871817641891539096832,1394.759947735180276140454225242138,0.140525741860856839826610098498,4,AAPL{3%}JPM{1%}MRK{5%}CSCO{1%}Cash{90%}
31,10047.501576071359522757120430469513,1446.890505226467894317465834319592,0.144005004057159019525968801645,4,AAPL{2%}JPM{4%}MRK{5%}CSCO{1%}Cash{88%}
32,10660.575410319333968800492584705353,1503.916505226446133747231215238571,0.141072732694209862502887631308,4,AAPL{3%}JPM{3%}MRK{4%}CSCO{1%}Cash{89%}
33,10768.768847937568352790549397468567,1549.101376306597785514895804226398,0.143851297969245700558715839179,4,AAPL{2%}JPM{5%}MRK{5%}CSCO{1%}Cash{87%}
34,11113.207125800245194113813340663910,1599.324442508719357647350989282131,0.143912052066028084418292110058,4,AAPL{3%}JPM{3%}MRK{5%}CSCO{1%}Cash{88%}
35,11445.906899054489258560352027416229,1609.079027874553503352217376232147,0.140581173869890080352362815574,5,AAPL{3%}JPM{3%}MRK{5%}CSCO{1%}TRV{1%}Cash{87%}
36,11540.500942178707191487774252891541,1650.247027874554987647570669651031,0.142996134755568798935243535198,4,AAPL{3%}JPM{3%}MRK{5%}CSCO{2%}Cash{87%}
37,11817.869583454972598701715469360352,1694.834529616711051858146674931049,0.143412864530971045917695505523,4,AAPL{3%}JPM{3%}MRK{6%}CSCO{1%}Cash{87%}
38,11833.057582179306336911395192146301,1702.377585365851700771600008010864,0.143866247040802697210182259369,4,AAPL{2%}JPM{6%}MRK{5%}CSCO{2%}Cash{85%}
39,12178.284958798929437762126326560974,1704.589114982577711998601444065571,0.139969554066888157706216588849,5,AAPL{3%}JPM{3%}MRK{6%}CSCO{1%}TRV{1%}Cash{86%}
40,12463.075914308428764343261718750000,1797.045400696834576592664234340191,0.144189557461790685000124767612,4,AAPL{3%}JPM{4%}MRK{6%}CSCO{1%}Cash{86%}
41,12566.930624991086006048135459423065,1797.887672473839302256237715482712,0.143064979518426727000957043856,4,AAPL{2%}JPM{6%}MRK{6%}CSCO{2%}Cash{84%}
42,12809.750357861459633568301796913147,1847.967986062714317085919901728630,0.144262607344927656916055980219,4,AAPL{3%}JPM{4%}MRK{6%}CSCO{2%}Cash{85%}
43,13288.900241983463274664245545864105,1854.339912891973426667391322553158,0.139540509682929192436517951137,4,AAPL{4%}JPM{3%}MRK{5%}CSCO{1%}Cash{87%}
44,13446.927500673795293550938367843628,1950.178857142858532824902795255184,0.145027840526777557217386060984,4,AAPL{3%}JPM{5%}MRK{6%}CSCO{2%}Cash{84%}
45,13911.141408151206633192487061023712,1951.529581881522290132124908268452,0.140285367291143159285127239855,4,AAPL{2%}JPM{8%}MRK{6%}CSCO{1%}Cash{83%}
46,13959.003121111316431779414415359497,1957.864665505220045815804041922092,0.140258200998908344470095244105,4,AAPL{2%}JPM{8%}MRK{5%}CSCO{3%}Cash{82%}
47,14166.125804368170065572485327720642,2052.532480836221111530903726816177,0.144890177397924563296172095761,4,AAPL{3%}JPM{6%}MRK{6%}CSCO{2%}Cash{83%}
48,14475.290558986016549170017242431641,2062.287066202110963786253705620766,0.142469476367220682089254069069,5,AAPL{3%}JPM{6%}MRK{6%}CSCO{2%}TRV{1%}Cash{82%}
49,14663.200500740673305699601769447327,2102.983456445995670947013422846794,0.143419129837293629625705193575,4,AAPL{4%}JPM{4%}MRK{6%}CSCO{2%}Cash{84%}
50,14826.755291782166750635951757431030,2148.042567944224174425471574068069,0.144876105774457059061077757178,4,AAPL{3%}JPM{6%}MRK{7%}CSCO{2%}Cash{82%}
51,15233.278990762180910678580403327942,2198.493543554012831009458750486374,0.144321754028612692088984204020,4,AAPL{4%}JPM{4%}MRK{7%}CSCO{2%}Cash{83%}
52,15411.813885413335810881108045578003,2199.330853658517298754304647445679,0.142704218336045157711211572860,4,AAPL{3%}JPM{7%}MRK{7%}CSCO{1%}Cash{82%}
53,15419.498772367489436874166131019592,2205.665937282231880089966580271721,0.143043945191973109754002280170,4,AAPL{3%}JPM{7%}MRK{6%}CSCO{3%}Cash{81%}
54,15533.629434644377397489733994007111,2250.253439024394538137130439281464,0.144863339793963041834956584353,4,AAPL{3%}JPM{7%}MRK{7%}CSCO{2%}Cash{81%}
55,15891.567457314346029306761920452118,2300.704414634146814933046698570251,0.144775172166872134749127098985,4,AAPL{4%}JPM{5%}MRK{7%}CSCO{2%}Cash{82%}
56,16017.473465735218269401229918003082,2301.176024390222210058709606528282,0.143666604431274824715814020237,4,AAPL{3%}JPM{7%}MRK{7%}CSCO{3%}Cash{80%}
57,16180.034979398833456798456609249115,2308.019560975598324148450046777725,0.142646141613060495334508459564,4,AAPL{3%}JPM{8%}MRK{6%}CSCO{3%}Cash{80%}
58,16287.147508496538648614659905433655,2345.763526132373044674750417470932,0.144025436308515997207990722018,4,AAPL{3%}JPM{7%}MRK{8%}CSCO{2%}Cash{80%}
59,16306.143865038815420120954513549805,2352.607062717759617953561246395111,0.144277340013040517030518117281,4,AAPL{3%}JPM{8%}MRK{7%}CSCO{2%}Cash{80%}
60,16618.224928405568789457902312278748,2403.058038327515987475635483860970,0.144603773789339168365231103053,4,AAPL{4%}JPM{6%}MRK{7%}CSCO{2%}Cash{81%}
61,16982.161275109236157732084393501282,2448.117149825765409332234412431717,0.144158161624219877117170085512,4,AAPL{3%}JPM{8%}MRK{8%}CSCO{2%}Cash{79%}
62,17133.421009468969714362174272537231,2454.817933797903606318868696689606,0.143276578124194919894307531649,4,AAPL{3%}JPM{9%}MRK{7%}CSCO{2%}Cash{79%}
63,17220.878645000211690785363316535950,2498.568125435521778854308649897575,0.145089468252012715465681935711,4,AAPL{4%}JPM{6%}MRK{8%}CSCO{2%}Cash{80%}
64,17402.797017174238135339692234992981,2505.268909407670435030013322830200,0.143957830855310470186125826331,4,AAPL{4%}JPM{7%}MRK{7%}CSCO{2%}Cash{80%}
65,17938.188445287174545228481292724609,2600.778996515710332460002973675728,0.144985598988899122563367427574,4,AAPL{4%}JPM{7%}MRK{8%}CSCO{2%}Cash{79%}
66,18271.842877997703908476978540420532,2610.533581881511963729280978441238,0.142871936854548076123450073283,5,AAPL{4%}JPM{7%}MRK{8%}CSCO{2%}TRV{1%}Cash{78%}
67,18325.253729566953552421182394027710,2651.701581881522542971652001142502,0.144702039110275681998984964594,4,AAPL{4%}JPM{7%}MRK{8%}CSCO{3%}Cash{78%}
68,19029.387759996505337767302989959717,2747.109519163770983141148462891579,0.144361424225046913738523812754,4,AAPL{4%}JPM{7%}MRK{9%}CSCO{3%}Cash{77%}
69,19454.356749453840166097506880760193,2791.697020905906356347259134054184,0.143499836918754980485957162273,4,AAPL{4%}JPM{7%}MRK{10%}CSCO{2%}Cash{77%}
70,19786.650535965909512015059590339661,2842.147996515693648689193651080132,0.143639672179460692325037030059,4,AAPL{5%}JPM{5%}MRK{10%}CSCO{2%}Cash{78%}
71,20368.723532507690833881497383117676,2951.674013937288236775202676653862,0.144912076067335859885787385792,4,AAPL{4%}JPM{9%}MRK{9%}CSCO{3%}Cash{75%}
72,20732.019049673239351250231266021729,3002.124989547040513571118935942650,0.144806204468269444918249178045,4,AAPL{5%}JPM{7%}MRK{9%}CSCO{3%}Cash{76%}
73,20979.176249265081423800438642501831,3009.070675958181709575001150369644,0.143431307321401246834824405596,4,AAPL{5%}JPM{8%}MRK{8%}CSCO{3%}Cash{76%}
74,21058.518413944300846196711063385010,3046.712491289199078892124816775322,0.144678387690928916819999017207,4,AAPL{5%}JPM{7%}MRK{10%}CSCO{2%}Cash{76%}
75,21552.276865914289373904466629028320,3096.792804878054539585718885064125,0.143687501053577554310791697390,4,AAPL{6%}JPM{5%}MRK{10%}CSCO{2%}Cash{77%}
76,21773.988077346042700810357928276062,3149.394972125425283593358471989632,0.144640245091440050595466004779,4,AAPL{4%}JPM{10%}MRK{10%}CSCO{3%}Cash{73%}
77,22045.368889240577118471264839172363,3199.988700348417751229135319590569,0.145154690603077118904451481285,4,AAPL{5%}JPM{8%}MRK{10%}CSCO{3%}Cash{74%}
78,22752.456717862343793967738747596741,3302.199571428567196562653407454491,0.145135956629953682961442495980,4,AAPL{5%}JPM{9%}MRK{10%}CSCO{3%}Cash{73%}
79,23062.082187345622514840215444564819,3311.954156794442951650125905871391,0.143610370038995988073438070387,5,AAPL{5%}JPM{9%}MRK{10%}CSCO{3%}TRV{1%}Cash{72%}
80,23422.027804184945125598460435867310,3397.709658536579809151589870452881,0.145064709466764946155237225867,4,AAPL{5%}JPM{9%}MRK{11%}CSCO{3%}Cash{72%}
81,23746.997820839569612871855497360229,3407.464243902411453746026381850243,0.143490316949123342116223511766,5,AAPL{5%}JPM{9%}MRK{11%}CSCO{3%}TRV{1%}Cash{71%}
82,24122.492138391884509474039077758789,3499.920529616738349432125687599182,0.145089508560621666122258943687,4,AAPL{5%}JPM{10%}MRK{11%}CSCO{3%}Cash{71%}
83,24682.552769229743717005476355552673,3556.844379790930815943283960223198,0.144103586571686981265827398602,4,AAPL{6%}JPM{9%}MRK{10%}CSCO{3%}Cash{72%}
84,24852.277664271605317480862140655518,3595.430616724731407884974032640457,0.144672076551503880903482013309,4,AAPL{5%}JPM{10%}MRK{12%}CSCO{3%}Cash{70%}
85,25165.559461117842147359624505043030,3645.653682926818873966112732887268,0.144866784645084178961838006217,4,AAPL{6%}JPM{8%}MRK{12%}CSCO{3%}Cash{71%}
86,25831.390761492875753901898860931396,3747.864554006950129405595362186432,0.145089538097729175980532545509,4,AAPL{6%}JPM{9%}MRK{12%}CSCO{3%}Cash{70%}
87,25925.333494409474951680749654769897,3748.706825783968270116019994020462,0.144596281725453496003197528808,4,AAPL{5%}JPM{11%}MRK{12%}CSCO{4%}Cash{68%}
88,26898.257188837407738901674747467041,3900.998010452931339386850595474243,0.145027909543218230803418578034,4,AAPL{6%}JPM{10%}MRK{12%}CSCO{4%}Cash{68%}
89,27462.944083784059330355376005172729,3951.920595818811307253781706094742,0.143900107132078625138404959216,4,AAPL{6%}JPM{10%}MRK{12%}CSCO{5%}Cash{67%}
90,27596.688599971439543878659605979919,3996.405947735203426418593153357506,0.144814691561919478557385332351,4,AAPL{6%}JPM{10%}MRK{13%}CSCO{4%}Cash{67%}
91,27598.735302929937461158260703086853,4003.351634146304149908246472477913,0.145055619042126909823409164346,4,AAPL{6%}JPM{11%}MRK{12%}CSCO{4%}Cash{67%}
92,28253.826148243355419253930449485779,4098.759571428581693908199667930603,0.145069186379325726354849734889,4,AAPL{6%}JPM{11%}MRK{13%}CSCO{4%}Cash{66%}
93,28948.754432716690644156187772750854,4200.970442508683845517225563526154,0.145117485184817485155406302511,4,AAPL{6%}JPM{12%}MRK{13%}CSCO{4%}Cash{65%}
94,29850.356872093409037915989756584167,4301.644484320577248581685125827789,0.144106970069162260150719134799,4,AAPL{8%}JPM{8%}MRK{13%}CSCO{4%}Cash{67%}
95,30764.972542727940890472382307052612,4455.985912891967927862424403429031,0.144839586861430502651160168170,4,AAPL{7%}JPM{12%}MRK{13%}CSCO{4%}Cash{64%}
96,31070.225614301321911625564098358154,4493.872630662007395585533231496811,0.144635983222262842762262380347,4,AAPL{7%}JPM{11%}MRK{15%}CSCO{3%}Cash{64%}
97,31070.887839527196774724870920181274,4501.045024390231446886900812387466,0.144863740220006642633876481341,4,AAPL{6%}JPM{14%}MRK{14%}CSCO{4%}Cash{62%}
98,31174.932962498744018375873565673828,4506.908498257829705835320055484772,0.144568346102919437212719344643,4,AAPL{7%}JPM{12%}MRK{13%}CSCO{5%}Cash{63%}
99,31350.846127340366365388035774230957,4551.495999999972809746395796537399,0.145179367137741016646756975206,4,AAPL{7%}JPM{12%}MRK{14%}CSCO{4%}Cash{63%}
100,32416.435411391419620485976338386536,4697.086400696834971313364803791046,0.144898300540664548563540847681,4,AAPL{8%}JPM{10%}MRK{15%}CSCO{4%}Cash{63%}
101,32505.478111441963847028091549873352,4698.294372822299919789656996726990,0.144538540756565442313430480681,4,AAPL{7%}JPM{13%}MRK{15%}CSCO{3%}Cash{62%}
102,32721.574784844902751501649618148804,4749.216958188137141405604779720306,0.145140232076719971621159288588,4,AAPL{7%}JPM{13%}MRK{15%}CSCO{4%}Cash{61%}
103,33091.503232434486562851816415786743,4799.440024390226426476147025823593,0.145035418629337969909087746601,4,AAPL{8%}JPM{11%}MRK{15%}CSCO{4%}Cash{62%}
104,33518.871668922191020101308822631836,4844.027526132383172807749360799789,0.144516425671441600675493077688,4,AAPL{8%}JPM{11%}MRK{16%}CSCO{3%}Cash{62%}
105,33770.618031096702907234430313110352,4894.950111498257683706469833850861,0.144947010060369141370983925299,4,AAPL{8%}JPM{11%}MRK{16%}CSCO{4%}Cash{61%}
106,34492.265800964014488272368907928467,4998.003254355367971584200859069824,0.144902143663049237654050216406,4,AAPL{7%}JPM{14%}MRK{16%}CSCO{5%}Cash{58%}
107,35940.901532259973464533686637878418,5200.888167247391720593441277742386,0.144706669713867863702461136199,4,AAPL{9%}JPM{11%}MRK{16%}CSCO{5%}Cash{59%}
108,36187.353307579156535211950540542603,5252.648062717770699237007647752762,0.145151484776247646779623323710,4,AAPL{8%}JPM{14%}MRK{16%}CSCO{5%}Cash{57%}
109,36529.827391615479427855461835861206,5297.133414634146902244538068771362,0.145008443589031948972589702862,4,AAPL{8%}JPM{14%}MRK{17%}CSCO{4%}Cash{57%}
110,36637.267104508558986708521842956543,5303.936348432042905187699943780899,0.144768886099021942825970654667,4,AAPL{8%}JPM{15%}MRK{16%}CSCO{4%}Cash{57%}
111,37609.210471821636019740253686904907,5449.795261324040438921656459569931,0.144905867285016531909036530124,4,AAPL{9%}JPM{13%}MRK{17%}CSCO{4%}Cash{57%}
112,37915.530690156592754647135734558105,5500.717846689873113064095377922058,0.145078223792814736681222598236,4,AAPL{9%}JPM{13%}MRK{17%}CSCO{5%}Cash{56%}
113,38011.212199343885004054754972457886,5501.697909407690531224943697452545,0.144738817603471625616862183961,4,AAPL{8%}JPM{16%}MRK{17%}CSCO{4%}Cash{55%}
114,38618.368845366647292394191026687622,5603.071470383279120142105966806412,0.145088247844406936781780359524,4,AAPL{9%}JPM{14%}MRK{17%}CSCO{5%}Cash{55%}
115,41326.406352688754850532859563827515,5998.656139372785219165962189435959,0.145153103518823239914681266782,4,AAPL{9%}JPM{16%}MRK{19%}CSCO{5%}Cash{51%}
116,41700.451410518260672688484191894531,6049.107114982562052318826317787170,0.145060950430305729552671323290,4,AAPL{10%}JPM{14%}MRK{19%}CSCO{5%}Cash{52%}
117,42046.973827502632047981023788452148,6100.867010452931936015374958515167,0.145096458914776821336189982503,4,AAPL{9%}JPM{17%}MRK{19%}CSCO{5%}Cash{50%}
118,42387.096433704049559310078620910645,6151.789595818785528535954654216766,0.145133545663844926165708670851,4,AAPL{9%}JPM{17%}MRK{19%}CSCO{6%}Cash{49%}
119,42760.693294782438897527754306793213,6202.240571428527800890151411294937,0.145045369790234690565711161980,4,AAPL{10%}JPM{15%}MRK{19%}CSCO{6%}Cash{50%}
120,46217.417199858740787021815776824951,6433.153585365856088174041360616684,0.139193273339937279020617211245,4,AAPL{11%}JPM{19%}MRK{15%}CSCO{5%}Cash{50%}
121,46944.410631552622362505644559860229,6801.079613240417529596015810966492,0.144875173034321264031731857358,4,AAPL{11%}JPM{16%}MRK{21%}CSCO{7%}Cash{45%}
122,47639.739293668295431416481733322144,6896.118090592300177377182990312576,0.144755579959877117568467497222,4,AAPL{12%}JPM{14%}MRK{22%}CSCO{6%}Cash{46%}
123,47698.922583124694938305765390396118,6904.970066202093221363611519336700,0.144761552091010714526930769352,4,AAPL{9%}JPM{22%}MRK{21%}CSCO{7%}Cash{41%}
124,48560.514825198784819804131984710693,7050.088857142854067205917090177536,0.145181509762010524378084141972,4,AAPL{11%}JPM{18%}MRK{22%}CSCO{6%}Cash{43%}
125,48938.355058000299322884529829025269,7101.011442508676736906636506319046,0.145101146822216781062664381352,4,AAPL{11%}JPM{18%}MRK{22%}CSCO{7%}Cash{42%}
126,49237.723244403394346591085195541382,7145.598944250880776962731033563614,0.145124479228699615473985318204,4,AAPL{11%}JPM{18%}MRK{23%}CSCO{6%}Cash{42%}
127,51329.810258186458668205887079238892,7445.673526132378356123808771371841,0.145055543526870667214723198413,4,AAPL{11%}JPM{20%}MRK{24%}CSCO{6%}Cash{39%}
128,56475.162561715085757896304130554199,8197.545076655060256598517298698425,0.145153102794470467706844374334,4,AAPL{13%}JPM{20%}MRK{26%}CSCO{7%}Cash{34%}
129,56843.485997722193133085966110229492,8249.304972125441054231487214565277,0.145123136403984859255089645558,4,AAPL{12%}JPM{23%}MRK{26%}CSCO{7%}Cash{32%}
130,57171.485777691530529409646987915039,8299.898700348448983277194201946259,0.145175494172430474826285262679,4,AAPL{13%}JPM{21%}MRK{26%}CSCO{7%}Cash{33%}
131,57196.634889069748169276863336563110,8300.227557491309198667295277118683,0.145117410728607038050697042308,4,AAPL{12%}JPM{23%}MRK{26%}CSCO{8%}Cash{31%}
132,57885.271224848860583733767271041870,8402.109571428592971642501652240753,0.145151078912484299276997035122,4,AAPL{13%}JPM{22%}MRK{26%}CSCO{7%}Cash{32%}
133,58229.430876206482935231178998947144,8453.032156794446564163081347942352,0.145167693202519293427243951555,4,AAPL{13%}JPM{22%}MRK{26%}CSCO{8%}Cash{31%}
134,58939.429876236659765709191560745239,8555.243027874577819602563977241516,0.145153135105636654778038518998,4,AAPL{13%}JPM{23%}MRK{26%}CSCO{8%}Cash{30%}
