Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1,1020.545097989177861563803162425756,151.816173913041239984522690065205,0.148759887448551675337427013801,1,PG{1%}Cash{99%},100
2,1087.645618636336394047248177230358,209.552574440059458993346197530627,0.192666224043444744840059001945,1,KO{1%}Cash{99%},100
3,1345.856040679575926333200186491013,217.078173913057696609030244871974,0.161293754570842773343741782810,1,IBM{1%}Cash{99%},100
4,1351.666457127986404884723015129566,368.894347826102887211163761094213,0.272918178801246302800365128860,2,PG{1%}IBM{1%}Cash{98%},100
5,1401.077508652911092212889343500137,422.479022397884250494826119393110,0.301538651351332898098434043277,2,PG{1%}CAT{1%}Cash{98%},100
6,1719.795841106837087863823398947716,574.546964426881459075957536697388,0.334078586942686717176087540793,2,PG{2%}CAT{1%}Cash{97%},100
7,1887.829152378452590710367076098919,632.031596837931942900468129664660,0.334792794168711271840521703780,3,PG{1%}KO{1%}CAT{1%}Cash{97%},100
8,1903.884893663740285774110816419125,674.763169960457730667258147150278,0.354413847289883898739049072901,3,UNH{1%}PG{2%}CAT{1%}Cash{96%},100
9,2123.224427084157014178344979882240,784.099538866923353452875744551420,0.369296589123992990977285444387,3,PG{2%}KO{1%}CAT{1%}Cash{96%},100
10,2268.065965989436790550826117396355,784.828587615291667134442832320929,0.346034286208652064331658948504,3,PG{1%}MCD{1%}CAT{1%}Cash{97%},100
11,2394.827596025809725688304752111435,936.896529644260454006143845617771,0.391216691839959607168708544123,3,PG{2%}MCD{1%}CAT{1%}Cash{96%},100
12,2746.583068086083585512824356555939,994.381162055317759040917735546827,0.362042995753351748433601642319,4,PG{1%}KO{1%}MCD{1%}CAT{1%}Cash{96%},100
13,2787.686181266719358973205089569092,1232.901270092211007067817263305187,0.442266880101971515681924529417,3,PG{2%}KO{1%}NKE{1%}Cash{96%},100
14,3113.421621244369816849939525127411,1384.717444005254264993709512054920,0.444757444528766254787655043401,3,PG{3%}KO{1%}NKE{1%}Cash{95%},100
15,3137.864486192918320739408954977989,1442.453844532278253609547391533852,0.459692842338888407738295427407,3,PG{2%}KO{2%}NKE{1%}Cash{95%},100
16,3423.153603468655546748777851462364,1594.270018445333334966562688350677,0.465731370286706303218693392409,3,PG{3%}KO{2%}NKE{1%}Cash{94%},100
17,3622.352329290747547929640859365463,1655.380292490123792958911508321762,0.456990414517255250093086260677,4,PG{3%}KO{1%}NKE{1%}CAT{1%}Cash{94%},100
18,3872.759236891269210900645703077316,1807.448234519116113006020896136761,0.466708133390183577127174885391,4,PG{4%}KO{1%}NKE{1%}CAT{1%}Cash{93%},100
19,3951.498882396158933261176571249962,1864.932866930172394859255291521549,0.471955812827989762414659935530,4,PG{3%}KO{2%}NKE{1%}CAT{1%}Cash{93%},100
20,4176.203375836699706269428133964539,2017.000808959168580258847214281559,0.482974756600560384267595281926,4,PG{4%}KO{2%}NKE{1%}CAT{1%}Cash{92%},100
21,4525.185549726274985005147755146027,2074.627897233183375647058710455894,0.458462503788088004963441335349,4,PG{3%}KO{3%}NKE{1%}CAT{1%}Cash{92%},100
22,4620.469017290313786361366510391235,2168.816982872196149401133880019188,0.469393253099683049889279118361,4,PG{5%}KO{2%}NKE{1%}CAT{1%}Cash{91%},100
23,4717.319647807016735896468162536621,2226.695839262181380036054179072380,0.472025642845153747817477096760,4,PG{4%}KO{3%}NKE{1%}CAT{1%}Cash{91%},100
24,4924.625364629094292467925697565079,2230.826469038205232209293171763420,0.452994147546942060866825841003,4,PG{5%}KO{1%}NKE{1%}CAT{2%}Cash{91%},100
25,5034.487893410462675092276185750961,2288.562869565215351030929014086723,0.454577092649416869551970421526,4,PG{4%}KO{2%}NKE{1%}CAT{2%}Cash{91%},100
26,5109.864656195104544167406857013702,2378.512013175245101592736318707466,0.465474562088759369338220039936,4,PG{5%}KO{3%}NKE{1%}CAT{1%}Cash{90%},100
27,5207.092194824980651901569217443466,2440.379043478250878251856192946434,0.468664458429139896278314836309,4,PG{5%}KO{2%}NKE{1%}CAT{2%}Cash{90%},100
28,5534.319678146465776080731302499771,2498.257899868259755749022588133812,0.451411925070610897670064787235,4,PG{4%}KO{3%}NKE{1%}CAT{2%}Cash{90%},100
29,5557.757617343978381541091948747635,2531.166548089598563819890841841698,0.455429459570284245195637140569,5,PG{5%}KO{2%}MCD{1%}NKE{1%}CAT{1%}Cash{90%},100
30,5565.311365082058728148695081472397,2592.446985507248882640851661562920,0.465822451870853082578349813048,4,PG{6%}KO{2%}NKE{1%}CAT{2%}Cash{89%},100
31,5687.353331567127497692126780748367,2650.074073781303923169616609811783,0.465959105982094223818990030850,4,PG{5%}KO{3%}NKE{1%}CAT{2%}Cash{89%},100
32,5835.634011992856358119752258062363,2675.497570487477787537500262260437,0.458475902530734835682579841887,3,PG{4%}KO{3%}NKE{2%}Cash{91%},100
33,5981.263019573233577830251306295395,2692.663191040841866197297349572182,0.450183043653038517106779181631,5,UNH{1%}PG{6%}KO{2%}NKE{1%}CAT{2%}Cash{88%},100
34,6012.847791550676447513978928327560,2802.142015810266457265242934226990,0.466025768978863719205207871710,4,PG{6%}KO{3%}NKE{1%}CAT{2%}Cash{88%},100
35,6066.882622844005709339398890733719,2827.313744400551513535901904106140,0.466024137957555595335179532412,3,PG{5%}KO{3%}NKE{2%}Cash{90%},100
36,6276.081921354476435226388275623322,2885.050144927526616811519488692284,0.459689688738939838952290983798,3,PG{4%}KO{4%}NKE{2%}Cash{90%},100
37,6310.486756204767516464926302433014,2888.281562582359129010001197457314,0.457695527170303428921016575259,4,PG{5%}KO{2%}NKE{2%}CAT{1%}Cash{90%},100
38,6382.669364095707351225428283214569,2954.796550724645385344047099351883,0.462940563292562001773688962203,5,PG{6%}KO{2%}MCD{1%}NKE{1%}CAT{2%}Cash{88%},100
39,6453.857674778926593717187643051147,2979.381686429515411873580887913704,0.461643537333130404842762573026,3,PG{6%}KO{3%}NKE{2%}Cash{89%},100
40,6487.775569007538251753430813550949,3036.866318840605345030780881643295,0.468090532192248331977424413708,3,PG{5%}KO{4%}NKE{2%}Cash{89%},100
41,6525.428642565670998010318726301193,3040.349504611349402694031596183777,0.465923339469074826446615134046,4,PG{6%}KO{2%}NKE{2%}CAT{1%}Cash{89%},100
42,6573.452842345618591934908181428909,3097.976592885372156160883605480194,0.471286045125093644436731210590,4,PG{5%}KO{3%}NKE{2%}CAT{1%}Cash{89%},100
43,6776.335832947687777050305157899857,3250.044534914354699139948934316635,0.479616803983074435624445186477,4,PG{6%}KO{3%}NKE{2%}CAT{1%}Cash{88%},100
44,6997.340206374516128562390804290771,3307.529167325423713919008150696754,0.472683772658687273438005149728,4,PG{5%}KO{4%}NKE{2%}CAT{1%}Cash{88%},100
45,7120.915671631470104330219328403473,3401.860708827437065338017418980598,0.477727986918856206699501854018,4,PG{7%}KO{3%}NKE{2%}CAT{1%}Cash{87%},100
46,7184.755982178865451714955270290375,3459.597109354403983161319047212601,0.481519082615418037018883978817,4,PG{6%}KO{4%}NKE{2%}CAT{1%}Cash{87%},100
47,7431.718588217489923408720642328262,3463.727739130454210680909454822540,0.466073586885000057389305538891,4,PG{7%}KO{2%}NKE{2%}CAT{2%}Cash{87%},100
48,7505.951248233131991582922637462616,3521.606595520427617884706705808640,0.469175255614589614694409647200,4,PG{6%}KO{3%}NKE{2%}CAT{2%}Cash{87%},100
49,7507.264369787095347419381141662598,3611.413283267458155023632571101189,0.481055828778529759315318869994,4,PG{7%}KO{4%}NKE{2%}CAT{1%}Cash{86%},100
50,7680.344933372137347760144621133804,3673.422769433468147326493635773659,0.478288774957482620830973019110,4,PG{7%}KO{3%}NKE{2%}CAT{2%}Cash{86%},100
51,7906.400688342997455038130283355713,3731.159169960466442717006430029869,0.471916276070044826695948358974,4,PG{6%}KO{4%}NKE{2%}CAT{2%}Cash{86%},100
52,7949.426715234555558708962053060532,3763.481225296458433149382472038269,0.473428004321870543602557290797,4,PG{8%}KO{4%}NKE{2%}CAT{1%}Cash{85%},100
53,7983.025340812366266618482768535614,3825.490711462462513736682012677193,0.479203127654505733890033525313,4,PG{8%}KO{3%}NKE{2%}CAT{2%}Cash{85%},100
